"samples","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Jacksonbacteria","Candidatus Parcubacteria","Candidatus Veblenbacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Huberarchaea","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota","Candidatus Thorarchaeota"
"mgm4550584",0.11345081921063,0.0597376273858454,0.00382861325375823,0.543944597714093,0.00602443556106075,0.00011260627216936,0,0.00180170035470976,0.00073194076910083,0.002815156804234,0.00011260627216936,0.00022521254433872,0.00022521254433872,0.00016890940825404,0,0.0002815156804234,0.00039412195259275,0,0.00016890940825404,5.63031360846799e-05,0.00033781881650808,0,0,5.63031360846799e-05,0,0.00011260627216936,0.00016890940825404,0,0,5.63031360846799e-05,0,0,0,0,0,0,0,5.63031360846799e-05,5.63031360846799e-05,5.63031360846799e-05,0,0,0,0.00011260627216936,0,0,0,0,0,0,0,0.00045042508867743,0.00016890940825404,0.00039412195259275,0.00011260627216936,0,5.63031360846799e-05,5.63031360846799e-05,0,0,0.00016890940825404,0.00016890940825404,0.00022521254433872,5.63031360846799e-05,0,0,5.63031360846799e-05,0.00016890940825404,0.00033781881650808,0.00011260627216936,0.0002815156804234,0.0002815156804234,0,0.0002815156804234,0.00016890940825404,0.00016890940825404,5.63031360846799e-05,0.00016890940825404,0.00033781881650808,0,5.63031360846799e-05,5.63031360846799e-05,5.63031360846799e-05,5.63031360846799e-05,0.00016890940825404,5.63031360846799e-05,5.63031360846799e-05,0,0,0.00011260627216936,0.00011260627216936,0.00016890940825404,0,0.00011260627216936,0.00022521254433872,5.63031360846799e-05,0,0,0.00011260627216936,0,0,0,5.63031360846799e-05,0,0.0030966724846574,0.00135127526603232,0.00078824390518551,0.00061933449693147,0.00016890940825404,0.00011260627216936,0.00878328922921007,0.00135127526603232,0.00365970384550419,0.13895613985699,0.00101345644952424,0.00056303136084679,5.63031360846799e-05,0.00011260627216936,0.00011260627216936,0.00016890940825404,0,0.00016890940825404,0,0.00152018467428636,0.00236473171555656,0.00157648781037104,0.00011260627216936,0.00011260627216936,0.00377231011767355,0.00033781881650808,0.0166094251449806,0.00011260627216936,0.0016890940825404,0.00320927875682676,0.0223523450256179,0.00016890940825404,0.00039412195259275,0.00016890940825404,0.0002815156804234,0.00016890940825404,5.63031360846799e-05,5.63031360846799e-05,0,0.00011260627216936,0,0.042565170880018,0,5.63031360846799e-05,5.63031360846799e-05,5.63031360846799e-05,0.00011260627216936,0,0,5.63031360846799e-05,0,0,0,0
"mgm4550585",0.209281490772263,0.0458699157857015,0.00474825300125426,0.243325568894463,0.0126321447769217,8.95896792689482e-05,0.00017917935853789,0.0025981006987995,0.00062712775488263,0.00143343486830317,8.95896792689482e-05,0.00035835871707579,0.00026876903780684,0.00026876903780684,0,0.00044794839634474,0.00044794839634474,0,0.00053753807561368,0,0.00035835871707579,0,0.00017917935853789,8.95896792689482e-05,0,8.95896792689482e-05,0.00026876903780684,8.95896792689482e-05,0,8.95896792689482e-05,8.95896792689482e-05,0,0,0,8.95896792689482e-05,8.95896792689482e-05,0,8.95896792689482e-05,0,0.00044794839634474,0,0,0,8.95896792689482e-05,0,0,0,0,0,0,0,0.00017917935853789,8.95896792689482e-05,0.00080630711342053,8.95896792689482e-05,0.00035835871707579,0,8.95896792689482e-05,0,0,0.00044794839634474,0,0.00044794839634474,8.95896792689482e-05,0,0,8.95896792689482e-05,0,0.00044794839634474,0,0.00017917935853789,0.00026876903780684,0,0.00017917935853789,0.00071671743415158,0.00017917935853789,0,0,0.00071671743415158,0,0.00035835871707579,0,8.95896792689482e-05,0,0.00017917935853789,8.95896792689482e-05,8.95896792689482e-05,0.00017917935853789,0,0.00026876903780684,0,0,8.95896792689482e-05,0.00035835871707579,0,0.00017917935853789,0,0,0.00035835871707579,0,0,0,0,0,0.00447948396344741,0.00152302454757212,0.00304604909514424,0.00071671743415158,0.00026876903780684,0,0.0149614764379144,0.00143343486830317,0.005196201397599,0.325210535746282,0.00215015230245476,0.00107507615122738,8.95896792689482e-05,0.00026876903780684,0,0.00017917935853789,0,0.00017917935853789,0,0.0025981006987995,0.00349399749148898,0.00152302454757212,0.00035835871707579,0.00035835871707579,0.00591291883175058,0.00071671743415158,0.0223974198172371,0,0.00071671743415158,0.00385235620856477,0.00340440781222003,0,0.00044794839634474,0,0.00017917935853789,0.00017917935853789,0,0.00017917935853789,0,0.00026876903780684,0,0.05877082960043,0.00017917935853789,0,0.00026876903780684,0,0.00017917935853789,8.95896792689482e-05,0,8.95896792689482e-05,8.95896792689482e-05,8.95896792689482e-05,0,0
"mgm4550586",0.174795468848332,0.039490245437382,0.00582127123977344,0.178964757709251,0.00637193203272498,7.8665827564506e-05,7.8665827564506e-05,0.00298930144745123,0.00078665827564506,0.00157331655129012,0.00015733165512901,0.00023599748269351,7.8665827564506e-05,0.00015733165512901,7.8665827564506e-05,0.00047199496538703,0.00023599748269351,0,0.00047199496538703,0.00015733165512901,0.00062932662051604,0,0,0,0,0.00015733165512901,0.00086532410320956,0,0,7.8665827564506e-05,7.8665827564506e-05,0,0,0,7.8665827564506e-05,7.8665827564506e-05,7.8665827564506e-05,0,7.8665827564506e-05,0.00031466331025802,0,0,0,7.8665827564506e-05,0,0,0,0,0,0,0,0.00055066079295154,0,0.00102265575833858,0,0,0,0.00015733165512901,0,0,0.00047199496538703,0.00015733165512901,0.00015733165512901,0.00031466331025802,0,0,0.00015733165512901,0,0.00023599748269351,7.8665827564506e-05,7.8665827564506e-05,0.00023599748269351,0,0.00015733165512901,0.00094398993077407,7.8665827564506e-05,7.8665827564506e-05,7.8665827564506e-05,0.00047199496538703,0,7.8665827564506e-05,7.8665827564506e-05,0,7.8665827564506e-05,7.8665827564506e-05,7.8665827564506e-05,0,0,0,0,0,0,0.00015733165512901,0,0,0.00023599748269351,0,0,0.00015733165512901,0,0,7.8665827564506e-05,0,0,0.00424795468848332,0.00173064820641913,0.00188797986154814,0.00047199496538703,0.00047199496538703,0,0.0118785399622404,0.00117998741346759,0.00353996224040277,0.412287602265576,0.00204531151667716,0.00149465072372561,0.00039332913782253,0.00023599748269351,0,0.00055066079295154,0.00015733165512901,0.00031466331025802,0,0.00188797986154814,0.00157331655129012,0.00141598489616111,0.00039332913782253,0.00039332913782253,0.00621460037759597,0.00094398993077407,0.0159691629955947,7.8665827564506e-05,0.00055066079295154,0.00314663310258024,0.00086532410320956,7.8665827564506e-05,0.00023599748269351,0.00023599748269351,0.00031466331025802,7.8665827564506e-05,0,7.8665827564506e-05,0,0,0,0.0995909376966646,0.00023599748269351,0,0.00039332913782253,0.00015733165512901,0.00015733165512901,0,0,0.00015733165512901,0,0,0,0
"mgm4550588",0.138526727509778,0.0564700130378097,0.00497066492829205,0.449071056062581,0.00749674054758801,8.14863102998696e-05,0.00016297262059973,0.00228161668839635,0.00114080834419817,0.0026890482398957,8.14863102998696e-05,0.00016297262059973,0.0002444589308996,0,0,0.00016297262059973,0.00073337679269882,8.14863102998696e-05,0.00057040417209908,8.14863102998696e-05,0.00016297262059973,8.14863102998696e-05,0,0.00016297262059973,0,8.14863102998696e-05,0.00048891786179921,0,0,0,0,0,0,0.00016297262059973,8.14863102998696e-05,0,8.14863102998696e-05,0,0.00016297262059973,8.14863102998696e-05,0,0,8.14863102998696e-05,0,0,0,0,0,0,0,0,0.00057040417209908,0.00016297262059973,0.00073337679269882,0.0002444589308996,0.0002444589308996,0.00032594524119947,0.00016297262059973,0,0,0.00016297262059973,8.14863102998696e-05,8.14863102998696e-05,0.00016297262059973,0,0,0,8.14863102998696e-05,0.00057040417209908,0.00016297262059973,0.00032594524119947,0.00040743155149934,0,0.00016297262059973,0.00032594524119947,0.00016297262059973,8.14863102998696e-05,0,0.0002444589308996,0,0.00016297262059973,8.14863102998696e-05,0,0,8.14863102998696e-05,0,0.00016297262059973,8.14863102998696e-05,0,0,8.14863102998696e-05,0.00040743155149934,0,0,0,8.14863102998696e-05,0,0,0.0002444589308996,0,0,0,0,0,0.00285202086049544,0.00114080834419817,0.00130378096479791,0.00048891786179921,0.00032594524119947,8.14863102998696e-05,0.0124674054758801,0.00154823989569752,0.00407431551499348,0.192226205997392,0.00162972620599739,0.00089634941329856,8.14863102998696e-05,8.14863102998696e-05,0.00016297262059973,0.00040743155149934,0,0.0002444589308996,8.14863102998696e-05,0.00154823989569752,0.00146675358539765,0.00105932203389831,0.00032594524119947,0.00057040417209908,0.00537809647979139,0.00057040417209908,0.02501629726206,8.14863102998696e-05,0.00138526727509778,0.0026890482398957,0.0242014341590613,0,0.00040743155149934,8.14863102998696e-05,0.00065189048239895,8.14863102998696e-05,0.00016297262059973,0.00032594524119947,8.14863102998696e-05,0.0002444589308996,0,0.0398468057366362,8.14863102998696e-05,0,8.14863102998696e-05,0,0,0,0,0,8.14863102998696e-05,0,0,0
"mgm4550589",0.112660635048695,0.0316371808909122,0.00316948078142108,0.291246470350948,0.0061084538696479,0,0,0.00201694231544978,0.00063389615628421,0.00195931539215121,0.00011525384659713,0.00017288076989569,0.00011525384659713,0.00040338846308995,5.76269232985651e-05,5.76269232985651e-05,0.00023050769319426,0.00011525384659713,0.00023050769319426,0.00011525384659713,0.00046101538638852,0,5.76269232985651e-05,0.00011525384659713,0,0,0.00046101538638852,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,0,0,0,0.00011525384659713,5.76269232985651e-05,0,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,0,0,0,0,5.76269232985651e-05,0,0,0,0,0,0.00028813461649282,0.00011525384659713,0.00034576153979139,0.00011525384659713,0,5.76269232985651e-05,0,0,0,0,5.76269232985651e-05,5.76269232985651e-05,0.00011525384659713,0,0,0,0,0.00011525384659713,5.76269232985651e-05,0.00028813461649282,0.00011525384659713,0,0.00011525384659713,0.00046101538638852,0,5.76269232985651e-05,0,0.00017288076989569,0,0.00017288076989569,0,5.76269232985651e-05,0,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,0.00011525384659713,5.76269232985651e-05,0,0,5.76269232985651e-05,0,0,5.76269232985651e-05,0.00011525384659713,0,0,5.76269232985651e-05,0,0,0,0,0,0.00149830000576269,0.00069152307958278,0.00080677692617991,0.00057626923298565,0.00017288076989569,0,0.00783726156860485,0.00155592692906126,0.00403388463089956,0.176799400679998,0.001325419235867,0.0009796576960756,0.00017288076989569,5.76269232985651e-05,0,0.00028813461649282,0,0.00011525384659713,0,0.00092203077277704,0.00149830000576269,0.00086440384947847,0.00017288076989569,5.76269232985651e-05,0.00420676540079525,0.00074915000288134,0.0138880885149542,5.76269232985651e-05,0.00144067308246413,0.00236270385524117,0.00461015386388521,0,0.00034576153979139,0,0,0.00023050769319426,0,0.00011525384659713,0,5.76269232985651e-05,0,0.314931135826658,0,0,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,5.76269232985651e-05,0,5.76269232985651e-05,5.76269232985651e-05,0,0,0
"mgm4550590",0.103995120463556,0.0276913693199146,0.00365965233302836,0.203293687099726,0.00579444952729491,6.09942055504727e-05,0,0.00189082037206465,0.00048795364440378,0.00170783775541324,0.00030497102775236,0.0004269594388533,0.00018298261665141,0.00030497102775236,6.09942055504727e-05,0.0004269594388533,0.00073193046660567,0,0.00012198841110094,6.09942055504727e-05,0.00036596523330283,0,0,0,0,0,0.00030497102775236,0,0,6.09942055504727e-05,0,6.09942055504727e-05,0,0,6.09942055504727e-05,0,0,0,0,6.09942055504727e-05,0,0.00018298261665141,6.09942055504727e-05,0,0,0,0,0,0,0,6.09942055504727e-05,0.00024397682220189,0.00012198841110094,0.00073193046660567,0.00018298261665141,0,6.09942055504727e-05,6.09942055504727e-05,6.09942055504727e-05,0,0.00024397682220189,0,0,0.00018298261665141,0,0,0,6.09942055504727e-05,0.00048795364440378,0,0.00012198841110094,6.09942055504727e-05,0,0.00024397682220189,0.00054894784995425,0.00018298261665141,6.09942055504727e-05,6.09942055504727e-05,0.00012198841110094,0,6.09942055504727e-05,0,0,0,6.09942055504727e-05,0.00012198841110094,6.09942055504727e-05,6.09942055504727e-05,0,0.00012198841110094,0,6.09942055504727e-05,6.09942055504727e-05,0.00012198841110094,0,0.00012198841110094,0,0,0.00018298261665141,0,0,6.09942055504727e-05,6.09942055504727e-05,0,0.00164684354986276,0.00012198841110094,0.00158584934431229,0.00030497102775236,0.00030497102775236,0,0.00969807868252516,0.00109789569990851,0.00420860018298262,0.173223543763342,0.00115888990545898,0.00073193046660567,0.00012198841110094,0.00024397682220189,0.00024397682220189,0.0004269594388533,6.09942055504727e-05,0,0,0.00213479719426654,0.00195181457761513,0.00140286672766087,6.09942055504727e-05,6.09942055504727e-05,0.00487953644403782,0.00054894784995425,0.0137236962488564,0,0.00060994205550472,0.00292772186642269,0.00128087831655993,0,0.00018298261665141,0,6.09942055504727e-05,0.00012198841110094,0,0.00018298261665141,0,0.00030497102775236,0,0.416285452881976,0,0,6.09942055504727e-05,0.00024397682220189,0.00030497102775236,0,0,6.09942055504727e-05,0,0,0,0
"mgm4550592",0.119506624029237,0.0535861123800822,0.00424851530379169,0.530059387848333,0.00584741891274555,0.00022841480127912,9.13659205116492e-05,0.00182731841023298,0.00050251256281407,0.0022384650525354,0.00013704888076747,0.00022841480127912,0,0.00013704888076747,9.13659205116492e-05,9.13659205116492e-05,0.00045682960255824,0.00013704888076747,0.00013704888076747,4.56829602558246e-05,0.00027409776153494,9.13659205116492e-05,9.13659205116492e-05,0.00013704888076747,0,0,0.00036546368204659,0,0,0.00013704888076747,0,0,0,0.00018273184102329,9.13659205116492e-05,0,0.00013704888076747,9.13659205116492e-05,4.56829602558246e-05,4.56829602558246e-05,0,0,0,0,0,0,0,0,0,0,0,0.00045682960255824,9.13659205116492e-05,0.00036546368204659,0.00018273184102329,9.13659205116492e-05,0.00018273184102329,9.13659205116492e-05,0.00013704888076747,0,0.00013704888076747,0,4.56829602558246e-05,4.56829602558246e-05,0,0,9.13659205116492e-05,9.13659205116492e-05,0.00027409776153494,4.56829602558246e-05,9.13659205116492e-05,0.00027409776153494,0,0.00018273184102329,0.00022841480127912,0.00013704888076747,0.00018273184102329,0,0.00027409776153494,4.56829602558246e-05,0.00027409776153494,9.13659205116492e-05,4.56829602558246e-05,4.56829602558246e-05,4.56829602558246e-05,9.13659205116492e-05,0,0,0,0,4.56829602558246e-05,0.00018273184102329,4.56829602558246e-05,0,0,0,0,0,9.13659205116492e-05,4.56829602558246e-05,0,0,4.56829602558246e-05,4.56829602558246e-05,0.00287802649611695,0.00137048880767474,0.00091365920511649,0.00050251256281407,0.00054819552306989,0,0.0101873001370489,0.00105070808588397,0.00287802649611695,0.140794883508451,0.00095934216537231,0.00027409776153494,4.56829602558246e-05,0.00022841480127912,0.00018273184102329,0.00027409776153494,0,0.00013704888076747,4.56829602558246e-05,0.00146185472818639,0.00155322064869804,0.00173595248972133,0.00041114664230242,4.56829602558246e-05,0.00475102786660576,0.00054819552306989,0.0196436729100046,0.00013704888076747,0.00173595248972133,0.00196436729100046,0.0279122887163088,9.13659205116492e-05,0.00059387848332572,4.56829602558246e-05,0.00027409776153494,4.56829602558246e-05,0,9.13659205116492e-05,0,9.13659205116492e-05,0,0.0470077661032435,9.13659205116492e-05,0,4.56829602558246e-05,0,0,0,0,0.00031978072179077,0,0,0,0
"mgm4550593",0.18479267414343,0.0433172137051137,0.00473299722193641,0.335837020269575,0.0106492437493569,5.14456219775697e-05,5.14456219775697e-05,0.00236649861096821,0.00056590184175326,0.00226360736701307,0.00020578248791027,0,0.0001543368659327,0.0001543368659327,5.14456219775697e-05,0.00020578248791027,0.00041156497582055,5.14456219775697e-05,0.00041156497582055,0.00010289124395513,0.00030867373186541,0,0.0001543368659327,0,0,0.00010289124395513,0.00020578248791027,5.14456219775697e-05,0,5.14456219775697e-05,5.14456219775697e-05,0,0,0.00025722810988784,0.00010289124395513,5.14456219775697e-05,0,0,5.14456219775697e-05,0.00025722810988784,0,0,0,0,0,0,0,5.14456219775697e-05,0,0,0,0.00041156497582055,0.00010289124395513,0.00041156497582055,0.0001543368659327,0.0001543368659327,0,0.0001543368659327,0,0,0.00030867373186541,0.0001543368659327,5.14456219775697e-05,5.14456219775697e-05,0,0,0,0,0.00020578248791027,0,5.14456219775697e-05,0.00020578248791027,0,0.00020578248791027,0.00061734746373083,5.14456219775697e-05,5.14456219775697e-05,0,0.00030867373186541,0,0.00030867373186541,0,0,5.14456219775697e-05,5.14456219775697e-05,5.14456219775697e-05,0,0,0,5.14456219775697e-05,0,0.0001543368659327,0,5.14456219775697e-05,5.14456219775697e-05,0.00010289124395513,0,0,0.00010289124395513,0,0,0,0.0001543368659327,0,0.00252083547690092,0.0011832493054841,0.0011832493054841,0.00056590184175326,0.00030867373186541,5.14456219775697e-05,0.0116781561889083,0.0011832493054841,0.00344685667249717,0.197808416503756,0.00159481428130466,0.00056590184175326,0.00010289124395513,0.00020578248791027,0.00010289124395513,0.00030867373186541,0,0.0001543368659327,0,0.00138903179339438,0.00210927050108036,0.00190348801317008,0.0001543368659327,0,0.00488733408786912,0.00087457557361868,0.0194464451075213,0,0.00133758617141681,0.00257228109887849,0.00519600781973454,0.00010289124395513,0.00025722810988784,5.14456219775697e-05,0.00020578248791027,0,0,0.00010289124395513,5.14456219775697e-05,0.00010289124395513,0,0.143121720341599,5.14456219775697e-05,0,0.0001543368659327,0,5.14456219775697e-05,0,0,5.14456219775697e-05,0,0,0,0
"mgm4550594",0.109447434326211,0.0330367133798689,0.00367666648904993,0.281931049182075,0.00511536207172164,5.32850215804337e-05,0.0001598550647413,0.00191826077689561,0.0009591303884478,0.00229125592795865,5.32850215804337e-05,0.00026642510790216,0.00037299515106303,0.0001598550647413,0,0.0001598550647413,0.0004795651942239,5.32850215804337e-05,0.00037299515106303,0.00010657004316086,0.00026642510790216,5.32850215804337e-05,0.00010657004316086,5.32850215804337e-05,5.32850215804337e-05,0,0.0003197101294826,0,0,0.0001598550647413,0,0,0,5.32850215804337e-05,5.32850215804337e-05,0,0,0,0.00010657004316086,5.32850215804337e-05,0,5.32850215804337e-05,0,0,0.00010657004316086,0,0,0,0,0,0,0.00021314008632173,0.00021314008632173,0.0003197101294826,0.0001598550647413,0.00010657004316086,0,5.32850215804337e-05,0,5.32850215804337e-05,0.00010657004316086,0.00010657004316086,0,0,5.32850215804337e-05,0,5.32850215804337e-05,5.32850215804337e-05,0.00037299515106303,5.32850215804337e-05,0.0001598550647413,0.0001598550647413,0,5.32850215804337e-05,0.00026642510790216,0.0001598550647413,0.0001598550647413,0,0.00026642510790216,0,0.00026642510790216,0.00010657004316086,0,0,0.00010657004316086,5.32850215804337e-05,0,0,0,0,0,0,0,5.32850215804337e-05,5.32850215804337e-05,0.00010657004316086,5.32850215804337e-05,0,5.32850215804337e-05,0,0,0,0,0,0.00282410614376299,0.00117227047476954,0.00149198060425214,0.00085256034528694,0.0003197101294826,0.00010657004316086,0.00959130388447807,0.00170512069057388,0.0041029466616934,0.128150476900943,0.00085256034528694,0.0004795651942239,0.00010657004316086,0.00026642510790216,0.0001598550647413,0.0001598550647413,5.32850215804337e-05,0.00010657004316086,5.32850215804337e-05,0.00186497575531518,0.00207811584163692,0.00133212553951084,0.00042628017264347,0.0003197101294826,0.0049022219853999,0.00053285021580433,0.00911173869025417,0,0.00069270528054563,0.00293067618692386,0.00074599030212607,0.00021314008632173,0.0004795651942239,0.00010657004316086,0.00010657004316086,5.32850215804337e-05,0.00010657004316086,0,0,0.0001598550647413,0,0.374913411839932,0,0,0.00010657004316086,0,5.32850215804337e-05,0,0,0.00010657004316086,0,5.32850215804337e-05,0,0
"mgm4550596",0.128403895845756,0.0398860398860399,0.00443914397402769,0.366129994036971,0.00755317034386802,0.0001987676406281,0.0001987676406281,0.00145762936460611,0.00066255880209368,0.00351156165109653,0.0001987676406281,0.0001987676406281,0.00033127940104684,0.00026502352083747,6.62558802093686e-05,0.00059630292188431,0.0001987676406281,0.00033127940104684,0.00053004704167494,0,0.00053004704167494,0.00013251176041873,0.00026502352083747,0,6.62558802093686e-05,0,0.00039753528125621,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,0,0,6.62558802093686e-05,0,0.00013251176041873,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,0,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,6.62558802093686e-05,0,0,0,0,0,0,0.0001987676406281,0.00013251176041873,0.00046379116146558,6.62558802093686e-05,0.00033127940104684,6.62558802093686e-05,0.0001987676406281,0,0,0.00033127940104684,0,0.0001987676406281,0,0,0,0,0.00013251176041873,0.00026502352083747,0.00026502352083747,0.0001987676406281,0.00026502352083747,0.0001987676406281,0.0001987676406281,0.0001987676406281,6.62558802093686e-05,0.00046379116146558,0,0.00033127940104684,6.62558802093686e-05,0,0.00013251176041873,0,0,0,0.00013251176041873,0,0.00013251176041873,0,0,0,6.62558802093686e-05,0,0,6.62558802093686e-05,6.62558802093686e-05,0,0,0,6.62558802093686e-05,0,0,0,0,0.00258397932816537,0.00172265288544358,0.00119260584376863,0.001258861723978,0.00053004704167494,0.00033127940104684,0.0125223613595707,0.00172265288544358,0.00477042337507454,0.306897237129795,0.00145762936460611,0.00086132644272179,0.00033127940104684,0.00026502352083747,0.00013251176041873,0.0001987676406281,0,0,0.00046379116146558,0.00145762936460611,0.00165639700523421,0.00139137348439674,0.00072881468230305,6.62558802093686e-05,0.00490293513549328,0.00053004704167494,0.0174252964950639,0.00026502352083747,0.00132511760418737,0.00278274696879348,0.0128536407606175,0.00033127940104684,0.00059630292188431,0.0001987676406281,0.00033127940104684,0.00026502352083747,0.00013251176041873,0.00046379116146558,0,0.0001987676406281,0,0.0511495395216325,0.00039753528125621,0,0,6.62558802093686e-05,0,0,0,0.00033127940104684,0,6.62558802093686e-05,0,0
