#OTU ID	mgm4570603	mgm4570604	mgm4581537	mgm4581538	mgm4581539	mgm4581540	mgm4581542	mgm4581543	mgm4581544	mgm4581707	mgm4581709	mgm4581710	mgm4581711	mgm4581712	mgm4581713	mgm4581714
Pseudomonadota	0.9713114754098359	0.939426229508197	0.903674280039722	0.8873737373737371	0.952405663874268	0.972754303599374	0.975816527121346	0.977930055496134	0.987061009711539	0.906131928608093	0.972237345259842	0.962872366190361	0.5918430319331379	0.9526875381229191	0.9446912753547231	0.787358017871698
Actinomycetota	0.0128539493293592	0.0311475409836066	0.0466732869910626	0.0484848484848485	0.0227592853436133	0.0116118935837246	0.0148900934509534	0.00378409690767713	0.0088259807120072	0.0428780598635105	0.0172436931764196	0.0265931075748294	0.017660584983978	0.00108391170665485	0.005724228607614079	0.00141640635671645
Chloroflexota	0.0	8.196721311475408e-05	0.00372393247269116	0.0010101010101010099	0.00126028615909259	0.0	3.7106900597917795e-05	3.36100561287937e-05	1.33417441912339e-05	0.0023435462019404697	8.8106770180609e-05	0.00017950507885401002	0.00039861794787242	6.57023806458544e-06	3.32539596370828e-05	1.3509598569783802e-05
Bacillota	0.0	0.00172131147540984	0.008937437934458791	0.00555555555555556	0.0039291274371710296	0.0013302034428795	0.00035412254743839	0.00022340802015021	0.00019762458583265	0.00577682035056422	0.00086260052277623	0.00102574330773724	0.013258130062459	0.00037823262371802004	0.0002847903209945	0.00026989175809412
Cyanobacteriota	0.0003725782414307	0.00081967213114754	0.00422045680238332	0.0181818181818182	0.0039291274371710296	0.0006572769953051599	0.00010810671827739	9.29219198854886e-05	4.87807521991989e-05	0.00151888721526124	0.00031619757682417	0.00047440627982847004	0.0159244117957363	5.877699457777789e-05	9.137733353266759e-05	4.8634554851221794e-05
Candidatus Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1037219047939603e-05	2.81941664577949e-07	0.0	5.47382342593365e-05	1.0654440104733101e-06	1.42110938620012e-07	6.004266031015039e-07
Candidatus Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.33744255734915e-06	0.0	2.0846475298803e-06	1.26223314287638e-05	3.38329997493539e-06	2.13696522445258e-06	5.429679688627729e-05	1.42059201396442e-06	1.42110938620012e-07	6.004266031015039e-07
Deinococcota	0.0	0.00032786885245901	0.00024826216484607	0.0	0.00037067239973311	9.38967136150235e-05	0.00013352640608857	3.16329940035706e-05	2.7517347394419896e-05	0.00069002078477241	0.00021230207342719	0.00022295670508455	0.00021277281381451002	7.813256076804311e-06	7.176602400310601e-05	8.405972443421049e-06
Armatimonadota	0.0	0.0	0.0	0.0010101010101010099	0.0	0.0	6.72014735237882e-06	3.95412425044632e-06	3.3354360478084704e-06	0.00019774985905063	2.36830998245477e-05	2.9917513142336103e-05	5.8711170616868995e-05	2.48603602443773e-06	6.25288129928052e-06	9.907038951174809e-06
Mycoplasmatota	0.0	8.196721311475408e-05	0.0	0.0	0.0	4.6948356807511703e-05	5.84360639337288e-07	1.97706212522316e-06	1.2507885179281799e-06	6.31116571438188e-05	6.0617457884259004e-06	1.21094696052313e-05	0.00061359794855224	1.6514382162336402e-05	4.26332815860036e-06	6.60469263411654e-06
Thermomicrobiota	0.0	0.0	0.0	0.0	0.00022240343983987002	0.0	1.16872127867458e-06	0.0	8.33859011952118e-07	8.414887619175849e-05	1.1277666583118e-06	9.260182639294521e-06	1.1918809072597501e-05	0.0	0.0	0.0
Candidatus Kaiserbacteria	0.0	0.0	0.0	0.0	7.413447994662321e-05	0.0	2.92180319668644e-06	0.0	4.16929505976059e-07	7.99414323821705e-05	2.25553331662359e-06	4.27393044890516e-06	6.0918357482164796e-05	8.878700087277621e-07	1.1368875089600901e-06	2.10149311085526e-06
Candidatus Nomurabacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.04526223768051e-06	0.0	0.0	2.9452106667115504e-05	4.79300829782513e-06	5.69857393187355e-06	0.00010462065741501999	3.5514800349110496e-06	7.10554693100059e-07	1.20085320620301e-06
Candidatus Yanofskybacteria	0.0	0.0	0.0	0.0	0.0	0.0	5.84360639337288e-07	0.0	0.0	2.9452106667115504e-05	4.65203746553616e-06	7.123217414841941e-07	6.04769201091057e-05	7.1029600698221e-07	4.2633281586003604e-07	1.8012798093045102e-06
Candidatus Azambacteria	0.0	8.196721311475408e-05	0.0	0.0	0.0	0.0	2.92180319668644e-07	0.0	1.2507885179281799e-06	4.20744380958792e-06	1.55067915517872e-06	5.69857393187355e-06	3.0900616114141604e-05	0.0	8.526656317200709e-07	0.0
Candidatus Falkowbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.92180319668644e-07	3.95412425044632e-06	0.0	4.2074438095879205e-05	4.65203746553616e-06	2.8492869659367698e-06	6.70984807049931e-05	1.77574001745552e-07	4.2633281586003604e-07	0.0
Candidatus Magasanikbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.92180319668644e-07	0.0	0.0	5.890421333423089e-05	6.90757078215975e-06	2.8492869659367698e-06	0.00017039482600083	3.55148003491105e-07	1.42110938620012e-07	9.006399046522551e-07
Candidatus Nealsonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16929505976059e-07	0.0	0.0	0.0	1.7657494922366603e-05	3.55148003491105e-07	2.84221877240024e-07	9.006399046522551e-07
Candidatus Uhrbacteria	0.0	0.0	0.00024826216484607	0.0	0.0	0.0	0.0	0.0	0.0	0.00010097865143011	9.867958260228209e-07	4.27393044890516e-06	0.0001015305958036	8.878700087277621e-07	4.2633281586003604e-07	6.004266031015039e-07
Candidatus Giovannonibacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.92180319668644e-07	0.0	0.0	8.41488761917585e-06	0.0	1.4246434829683902e-06	8.38731008812414e-06	5.327220052366571e-07	2.84221877240024e-07	3.0021330155075196e-07
Candidatus Moranbacteria	0.0	0.0	0.0	0.0	0.0	0.0	5.84360639337288e-07	0.0	4.16929505976059e-07	3.36595504767034e-05	2.81941664577949e-07	2.8492869659367698e-06	4.63509241712124e-05	5.327220052366571e-07	5.684437544800471e-07	3.0021330155075196e-07
Candidatus Zambryskibacteria	0.0	0.0	0.0	0.0	0.0	0.0	5.84360639337288e-06	0.0	1.12570966613536e-05	2.52446628575275e-05	5.63883329155898e-07	4.27393044890516e-06	5.91526079899282e-05	1.0832014106478698e-05	5.40021566756045e-06	2.40170641240601e-06
Candidatus Staskawiczbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41488761917585e-06	2.81941664577949e-07	0.0	2.3837618145194898e-05	3.55148003491105e-07	0.0	3.0021330155075196e-07
Candidatus Wolfebacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52446628575275e-05	1.40970832288974e-07	0.0	1.1918809072597501e-05	3.55148003491105e-07	0.0	0.0
Candidatus Harrisonbacteria	0.0	0.0	0.0	0.0	0.0	1.56494522691706e-05	2.92180319668644e-06	0.0	1.2507885179281799e-06	2.9452106667115504e-05	2.11456248433462e-06	7.123217414841941e-07	2.3837618145194898e-05	5.327220052366571e-07	0.0	3.0021330155075196e-07
Candidatus Taylorbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68297752383517e-05	1.40970832288974e-07	7.123217414841941e-07	3.00177413680232e-05	0.0	0.0	3.0021330155075196e-07
Candidatus Buchananbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52446628575275e-05	0.0	0.0	2.4279055518254103e-05	0.0	2.84221877240024e-07	0.0
Candidatus Portnoybacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.20744380958792e-06	0.0	0.0	1.7216057549307502e-05	0.0	1.42110938620012e-07	3.0021330155075196e-07
Candidatus Adlerbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40970832288974e-07	0.0	2.20718686529583e-06	0.0	0.0	0.0
Candidatus Sungbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9452106667115504e-05	1.40970832288974e-07	0.0	8.38731008812414e-06	7.102960069822099e-06	1.42110938620012e-07	2.10149311085526e-06
Candidatus Jorgensenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41488761917585e-06	1.40970832288974e-07	0.0	2.95763039949641e-05	0.0	1.42110938620012e-07	0.0
