"samples","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Jacksonbacteria","Candidatus Parcubacteria","Candidatus Veblenbacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Aenigmarchaeota","Candidatus Huberarchaea","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota","Candidatus Thorarchaeota"
"mgm4480751",0.598773402194964,0.026307295029051,0.00064557779212395,0.0214654615881214,0.259038089089735,0,0,0,0,0.00338928340865074,0,0,0.00016139444803098,0,0,0,0,0,0.00016139444803098,0,0,0,0,0.00016139444803098,0,0,0,0,0,0.00016139444803098,0,0.00016139444803098,0,0.00016139444803098,0,0,0,0,0,0,0,0,0,0,0.00032278889606197,0,0,0,0,0,0,0,0,0.00032278889606197,0.00016139444803098,0,0.00016139444803098,0,0,0,0,0,0,0,0,0,0,0,0.00016139444803098,0,0.00016139444803098,0,0,0.00016139444803098,0.00048418334409296,0.00016139444803098,0.00016139444803098,0,0.00032278889606197,0,0.00016139444803098,0,0,0,0,0.00016139444803098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016139444803098,0,0,0,0.00403486120077469,0.00016139444803098,0.00193673337637185,0.00016139444803098,0.00016139444803098,0,0.0012911555842479,0.00032278889606197,0.00548741123305358,0.0622982569399613,0.00032278889606197,0,0,0,0,0,0,0,0,0.00032278889606197,0.00064557779212395,0.00225952227243383,0,0,0.00080697224015493,0.00080697224015493,0,0.00032278889606197,0.0012911555842479,0.00016139444803098,0,0,0.00016139444803098,0,0.00016139444803098,0,0,0.00064557779212395,0.00016139444803098,0.00016139444803098,0,0.00193673337637185,0.00032278889606197,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4480742",0.457640538400633,0.197941409342835,0.00712589073634204,0.0601741884402217,0.058590657165479,0,0,0.00237529691211401,0,0.00395882818685669,0.00079176563737133,0,0,0,0,0,0,0.00079176563737133,0,0,0.00079176563737133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079176563737133,0,0,0.00079176563737133,0,0.00079176563737133,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0.00158353127474268,0.00316706254948535,0.00237529691211401,0,0,0.00079176563737133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174188440221694,0.00158353127474268,0.00158353127474268,0,0,0,0.0158353127474268,0.00316706254948535,0.00237529691211401,0.0451306413301663,0.00158353127474268,0,0,0.00079176563737133,0.00079176563737133,0,0,0,0,0.00158353127474268,0.0221694378463975,0.00870942201108472,0.00158353127474268,0,0.00158353127474268,0,0,0,0.00079176563737133,0,0.00079176563737133,0,0,0,0,0,0,0.058590657165479,0,0.00158353127474268,0,0.00950118764845606,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4487647",0.506898913788042,0.00724141305411488,9.78569331637147e-05,0.0276935120853312,0.394950582248752,0.00039142773265485,9.78569331637147e-05,0,9.78569331637147e-05,0.0033271357275663,0,9.78569331637147e-05,0.00019571386632742,0.00019571386632742,0,9.78569331637147e-05,0.00029357079949114,0.00019571386632742,0.00029357079949114,0,0.00048928466581857,0.00029357079949114,9.78569331637147e-05,9.78569331637147e-05,0,0,9.78569331637147e-05,0,0,0,0,0,0,0,0,9.78569331637147e-05,0,0,9.78569331637147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00029357079949114,0,0.00048928466581857,0.00019571386632742,0.00029357079949114,0,9.78569331637147e-05,9.78569331637147e-05,0,0,9.78569331637147e-05,0,0.00019571386632742,0,0,0,0,0,0,0,0,0,9.78569331637147e-05,9.78569331637147e-05,9.78569331637147e-05,9.78569331637147e-05,0,9.78569331637147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078285546530971,0.00019571386632742,0.00019571386632742,0,0.00078285546530971,9.78569331637147e-05,0.00107642626480086,9.78569331637147e-05,0.00704569918778745,0.0333692142088267,0.00136999706429201,9.78569331637147e-05,0,0,0,0.000684998532146,0,0,0,9.78569331637147e-05,0.00029357079949114,0,0,0,0.00166356786378315,0.00039142773265485,0,0,0.00273999412858401,0.00078285546530971,0.00019571386632742,0,0.00029357079949114,0,0.00029357079949114,0,0,0.00039142773265485,0,0.00019571386632742,0,0.00088071239847343,0.00019571386632742,0,0,0,0,0,0,0,9.78569331637147e-05,0,0,0,0
"mgm4487909",0.487206823027719,0.211087420042644,0.00959488272921109,0.0682302771855011,0.0213219616204691,0,0,0.00213219616204691,0.00106609808102345,0.00213219616204691,0,0,0,0,0.00106609808102345,0,0.00106609808102345,0,0,0,0,0,0,0,0,0,0.00106609808102345,0,0,0,0,0,0,0,0.00106609808102345,0,0,0.00106609808102345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106609808102345,0,0.00213219616204691,0.00106609808102345,0.00106609808102345,0,0,0,0,0,0,0.00106609808102345,0,0,0,0,0.00106609808102345,0.00106609808102345,0,0.00106609808102345,0.00106609808102345,0,0,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223880597014925,0.00106609808102345,0.00213219616204691,0,0.00106609808102345,0,0.011727078891258,0.00319829424307036,0.00852878464818763,0.05863539445629,0.00106609808102345,0,0.00106609808102345,0.00426439232409382,0,0.00106609808102345,0,0,0,0.00319829424307036,0.0159914712153518,0.00959488272921109,0.00213219616204691,0,0.00106609808102345,0.00213219616204691,0,0,0.00533049040511727,0.00106609808102345,0,0,0.00106609808102345,0,0,0,0.00106609808102345,0.00852878464818763,0,0.00213219616204691,0,0.00852878464818763,0,0,0,0,0,0,0,0,0.00106609808102345,0,0,0,0
"mgm4480749",0.578011472275335,0.0304015296367113,0.00076481835564053,0.0189292543021033,0.304780114722753,0.00019120458891013,0,0.00038240917782026,0,0.00267686424474187,0,0,0,0.00019120458891013,0,0,0,0,0.00019120458891013,0,0,0,0,0,0,0,0.00019120458891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019120458891013,0,0,0,0,0,0,0.00019120458891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152963671128107,0,0.00019120458891013,0,0,0,0,0,0.00019120458891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038240917782026,0,0,0,0,0,0,0.00286806883365201,0.00019120458891013,0.0005736137667304,0,0.00019120458891013,0,0.00038240917782026,0.00019120458891013,0.00420650095602294,0.0430210325047801,0.00038240917782026,0,0,0,0,0.0005736137667304,0,0,0.00019120458891013,0.00019120458891013,0.00038240917782026,0.00076481835564053,0,0,0.0011472275334608,0.00038240917782026,0,0,0.00133843212237094,0.00038240917782026,0.00019120458891013,0,0,0,0,0,0,0.0011472275334608,0,0.00019120458891013,0,0.00133843212237094,0,0.00019120458891013,0,0,0,0,0,0,0.00019120458891013,0,0,0,0
"mgm4480746",0.779647306261123,0.0118103866688238,0,0.00954538100630966,0.155638246238473,0,0,0,0,0.00016178611875101,0,0,0,0.00032357223750202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016178611875101,0.00016178611875101,0,0,0,0,0.00016178611875101,0,0,0,0,0.00016178611875101,0,0,0,0,0,0,0,0.00016178611875101,0,0,0,0,0,0,0,0,0.00048535835625303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016178611875101,0,0,0,0,0,0,0,0,0,0.00048535835625303,0,0.00032357223750202,0,0.00016178611875101,0,0.00048535835625303,0.00048535835625303,0.00242679178126517,0.0338132988189613,0.00016178611875101,0,0,0,0,0,0,0.00016178611875101,0,0,0,0.00016178611875101,0.00016178611875101,0,0.00129428895000809,0.00016178611875101,0,0,0.00048535835625303,0,0,0,0,0,0,0,0,0,0,0,0,0.00064714447500404,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4480747",0.632633053221288,0.0151260504201681,0.00014005602240896,0.0173669467787115,0.272268907563025,0.00028011204481792,0.00014005602240896,0.00014005602240896,0,0.00126050420168067,0.00014005602240896,0,0,0.00014005602240896,0,0,0,0.00014005602240896,0.00014005602240896,0,0.00014005602240896,0,0,0,0,0,0.00014005602240896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014005602240896,0.00014005602240896,0,0.00014005602240896,0,0,0,0,0,0.00014005602240896,0,0,0.00042016806722689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014005602240896,0.00014005602240896,0.00028011204481792,0,0,0,0,0,0.00014005602240896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014005602240896,0,0,0,0,0,0,0,0.00028011204481792,0,0,0,0.0046218487394958,0.00028011204481792,0.00042016806722689,0.00014005602240896,0.00028011204481792,0,0.00140056022408964,0.00084033613445378,0.0030812324929972,0.0380952380952381,0.00014005602240896,0.00028011204481792,0,0,0,0.00056022408963585,0,0.00014005602240896,0,0,0.00070028011204481,0.00070028011204481,0,0,0.00084033613445378,0.00042016806722689,0,0,0.00112044817927171,0.00042016806722689,0,0,0.00014005602240896,0,0.00014005602240896,0.00014005602240896,0,0.00112044817927171,0,0.00028011204481792,0,0.00126050420168067,0,0,0,0,0,0,0,0,0,0.00014005602240896,0,0,0
"mgm4644204",0.454978666398338,0.0186693419398634,0.00062776807423883,0.0311270839872584,0.418144599918,0.00021926827473413,6.30771749235189e-05,0.00024630134970136,0.00015468926231243,0.00308477422125971,1.20146999854322e-05,6.9084524916235e-05,0.00021326092474142,0.000142674562327,9.01102498907413e-06,0.00013816904983247,0.00026882891217404,0.00017421314978876,0.00017721682478512,3.15385874617595e-05,0.00013065986234157,4.95606374399077e-05,0.00011113597486524,3.30404249599385e-05,4.05496124508336e-05,2.55312374690434e-05,7.20881999125931e-05,8.10992249016672e-05,3.00367499635804e-06,1.50183749817902e-05,1.35165374836112e-05,2.40293999708644e-05,1.50183749817902e-06,1.80220499781483e-05,1.95238874763273e-05,4.65569624435497e-05,2.70330749672224e-05,2.10257249745063e-05,5.55679874326238e-05,1.20146999854322e-05,2.70330749672224e-05,6.00734999271609e-06,4.65569624435497e-05,2.40293999708644e-05,1.65202124799692e-05,2.10257249745063e-05,1.50183749817902e-06,3.45422624581175e-05,1.50183749817902e-06,1.50183749817902e-05,0,0.00020274806225416,0.00010963413736706,0.00025981788718497,0.00024780318719953,0.00015318742481426,8.26010623998462e-05,8.26010623998462e-05,3.90477749526546e-05,1.35165374836112e-05,4.50551249453707e-06,4.05496124508336e-05,4.50551249453707e-05,7.65937124071301e-05,9.01102498907413e-06,7.50918749089511e-06,1.05128624872532e-05,2.10257249745063e-05,9.61175998834574e-05,1.35165374836112e-05,9.31139248870994e-05,5.10624749380867e-05,4.50551249453707e-06,0.00016219844980333,0.00021175908724324,4.65569624435497e-05,0.00014417639982518,1.35165374836112e-05,8.86084123925623e-05,1.65202124799692e-05,4.95606374399077e-05,7.50918749089511e-06,9.01102498907413e-06,6.00734999271609e-06,1.50183749817902e-05,2.70330749672224e-05,1.50183749817902e-06,1.20146999854322e-05,9.01102498907413e-06,3.00367499635804e-06,4.50551249453707e-06,0,1.50183749817902e-05,1.35165374836112e-05,6.00734999271609e-06,2.25275624726853e-05,3.00367499635804e-06,1.05128624872532e-05,1.50183749817902e-06,6.00734999271609e-06,3.75459374544756e-05,7.50918749089511e-06,1.50183749817902e-06,1.35165374836112e-05,0.00242546755955912,0.00034992813707571,0.00053014863685719,0.00015919477480697,0.0002928583121449,2.70330749672224e-05,0.00153637976063714,0.0003934814245229,0.00607042716763961,0.0452608766826212,0.00085754921146022,0.00012915802484339,1.05128624872532e-05,9.46157623852784e-05,3.90477749526546e-05,0.00037245569954839,1.50183749817902e-05,2.10257249745063e-05,7.50918749089511e-06,0.00028084361215947,0.00049110086190454,0.00092813557387463,0.00010212494987617,6.00734999271609e-06,0.00139670887330649,0.00067883054917691,6.9084524916235e-05,1.80220499781483e-05,0.00147330258571362,0.00057670559930074,0.00010212494987617,1.35165374836112e-05,0.00024029399970864,1.65202124799692e-05,0.00022827929972321,6.4579012421698e-05,7.50918749089511e-06,0.00071637648663139,4.50551249453707e-06,0.00023428664971592,0,0.0013246206733939,4.65569624435497e-05,6.00734999271609e-06,2.40293999708644e-05,3.00367499635804e-05,6.00734999271609e-06,1.50183749817902e-06,0,9.01102498907413e-06,2.85349124654014e-05,8.26010623998462e-05,2.10257249745063e-05,3.00367499635804e-06,0
"mgm4683702",0.6796926910299,0.115718438538206,0.00047757475083056,0.10514950166113,0.0224460132890365,0.0001453488372093,0,0.00039451827242524,4.15282392026578e-05,0.0037375415282392,2.07641196013289e-05,0.00012458471760797,0.00033222591362126,0.00010382059800664,2.07641196013289e-05,0.00018687707641196,0.00033222591362126,8.30564784053156e-05,0.00018687707641196,4.15282392026578e-05,0.00018687707641196,4.15282392026578e-05,8.30564784053156e-05,8.30564784053156e-05,6.22923588039867e-05,0,2.07641196013289e-05,8.30564784053156e-05,0,0,0,8.30564784053156e-05,2.07641196013289e-05,2.07641196013289e-05,0,0,0,2.07641196013289e-05,4.15282392026578e-05,4.15282392026578e-05,6.22923588039867e-05,0,2.07641196013289e-05,8.30564784053156e-05,2.07641196013289e-05,4.15282392026578e-05,0,0,0,0,0,0.0002906976744186,0.00035299003322259,0.00031146179401993,0.00033222591362126,0.00016611295681063,0.00018687707641196,0.00012458471760797,4.15282392026578e-05,0,0,8.30564784053156e-05,0.00012458471760797,4.15282392026578e-05,0,2.07641196013289e-05,8.30564784053156e-05,2.07641196013289e-05,4.15282392026578e-05,2.07641196013289e-05,0.00010382059800664,4.15282392026578e-05,0,0.00012458471760797,0.0001453488372093,4.15282392026578e-05,0.00016611295681063,4.15282392026578e-05,0.00010382059800664,0,0,0,2.07641196013289e-05,4.15282392026578e-05,0,6.22923588039867e-05,0,8.30564784053156e-05,0,2.07641196013289e-05,0,0,0,0,0,4.15282392026578e-05,0,0,0,2.07641196013289e-05,4.15282392026578e-05,2.07641196013289e-05,6.22923588039867e-05,0,0.00238787375415282,0.0002906976744186,0.00062292358803986,0.0001453488372093,0.00020764119601328,2.07641196013289e-05,0.00089285714285714,0.00089285714285714,0.00550249169435216,0.0423380398671096,0.00080980066445182,0.00012458471760797,0,4.15282392026578e-05,8.30564784053156e-05,0.00024916943521594,4.15282392026578e-05,0,2.07641196013289e-05,0.0001453488372093,0.00051910299003322,0.00089285714285714,0.00022840531561461,0,0.00232558139534884,0.00078903654485049,2.07641196013289e-05,2.07641196013289e-05,0.00209717607973422,0.0004360465116279,8.30564784053156e-05,2.07641196013289e-05,6.22923588039867e-05,2.07641196013289e-05,0.0001453488372093,2.07641196013289e-05,0,0.00037375415282392,4.15282392026578e-05,0.00056063122923588,0,0.00199335548172757,0.0002906976744186,6.22923588039867e-05,6.22923588039867e-05,8.30564784053156e-05,2.07641196013289e-05,0,0,0,0.00010382059800664,0.00022840531561461,0,0,0
"mgm4683734",0.592554022390003,0.0912522780525905,0.00208279093985941,0.0863056495704244,0.0741994272324915,0.00078104660244727,0.00013017443374121,0.00091122103618849,0,0.00741994272324915,0,0.00026034886748242,0.00065087216870606,0.00013017443374121,0,0.00078104660244727,0.00078104660244727,0.00013017443374121,0.00091122103618849,0.00013017443374121,0.00026034886748242,0,0.00065087216870606,0,0,0,0.00026034886748242,0,0,0,0,0.00013017443374121,0,0,0,0,0,0,0.00039052330122364,0.00013017443374121,0,0,0.00026034886748242,0,0.00013017443374121,0,0,0,0,0,0,0.00039052330122364,0.00013017443374121,0.00039052330122364,0.00039052330122364,0.00039052330122364,0.00013017443374121,0,0,0,0,0.00013017443374121,0.00364488414475397,0,0,0,0,0,0.00013017443374121,0,0.00026034886748242,0.00013017443374121,0,0.00026034886748242,0.00143191877115335,0,0.00065087216870606,0,0.00052069773496485,0,0.00039052330122364,0.00013017443374121,0,0,0,0.00026034886748242,0,0.00013017443374121,0,0,0,0,0,0,0,0.00013017443374121,0,0,0,0,0.00013017443374121,0,0.00013017443374121,0,0.00559750065087217,0.00091122103618849,0.00143191877115335,0.00026034886748242,0.00078104660244727,0,0.00221296537360062,0.00234313980734184,0.00963290809684978,0.0727675084613382,0.00104139546992971,0.00013017443374121,0,0.00026034886748242,0,0,0.00013017443374121,0,0,0.00065087216870606,0.00260348867482426,0.00312418640978912,0.00013017443374121,0,0.00559750065087217,0.00104139546992971,0.00039052330122364,0,0.00312418640978912,0.00143191877115335,0.00039052330122364,0,0.00052069773496485,0.00013017443374121,0.00026034886748242,0,0,0.00104139546992971,0.00013017443374121,0.00117156990367092,0,0.00728976828950794,0.00039052330122364,0,0,0,0.00013017443374121,0,0,0,0.00065087216870606,0.00039052330122364,0,0,0
