samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Liptonbacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Colwellbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Collierbacteria,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Firestonebacteria,Candidatus.Wallbacteria,Candidatus.Blackallbacteria,Candidatus.Fischerbacteria,Candidatus.Absconditabacteria,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Gemmatimonadota,candidate.division.Zixibacteria,Fibrobacterota,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Aquificota,Deferribacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Euryarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota
mgm4532935,0.0920222634508349,0.589795918367347,0.0,0.310760667903525,0.0,0.0,0.0,0.0,0.0011131725417439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005565862708719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001855287569573,0.0044526901669758,0.0,0.0,0.0,0.0,0.0,0.0,0.0003710575139146,0.0005565862708719,0.0,0.0,0.0,0.0001855287569573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4532936,0.110562310030395,0.576367781155015,0.0,0.305661094224924,0.0003799392097264,0.0,0.0001899696048632,0.0,0.0009498480243161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001899696048632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001899696048632,0.0045592705167173,0.0,0.0,0.0,0.0,0.0,0.0,0.0003799392097264,0.0,0.0,0.0,0.0,0.0001899696048632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003799392097264,0.0,0.0,0.0,0.0
mgm4532937,0.0147726990590163,0.73704595674951,4.96561312908111e-05,0.245077835985798,0.0001737964595178,0.0,0.000124140328227,2.48280656454056e-05,0.000124140328227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48280656454056e-05,0.0,0.0,0.0,2.48280656454056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002234525908086,0.0,2.48280656454056e-05,0.0,0.0,0.0,0.0,0.0001737964595178,0.0,0.0010924348883978,2.48280656454056e-05,4.96561312908111e-05,0.000124140328227,0.0,0.0,2.48280656454056e-05,0.0002979367877448,0.0003475929190356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48280656454056e-05,0.0,0.0,0.0,2.48280656454056e-05,0.0,0.0,0.000124140328227,0.0,0.0,0.0,0.0
mgm4532938,0.0145104628073927,0.73547680871646,7.63708568810142e-05,0.247212463723843,0.0001018278091746,0.0,5.09139045873428e-05,5.09139045873428e-05,0.0001018278091746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54569522936714e-05,0.0,0.0,0.0,0.0,0.0,2.54569522936714e-05,0.0,0.0,0.0,0.0,2.54569522936714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003309403798177,0.0,5.09139045873428e-05,0.0,0.0,2.54569522936714e-05,5.09139045873428e-05,2.54569522936714e-05,0.0,0.0010437350440405,2.54569522936714e-05,0.0,0.0001272847614683,0.0,0.0,0.0,0.0002036556183493,0.000305483427524,0.0,0.0,0.0,2.54569522936714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54569522936714e-05,0.0,0.0,0.0001018278091746,0.0,0.0,0.0,0.0
mgm4532939,0.0907095830285296,0.699341623994148,0.0,0.198975859546452,0.0007315288953913,0.0,0.0007315288953913,0.0,0.0014630577907827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014630577907827,0.0,0.0,0.0051207022677395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007315288953913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007315288953913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4532940,0.0174379610999329,0.600268276324614,0.0,0.134138162307176,0.0006706908115358,0.0,0.0,0.0,0.0006706908115358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006706908115358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245472837022133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006706908115358,0.0,0.0,0.0,0.0,0.0
mgm4532941,0.155723905723906,0.44023569023569,0.0,0.329124579124579,0.0016835016835016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008417508417508,0.0,0.0008417508417508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058922558922558,0.0648148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008417508417508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4532942,0.143865842894969,0.456310679611651,0.0,0.327449249779347,0.0008826125330979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017652250661959,0.0070609002647837,0.0617828773168579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008826125330979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4532943,0.143314640119405,0.776058195307858,0.0001014360445738,0.0745265110347926,0.000652088857975,0.0,2.89817270211132e-05,0.0,0.000391253314785,0.0,2.89817270211132e-05,0.0,0.0,0.0,1.44908635105566e-05,5.79634540422264e-05,5.79634540422264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89817270211132e-05,0.0,0.0,0.0,0.0,0.0,1.44908635105566e-05,0.0,4.34725905316698e-05,0.0001449086351055,1.44908635105566e-05,0.0,0.0,0.0,1.44908635105566e-05,2.89817270211132e-05,0.0,0.0,1.44908635105566e-05,1.44908635105566e-05,0.0,0.0,0.0,0.0,0.0001159269080844,1.44908635105566e-05,0.0,0.0,0.0,0.0,0.0,1.44908635105566e-05,0.0,0.0,2.89817270211132e-05,0.0,0.0001593994986161,4.34725905316698e-05,1.44908635105566e-05,0.0,1.44908635105566e-05,0.0,0.00026083554319,0.000130417771595,0.0006955614485067,0.0020721934820095,2.89817270211132e-05,2.89817270211132e-05,1.44908635105566e-05,0.0,0.0,1.44908635105566e-05,0.000130417771595,2.89817270211132e-05,1.44908635105566e-05,0.0,0.0002173629526583,0.0002318538161689,0.0,0.0,4.34725905316698e-05,0.0,0.0,0.0,2.89817270211132e-05,0.0,0.0,4.34725905316698e-05,5.79634540422264e-05,0.0,0.0,0.0,0.0
mgm4532944,0.14467616390072,0.775429578499045,0.0001028051108826,0.0736525187252166,0.0005580848876487,0.0,1.46864444118079e-05,0.0,0.000455279776766,0.0,0.0,0.0,0.0,0.0,4.40593332354237e-05,0.0001028051108826,5.87457776472316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40593332354237e-05,0.0,1.46864444118079e-05,0.0,0.0,0.0,0.0,0.0,7.34322220590395e-05,8.81186664708474e-05,2.93728888236158e-05,0.0,0.0,1.46864444118079e-05,0.0,0.0,0.0,0.0,0.0,2.93728888236158e-05,0.0,1.46864444118079e-05,0.0,0.0,4.40593332354237e-05,8.81186664708474e-05,0.0,0.0,0.0,0.0,1.46864444118079e-05,4.40593332354237e-05,0.0,0.0,1.46864444118079e-05,0.0,0.0001321779997062,7.34322220590395e-05,2.93728888236158e-05,0.0,1.46864444118079e-05,0.0,0.0003084153326479,7.34322220590395e-05,0.0005580848876487,0.0024232633279483,0.0,4.40593332354237e-05,1.46864444118079e-05,0.0,0.0,2.93728888236158e-05,8.81186664708474e-05,1.46864444118079e-05,0.0,0.0,0.0001762373329416,0.0002643559994125,0.0,0.0,5.87457776472316e-05,0.0,1.46864444118079e-05,0.0,4.40593332354237e-05,0.0,0.0,1.46864444118079e-05,1.46864444118079e-05,0.0,0.0,0.0,0.0
