Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,animal host-associated,chyme,0.0943995040713801,0.0009439950407138,0,0.0022169459933221304,-0.1279006452192534,0,0.0022169459933221282,-0.12790064521925387,0.0045065828370745116,0,58,0,0.36477987421383645,-0.4793191373636546,0.5109142557394634,-0.37175173354807345,32,0,44,0,0.27672955974842767,-0.7843404065950712,0.6956521739130435,-0.6942824421687684,17.802816901408452,0,44,0,0.27672955974842767,-0.7843404065950712,0.6613594611145133,-0.7011414476879815,0.012552024839796545,0,43,0,0.27044025157232704,-0.8061276401116009,0.9305111355502046,-0.6997728134421436,0.012552024839796526,0,43,0,0.27044025157232704,-0.8061276401116009,0.9305111355502101,-0.6944882175566335,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.2983975369164028,D,0.0775494377665701,0,0.001834409346272,-0.1257941969714622,0.8727272727272727,0,0.8727272727272727,1.379899528948648,0.0092245868265742,0,0.0038640557738404057,-0.1353109442100826,0.0684113668673224,0,0.0038640557738404187,-0.1353109442100826,0.0075630921105007565,0,44,0,0.27672955974842767,-0.7843404065950712,0.931372549019608,-0.6942824421687748,0.610102698829711,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6025396067192103,0,121,0,0.7610062893081762,0.89327657417772,0.9994717728623309,0.6996375443245249,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.2983975467231776,0.007563092110500769,0,43,0,0.27044025157232704,-0.8061276401116009,0.9313725490196025,-0.6996375443242762
Actinomycetota,animal host-associated,chyme,3.98319530821845,0.0398319530821844,0,0.09354422955969335,0.8025958100465858,0,0.09354422955969341,0.8025958100465859,0.003687887403520718,0,24,0,0.1509433962264151,-1.2200850769256664,0.4180982167952051,-1.0330090236277942,30,0,19,0,0.11949685534591195,-1.329021244508315,0.6521739130434783,-1.1915387858842377,16.573426573426573,0,19,0,0.11949685534591195,-1.329021244508315,0.6156886591669201,-1.1848254119944666,0.012440549586048955,0,21,0,0.1320754716981132,-1.2854467774752556,0.9222472126951811,-1.113113240401514,0.012418530914215254,0,21,0,0.1320754716981132,-1.2854467774752556,0.9206149167435161,-1.190466930254235,2.201867183371499e-05,1,147,0,0.9245283018867925,1.4597446456074936,0.9992733838294875,3.349824264532759,D,1.9841269841269824,0,0.04693394547654618,0.35559301975988755,1.0,1,1.0,1.8154718986933573,0.6405921116859796,1,0.26833544898791867,2.177441229078064,4.750758249530978,1,0.26833544898791867,2.177441229078063,0.007483480614600749,0,19,0,0.11949685534591195,-1.329021244508315,0.9215686274509804,-1.191538785884244,0.610102698829711,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6026059496324603,0,139,0,0.8742138364779874,1.2854467774752556,0.9995818201826787,1.1131779515646716,1.3268582650001328e-05,1,147,0,0.9245283018867925,1.4597446456074936,1.0,3.351233986275687,0.0074967491972507405,0,21,0,0.1320754716981132,-1.2854467774752556,0.923202614379077,-1.113177951564423
Aquificota,animal host-associated,chyme,0.0326086468094218,0.0003260864680942,0,0.0007658049647923678,-0.14268572948332728,0,0.0007658049647924084,-0.1426857294833273,0.004866854704595574,0,82,0,0.5157232704402516,0.04357446703305951,0.5517585139530502,-0.08076147142480909,34,0,64,0,0.4025157232704403,-0.3485957362644761,0.7391304347826086,-0.1970260984532992,19.04964539007092,0,64,0,0.4025157232704403,-0.3485957362644761,0.7076780758556892,-0.2105967179303419,0.012685827552031667,0,70,0,0.44025157232704404,-0.21787233516529755,0.9404302454381053,-0.20364413605142154,0.012685827552031714,0,70,0,0.44025157232704404,-0.21787233516529755,0.9404302454381157,-0.1973622496079719,0.0,0,97,0,0.610062893081761,0.3703829697810058,0.0,-0.2983975369164028,s,0.01674982341192,0,0.00039621219057344267,-0.14114534656849606,0.6727272727272727,0,0.6727272727272727,0.6954286622069619,0.0050845264275658,0,0.0021298399667160125,-0.15047633252726447,0.0377078571997117,0,0.0021298399667160294,-0.15047633252726444,0.0076427036064007645,0,64,0,0.4025157232704403,-0.3485957362644761,0.9411764705882354,-0.19702609845330565,0.610102698829711,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6024599952233103,0,87,0,0.5471698113207547,0.1525106346157083,0.9993397160779136,0.2033890556367641,0.0,0,97,0,0.610062893081761,0.3703829697810058,0.0,-0.2983975467231776,0.007642703606400736,0,70,0,0.44025157232704404,-0.21787233516529755,0.9411764705882248,-0.2033890556365154
Armatimonadota,animal host-associated,chyme,0.0169548568720124,0.0001695485687201,0,0.0003981800792229868,-0.14643130955022174,0,0.0003981800792230424,-0.14643130955022163,0.0033987793451229725,0,17,0,0.1069182389937107,-1.3725957115413745,0.38532184635563443,-1.2665205389008807,30,0,21,0,0.1320754716981132,-1.2854467774752556,0.6521739130434783,-1.1915387858842377,16.573426573426573,0,21,0,0.1320754716981132,-1.2854467774752556,0.6156886591669201,-1.1848254119944666,0.01241825748067913,0,16,0,0.10062893081761007,-1.3943829450579044,0.9205946464721033,-1.195770404584785,0.012418257480679042,0,16,0,0.10062893081761007,-1.3943829450579044,0.9205946464721037,-1.191482835754867,0.0,0,98,0,0.6163522012578616,0.3921702032975356,0.0,-0.2983975369164028,o,0.0,0,0.0,-0.1453744695267508,0.4909090909090909,0,0.4909090909090909,0.07318241971451989,0.0032402159149353,0,0.0013572830144030527,-0.15723219654997328,0.0240300843662067,0,0.0013572830144030661,-0.1572321965499733,0.007483480614600749,0,21,0,0.1320754716981132,-1.2854467774752556,0.9215686274509804,-1.191538785884244,0.610102698829711,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6026192182151102,0,143,0,0.89937106918239,1.3725957115413745,0.9996038296467481,1.1958860330122858,0.0,0,98,0,0.6163522012578616,0.3921702032975356,0.0,-0.2983975467231776,0.0074834806146008015,0,16,0,0.10062893081761007,-1.3943829450579044,0.9215686274509801,-1.1958860330120369
Atribacterota,animal host-associated,chyme,0.0164039259760377,0.0001640392597603,0,0.00038524162097095313,-0.14656313422593734,0,0.00038524162097113316,-0.14656313422593595,0.002877742649370482,0,7,0,0.0440251572327044,-1.590468046706672,0.32625157399021126,-1.6873599614072547,27,0,6,0,0.03773584905660377,-1.6122552802232017,0.5869565217391305,-1.9374233014574413,14.761245674740486,0,6,0,0.03773584905660377,-1.6122552802232017,0.5483676846697759,-1.8977990064393184,0.012217672698454729,0,6,0,0.03773584905660377,-1.6122552802232017,0.9057248246016151,-1.9395211182087821,0.01221767269845463,0,6,0,0.03773584905660377,-1.6122552802232017,0.9057248246016145,-1.9367285961233822,0.0,0,99,0,0.6226415094339622,0.4139574368140653,0.0,-0.2983975369164028,s,0.0044938550617353,0,0.00010630083161728085,-0.14423982678185301,0.5454545454545454,0,0.5454545454545454,0.25985629246225234,0.0036200876004357,0,0.0015164061715993984,-0.15584069472002515,0.0268472881855052,0,0.0015164061715994093,-0.15584069472002518,0.007364063370750736,0,6,0,0.03773584905660377,-1.6122552802232017,0.9068627450980393,-1.9374233014574505,0.610102698829711,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6027386354589602,0,154,0,0.9685534591194969,1.6122552802232017,0.9998019148233741,1.940258766044273,0.0,0,99,0,0.6226415094339622,0.4139574368140653,0.0,-0.2983975467231776,0.007364063370750795,0,6,0,0.03773584905660377,-1.6122552802232017,0.9068627450980398,-1.9402587660440243
Bacillota,animal host-associated,chyme,29.972918471791186,0.2997291847179112,1,0.703905620774908,7.021319161695812,1,0.7039056207749081,7.021319161695812,0.005043414843463218,0,86,0,0.5408805031446541,0.13072340109917852,0.5717752528445907,0.06184550325553293,36,0,108,0,0.6792452830188679,0.6100425384628332,0.782608695652174,0.30023024526217,20.314285714285713,0,108,0,0.6792452830188679,0.6100425384628332,0.7546583850931677,0.28695579368097884,0.012819665631401644,0,104,0,0.6540880503144654,0.5228936043967141,0.9503519771749295,0.2926156795617275,0.012819665631401574,0,104,0,0.6540880503144654,0.5228936043967141,0.9503519771749314,0.29989512016927605,0.0,0,100,0,0.6289308176100629,0.4357446703305951,0.0,-0.2983975369164028,D,25.665796344647525,1,0.6071169314709205,6.334921226354662,1.0,1,1.0,1.8154718986933573,2.387280972760409,1,1.0,8.575708958175541,17.70454953845801,1,1.0,8.575708958175541,0.0077223151023007724,0,108,0,0.6792452830188679,0.6100425384628332,0.9509803921568628,0.3002302452621635,0.610102698829711,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6023803837274102,0,56,0,0.3522012578616352,-0.5228936043967141,0.9992076592934962,-0.29285943305168877,0.0,0,100,0,0.6289308176100629,0.4357446703305951,0.0,-0.2983975467231776,0.007722315102300814,0,104,0,0.6540880503144654,0.5228936043967141,0.9509803921568609,0.29285943305193746
Bacteroidota,animal host-associated,chyme,42.58087673571198,0.425808767357119,1,1.0,10.038104064674554,1,1.0,10.038104064674553,0.007514369337113831,1,154,0,0.9685534591194969,1.6122552802232017,0.8519089864805874,2.057626358278896,42,0,154,0,0.9685534591194969,1.6122552802232017,0.9130434782608695,1.7919992764085777,24.21897810218978,0,154,0,0.9685534591194969,1.6122552802232017,0.8997143763884481,1.8231945704079042,0.013221392212600038,0,154,0,0.9685534591194969,1.6122552802232017,0.9801329138781808,1.782182475879174,0.013221392212599986,0,154,0,0.9685534591194969,1.6122552802232017,0.9801329138781842,1.79245616166696,0.0,0,101,0,0.6352201257861635,0.45753190384712483,0.0,-0.2983975369164028,D,42.27488151658781,1,1.0,10.528509522113835,1.0,1,1.0,1.8154718986933573,2.384096494495436,1,0.9986660647400499,8.564043947325095,17.680932815567125,1,0.9986660647400497,8.564043947325093,0.007961149590000795,0,154,0,0.9685534591194969,1.6122552802232017,0.9803921568627451,1.7919992764085657,0.610102698829711,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6021415492397102,0,6,0,0.03773584905660377,-1.6122552802232017,0.9988114889402444,-1.7816048991156632,0.0,0,101,0,0.6352201257861635,0.45753190384712483,0.0,-0.2983975467231776,0.007961149590000827,0,154,0,0.9685534591194969,1.6122552802232017,0.9803921568627416,1.781604899115912
Balneolota,animal host-associated,chyme,0.0088371417231906,8.837141723190663e-05,0,0.0002075378057159423,-0.1483736859441633,0,0.00020753780571594038,-0.14837368594416375,0.004562464442130654,0,62,0,0.389937106918239,-0.3921702032975356,0.5172495900024677,-0.3266163667067953,34,0,68,0,0.4276729559748428,-0.26144680219835703,0.7391304347826086,-0.1970260984532992,19.04964539007092,0,68,0,0.4276729559748428,-0.26144680219835703,0.7076780758556892,-0.2105967179303419,0.012685827552031667,0,75,0,0.4716981132075472,-0.10893616758264878,0.9404302454381053,-0.20364413605142154,0.012685827552031714,0,75,0,0.4716981132075472,-0.10893616758264878,0.9404302454381157,-0.1973622496079719,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.2983975369164028,o,0.0,0,0.0,-0.1453744695267508,0.3818181818181818,0,0.3818181818181818,-0.3001653257809454,0.0028493228735437,0,0.0011935431589558696,-0.15866407053050935,0.0211311439840221,0,0.0011935431589558834,-0.15866407053050935,0.0076427036064007645,0,68,0,0.4276729559748428,-0.26144680219835703,0.9411764705882354,-0.19702609845330565,0.610102698829711,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6024599952233103,0,88,0,0.5534591194968553,0.17429786813223805,0.9993397160779136,0.2033890556367641,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.2983975467231776,0.007642703606400736,0,75,0,0.4716981132075472,-0.10893616758264878,0.9411764705882248,-0.2033890556365154
Bdellovibrionota,animal host-associated,chyme,0.0625931151505219,0.0006259311515052,0,0.0014699818310228488,-0.13551115850825296,0,0.0014699818310228907,-0.13551115850825296,0.00530119499320499,0,103,0,0.6477987421383647,0.5011063708801844,0.6009999577066057,0.27005358194806967,36,0,105,0,0.660377358490566,0.5446808379132438,0.782608695652174,0.30023024526217,20.314285714285713,0,105,0,0.660377358490566,0.5446808379132438,0.7546583850931677,0.28695579368097884,0.012819665631401644,0,108,0,0.6792452830188679,0.6100425384628332,0.9503519771749295,0.2926156795617275,0.012819665631401574,0,108,0,0.6792452830188679,0.6100425384628332,0.9503519771749314,0.29989512016927605,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.2983975369164028,D,0.05030181086519,0,0.0011898746740532575,-0.13267388529131516,0.8727272727272727,0,0.8727272727272727,1.379899528948648,0.007097836230767,0,0.0029731884565559886,-0.14310140993539888,0.0526389623162677,0,0.0029731884565560272,-0.14310140993539866,0.0077223151023007724,0,105,0,0.660377358490566,0.5446808379132438,0.9509803921568628,0.3002302452621635,0.610102698829711,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6023803837274102,0,53,0,0.3333333333333333,-0.5882553049463034,0.9992076592934962,-0.29285943305168877,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.2983975467231776,0.007722315102300814,0,108,0,0.6792452830188679,0.6100425384628332,0.9509803921568609,0.29285943305193746
Caldisericota,animal host-associated,chyme,0.000359931911535,3.5993191153504103e-06,0,8.452900436246112e-06,-0.15040208087091117,0,8.452900436245132e-06,-0.15040208087091161,0.005077820022793013,0,87,0,0.5471698113207547,0.1525106346157083,0.5756757906193,0.0896344400394736,36,0,97,0,0.610062893081761,0.3703829697810058,0.782608695652174,0.30023024526217,20.314285714285713,0,97,0,0.610062893081761,0.3703829697810058,0.7546583850931677,0.28695579368097884,0.012819665631401644,0,99,0,0.6226415094339622,0.4139574368140653,0.9503519771749295,0.2926156795617275,0.012819665631401574,0,99,0,0.6226415094339622,0.4139574368140653,0.9503519771749314,0.29989512016927605,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.2983975369164028,o,0.0,0,0.0,-0.1453744695267508,0.2181818181818181,0,0.2181818181818181,-0.8601869440241434,0.0001111069705907,0,4.654122068514926e-05,-0.16869438493715694,0.0008239913472011,0,4.654122068518135e-05,-0.16869438493715674,0.0077223151023007724,0,97,0,0.610062893081761,0.3703829697810058,0.9509803921568628,0.3002302452621635,0.610102698829711,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6023803837274102,0,57,0,0.3584905660377358,-0.5011063708801844,0.9992076592934962,-0.29285943305168877,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.2983975467231776,0.007722315102300814,0,99,0,0.6226415094339622,0.4139574368140653,0.9509803921568609,0.29285943305193746
