id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.009093707847592334,-2.0412590024309583,0.9093707847592358,0.9474000331488965,0.18948000662977932,0.3192338387869106,1.0
1,Actinomycetota,0.1537015394986787,-0.8133217825169584,15.37015394986791,10.903097937565322,2.1806195875130645,9.32169773899249,1.0
2,Aquificota,0.00016522122980710773,-3.78193414953561,0.01652212298071081,0.017295878554144616,0.003459175710828923,0.013170943349440025,0.8
3,Armatimonadota,0.0007875082200341286,-3.103744904336036,0.07875082200341305,0.07808852421887566,0.015617704843775133,0.06591957811470005,0.88
4,Atribacterota,9.119053545536574e-05,-4.040050234180438,0.009119053545536599,0.017576192391128828,0.003515238478225766,0.004275788348476763,0.64
5,Bacillota,0.029587841852739744,-1.528886711271536,2.9587841852739816,1.0983535530204422,0.21967071060408844,2.9397354238118663,1.0
6,Bacteroidota,0.02721970935874001,-1.5651165163321443,2.721970935874008,1.7268766762330539,0.3453753352466108,2.3218102974409143,1.0
7,Balneolota,5.558905169096292e-05,-4.2550107346481605,0.005558905169096306,0.01008971178815444,0.002017942357630888,0.0016925342315048338,0.6
8,Bdellovibrionota,0.0011987983702851281,-2.921253856130678,0.11987983702851313,0.1247528500967799,0.02495057001935598,0.06381330051506012,0.96
9,Caldisericota,6.826632381246173e-06,-5.165793483569139,0.0006826632381246191,0.0012078495380576477,0.00024156990761152954,0.0,0.36
10,Calditrichota,8.712088719715593e-05,-4.059877710583924,0.00871208871971561,0.018145831238402917,0.003629166247680583,0.0023998656075259876,0.68
11,Campylobacterota,0.0026719036580193844,-2.5731792054573015,0.26719036580193906,0.19354207113131233,0.038708414226262464,0.23667012764917042,0.96
12,Candidatus.Abawacabacteria,2.3713141803653548e-05,-4.625010901627237,0.002371314180365362,0.005421609617717691,0.0010843219235435382,0.0,0.44
13,Candidatus.Absconditabacteria,1.2643987748471698e-05,-4.898115933646577,0.0012643987748471735,0.0018515989527674531,0.00037031979055349065,0.0,0.48
14,Candidatus.Adlerbacteria,0.00014748971358362114,-3.831238267751252,0.014748971358362147,0.021476505120912658,0.0042953010241825315,0.0035023969529146574,0.8
15,Candidatus.Aenigmarchaeota,1.6243097827393318e-06,-5.789331140055277,0.00016243097827393373,0.0005722170906645962,0.00011444341813291925,0.0,0.08
16,Candidatus.Altiarchaeota,1.2252174893436312e-05,-4.911786812492938,0.001225217489343635,0.004327520675091677,0.0008655041350183353,0.0,0.36
17,Candidatus.Amesbacteria,7.596282932152784e-05,-4.119398867844399,0.007596282932152804,0.014024537605682529,0.0028049075211365056,0.003104979351887319,0.72
18,Candidatus.Aminicenantes,0.00042339548920794544,-3.3732537732002483,0.04233954892079464,0.04519151031649118,0.009038302063298236,0.028456975242430058,0.76
19,Candidatus.Andersenbacteria,2.5719418666540254e-05,-4.589738851951819,0.002571941866654034,0.005348851488588179,0.001069770297717636,0.0,0.4
20,Candidatus.Azambacteria,2.7622478824253834e-05,-4.558737350688974,0.0027622478824253904,0.0045636212542987335,0.0009127242508597467,0.0008755992382286649,0.6
21,Candidatus.Bathyarchaeota,5.1146534320908104e-05,-4.291183788663415,0.005114653432090822,0.014105160117926575,0.002821032023585315,0.0009161424296097247,0.6
22,Candidatus.Beckwithbacteria,8.624696146295583e-05,-4.0642561964647355,0.008624696146295607,0.010078848257207238,0.0020157696514414474,0.005191473767788439,0.72
23,Candidatus.Berkelbacteria,0.00011090995275113548,-3.955029479721436,0.011090995275113582,0.01515911224690609,0.003031822449381218,0.004648568240981788,0.68
24,Candidatus.Bipolaricaulota,2.0918765909724903e-05,-4.6794639399962366,0.0020918765909724965,0.0033202684632546524,0.0006640536926509305,0.0,0.32
25,Candidatus.Blackallbacteria,7.154523771054589e-05,-4.145419269030186,0.007154523771054605,0.01979458090616985,0.00395891618123397,0.0020049924311535783,0.6
26,Candidatus.Blackburnbacteria,2.6475972295533593e-06,-5.577148082029489,0.0002647597229553367,0.0005458087717717917,0.00010916175435435834,0.0,0.28
27,Candidatus.Brennerbacteria,1.173911111088654e-06,-5.930364786755538,0.00011739111110886564,0.0003836569845335611,7.673139690671222e-05,0.0,0.16
28,Candidatus.Buchananbacteria,0.00013546729262331974,-3.8681655486852446,0.01354672926233201,0.019428465549253558,0.003885693109850712,0.005923869810266923,0.64
29,Candidatus.Calescamantes,2.3141733055635326e-06,-5.635604120392229,0.00023141733055635397,0.0005951612787483721,0.00011903225574967443,0.0,0.24
30,Candidatus.Campbellbacteria,3.6028390463735585e-05,-4.443355139163352,0.0036028390463735617,0.010257246292174595,0.0020514492584349188,0.0006362810644345945,0.52
31,Candidatus.Chisholmbacteria,1.0688087128911e-05,-4.971100014500731,0.0010688087128911037,0.0021458889829884965,0.0004291777965976993,0.0,0.44
32,Candidatus.Cloacimonetes,3.778135257378815e-05,-4.422722498377719,0.003778135257378821,0.013167997641519621,0.0026335995283039244,0.0,0.44
33,Candidatus.Coatesbacteria,6.824001039099107e-05,-4.165960915709968,0.006824001039099121,0.013409309349290261,0.002681861869858052,0.00030538080986990856,0.52
34,Candidatus.Collierbacteria,9.361093567374738e-05,-4.02867341381162,0.009361093567374764,0.016150323825610092,0.003230064765122018,0.0015495227469939329,0.64
35,Candidatus.Colwellbacteria,1.1749589408337858e-05,-4.929977309631293,0.001174958940833789,0.002348189975426529,0.00046963799508530584,0.0,0.4
36,Candidatus.Curtissbacteria,8.975604071339011e-05,-4.0469363131094305,0.008975604071339039,0.015218960240855674,0.0030437920481711346,0.0018322848592194534,0.6
37,Candidatus.Dadabacteria,9.587497797863447e-05,-4.018294722795334,0.009587497797863474,0.015796374348235158,0.0031592748696470316,0.0024430464789592645,0.68
38,Candidatus.Daviesbacteria,8.23107854947742e-05,-4.0845432538039494,0.00823107854947744,0.015936918395053557,0.0031873836790107116,0.00423133557876209,0.68
39,Candidatus.Delongbacteria,4.65382319173826e-06,-5.332190120471518,0.0004653823191738271,0.001041468229222166,0.0002082936458444332,0.0,0.28
40,Candidatus.Desantisbacteria,6.794113234828948e-05,-4.167867219189341,0.006794113234828963,0.011175522818923539,0.0022351045637847076,0.0035443826962598193,0.68
41,Candidatus.Diapherotrites,9.672309684116816e-06,-5.014469806858828,0.0009672309684116843,0.0015526045238936984,0.00031052090477873967,0.0,0.48
42,Candidatus.Doudnabacteria,7.077422395258835e-05,-4.150124884025118,0.007077422395258858,0.01118632271659013,0.002237264543318026,0.0038738068674848162,0.56
43,Candidatus.Edwardsbacteria,3.687896126308306e-05,-4.4332213198327315,0.0036878961263083153,0.005251359216105213,0.0010502718432210427,0.0,0.44
44,Candidatus.Eisenbacteria,0.00012059275804291219,-3.9186787720999896,0.01205927580429125,0.017700725261339926,0.0035401450522679853,0.003064597333800327,0.64
45,Candidatus.Falkowbacteria,0.00048667045011235394,-3.3127650226546823,0.04866704501123552,0.06172712560569087,0.012345425121138174,0.021598790467730073,0.88
46,Candidatus.Firestonebacteria,1.7036503107858357e-05,-4.768619543185022,0.0017036503107858412,0.0025195615451071075,0.0005039123090214215,0.00043779961911433196,0.56
47,Candidatus.Fischerbacteria,4.435188958125149e-06,-5.353087872625285,0.0004435188958125161,0.0006642255343807524,0.0001328451068761505,0.0,0.36
48,Candidatus.Fraserbacteria,2.56276012905833e-05,-4.591292041299754,0.002562760129058338,0.003438759497758631,0.0006877518995517262,0.0015327060308150536,0.52
49,Candidatus.Giovannonibacteria,6.151136707196838e-05,-4.211044620802384,0.006151136707196855,0.00762331403777562,0.001524662807555124,0.003359188908568996,0.64
50,Candidatus.Glassbacteria,5.228050730994387e-05,-4.281660206844357,0.005228050730994403,0.008170856113111224,0.0016341712226222449,0.0018322848592194534,0.6
51,Candidatus.Gottesmanbacteria,0.00020199953025402676,-3.6946496404955607,0.02019995302540273,0.02465245890464288,0.004930491780928576,0.014386540967790032,0.8
52,Candidatus.Gracilibacteria,3.203067978829723e-05,-4.4944338441905805,0.003203067978829727,0.013110758652178091,0.0026221517304356183,0.0,0.4
53,Candidatus.Gribaldobacteria,2.1499105680578487e-05,-4.667579605482906,0.002149910568057856,0.0044273415355370015,0.0008854683071074003,0.0,0.48
54,Candidatus.Handelsmanbacteria,0.0002989834454754994,-3.5243528576209804,0.029898344547550013,0.04002232164414267,0.008004464328828533,0.010993709155310019,0.68
55,Candidatus.Harrisonbacteria,6.730202627671106e-05,-4.171971860180969,0.006730202627671125,0.010144899244859343,0.0020289798489718687,0.0028234972234285165,0.6
56,Candidatus.Heimdallarchaeota,5.134383708670859e-05,-4.289511678256824,0.005134383708670871,0.009420270336431665,0.001884054067286333,0.002069986234591546,0.64
57,Candidatus.Hydrogenedentes,1.038395493897978e-05,-4.983637205154154,0.0010383954938979817,0.004406649596952417,0.0008813299193904834,0.0,0.28
58,Candidatus.Jacksonbacteria,4.687459486257316e-07,-6.3290624728580225,4.6874594862573275e-05,0.0001678045781698439,3.3560915633968776e-05,0.0,0.08
59,Candidatus.Jorgensenbacteria,0.00011395413678810614,-3.943269904343747,0.011395413678810641,0.023432140651323326,0.004686428130264665,0.0021378941742383867,0.64
60,Candidatus.Kaiserbacteria,0.0003644316252609465,-3.438383942126166,0.036443162526094725,0.045605737812241295,0.00912114756244826,0.02075866972717005,0.84
61,Candidatus.Kerfeldbacteria,0.00012848964960967854,-3.8911318551999843,0.012848964960967879,0.022114066215788673,0.004422813243157735,0.0033218176986447123,0.72
62,Candidatus.Komeilibacteria,0.00011681962384880392,-3.9324841964925907,0.01168196238488043,0.022074767201055775,0.004414953440211155,0.003104979351887319,0.64
63,Candidatus.Korarchaeota,3.8129395926130164e-06,-5.418740075083698,0.0003812939592613026,0.001047083610832414,0.0002094167221664828,0.0,0.2
64,Candidatus.Kuenenbacteria,0.00013381060182570748,-3.8735094760151467,0.013381060182570794,0.03073352714610438,0.0061467054292208756,0.0016925342315048338,0.56
