Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,animal host-associated,sponge,0.9093707847592358,0.0090937078475923,0,0.014643010503463061,0.053273924804113484,0,0.014643010503463118,0.05327392480411389,0.003699974450593601,0,24,0,0.15286624203821655,-1.2135633995118915,0.3662083478856584,-1.0416649663511512,21,0,22,0,0.14012738853503184,-1.2576929776759602,0.5833333333333334,-1.1251111204739852,11.257731958762886,0,25,0,0.1592356687898089,-1.191498610429857,0.5532646048109966,-1.0686676017720778,0.0127220412336814,0,35,0,0.2229299363057325,-0.9708507196095132,0.9198189089556942,-0.7965086668123345,0.012626923168382716,0,30,0,0.1910828025477707,-1.0811746650196852,0.9208665998858585,-0.8773512234637402,9.511806529855154e-05,0,79,0,0.5031847133757962,0.0,0.2854832846985607,0.004239883731741149,D,0.3192338387869106,0,0.004763829641266628,-0.04708157532033176,1.0,0,1.0,1.5686299887178135,0.1894800066297793,0,0.06553949865299995,0.3816361558858279,0.9474000331488964,0,0.06553949865299995,0.3816361558858279,0.007226849583537482,0,29,0,0.18471337579617833,-1.1032394541017194,0.921875,-0.8782223948815386,0.5796178343949063,0,1,0,0.006369426751592357,-1.7210535483986824,1.0,,0.5723365452664834,0,123,0,0.7834394904458599,0.9708507196095132,0.9993583650190118,0.7963723836863065,5.4439544885404766e-05,0,86,0,0.5477707006369427,0.15445352357424072,0.28571428571428575,0.004857059395737308,0.007281289128422963,0,35,0,0.2229299363057325,-0.9708507196095132,0.9208261617900303,-0.7963723836866418
Actinomycetota,animal host-associated,sponge,15.37015394986791,0.1537015394986787,1,0.24749566348488863,2.8811123445535665,1,0.24749566348488866,2.8811123445535665,0.005732726593504046,0,97,0,0.6178343949044586,0.397166203476619,0.5674018463426106,0.1527564047869076,28,0,117,0,0.7452229299363057,0.8384619851173069,0.7777777777777778,0.6540214283043023,15.272727272727272,0,116,0,0.7388535031847133,0.8163971960352724,0.7505827505827506,0.6191254468407963,0.013155703580349771,0,108,0,0.6878980891719745,0.6398788833789973,0.9511732191045726,0.4488202839363337,0.013084334483168746,0,117,0,0.7452229299363057,0.8384619851173069,0.954225067073735,0.5681155855834467,7.136909718092044e-05,0,69,0,0.4394904458598726,-0.2206478908203439,0.21420414960322187,-0.37628440864249174,D,9.32169773899249,0,0.13910486483728407,1.6257790982508633,1.0,0,1.0,1.5686299887178135,2.1806195875130645,1,0.7542574916506075,6.3263074994959725,10.903097937565322,1,0.7542574916506075,6.3263074994959725,0.007485437421743154,0,116,0,0.7388535031847133,0.8163971960352724,0.954861111111111,0.5699464298457178,0.5796178343949063,0,100,0,0.6369426751592356,0.4633605707227222,1.0,,0.5720915673144991,0,50,0,0.3184713375796178,-0.6398788833789973,0.9989306083650193,-0.44908879854885037,4.0829658664053575e-05,0,73,0,0.46496815286624205,-0.13238873449220634,0.2142857142857143,-0.3764221031696376,0.007526267080407267,0,108,0,0.6878980891719745,0.6398788833789973,0.9518072289156736,0.4490887985485153
Aquificota,animal host-associated,sponge,0.0165221229807108,0.0001652212298071,0,0.00026604507688258387,-0.12132462355744168,0,0.00026604507688259607,-0.12132462355744184,0.004522377971862501,0,43,0,0.27388535031847133,-0.794332406953238,0.4476064869379197,-0.5584302813312946,23,0,35,0,0.2229299363057325,-0.9708507196095132,0.6388888888888888,-0.6167875351087602,12.41522491349481,0,46,0,0.2929936305732484,-0.7281380397071349,0.6101499423298732,-0.582089558699361,0.012842465753424688,0,49,0,0.31210191082802546,-0.6619436724610317,0.9285257468229168,-0.45069090797655564,0.012771118721461146,0,49,0,0.31210191082802546,-0.6619436724610317,0.9313826113410072,-0.42167844220651934,7.13470319634701e-05,0,57,0,0.3630573248407643,-0.4854253598047566,0.21413792400521858,-0.37663795458245797,D,0.01317094334944,0,0.00019654598826344255,-0.10395495877316462,0.8,0,0.8,0.7303900015541079,0.0034591757108289,0,0.001196499017879652,-0.1737406311035986,0.0172958785541446,0,0.0011964990178796589,-0.1737406311035986,0.007308508900865589,0,48,0,0.3057324840764331,-0.684008461543066,0.9322916666666666,-0.42090592391503634,0.5796178343949063,0,101,0,0.643312101910828,0.4854253598047566,1.0,,0.5722684958353766,0,110,0,0.7006369426751592,0.684008461543066,0.9992395437262361,0.45041094417669747,4.0829658664053575e-05,0,74,0,0.4713375796178344,-0.11032394541017194,0.2142857142857143,-0.3764221031696376,0.007349338559529683,0,49,0,0.31210191082802546,-0.6619436724610317,0.9294320137693718,-0.45041094417703265
Armatimonadota,animal host-associated,sponge,0.078750822003413,0.0007875082200341,0,0.001268073631876789,-0.10915566258913066,0,0.0012680736318768343,-0.1091556625891304,0.004355761488686228,0,38,0,0.24203821656050956,-0.90465635236341,0.43111546845947796,-0.6563321770364282,23,0,47,0,0.29936305732484075,-0.7060732506251005,0.6388888888888888,-0.6167875351087602,12.204081632653063,0,36,0,0.22929936305732485,-0.9487859305274787,0.5997732426303857,-0.6708483576017049,0.012770207605051077,0,40,0,0.25477707006369427,-0.8605267741993412,0.9233013956374946,-0.6581914318022116,0.01265130436850487,0,36,0,0.22929936305732485,-0.9487859305274787,0.922644692027406,-0.8003041229612176,0.00011890323654609842,0,102,0,0.6496815286624203,0.507490148886791,0.35687107831646614,0.38534425058856636,D,0.0659195781147,0,0.0009836978478093433,-0.09415307368242198,0.88,0,0.88,1.06568599641959,0.0156177048437751,0,0.005402029289409368,-0.1374405844313251,0.0780885242188756,0,0.005402029289409376,-0.13744058443132512,0.007240459469758832,0,32,0,0.20382165605095542,-1.0370450868556162,0.923611111111111,-0.8020029830537939,0.5796178343949063,0,102,0,0.6496815286624203,0.507490148886791,1.0,,0.5723093254940407,0,117,0,0.7452229299363057,0.8384619851173069,0.9993108365019016,0.6579878078824629,6.804943110675595e-05,0,110,0,0.7006369426751592,0.684008461543066,0.35714285714285715,0.38613622196111197,0.007308508900865651,0,40,0,0.25477707006369427,-0.8605267741993412,0.9242685025817668,-0.6579878078827981
Atribacterota,animal host-associated,sponge,0.0091190535455365,9.119053545536574e-05,0,0.00014683823044115977,-0.12277231030675745,0,0.00014683823044115823,-0.12277231030675775,0.007745964114905603,0,137,0,0.8726114649681529,1.2797577667579947,0.7666638673264582,1.3357112126938426,31,0,143,0,0.910828025477707,1.412146501250201,0.8611111111111112,1.4165068063521398,17.209964412811388,0,144,0,0.9171974522292994,1.4342112903322353,0.8457888493475683,1.433486391964843,0.013420902341519252,0,136,0,0.8662420382165605,1.2576929776759602,0.970347409053706,1.210379818731712,0.013349514563106754,0,139,0,0.8853503184713376,1.3238873449220634,0.9735643372437973,1.4061119175066656,7.138777841233558e-05,0,71,0,0.45222929936305734,-0.17651831265627513,0.21426021865056705,-0.375985083537935,s,0.0042757883484767,0,6.380629118660641e-05,-0.10560787903492672,0.64,0,0.64,0.059798011823143406,0.0035152384782257,0,0.001215890645173951,-0.1735732522166602,0.0175761923911288,0,0.0012158906451739718,-0.17357325221666012,0.007635146170178017,0,139,0,0.8853503184713376,1.3238873449220634,0.9739583333333334,1.4083599599509775,0.5796178343949063,0,103,0,0.6560509554140127,0.5295549379688254,1.0,,0.5719418585660642,0,22,0,0.14012738853503184,-1.2576929776759602,0.9986692015209129,-1.2102039654705545,4.082965866405357e-05,0,55,0,0.3503184713375796,-0.5295549379688254,0.21428571428571427,-0.37642210316963776,0.007675975828842163,0,136,0,0.8662420382165605,1.2576929776759602,0.970740103270239,1.2102039654702197
Bacillota,animal host-associated,sponge,2.9587841852739816,0.0295878418527397,0,0.047643391044191324,0.4540412889056839,0,0.047643391044191394,0.45404128890568446,0.0040589718339670965,0,28,0,0.17834394904458598,-1.1253042431837539,0.40174044153008626,-0.8307223050043484,21,0,24,0,0.15286624203821655,-1.2135633995118915,0.5833333333333334,-1.1251111204739852,11.067567567567567,0,21,0,0.1337579617834395,-1.2797577667579947,0.543918918918919,-1.1486074553596644,0.01264980026631152,0,25,0,0.1592356687898089,-1.191498610429857,0.9145957999775418,-1.003959852710653,0.012507133346014797,0,21,0,0.1337579617834395,-1.2797577667579947,0.9121304695591065,-1.2558993850357445,0.00014266692029674672,0,123,0,0.7834394904458599,0.9708507196095132,0.4281943802820729,0.7661043281898868,D,2.9397354238118663,0,0.04386877908260989,0.43986667520463,1.0,0,1.0,1.5686299887178135,0.2196707106040884,0,0.07598220254377751,0.4717723846477896,1.0983535530204422,0,0.07598220254377752,0.4717723846477897,0.007158800152430726,0,20,0,0.12738853503184713,-1.301822555840029,0.9131944444444445,-1.2593194540202912,0.5796178343949063,0,104,0,0.6624203821656051,0.5516197270508597,1.0,,0.5723773749251475,0,133,0,0.8471337579617835,1.191498610429857,0.9994296577946773,1.0039492473926364,8.165931732810714e-05,0,133,0,0.8471337579617835,1.191498610429857,0.42857142857142855,0.7674153845264867,0.00724045946975882,0,25,0,0.1592356687898089,-1.191498610429857,0.9156626506024114,-1.0039492473929716
Bacteroidota,animal host-associated,sponge,2.721970935874008,0.02721970935874,0,0.04383014021577254,0.40773192949458786,0,0.043830140215772556,0.4077319294945877,0.003590085718454287,0,20,0,0.12738853503184713,-1.301822555840029,0.35533201033648115,-1.1062342993966139,19,0,10,0,0.06369426751592357,-1.522470446660373,0.5277777777777778,-1.63343470583921,10.013513513513512,0,10,0,0.06369426751592357,-1.522470446660373,0.4921171171171171,-1.5917026438165722,0.012505349246350637,0,14,0,0.08917197452229299,-1.4342112903322353,0.9041518171969963,-1.4187734479062417,0.012410251533450581,0,12,0,0.07643312101910828,-1.4783408684963042,0.9050649933431603,-1.5620558790599743,9.509771290000447e-05,0,75,0,0.47770700636942676,-0.08825915632813756,0.2854221998818072,0.003913781897889517,D,2.3218102974409143,0,0.03464767005395742,0.3250422610690875,1.0,0,1.0,1.5686299887178135,0.3453753352466108,0,0.11946234709291567,0.8470713777701986,1.726876676233054,0,0.11946234709291569,0.8470713777701987,0.007104360607545321,0,10,0,0.06369426751592357,-1.522470446660373,0.90625,-1.5641971013312945,0.5796178343949063,0,105,0,0.6687898089171974,0.5736845161328942,1.0,,0.5724590342424756,0,144,0,0.9171974522292994,1.4342112903322353,0.999572243346008,1.419102974804167,5.4439544885404766e-05,0,92,0,0.5859872611464968,0.2868422580664471,0.28571428571428575,0.004857059395737308,0.007158800152430755,0,14,0,0.08917197452229299,-1.4342112903322353,0.9053356282272016,-1.4191029748045025
Balneolota,animal host-associated,sponge,0.0055589051690963,5.558905169096292e-05,0,8.951146016900441e-05,-0.12346850526687535,0,8.951146016900432e-05,-0.12346850526687565,0.005024455841948391,0,70,0,0.445859872611465,-0.1985831017383095,0.4973001023315627,-0.26341520037438093,26,0,86,0,0.5477707006369427,0.15445352357424072,0.7222222222222222,0.1456978429390773,14.03460207612457,0,81,0,0.5159235668789809,0.04412957816406878,0.6897347174163785,0.0986518380994873,0.012962918916347713,0,72,0,0.4585987261146497,-0.15445352357424072,0.9372346556265443,-0.1047908957903465,0.012915348571700363,0,78,0,0.4968152866242038,-0.02206478908203439,0.9419011240476023,0.03410272160696812,4.757034464714683e-05,0,45,0,0.28662420382165604,-0.7502028287891692,0.14277559369489065,-0.7576063853468422,s,0.0016925342315048,0,2.5257174400872445e-05,-0.10608790586647275,0.6,0,0.6,-0.10784998560959785,0.0020179423576308,0,0.0006979888421060977,-0.1780435231240622,0.0100897117881544,0,0.0006979888421061255,-0.17804352312406205,0.007390168218193696,0,78,0,0.4968152866242038,-0.02206478908203439,0.9427083333333334,0.03641054705146595,0.5796178343949063,0,106,0,0.6751592356687898,0.5957493052149285,1.0,,0.5722004464042698,0,85,0,0.5414012738853503,0.13238873449220634,0.9991207224334604,0.10444950466652403,2.7219772442702383e-05,0,50,0,0.3184713375796178,-0.6398788833789973,0.14285714285714288,-0.7577012657350124,0.007417387990636515,0,72,0,0.4585987261146497,-0.15445352357424072,0.9380378657487273,-0.10444950466685918
Bdellovibrionota,animal host-associated,sponge,0.1198798370285131,0.0011987983702851,0,0.0019303476009806953,-0.10111279191425204,0,0.0019303476009807404,-0.1011127919142518,0.005197489196654851,0,79,0,0.5031847133757962,0.0,0.5144262365258137,-0.1617428260507725,26,0,90,0,0.5732484076433121,0.2427126799023783,0.7222222222222222,0.1456978429390773,14.083333333333332,0,88,0,0.5605095541401274,0.1985831017383095,0.6921296296296297,0.11913711161426616,0.013035204567079099,0,88,0,0.5605095541401274,0.1985831017383095,0.9424609952655689,0.1027886053378445,0.012940057088487115,0,87,0,0.554140127388535,0.17651831265627513,0.9437030870070834,0.11218417644098938,9.514747859181704e-05,0,89,0,0.5668789808917197,0.2206478908203439,0.28557156449639814,0.0047111662123447235,D,0.0638133005150601,0,0.0009522665067584398,-0.0945444675278315,0.96,0,0.96,1.400981991285072,0.0249505700193559,0,0.008630186789945765,-0.10957673365174261,0.1247528500967799,0,0.008630186789945793,-0.10957673365174246,0.007403778104415047,0,84,0,0.535031847133758,0.11032394541017194,0.9444444444444444,0.11262995887921552,0.5796178343949063,0,108,0,0.6878980891719745,0.6398788833789973,1.0,,0.5721596167456058,0,70,0,0.445859872611465,-0.1985831017383095,0.999049429657795,-0.10312735903924138,5.443954488540477e-05,0,96,0,0.6114649681528662,0.3751014143945846,0.28571428571428575,0.004857059395737498,0.007458217649300547,0,88,0,0.5605095541401274,0.1985831017383095,0.9432013769363322,0.10312735903890625
Caldisericota,animal host-associated,sponge,0.0006826632381246,6.826632381246173e-06,0,1.0992485280724667e-05,-0.12442206525867898,0,1.0992485280724363e-05,-0.12442206525867927,0.008304937889129014,0,145,0,0.9235668789808917,1.4562760794142697,0.8219888067559521,1.664157661104526,32,0,146,0,0.9299363057324841,1.4783408684963042,0.8888888888888888,1.6706685990347523,17.82857142857143,0,148,0,0.9426751592356688,1.522470446660373,0.8761904761904763,1.6935316820282162,0.013493253373313426,0,142,0,0.9044585987261147,1.3900817121681666,0.9755784758223426,1.4181470717616897,0.013421860498322226,0,148,0,0.9426751592356688,1.522470446660373,0.978840440890666,1.6347325150805614,7.139287499107567e-05,0,73,0,0.46496815286624205,-0.13238873449220634,0.21427551530357275,-0.375903422220736,o,0.0,0,0.0,-0.10640241686989847,0.36,0,0.36,-1.1137379702060446,0.0002415699076115,0,8.355694574912982e-05,-0.1833469938101925,0.0012078495380576,0,8.355694574913674e-05,-0.18334699381019254,0.007675975828842071,0,149,0,0.9490445859872612,1.5445352357424074,0.9791666666666667,1.637018195434231,0.5796178343949063,0,116,0,0.7388535031847133,0.8163971960352724,1.0,,0.5719010289074001,0,16,0,0.10191082802547771,-1.3900817121681666,0.9985979087452475,-1.41778082917632,4.0829658664053575e-05,0,72,0,0.4585987261146497,-0.15445352357424072,0.2142857142857143,-0.3764221031696376,0.007716805487506195,0,142,0,0.9044585987261147,1.3900817121681666,0.9759036144578438,1.417780829175985
