id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.0005840870143303885,-3.233522449071634,0.05840870143303895,0.08593430336290865,0.011916943734470949,0.03539277670045009,1.0
1,Actinomycetota,0.16702960198800762,-0.7772065537579806,16.702960198800792,14.62576842871787,2.028229154338641,10.54035283246783,1.0
2,Aquificota,0.00017012892417794977,-3.7692218442769296,0.01701289241779502,0.01682883149517578,0.0023337390331538304,0.013763770206230045,1.0
3,Armatimonadota,0.0004268936907562301,-3.369680263771838,0.04268936907562311,0.0530873176691555,0.007361886382037907,0.02031973953038505,1.0
4,Atribacterota,0.00015686895196051156,-3.8044630049569426,0.015686895196051195,0.0210867303482397,0.002924203365479264,0.008212937357869134,0.9807692307692307
5,Bacillota,0.15632539873813497,-0.8059704548938897,15.632539873813535,15.929269558121522,2.208992237403644,8.956272318199272,1.0
6,Bacteroidota,0.29205983558455423,-0.5345281636130497,29.205983558455497,24.31315403525951,3.3716278285531684,35.72031805425911,1.0
7,Balneolota,1.4546382267553442e-05,-4.837245003695173,0.0014546382267553479,0.002954554913282061,0.0004097230475389435,0.0007990406621689094,0.75
8,Bdellovibrionota,0.0008973852133165251,-3.047021090840326,0.08973852133165264,0.12824100457314264,0.017783827600210682,0.054229622517255105,1.0
9,Caldisericota,1.2230582633518057e-05,-4.912552853798154,0.0012230582633518082,0.00200537184356331,0.00027809503878227943,0.00044228732755941045,0.5576923076923077
10,Calditrichota,1.9452924910665708e-05,-4.711015089605147,0.0019452924910665756,0.0036612373870208033,0.0005077222742518962,0.0008216604420640313,0.6923076923076923
11,Campylobacterota,0.0074961767697611275,-2.1251601807613336,0.7496176769761149,0.6923970962517515,0.09601820128915636,0.4783374212391557,1.0
12,Candidatus Abawacabacteria,6.1612597532151385e-06,-5.210330481352673,0.0006161259753215153,0.0013089148101287386,0.00018151382550512997,0.0003094713588117783,0.5192307692307693
13,Candidatus Absconditabacteria,0.00010324488276016036,-3.9861314645538797,0.01032448827601606,0.020025713198585204,0.0027770667602013436,0.002812810969245671,0.9230769230769231
14,Candidatus Adlerbacteria,4.158135363714715e-06,-5.381101376775244,0.0004158135363714724,0.0006942168250690582,9.627055227216554e-05,0.0,0.36538461538461536
15,Candidatus Aenigmarchaeota,6.493746532190181e-06,-5.187504667021916,0.0006493746532190194,0.0011510153129306482,0.00015961710498521852,4.260714845693957e-05,0.5
16,Candidatus Altiarchaeota,2.0092384368969484e-05,-4.696968522343776,0.002009238436896953,0.0029718982380720718,0.00041212813395499775,0.0014505684644953941,0.7692307692307693
17,Candidatus Amesbacteria,4.3659456742783646e-05,-4.359921672545322,0.004365945674278376,0.0035618149656977483,0.0004939348650976247,0.003282010148463013,1.0
18,Candidatus Aminicenantes,0.00022604338945022212,-3.645808189214823,0.02260433894502227,0.023360248303127384,0.003239483579403709,0.015445973373675047,1.0
19,Candidatus Andersenbacteria,2.8381893322432565e-06,-5.546958636642522,0.00028381893322432635,0.0006193029415839206,8.58818658048656e-05,0.0,0.36538461538461536
20,Candidatus Azambacteria,1.771004509639825e-05,-4.751780332932343,0.0017710045096398287,0.0017350414007229736,0.00024060695135998247,0.001375483127154323,0.7692307692307693
21,Candidatus Bathyarchaeota,1.8502233723008998e-05,-4.732775837271785,0.0018502233723009039,0.0030945994188665152,0.000429143726220934,0.000980858717564591,0.7884615384615384
22,Candidatus Beckwithbacteria,2.246070218754417e-05,-4.64857667054078,0.002246070218754422,0.002013394893107056,0.0002792076355713396,0.001809378529289279,0.8461538461538461
23,Candidatus Berkelbacteria,0.00014906843952696116,-3.8266142947773556,0.014906843952696149,0.02688950838875675,0.0037289038949108286,0.006452282489050747,1.0
24,Candidatus Bipolaricaulota,2.111254272522463e-06,-5.675459458542995,0.00021112542725224673,0.0004608566346851256,6.390931642288448e-05,0.0,0.21153846153846154
25,Candidatus Blackallbacteria,1.5153635149093705e-05,-4.819483173378185,0.0015153635149093743,0.0019728966393444806,0.00027359153824411963,0.0011289346837417928,0.8461538461538461
26,Candidatus Blackburnbacteria,2.0354741115990956e-05,-4.691334416871492,0.0020354741115990995,0.0025666754142947197,0.00035593383898893807,0.001110318674561808,0.7884615384615384
27,Candidatus Brennerbacteria,1.7630030068573687e-06,-5.753746946997077,0.00017630030068573735,0.0005626651793273024,7.80276213454896e-05,0.0,0.21153846153846154
