Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,animal_manure phyla,0.1114603482073503,0.0011146034820735,0,0.003874852458241497,-0.14145910976975004,0,0.0038748524582415,-0.1414591097697504,0.005335135913400774,0,95,0,0.5974842767295597,0.3268085027479463,0.53862634379166,0.17291748963559098,33,0,95,0,0.5974842767295597,0.3268085027479463,0.75,0.24569829325684006,18.424028268551236,0,96,0,0.6037735849056604,0.3485957362644761,0.7208480565371024,0.23447827075944846,0.01284231251118665,0,100,0,0.6289308176100629,0.4357446703305951,0.9402256995895062,0.2845317816941488,0.012819939144442448,0,100,0,0.6289308176100629,0.4357446703305951,0.9447829739122113,0.2568370777302398,2.237336674422766e-05,0,125,0,0.7861635220125787,0.980425508243839,0.24979863969930197,0.5100885755901209,D,0.1286599349938652,0,0.003768353045934745,-0.1206692437173895,0.9761904761904762,0,0.9761904761904762,1.187377475108845,0.0111749703201914,0,0.002384689535669596,-0.1518537629883009,0.0724220849575649,0,0.0023846895356696147,-0.1518537629883008,0.00760289785845076,0,96,0,0.6037735849056604,0.3485957362644761,0.9455445544554455,0.2567389793366302,0.6006687365655604,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.5930525701244597,0,60,0,0.37735849056603776,-0.4357446703305951,0.9989049055760423,-0.2847927862003965,1.3268582650001328e-05,0,111,0,0.6981132075471698,0.6754042390124224,0.25,0.5101463143580792,0.007616166441100747,0,100,0,0.6289308176100629,0.4357446703305951,0.9409836065573796,0.2847927862005175
Actinomycetota,,animal_manure phyla,16.359432850505563,0.1635943285050553,1,0.5687259156798319,4.300192852305365,1,0.5687259156798321,4.300192852305366,0.0059467966792408206,0,121,0,0.7610062893081762,0.89327657417772,0.6003785854014198,0.6099191100505896,35,0,121,0,0.7610062893081762,0.89327657417772,0.7954545454545454,0.6871223455487903,19.6797153024911,0,115,0,0.7232704402515723,0.7625531730785414,0.7699773536072466,0.6820338152877743,0.012978294920563972,0,125,0,0.7861635220125787,0.980425508243839,0.9501813953317869,0.7118963802488114,0.012955918550011181,0,125,0,0.7861635220125787,0.980425508243839,0.9548041624480192,0.6889346381350074,2.2376370552696343e-05,0,132,0,0.8301886792452831,1.1329361428595472,0.24983217722085482,0.5102463878132867,D,17.474532448498092,1,0.5118159556175993,4.893658688401227,1.0,0,1.0,1.3634903655401014,2.8245543722387323,1,0.6027474849071585,5.328185708561381,18.305204475033417,1,0.6027474849071585,5.3281857085613815,0.007682509354350768,0,115,0,0.7232704402515723,0.7625531730785414,0.9554455445544554,0.6887125001252358,0.6006687365655604,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.5929729586285596,0,34,0,0.2138364779874214,-1.0022127417603688,0.9987708123812719,-0.7119819655015869,1.3268582650001328e-05,0,127,0,0.7987421383647799,1.0239999752768985,0.25,0.5101463143580792,0.007695777937000825,0,125,0,0.7861635220125787,0.980425508243839,0.9508196721311588,0.7119819655017079
Aquificota,,animal_manure phyla,0.0132539663545284,0.0001325396635452,0,0.00046076622705970766,-0.16830544820263593,0,0.0004607662270599988,-0.16830544820263402,0.003733722796997874,0,26,0,0.16352201257861634,-1.1765106098926068,0.3769503704351952,-0.971213646290344,26,0,17,0,0.1069182389937107,-1.3725957115413745,0.5909090909090909,-1.2992858897649855,14.165517241379309,0,18,0,0.11320754716981132,-1.3508084780248448,0.55423197492163,-1.283352343184032,0.012411942301241098,0,20,0,0.12578616352201258,-1.3072340109917853,0.908716956022017,-1.0680328098988312,0.012344850721234478,0,19,0,0.11949685534591195,-1.329021244508315,0.9097706818652345,-1.2528367422582432,6.709158000670911e-05,1,153,0,0.9622641509433962,1.590468046706672,0.7490774907749077,2.859466282101592,D,0.011949887698525,0,0.00035000325244577516,-0.15440767051928705,0.9047619047619048,0,0.9047619047619048,0.6590388038150772,0.0017748593761387,0,0.00037874718771427866,-0.1701637637564968,0.0115024033928932,0,0.00037874718771428994,-0.17016376375649672,0.007324257622800733,0,18,0,0.11320754716981132,-1.3508084780248448,0.9108910891089109,-1.2551683434234868,0.6006687365655604,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.5933046731948097,0,138,0,0.8679245283018868,1.2636595439587257,0.9993295340261485,1.0679729482523803,3.980574795000398e-05,1,156,0,0.9811320754716981,1.6558297472562613,0.7499999999999999,2.8612554153127046,0.007364063370750684,0,20,0,0.12578616352201258,-1.3072340109917853,0.9098360655737683,-1.0679729482522593
Armatimonadota,,animal_manure phyla,0.0234508349541654,0.0002345083495416,0,0.0008152542759053607,-0.16551796555418813,0,0.0008152542759055468,-0.16551796555418702,0.0074427056059234,0,153,0,0.9622641509433962,1.590468046706672,0.7514030333073296,1.6786726765078817,39,0,149,0,0.9371069182389937,1.5033191126405532,0.8863636363636364,1.5699704501326905,22.24548736462094,0,153,0,0.9622641509433962,1.590468046706672,0.8703642927469641,1.5965335921940311,0.0132276908614786,0,150,0,0.9433962264150944,1.5251063461570828,0.968440448973176,1.4956962603818214,0.01322769086147854,0,150,0,0.9433962264150944,1.5251063461570828,0.9748327951710097,1.5525371246987,0.0,0,96,0,0.6037735849056604,0.3485957362644761,0.0,-0.6653494666224095,D,0.026065774680555,0,0.000763447000162108,-0.15032706365874907,0.9285714285714286,0,0.9285714285714286,0.8351516942463335,0.0029941264849643,0,0.0006389334282404844,-0.16778881501045487,0.019404157367289,0,0.0006389334282404841,-0.16778881501045495,0.007841732346150784,0,153,0,0.9622641509433962,1.590468046706672,0.9752475247524752,1.5526595417024467,0.6006687365655604,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.5928270042194096,0,9,0,0.05660377358490566,-1.5468935796736125,0.9985249748575262,-1.4951621275529752,0.0,0,73,0,0.4591194968553459,-0.1525106346157083,0.0,-0.6654082361192337,0.00784173234615082,0,150,0,0.9433962264150944,1.5251063461570828,0.9688524590164024,1.4951621275530962
Atribacterota,,animal_manure phyla,0.0055673709709542,5.5673709709541936e-05,0,0.00019354632781706704,-0.17040670615726772,0,0.00019354632781706693,-0.17040670615726808,0.0034455076782495347,0,18,0,0.11320754716981132,-1.3508084780248448,0.3478526570579286,-1.1771292141266214,27,0,24,0,0.1509433962264151,-1.2200850769256664,0.6136363636363636,-1.0785738636190103,14.761245674740486,0,25,0,0.15723270440251572,-1.1982978434091365,0.5775401069518716,-1.071021120373351,0.012411942301241098,0,23,0,0.14465408805031446,-1.241872310442196,0.908716956022017,-1.0680328098988312,0.012411942301241185,0,24,0,0.1509433962264151,-1.2200850769256664,0.9147150877449367,-1.0396418990880678,0.0,0,89,0,0.559748427672956,0.1960851016487678,0.0,-0.6653494666224095,D,0.0061782753764771,0,0.00018095705422734165,-0.15607612258805867,0.8571428571428571,0,0.8571428571428571,0.30681302295256474,0.0007068175846029,0,0.00015083176503693173,-0.1722441483540699,0.0045807014868868,0,0.0001508317650369464,-0.17224414835406981,0.007364063370750736,0,25,0,0.15723270440251572,-1.1982978434091365,0.9158415841584158,-1.0391815830291864,0.6006687365655604,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.5933046731948097,0,139,0,0.8742138364779874,1.2854467774752556,0.9993295340261485,1.0679729482523803,0.0,0,72,0,0.4528301886792453,-0.17429786813223805,0.0,-0.6654082361192337,0.007364063370750684,0,23,0,0.14465408805031446,-1.241872310442196,0.9098360655737683,-1.0679729482522593
Bacillota,,animal_manure phyla,28.765056065627245,0.2876505606562719,1,1.0,7.6914750991466825,1,1.0,7.691475099146683,0.0062990550241795165,0,131,0,0.8238993710691824,1.1111489093430176,0.6359419951222207,0.8615904222222964,33,0,97,0,0.610062893081761,0.3703829697810058,0.75,0.24569829325684006,18.424028268551236,0,99,0,0.6226415094339622,0.4139574368140653,0.7208480565371024,0.23447827075944846,0.012887635924284893,0,102,0,0.6415094339622641,0.4793191373636546,0.9435439678337153,0.42697389852788753,0.01282051282051281,0,102,0,0.6415094339622641,0.4793191373636546,0.9448252517559446,0.25866003047392166,6.712310377231838e-05,1,155,0,0.9748427672955975,1.6340425137397316,0.7494294536179351,2.861122458114551,D,34.142219008025805,1,1.0,9.711937285466362,1.0,0,1.0,1.3634903655401014,2.033174146247251,1,0.4338704239768165,3.7866961844396734,13.176474436535214,1,0.4338704239768165,3.786696184439674,0.00760289785845076,0,99,0,0.6226415094339622,0.4139574368140653,0.9455445544554455,0.2567389793366302,0.6006687365655604,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.5930260329591598,0,58,0,0.36477987421383645,-0.4793191373636546,0.9988602078444524,-0.427189179299999,3.980574795000398e-05,1,155,0,0.9748427672955975,1.6340425137397316,0.7499999999999999,2.8612554153127046,0.007642703606400625,0,102,0,0.6415094339622641,0.4793191373636546,0.9442622950819544,0.42718917930011996
Bacteroidota,,animal_manure phyla,23.962825594232516,0.2396282559423246,1,0.8330533248244505,6.378705989487596,1,0.8330533248244509,6.378705989487599,0.008071834002987536,1,156,0,0.9811320754716981,1.6558297472562613,0.8149187775707518,2.1281540627931905,41,0,156,0,0.9811320754716981,1.6558297472562613,0.9318181818181818,2.0113945024246407,23.55636363636364,1,157,0,0.9874213836477987,1.6776169807727912,0.9216528925619835,2.0637598418497736,0.013386461318051643,0,156,0,0.9811320754716981,1.6558297472562613,0.9800645286298189,1.9946789798849132,0.013364075931232086,0,156,0,0.9811320754716981,1.6558297472562613,0.9848838796845302,1.9859237516637183,2.238538681948423e-05,0,141,0,0.8867924528301887,1.329021244508315,0.2499328438395416,0.5107200788362953,D,18.88909710525811,1,0.5532474939844376,5.302579661656241,1.0,0,1.0,1.3634903655401014,2.890902654373144,1,0.6169059166149999,5.457422172266968,18.735190487331344,1,0.6169059166149998,5.457422172266968,0.007921343842050793,0,157,0,0.9874213836477987,1.6776169807727912,0.9851485148514852,1.9846330624910569,0.6006687365655604,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.5927341241408596,0,4,0,0.025157232704402517,-1.6558297472562613,0.9983685327969607,-1.9935495034039667,1.3268582650001328e-05,0,126,0,0.7924528301886793,1.0022127417603688,0.25,0.5101463143580792,0.007934612424700838,0,156,0,0.9811320754716981,1.6558297472562613,0.980327868852469,1.9935495034040878
Balneolota,,animal_manure phyla,0.0033169677057315,3.3169677057315825e-05,0,0.00011531240190055439,-0.17102189110277535,0,0.0001153124019005513,-0.17102189110277574,0.005228814088228726,0,90,0,0.5660377358490566,0.21787233516529755,0.5278922712418246,0.09695575973477925,32,0,80,0,0.5031446540880503,0.0,0.7272727272727273,0.024986267110865,17.802816901408452,0,73,0,0.4591194968553459,-0.1525106346157083,0.6965428937259923,0.013064348202301583,0.012819652325659325,0,88,0,0.5534591194968553,0.17429786813223805,0.938566676826145,0.2133155035343168,0.01275253372709577,0,87,0,0.5471698113207547,0.1525106346157083,0.9398154393598968,0.04264496333066191,6.711859856366194e-05,1,154,0,0.9685534591194969,1.6122552802232017,0.7493791529632859,2.860885766261089,s,0.0036450566538583,0,0.00010676097687152253,-0.15680842298915432,0.7380952380952381,0,0.7380952380952381,-0.5737514292037148,0.0004472893844326,0,9.544958813405127e-05,-0.17274967021150003,0.0028987665176585,0,9.54495881340628e-05,-0.17274967021149998,0.0075630921105007565,0,73,0,0.4591194968553459,-0.1525106346157083,0.9405940594059407,0.0407522189423298,0.6006687365655604,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.5930658387071097,0,66,0,0.41509433962264153,-0.3050212692314166,0.9989272544418374,-0.2135945896499995,3.980574795000398e-05,1,154,0,0.9685534591194969,1.6122552802232017,0.7499999999999999,2.8612554153127046,0.007602897858450697,0,88,0,0.5534591194968553,0.17429786813223805,0.9393442622950785,0.2135945896501205
Bdellovibrionota,,animal_manure phyla,0.0460652703947616,0.0004606527039476,0,0.0016014316220925326,-0.15933593567127477,0,0.0016014316220925853,-0.15933593567127471,0.005435357569899739,0,103,0,0.6477987421383647,0.5011063708801844,0.5487445535776918,0.24452094818106934,35,0,120,0,0.7547169811320755,0.8714893406611902,0.7954545454545454,0.6871223455487903,19.6797153024911,0,122,0,0.7672955974842768,0.9150638076942497,0.7699773536072466,0.6820338152877743,0.012955628650063776,0,118,0,0.7421383647798742,0.8279148736281307,0.9485219270686086,0.640660978277303,0.012955628650063764,0,118,0,0.7421383647798742,0.8279148736281307,0.9547827978743366,0.6880134320191501,0.0,0,55,0,0.34591194968553457,-0.5446808379132438,0.0,-0.6653494666224095,D,0.042890266999,0,0.0012562237676736181,-0.14546345580561776,0.9523809523809524,0,0.9523809523809524,1.0112645846775896,0.0056638650515491,0,0.0012086439008674287,-0.16258856625849974,0.0367060407498647,0,0.0012086439008674459,-0.16258856625849966,0.007682509354350768,0,122,0,0.7672955974842768,0.9150638076942497,0.9554455445544554,0.6887125001252358,0.6006687365655604,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.5929862272112096,0,41,0,0.2578616352201258,-0.8497021071446604,0.998793161247067,-0.6407837689511899,0.0,0,68,0,0.4276729559748428,-0.26144680219835703,0.0,-0.6654082361192337,0.007682509354350775,0,118,0,0.7421383647798742,0.8279148736281307,0.9491803278688576,0.640783768951311
Caldisericota,,animal_manure phyla,0.0028656606580711,2.865660658071094e-05,0,9.962298184064434e-05,-0.171145263347125,0,9.962298184064437e-05,-0.17114526334712535,0.003471884715837792,0,19,0,0.11949685534591195,-1.329021244508315,0.35051563838527067,-1.158284114340002,27,0,21,0,0.1320754716981132,-1.2854467774752556,0.6136363636363636,-1.0785738636190103,14.710344827586207,0,20,0,0.12578616352201258,-1.3072340109917853,0.5755485893416927,-1.0891633451071756,0.012389301368637634,0,19,0,0.11949685534591195,-1.329021244508315,0.9070593428251797,-1.139188580099475,0.012389301368637619,0,20,0,0.12578616352201258,-1.3072340109917853,0.9130465332068587,-1.111587291865541,0.0,0,58,0,0.36477987421383645,-0.4793191373636546,0.0,-0.6653494666224095,D,0.0028119057730845,0,8.235861214596234e-05,-0.1570492694343176,0.8571428571428571,0,0.8571428571428571,0.30681302295256474,0.0003771725567794,0,8.048696538087775e-05,-0.1728862472344559,0.0024443575390429,0,8.048696538088083e-05,-0.17288624723445592,0.007350794788100736,0,21,0,0.1320754716981132,-1.2854467774752556,0.9141914191419143,-1.1111771698272834,0.6006687365655604,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.5933179417774597,0,141,0,0.8867924528301887,1.329021244508315,0.9993518828919434,1.1391711448021817,0.0,0,67,0,0.42138364779874216,-0.2832340357148868,0.0,-0.6654082361192337,0.007350794788100745,0,19,0,0.11949685534591195,-1.329021244508315,0.9081967213114809,-1.1391711448020607
