Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,bodily_fluid phyla,0.0656040192359847,0.0006560401923598,0,0.0019217559893380282,-0.14054773368308818,0,0.0019217559893381613,-0.14054773368308743,0.004744345081178542,0,112,0,0.7044025157232704,0.6971914725289522,0.5954406243165266,0.4600994303314214,54,0,128,0,0.8050314465408805,1.0457872087934281,0.7941176470588235,0.8590731782252249,32.56488549618321,0,128,0,0.8050314465408805,1.0457872087934281,0.7516838796587338,0.8475395966764102,0.012985422026215864,0,128,0,0.8050314465408805,1.0457872087934281,0.9372486906709374,0.8589048048790141,0.01298542202621585,0,128,0,0.8050314465408805,1.0457872087934281,0.9372486906709423,0.8589048048790836,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.0733052821074103,0,0.0023701072323370534,-0.11938241064414612,0.8538011695906432,0,0.8538011695906432,1.2491081777295503,0.0037350298401149,0,0.0017262586812034641,-0.16983747081523468,0.0488418528725102,0,0.0017262586812035,-0.1698374708152345,0.008438818565400843,0,128,0,0.8050314465408805,1.0457872087934281,0.9380530973451326,0.8590731782252156,0.6583074595971659,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.649868641031765,0,31,0,0.1949685534591195,-1.067574442309958,0.9990820635212043,-0.8590731782252594,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008438818565400852,0,128,0,0.8050314465408805,1.0457872087934281,0.9380530973451279,0.8590731782251462
Actinomycetota,,bodily_fluid phyla,5.909133355903737,0.0590913335590372,0,0.17309781551123377,1.3173889512922738,0,0.17309781551123382,1.3173889512922747,0.0058433842662376344,0,152,0,0.9559748427672956,1.5686808131901424,0.7333759067006128,1.7514708599655855,58,0,154,0,0.9685534591194969,1.6122552802232017,0.8529411764705882,1.7235835284645333,35.519379844961236,0,154,0,0.9685534591194969,1.6122552802232017,0.8198814409484724,1.7448465601914511,0.013233672344075539,0,154,0,0.9685534591194969,1.6122552802232017,0.9551666516661895,1.7239532987141264,0.01323367234407548,0,154,0,0.9685534591194969,1.6122552802232017,0.9551666516661913,1.7239532987140418,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,2.895889690579226,0,0.09362993910364216,0.7562003943890222,1.0,1,1.0,2.1169992818153687,0.6431372491721107,1,0.29724561974437075,2.311610914533997,8.410110827903905,1,0.29724561974437075,2.3116109145339965,0.008598041557200859,0,154,0,0.9685534591194969,1.6122552802232017,0.9557522123893805,1.7235835284645242,0.6583074595971659,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.649709418039965,0,6,0,0.03773584905660377,-1.6122552802232017,0.9988372804601922,-1.7235835284647247,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008598041557200897,0,154,0,0.9685534591194969,1.6122552802232017,0.9557522123893788,1.7235835284646115
Aquificota,,bodily_fluid phyla,0.0120004797276468,0.0001200047972764,0,0.0003515332453727712,-0.1539215976942339,0,0.0003515332453729695,-0.1539215976942326,0.004352040491364104,0,85,0,0.5345911949685535,0.10893616758264878,0.5462043048911022,-0.0008586009088170355,51,0,93,0,0.5849056603773585,0.2832340357148868,0.75,0.2106904155457436,30.40754716981132,0,93,0,0.5849056603773585,0.2832340357148868,0.7018867924528303,0.1923362101097645,0.01279931410374183,0,93,0,0.5849056603773585,0.2832340357148868,0.9238159807975018,0.21039655959270837,0.012799314103741808,0,93,0,0.5849056603773585,0.2832340357148868,0.923815980797506,0.2103965595927454,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,s,0.0072715695388056,0,0.00023510447076804537,-0.1398664688370688,0.7426900584795322,0,0.7426900584795322,0.5895109386243289,0.0014391460830995,0,0.0006651455345251133,-0.17874753848398214,0.01881927702367,0,0.0006651455345251371,-0.17874753848398206,0.008319401321550832,0,93,0,0.5849056603773585,0.2832340357148868,0.9247787610619469,0.2106904155457365,0.6583074595971659,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.649988058275615,0,67,0,0.42138364779874216,-0.2832340357148868,0.9992656508169635,-0.21069041554581103,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.008319401321550846,0,93,0,0.5849056603773585,0.2832340357148868,0.9247787610619427,0.21069041554569798
Armatimonadota,,bodily_fluid phyla,0.0136188325396033,0.000136188325396,0,0.00039894008485403994,-0.15351782528241695,0,0.0003989400848541356,-0.15351782528241653,0.004757907529569428,0,114,0,0.7169811320754716,0.7407659395620116,0.5971427839611037,0.4760353119687411,52,0,107,0,0.6729559748427673,0.5882553049463034,0.7647058823529411,0.4268180031055707,31.12121212121212,0,107,0,0.6729559748427673,0.5882553049463034,0.7183600713012478,0.40908278495883155,0.01286134247917695,0,107,0,0.6729559748427673,0.5882553049463034,0.9282930023023588,0.42653949631804655,0.012861342479176875,0,107,0,0.6729559748427673,0.5882553049463034,0.9282930023023592,0.42653949631790306,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.01397644073809,0,0.0004518864442420408,-0.13778657711994774,0.7719298245614035,0,0.7719298245614035,0.7630891594414921,0.0010401741467156,0,0.00048074840833827777,-0.18029590387497782,0.0136020419676519,0,0.0004807484083383148,-0.18029590387497763,0.008359207069500836,0,107,0,0.6729559748427673,0.5882553049463034,0.9292035398230089,0.426818003105566,0.6583074595971659,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.649948252527665,0,56,0,0.3522012578616352,-0.5228936043967141,0.9992044550517104,-0.42681800310582807,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.008359207069500885,0,107,0,0.6729559748427673,0.5882553049463034,0.9292035398230085,0.426818003105715
Atribacterota,,bodily_fluid phyla,0.0078246962981566,7.82469629815665e-05,0,0.00022921091041151685,-0.15496343859202047,0,0.0002292109104115148,-0.15496343859202089,0.003331912023540186,0,17,0,0.1069182389937107,-1.3725957115413745,0.418172738600978,-1.1995099099915323,45,0,23,0,0.14465408805031446,-1.241872310442196,0.6617647058823529,-1.086075109813219,26.236162361623617,0,23,0,0.14465408805031446,-1.241872310442196,0.6056001736487954,-1.0745515188973267,0.012427303336394285,0,23,0,0.14465408805031446,-1.241872310442196,0.8969653629347889,-1.085905321343222,0.012427303336394246,0,23,0,0.14465408805031446,-1.241872310442196,0.8969653629347918,-1.0859053213432441,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,s,0.0042304987229182,0,0.00013678053383505784,-0.1408098274509998,0.7192982456140351,0,0.7192982456140351,0.450648361970598,0.0008786242101615,0,0.00040608314665035376,-0.18092286108140454,0.0114895024243266,0,0.0004060831466503515,-0.1809228610814047,0.008080566833850809,0,23,0,0.14465408805031446,-1.241872310442196,0.8982300884955753,-1.0860751098132218,0.6583074595971659,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.650226892763315,0,138,0,0.8679245283018868,1.2636595439587257,0.9996328254084818,1.0860751098130856,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.008080566833850833,0,23,0,0.14465408805031446,-1.241872310442196,0.8982300884955724,-1.0860751098131984
Bacillota,,bodily_fluid phyla,33.27989228388929,0.3327989228388924,1,0.974876738741222,8.146281430076789,1,0.974876738741221,8.146281430076785,0.007967788705421827,1,159,0,1.0,1.7211914478058505,1.0,4.247646824431265,68,1,159,0,1.0,1.7211914478058505,1.0,3.8848594040628046,43.32258064516129,1,159,0,1.0,1.7211914478058505,1.0,4.11475003237836,0.013854830799411563,1,159,0,1.0,1.7211914478058505,1.0,3.8884306329389466,0.013854830799411477,1,159,0,1.0,1.7211914478058505,1.0,3.888430632938773,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,25.09765625000004,1,0.8114577133156029,7.643323054899311,1.0,1,1.0,2.1169992818153687,1.8131525193907003,1,0.8380040885691671,6.852309109405873,23.710045803750702,1,0.838004088569167,6.852309109405872,0.0089960990367009,1,159,0,1.0,1.7211914478058505,1.0,3.8848594040628,0.6583074595971659,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6493113605604649,0,1,0,0.006289308176100629,-1.7211914478058505,0.9982253228076616,-3.8848594040630866,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.008996099036700955,1,159,0,1.0,1.7211914478058505,1.0,3.8848594040629734
Bacteroidota,,bodily_fluid phyla,34.1375385844788,0.3413753858447871,1,1.0,8.360260676577129,1,1.0,8.360260676577132,0.005401015250295768,0,144,0,0.9056603773584906,1.3943829450579044,0.677856234643942,1.2316871103880025,56,0,144,0,0.9056603773584906,1.3943829450579044,0.8235294117647058,1.2913283533448792,34.03076923076923,0,144,0,0.9056603773584906,1.3943829450579044,0.7855203619909502,1.292741897805027,0.013109531977456627,0,144,0,0.9056603773584906,1.3943829450579044,0.9462065735233237,1.291376059362794,0.013109531977456507,0,144,0,0.9056603773584906,1.3943829450579044,0.9462065735233209,1.2913760593624966,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,30.92909937038053,1,1.0,9.452272083813748,1.0,1,1.0,2.1169992818153687,2.1636559345271578,1,1.0,8.21257359903873,28.293472701587813,1,1.0,8.21257359903873,0.008518430061300852,0,144,0,0.9056603773584906,1.3943829450579044,0.9469026548672567,1.2913283533448745,0.6583074595971659,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6497890295358649,0,16,0,0.10062893081761007,-1.3943829450579044,0.9989596719906981,-1.2913283533452935,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.00851843006130093,0,144,0,0.9056603773584906,1.3943829450579044,0.9469026548672594,1.2913283533451803
Balneolota,,bodily_fluid phyla,0.0021769817089501,2.176981708950156e-05,0,6.37709043832458e-05,-0.15637252029786677,0,6.3770904383244e-05,-0.1563725202978672,0.0048476983499376805,0,121,0,0.7610062893081762,0.89327657417772,0.6084120110563394,0.5815395575345991,53,0,122,0,0.7672955974842768,0.9150638076942497,0.7794117647058824,0.6429455906653978,31.840304182509506,0,122,0,0.7672955974842768,0.9150638076942497,0.7349586222321629,0.6274776227345074,0.012923378452869437,0,122,0,0.7672955974842768,0.9150638076942497,0.9327705722265706,0.6427089097913273,0.012923378452869479,0,122,0,0.7672955974842768,0.9150638076942497,0.9327705722265793,0.6427089097915896,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,s,0.0017673955911054,0,5.7143454775083394e-05,-0.1415738969834345,0.5730994152046783,0,0.5730994152046783,-0.41724274211522044,0.0001906924406782,0,8.813436445008233e-05,-0.18359264721445584,0.0024936272346408,0,8.813436445010367e-05,-0.1835926472144558,0.00839901281745084,0,122,0,0.7672955974842768,0.9150638076942497,0.9336283185840708,0.6429455906653955,0.6583074595971659,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.649908446779715,0,36,0,0.22641509433962265,-0.9586382747273092,0.9991432592864574,-0.6429455906652424,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.008399012817450813,0,122,0,0.7672955974842768,0.9150638076942497,0.933628318584062,0.6429455906651292
Bdellovibrionota,,bodily_fluid phyla,0.0498445977683688,0.0004984459776836,0,0.0014601110635147786,-0.14447964492505921,0,0.0014601110635150327,-0.14447964492505744,0.0048093439706814465,0,119,0,0.7484276729559748,0.8497021071446604,0.6035983317942205,0.5364731483963382,52,0,110,0,0.6918238993710691,0.6536170054958926,0.7647058823529411,0.4268180031055707,31.12121212121212,0,110,0,0.6918238993710691,0.6536170054958926,0.7183600713012478,0.40908278495883155,0.01286134247917695,0,110,0,0.6918238993710691,0.6536170054958926,0.9282930023023588,0.42653949631804655,0.012861342479176875,0,110,0,0.6918238993710691,0.6536170054958926,0.9282930023023592,0.42653949631790306,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.02233389168062,0,0.0007220996451648446,-0.13519404514208233,0.783625730994152,0,0.783625730994152,0.8325204477683577,0.0062989010997925,0,0.002911230477672529,-0.15988737366947098,0.0823688200480591,0,0.0029112304776725624,-0.1598873736694708,0.008359207069500836,0,110,0,0.6918238993710691,0.6536170054958926,0.9292035398230089,0.426818003105566,0.6583074595971659,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.649948252527665,0,55,0,0.34591194968553457,-0.5446808379132438,0.9992044550517104,-0.42681800310582807,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008359207069500885,0,110,0,0.6918238993710691,0.6536170054958926,0.9292035398230085,0.426818003105715
Caldisericota,,bodily_fluid phyla,0.0024292158420453,2.4292158420453544e-05,0,7.115966595054525e-05,-0.15630958891262758,0,7.115966595054348e-05,-0.156309588912628,0.004021409370746339,0,61,0,0.3836477987421384,-0.4139574368140653,0.5047083349499338,-0.3893502841155003,49,0,71,0,0.44654088050314467,-0.1960851016487678,0.7205882352941176,-0.2215647595739106,28.99625468164794,0,71,0,0.44654088050314467,-0.1960851016487678,0.6693104207975326,-0.23628623004119867,0.012675280142061195,0,71,0,0.44654088050314467,-0.1960851016487678,0.9148635826429244,-0.22180990306682838,0.012675280142061112,0,71,0,0.44654088050314467,-0.1960851016487678,0.9148635826429241,-0.2218099030670045,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,s,0.000799411633038,0,2.5846586202363275e-05,-0.1418741714789245,0.5906432748538012,0,0.5906432748538012,-0.31309580962492195,0.0004324116052804,0,0.0001998522955429596,-0.18265456221478732,0.0056545154682947,0,0.00019985229554297064,-0.18265456221478737,0.008239789825650825,0,71,0,0.44654088050314467,-0.1960851016487678,0.9159292035398231,-0.22156475957391308,0.6583074595971659,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.650067669771515,0,93,0,0.5849056603773585,0.2832340357148868,0.9993880423474695,0.22156475957362026,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.008239789825650878,0,71,0,0.44654088050314467,-0.1960851016487678,0.9159292035398234,-0.22156475957373326
Calditrichota,,bodily_fluid phyla,0.0035084338610294,3.508433861029478e-05,0,0.00010277348650510659,-0.15604032842802792,0,0.00010277348650510404,-0.15604032842802834,0.0036931236897725004,0,38,0,0.2389937106918239,-0.9150638076942497,0.46350673019974126,-0.7750860749142762,46,0,27,0,0.16981132075471697,-1.154723376376077,0.6764705882352942,-0.869947522253392,26.918518518518518,0,27,0,0.16981132075471697,-1.154723376376077,0.6213507625272331,-0.867313711374562,0.012489286151585743,0,27,0,0.16981132075471697,-1.154723376376077,0.9014390960383423,-0.8699211430053758,0.012489286151585649,0,27,0,0.16981132075471697,-1.154723376376077,0.9014390960383412,-0.8699211430055905,0.0,0,111,0,0.6981132075471698,0.6754042390124224,0.0,,s,0.0021360389827114,0,6.906243719327285e-05,-0.141459541567203,0.672514619883041,0,0.672514619883041,0.17292320866313618,0.0004418725190277,0,0.00020422494721845236,-0.18261784546837584,0.0057782329691085,0,0.0002042249472184526,-0.18261784546837595,0.008120372581800811,0,27,0,0.16981132075471697,-1.154723376376077,0.9026548672566371,-0.8699475222534016,0.6583074595971659,0,111,0,0.6981132075471698,0.6754042390124224,1.0,,0.650187087015365,0,129,0,0.8113207547169812,1.067574442309958,0.9995716296432287,0.8699475222530686,0.0,0,111,0,0.6981132075471698,0.6754042390124224,0.0,,0.008120372581800872,0,27,0,0.16981132075471697,-1.154723376376077,0.9026548672566382,-0.8699475222531815
