id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.00884844736084517,-2.0531329283726705,0.8848447360845206,0.2787071406426875,0.019052027910462472,0.9714743083006085,1.0
1,Actinomycetota,0.20674650673358802,-0.6845618197156492,20.674650673358876,7.014734250005969,0.4795173615121986,21.930640999693253,1.0
2,Aquificota,0.00021615980998759637,-3.66522505008266,0.021615980998759728,0.014104253393492703,0.0009641469130981462,0.01935632001427008,0.9719626168224299
3,Armatimonadota,0.002017487587008927,-2.6951891286802967,0.20174875870089354,0.10203680308274855,0.006975092262595369,0.22535972805549573,0.985981308411215
4,Atribacterota,0.00020344201631395084,-3.691559348518136,0.02034420163139517,0.019916250432793867,0.0013614468514956746,0.017355721323435075,0.9626168224299065
5,Bacillota,0.04423667735020218,-1.3542175006604977,4.423667735020234,5.452948740282882,0.3727559019644244,3.7496913224314983,1.0
6,Bacteroidota,0.04337549004723247,-1.36275560560495,4.337549004723264,2.8653482349532062,0.195871172943897,3.547870003505104,1.0
7,Balneolota,9.27549024364561e-05,-4.032663127051629,0.009275490243645644,0.006114623996892777,0.00041798709133232005,0.008420366264104771,0.9719626168224299
8,Bdellovibrionota,0.0011124275654791668,-2.953728258043075,0.11124275654791714,0.5696163766267205,0.038938173886480645,0.0715666304092653,0.985981308411215
9,Caldisericota,2.7663615825719933e-05,-4.558091055227195,0.0027663615825720047,0.0026785436788849216,0.00018310147638066012,0.0020711529878223575,0.7663551401869159
10,Calditrichota,0.00028198912513649184,-3.5497676398518467,0.028198912513649296,0.013836214473814203,0.0009458241497594345,0.027258179485330138,0.9813084112149533
11,Campylobacterota,0.0044471316709926816,-2.3519200117386108,0.4447131670992697,2.3685545592400667,0.16191105640866138,0.1683389530904157,0.9906542056074766
12,Candidatus Abawacabacteria,1.764343564067829e-05,-4.75341684241818,0.001764343564067836,0.0017638352261976746,0.0001205732938219094,0.0014454186816063512,0.7383177570093458
13,Candidatus Absconditabacteria,3.771954743904659e-05,-4.423433526589637,0.003771954743904674,0.00514950056093697,0.0003520126114662122,0.0027769675612166114,0.8551401869158879
14,Candidatus Adlerbacteria,3.826734000313834e-05,-4.417171724922306,0.003826734000313849,0.002909712034004207,0.00019890381981395845,0.0031661918207641715,0.8785046728971962
15,Candidatus Aenigmarchaeota,1.9493252945612472e-05,-4.71011568174193,0.0019493252945612565,0.0036116011489189465,0.0002468839719427097,0.00024992295978042665,0.5514018691588785
16,Candidatus Altiarchaeota,1.3665957887010343e-05,-4.864359921932313,0.0013665957887010404,0.0016271805072260454,0.0001112317695468578,0.0008857490600083153,0.6448598130841121
17,Candidatus Amesbacteria,6.741996514137127e-05,-4.171211476361384,0.0067419965141371566,0.004540748123357982,0.0003103991515291166,0.006133737170022682,0.9345794392523364
18,Candidatus Aminicenantes,0.002225394305350091,-2.6525930276197296,0.22253943053501005,0.10620227868789435,0.007259838312899589,0.25004148213263105,0.9813084112149533
19,Candidatus Andersenbacteria,3.181074383916202e-05,-4.497426175549458,0.003181074383916215,0.003029245662554645,0.00020707497044228574,0.002372021393475858,0.8364485981308412
20,Candidatus Azambacteria,8.277744269654556e-05,-4.0820879947018,0.008277744269654589,0.005904058842409499,0.0004035931536996658,0.007058166483500438,0.9299065420560748
21,Candidatus Bathyarchaeota,0.00019168897399083568,-3.7174028671566473,0.019168897399083645,0.019910696554386802,0.0013610671961837271,0.015452575177180058,0.9392523364485982
22,Candidatus Beckwithbacteria,0.00010206914447850818,-3.991105525376216,0.010206914447850862,0.006551659327787117,0.0004478622115135139,0.009765626490116398,0.9345794392523364
23,Candidatus Berkelbacteria,0.00014613276070194668,-3.835252411053149,0.014613276070194726,0.007350301421992604,0.0005024562611463515,0.014442977748950061,0.9719626168224299
24,Candidatus Bipolaricaulota,0.0001254521710333984,-3.901521818528993,0.012545217103339893,0.008956369116772991,0.000612244788546433,0.011722682835540049,0.9485981308411215
25,Candidatus Blackallbacteria,4.694443989851386e-05,-4.328415838209126,0.004694443989851404,0.003182315841663455,0.00021753863247087843,0.004358314748777261,0.9112149532710281
26,Candidatus Blackburnbacteria,2.7934426934226582e-05,-4.5538602336238805,0.0027934426934226693,0.0026270817017422557,0.00017958360804550097,0.0022306385680516674,0.8037383177570093
