source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00580000,60,4,0,neg
0,2,Undirected,-0.00090000,33,28,3,neg
0,3,Undirected,0.00050000,37,23,4,pos
0,4,Undirected,0.00040000,20,40,4,pos
0,5,Undirected,0.00150000,60,4,0,pos
0,6,Undirected,-0.00480000,60,4,0,neg
0,7,Undirected,0.00070000,16,45,3,pos
0,8,Undirected,0.00360000,56,7,1,pos
0,9,Undirected,-0.00530000,13,48,3,neg
0,10,Undirected,-0.00150000,20,40,4,neg
0,11,Undirected,-0.00590000,60,4,0,neg
0,12,Undirected,-0.00220000,5,55,4,neg
0,13,Undirected,-0.00330000,15,45,4,neg
0,14,Undirected,-0.00170000,4,56,4,neg
0,15,Undirected,0.00090000,3,57,4,pos
0,16,Undirected,-0.00130000,5,55,4,neg
0,17,Undirected,0.00040000,10,51,3,pos
0,18,Undirected,-0.00080000,29,31,4,neg
0,19,Undirected,0.00060000,12,48,4,pos
0,20,Undirected,-0.00160000,11,49,4,neg
0,21,Undirected,0.00030000,7,53,4,pos
0,22,Undirected,-0.00360000,17,44,3,neg
0,23,Undirected,-0.00460000,25,36,3,neg
0,24,Undirected,-0.00100000,3,57,4,neg
0,25,Undirected,0.00060000,4,57,3,pos
0,26,Undirected,-0.00040000,6,55,3,neg
0,27,Undirected,-0.00290000,20,40,4,neg
0,28,Undirected,-0.00100000,2,58,4,neg
0,29,Undirected,-0.00140000,17,43,4,neg
0,30,Undirected,-0.00150000,2,58,4,neg
0,31,Undirected,0.00230000,15,45,4,pos
0,32,Undirected,-0.00310000,6,54,4,neg
0,33,Undirected,0.00170000,16,44,4,pos
0,34,Undirected,0.00240000,11,49,4,pos
0,35,Undirected,-0.00900000,21,39,4,neg
0,36,Undirected,-0.00020000,8,53,3,neg
0,37,Undirected,-0.00400000,28,34,2,neg
0,38,Undirected,-0.00420000,2,58,4,neg
0,39,Undirected,-0.00510000,15,45,4,neg
0,40,Undirected,0.00130000,11,49,4,pos
0,41,Undirected,0.00200000,15,45,4,pos
