Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,estuarine_seawater phyla,0.1457933592176563,0.0014579335921765,0,0.0026678707329619794,-0.10506072546595412,0,0.00266787073296209,-0.10506072546595324,0.0051778390125810855,0,85,0,0.5555555555555556,0.18113336514069048,0.6232552788115782,0.11610944782428803,38,0,104,0,0.6797385620915033,0.6113251073498304,0.8444444444444444,0.4390072570876995,21.71428571428571,0,104,0,0.6797385620915033,0.6113251073498304,0.8222222222222221,0.4282601072759125,0.013368983957219202,0,104,0,0.6797385620915033,0.6113251073498304,0.9623410174880819,0.43627123315043564,0.013368983957219251,0,104,0,0.6797385620915033,0.6113251073498304,0.9639693440828109,0.4387779576881808,0.0,0,1,0,0.006535947712418301,-1.7207669688365594,0.0,-0.1838036433634487,D,0.1187490367459952,0,0.0021276885676031953,-0.10541257237890407,0.9375,1,0.9375,1.815377929059247,0.0163381809834515,0,0.00930507095718663,-0.10102271703049381,0.1307054478676126,0,0.009305070957186672,-0.10102271703049372,0.008169934640522876,0,104,0,0.6797385620915033,0.6113251073498304,0.9644670050761421,0.4390072570876985,0.619281045751634,0,1,0,0.006535947712418301,-1.7207669688365594,1.0,,0.6111111111111112,0,50,0,0.32679738562091504,-0.6113251073498304,0.9991563554555681,-0.43646891558957274,0.0,0,1,0,0.006535947712418301,-1.7207669688365594,0.0,-0.18380365552345193,0.008169934640522847,0,104,0,0.6797385620915033,0.6113251073498304,0.9628378378378434,0.4364689155893484
Actinomycetota,,estuarine_seawater phyla,14.134364182687218,0.1413436418268719,1,0.25864454138630033,2.7890812838824104,1,0.2586445413863004,2.7890812838824113,0.005405587921977626,0,96,0,0.6274509803921569,0.43019174220913986,0.6506693621154575,0.31169410572189454,37,0,89,0,0.5816993464052288,0.27170004771103573,0.8222222222222222,0.18649556410116572,21.063670411985015,0,89,0,0.5816993464052288,0.27170004771103573,0.797586350395339,0.17271902162728683,0.013297685217758362,0,89,0,0.5816993464052288,0.27170004771103573,0.9572087126175004,0.18357693478795503,0.01329768521775839,0,89,0,0.5816993464052288,0.27170004771103573,0.9588283551092319,0.18620418483564538,0.0,0,96,0,0.6274509803921569,0.43019174220913986,0.0,-0.1838036433634487,D,10.855088477198729,1,0.19449629475866748,2.0782371144177767,1.0,1,1.0,2.0169036487371463,1.4713479561055118,1,0.837975607452295,6.44288263878231,11.770783648844096,1,0.8379756074522952,6.442882638782311,0.008126934984520124,0,89,0,0.5816993464052288,0.27170004771103573,0.9593908629441623,0.18649556410116297,0.619281045751634,0,98,0,0.6405228758169934,0.4754750834943125,1.0,,0.6111541107671139,0,72,0,0.47058823529411764,-0.11320835321293155,0.9992266591676041,-0.18383432258127022,0.0,0,96,0,0.6274509803921569,0.43019174220913986,0.0,-0.18380365552345193,0.008126934984520107,0,89,0,0.5816993464052288,0.27170004771103573,0.9577702702702772,0.18383432258104598
Aquificota,,estuarine_seawater phyla,0.0157862588814985,0.0001578625888149,0,0.0002888725404153366,-0.13195832746866723,0,0.0002888725404154916,-0.13195832746866584,0.003908465205507115,0,26,0,0.16993464052287582,-1.1547252027719017,0.47046104860826654,-0.973994748321277,33,0,33,0,0.21568627450980393,-0.9962335082737976,0.7333333333333333,-0.8235512078449695,18.509225092250922,0,33,0,0.21568627450980393,-0.9962335082737976,0.700861008610086,-0.8305862002551372,0.013012590560596518,0,26,0,0.16993464052287582,-1.1547252027719017,0.9366867130899752,-0.8268447767764057,0.01301259056059647,0,26,0,0.16993464052287582,-1.1547252027719017,0.9382716313862234,-0.8237355942401653,0.0,0,97,0,0.6339869281045751,0.4528334128517262,0.0,-0.1838036433634487,s,0.0063400025283006,0,0.00011359713954475909,-0.12827529516482183,0.53125,0,0.53125,0.5054607511529011,0.0034306010217682,0,0.0019538274160191375,-0.15907454808073923,0.0274448081741462,0,0.00195382741601918,-0.15907454808073912,0.007954936360509117,0,33,0,0.21568627450980393,-0.9962335082737976,0.9390862944162437,-0.8235512078449689,0.619281045751634,0,99,0,0.6470588235294118,0.4981167541368988,1.0,,0.6113261093911249,0,129,0,0.8431372549019608,1.177366873414488,0.999507874015748,0.8267040494519398,0.0,0,97,0,0.6339869281045751,0.4528334128517262,0.0,-0.18380365552345193,0.007954936360509146,0,26,0,0.16993464052287582,-1.1547252027719017,0.9375000000000122,-0.8267040494521638
Armatimonadota,,estuarine_seawater phyla,0.0226578956871087,0.000226578956871,0,0.00041461653053674597,-0.13053663164261947,0,0.0004146165305369044,-0.13053663164261803,0.004871857426421428,0,70,0,0.45751633986928103,-0.15849169449810416,0.5864243463840204,-0.1466593356160979,35,0,51,0,0.3333333333333333,-0.588683436707244,0.7777777777777778,-0.3185278218719019,19.776951672862456,0,51,0,0.3333333333333333,-0.588683436707244,0.7488641057414291,-0.3326633485030775,0.013155117833274721,0,59,0,0.38562091503267976,-0.40755007156655354,0.9469462691675241,-0.3217050023668263,0.013155117833274709,0,59,0,0.38562091503267976,-0.40755007156655354,0.9485485471187284,-0.31883675217177254,0.0,0,98,0,0.6405228758169934,0.4754750834943125,0.0,-0.1838036433634487,s,0.0091968662849668,0,0.0001647850609024756,-0.12769424147496178,0.578125,0,0.578125,0.6566050409113257,0.0040675788371957,0,0.0023166048743365622,-0.1562097408408289,0.0325406306975663,0,0.0023166048743366117,-0.15620974084082873,0.00804093567251462,0,51,0,0.3333333333333333,-0.588683436707244,0.9492385786802029,-0.3185278218719081,0.619281045751634,0,100,0,0.6535947712418301,0.5207584247794851,1.0,,0.6112401100791194,0,105,0,0.6862745098039216,0.6339667779924166,0.9993672665916761,0.32143486343533473,0.0,0,98,0,0.6405228758169934,0.4754750834943125,0.0,-0.18380365552345193,0.008040935672514626,0,59,0,0.38562091503267976,-0.40755007156655354,0.9476351351351447,-0.32143486343555894
Atribacterota,,estuarine_seawater phyla,0.0056424912550298,5.642491255029813e-05,0,0.00010325187210903877,-0.13405700533871465,0,0.00010325187210903835,-0.134057005338715,0.003990492921740742,0,28,0,0.1830065359477124,-1.1094418614867292,0.4803347057511876,-0.9035515446186312,32,0,23,0,0.1503267973856209,-1.2226502146996607,0.7111111111111111,-1.0760629008315032,17.88235294117647,0,23,0,0.1503267973856209,-1.2226502146996607,0.6771241830065359,-1.0768017280516513,0.01294134196089471,0,21,0,0.13725490196078433,-1.2679335559848333,0.9315580174350885,-1.0793613716994634,0.012941341960894642,0,21,0,0.13725490196078433,-1.2679335559848333,0.9331342577353035,-1.076131748411012,0.0,0,99,0,0.6470588235294118,0.4981167541368988,0.0,-0.1838036433634487,o,0.0,0,0.0,-0.1295647797803185,0.3125,0,0.3125,-0.1998792677197466,0.0012599935494846,0,0.0007176031037620957,-0.16883685353470246,0.0100799483958769,0,0.0007176031037621029,-0.16883685353470265,0.007911936704506364,0,23,0,0.1503267973856209,-1.2226502146996607,0.9340101522842639,-1.0760629008315044,0.619281045751634,0,101,0,0.6601307189542484,0.5434000954220715,1.0,,0.6113691090471276,0,133,0,0.869281045751634,1.2679335559848333,0.999578177727784,1.0793386424602422,0.0,0,99,0,0.6470588235294118,0.4981167541368988,0.0,-0.18380365552345193,0.007911936704506406,0,21,0,0.13725490196078433,-1.2679335559848333,0.932432432432446,-1.0793386424604663
Bacillota,,estuarine_seawater phyla,2.8805083418927064,0.028805083418927,0,0.05271038367334659,0.4607335658046963,0,0.05271038367334662,0.4607335658046963,0.0046731543151181075,0,54,0,0.35294117647058826,-0.5207584247794851,0.5625064990474836,-0.3173002407709231,35,0,61,0,0.39869281045751637,-0.36226673028138096,0.7777777777777778,-0.3185278218719019,19.776951672862456,0,61,0,0.39869281045751637,-0.36226673028138096,0.7488641057414291,-0.3326633485030775,0.013155117833274721,0,54,0,0.35294117647058826,-0.5207584247794851,0.9469462691675241,-0.3217050023668263,0.013155117833274709,0,54,0,0.35294117647058826,-0.5207584247794851,0.9485485471187284,-0.31883675217177254,0.0,0,100,0,0.6535947712418301,0.5207584247794851,0.0,-0.1838036433634487,D,2.5469718663430347,0,0.04563542636237687,0.3884604139150662,1.0,1,1.0,2.0169036487371463,0.1667317169468601,0,0.09495857945113423,0.57537209646003,1.3338537355748812,0,0.09495857945113426,0.5753720964600302,0.00804093567251462,0,61,0,0.39869281045751637,-0.36226673028138096,0.9492385786802029,-0.3185278218719081,0.619281045751634,0,102,0,0.6666666666666666,0.5660417660646577,1.0,,0.6112401100791194,0,102,0,0.6666666666666666,0.5660417660646577,0.9993672665916761,0.32143486343533473,0.0,0,100,0,0.6535947712418301,0.5207584247794851,0.0,-0.18380365552345193,0.008040935672514626,0,54,0,0.35294117647058826,-0.5207584247794851,0.9476351351351447,-0.32143486343555894
Bacteroidota,,estuarine_seawater phyla,20.91532825639309,0.2091532825639305,1,0.38272931239771146,4.192017526423205,1,0.38272931239771146,4.192017526423206,0.006562356751498287,0,140,0,0.9150326797385621,1.4264252504829376,0.7899093573357902,1.3050961658586087,40,0,130,0,0.8496732026143791,1.2000085440570745,0.8888888888888888,0.9440306430607671,23.03030303030303,0,130,0,0.8496732026143791,1.2000085440570745,0.872053872053872,0.945150030519724,0.013511611541168287,0,130,0,0.8496732026143791,1.2000085440570745,0.9726077942826873,0.9417665269759962,0.013511611541168192,0,130,0,0.8496732026143791,1.2000085440570745,0.9742534927501546,0.9440321496027595,0.0,0,101,0,0.6601307189542484,0.5434000954220715,0.0,-0.1838036433634487,D,22.70148223453877,1,0.40675432442784976,4.487659260705181,1.0,1,1.0,2.0169036487371463,1.550193744687854,1,0.8828805854407957,6.797491512900692,12.401549957502832,1,0.8828805854407957,6.797491512900691,0.008255933952528379,0,130,0,0.8496732026143791,1.2000085440570745,0.9746192893401013,0.9440306430607593,0.619281045751634,0,103,0,0.673202614379085,0.588683436707244,1.0,,0.6110251117991056,0,26,0,0.16993464052287582,-1.1547252027719017,0.999015748031496,-0.94173810160683,0.0,0,101,0,0.6601307189542484,0.5434000954220715,0.0,-0.18380365552345193,0.008255933952528438,0,130,0,0.8496732026143791,1.2000085440570745,0.9729729729729889,0.9417381016066056
Balneolota,,estuarine_seawater phyla,0.0055036176855556,5.503617685555621e-05,0,0.0001007106265161647,-0.13408573735404886,0,0.00010071062651616415,-0.13408573735404922,0.008307733907130603,1,153,0,1.0,1.7207669688365594,1.0,2.803979277049609,45,1,152,0,0.9934640522875817,1.6981252981939732,1.0,2.206589107993436,26.40926640926641,1,152,0,0.9934640522875817,1.6981252981939732,1.0,2.272299833443021,0.013868356212601195,1,152,0,0.9934640522875817,1.6981252981939732,0.998287384533434,2.206127511812257,0.013868356212601197,1,152,0,0.9934640522875817,1.6981252981939732,0.9999765340842428,2.207790082635137,0.0,0,102,0,0.6666666666666666,0.5660417660646577,0.0,-0.1838036433634487,o,0.0,0,0.0,-0.1295647797803185,0.265625,0,0.265625,-0.3510235574781711,0.0016487741637436,0,0.0009390250115083007,-0.16708831301807794,0.0131901933099494,0,0.0009390250115083434,-0.16708831301807783,0.00847093223254214,1,152,0,0.9934640522875817,1.6981252981939732,1.0,2.206589107993437,0.619281045751634,0,104,0,0.6797385620915033,0.6113251073498304,1.0,,0.6108101135190919,0,3,0,0.0196078431372549,-1.675483627551387,0.9986642294713161,-2.2049110666483425,0.0,0,102,0,0.6666666666666666,0.5660417660646577,0.0,-0.18380365552345193,0.008470932232542139,1,152,0,0.9934640522875817,1.6981252981939732,0.99831081081082,2.2049110666481178
Bdellovibrionota,,estuarine_seawater phyla,0.0757683290038373,0.0007576832900383,0,0.0013864836404035672,-0.11954843719899871,0,0.0013864836404036984,-0.11954843719899759,0.004130498434467844,0,36,0,0.23529411764705882,-0.9283084963460386,0.4971871367861939,-0.7833185635559993,35,0,57,0,0.37254901960784315,-0.4528334128517262,0.7777777777777778,-0.3185278218719019,19.776951672862456,0,57,0,0.37254901960784315,-0.4528334128517262,0.7488641057414291,-0.3326633485030775,0.013155117833274721,0,57,0,0.37254901960784315,-0.4528334128517262,0.9469462691675241,-0.3217050023668263,0.013155117833274709,0,57,0,0.37254901960784315,-0.4528334128517262,0.9485485471187284,-0.31883675217177254,0.0,0,103,0,0.673202614379085,0.588683436707244,0.0,-0.1838036433634487,D,0.0676085160104951,0,0.0012113771238064326,-0.11581397433774387,0.921875,1,0.921875,1.7649964991397722,0.0072140321095481,0,0.004108601853214811,-0.1420585696440345,0.0577122568763852,0,0.00410860185321484,-0.1420585696440345,0.00804093567251462,0,57,0,0.37254901960784315,-0.4528334128517262,0.9492385786802029,-0.3185278218719081,0.619281045751634,0,105,0,0.6862745098039216,0.6339667779924166,1.0,,0.6112401100791194,0,101,0,0.6601307189542484,0.5434000954220715,0.9993672665916761,0.32143486343533473,0.0,0,103,0,0.673202614379085,0.588683436707244,0.0,-0.18380365552345193,0.008040935672514626,0,57,0,0.37254901960784315,-0.4528334128517262,0.9476351351351447,-0.32143486343555894
Caldisericota,,estuarine_seawater phyla,0.0039000637855183,3.900063785518314e-05,0,7.136721511805035e-05,-0.13441750196137855,0,7.136721511804998e-05,-0.13441750196137894,0.005048201042334581,0,77,0,0.5032679738562091,0.0,0.6076507864559388,0.004779834310942807,36,0,74,0,0.48366013071895425,-0.06792501192775893,0.8,-0.06601612888536808,20.417910447761194,0,74,0,0.48366013071895425,-0.06792501192775893,0.7731343283582089,-0.08091504099410833,0.013226396510482614,0,74,0,0.48366013071895425,-0.06792501192775893,0.9520771298947829,-0.06908180788318653,0.013226396510482623,0,74,0,0.48366013071895425,-0.06792501192775893,0.9536880895054256,-0.06633404928424888,0.0,0,104,0,0.6797385620915033,0.6113251073498304,0.0,-0.1838036433634487,o,0.0,0,0.0,-0.1295647797803185,0.21875,0,0.21875,-0.5021678472365956,0.0015049865240885,0,0.000857133753778186,-0.16773499781795134,0.0120398921927084,0,0.0008571337537782144,-0.16773499781795137,0.008083935328517372,0,74,0,0.48366013071895425,-0.06792501192775893,0.9543147208121826,-0.06601612888537256,0.619281045751634,0,106,0,0.6928104575163399,0.656608448635003,1.0,,0.6111971104231166,0,78,0,0.5098039215686274,0.02264167064258631,0.9992969628796401,0.06880027042703225,0.0,0,104,0,0.6797385620915033,0.6113251073498304,0.0,-0.18380365552345193,0.008083935328517367,0,74,0,0.48366013071895425,-0.06792501192775893,0.952702702702711,-0.06880027042725646
