id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.0051265343993126,-2.2901761241417073,0.5126534399312606,0.12977140868294193,0.06488570434147096,0.5280219009452708,1.0
1,Actinomycetota,0.3911769693914827,-0.40762672229094127,39.117696939148324,8.319397901368026,4.159698950684013,41.02636349642472,1.0
2,Aquificota,4.3000753731071e-05,-4.36652393190004,0.004300075373107106,0.00011760762268177383,5.8803811340886917e-05,0.004312242175204734,1.0
3,Armatimonadota,0.0002423392810394,-3.615576184888575,0.024233928103940032,0.004088726841073731,0.0020443634205368653,0.024230816394920023,1.0
4,Atribacterota,2.9263492813468372e-05,-4.533673838870829,0.0029263492813468416,0.0003293372168263882,0.0001646686084131941,0.002897729445756203,1.0
5,Bacillota,0.011586353873497926,-1.9360532112969593,1.158635387349794,0.11815473690879785,0.059077368454398926,1.104771983705061,1.0
6,Bacteroidota,0.036125324476081896,-1.442188243403866,3.612532447608195,2.00465721041538,1.00232860520769,3.1639905242729887,1.0
7,Balneolota,1.60467934008052e-05,-4.794611738802274,0.001604679340080522,0.00019681680531046582,9.840840265523291e-05,0.0015672033990211266,1.0
8,Bdellovibrionota,0.00035746444721147504,-3.446767145884394,0.03574644472114755,0.004871571371797861,0.0024357856858989303,0.03756941326211504,1.0
9,Caldisericota,6.84826498371952e-06,-5.164419443608253,0.0006848264983719529,0.00031665693518526523,0.00015832846759263262,0.0006069881523869606,1.0
10,Calditrichota,1.7807433087474e-05,-4.749398678868577,0.0017807433087474022,0.0003344876607615474,0.0001672438303807737,0.001694431801606022,1.0
11,Campylobacterota,0.0007418781387633251,-3.1296674262695445,0.0741878138763326,0.01995163758208051,0.009975818791040255,0.06659625882569506,1.0
12,Candidatus.Abawacabacteria,3.197810802535657e-06,-5.49514723472531,0.00031978108025356616,3.536421448639582e-05,1.768210724319791e-05,0.0003195087841853195,1.0
13,Candidatus.Absconditabacteria,6.8616542327444495e-06,-5.163571170365322,0.000686165423274446,0.00022064433699239355,0.00011032216849619678,0.0006516735811495,1.0
14,Candidatus.Adlerbacteria,2.7064508186902346e-05,-4.567599860450072,0.0027064508186902384,0.0006271972328830502,0.0003135986164415251,0.0025605944705611077,1.0
15,Candidatus.Aenigmarchaeota,6.928271564624277e-07,-6.159375097794063,6.928271564624286e-05,4.473929617303357e-05,2.2369648086516784e-05,6.231067738710709e-05,1.0
16,Candidatus.Altiarchaeota,2.0677800295416803e-06,-5.6844956633718065,0.0002067780029541683,0.00014597110020215013,7.298555010107506e-05,0.00014162151224041372,1.0
17,Candidatus.Amesbacteria,1.5317949458722126e-05,-4.814799367755983,0.0015317949458722143,0.00023658358366744959,0.00011829179183372479,0.0015778132852678627,1.0
18,Candidatus.Aminicenantes,0.00021386213458482502,-3.6698661027430743,0.021386213458482527,0.003999265400214848,0.001999632700107424,0.02138524713562002,1.0
19,Candidatus.Andersenbacteria,1.4271652080234874e-05,-4.845525750235042,0.0014271652080234893,0.000498393144872142,0.000249196572436071,0.001351603401499701,1.0
20,Candidatus.Azambacteria,1.8472517400874398e-05,-4.733473915669174,0.0018472517400874423,0.00011587903364274974,5.793951682137487e-05,0.0018276465019977878,1.0
21,Candidatus.Bathyarchaeota,9.335019733054015e-06,-5.029884759670188,0.0009335019733054027,0.0001652732512316058,8.26366256158029e-05,0.0009553640260423664,1.0
22,Candidatus.Beckwithbacteria,2.6649795169230525e-05,-4.574306124619201,0.002664979516923056,0.0006028019479118698,0.0003014009739559349,0.0028725306722817492,1.0
23,Candidatus.Berkelbacteria,3.424643262940555e-05,-4.46538466125343,0.0034246432629405593,0.0006434598550544242,0.0003217299275272121,0.0032685871236676775,1.0
24,Candidatus.Bipolaricaulota,1.3939073791303698e-05,-4.855766082815459,0.0013939073791303718,0.0003274926712197787,0.00016374633560988934,0.0014032026421498165,1.0
25,Candidatus.Blackallbacteria,1.1659257807039666e-05,-4.933329094565534,0.001165925780703968,0.00028506449487933073,0.00014253224743966537,0.0012193066943885712,1.0
26,Candidatus.Blackburnbacteria,6.8462746174791205e-06,-5.164545684446781,0.0006846274617479128,0.00012087107787233128,6.043553893616564e-05,0.0007077051017310375,1.0
27,Candidatus.Brennerbacteria,4.848666912069537e-07,-6.314377649503542,4.848666912069545e-05,2.4790362613661972e-05,1.2395181306830986e-05,5.188224726254033e-05,1.0
28,Candidatus.Buchananbacteria,5.78207840114563e-05,-4.237916023880498,0.005782078401145637,0.0011703386367387044,0.0005851693183693522,0.005845079040235667,1.0
29,Candidatus.Calescamantes,1.373616477929389e-06,-5.862134508011028,0.0001373616477929391,5.6804158147805805e-05,2.8402079073902903e-05,0.00013014130856627565,1.0
30,Candidatus.Campbellbacteria,1.2172373304239876e-05,-4.914624737098836,0.001217237330423989,0.00017267049291730394,8.633524645865197e-05,0.0012210908331507864,1.0
31,Candidatus.Chisholmbacteria,9.35535791864621e-06,-5.028939592544568,0.0009355357918646223,0.0005102984966991902,0.0002551492483495951,0.0007675561309820633,1.0
32,Candidatus.Cloacimonetes,7.814969102164314e-06,-5.107072734699953,0.0007814969102164324,0.0002745550910153282,0.0001372775455076641,0.0007008989679755462,1.0
33,Candidatus.Coatesbacteria,1.81129080506193e-05,-4.742011817551901,0.0018112908050619324,0.00043933111685915717,0.00021966555842957858,0.0017733545174469616,1.0
34,Candidatus.Collierbacteria,1.333049587495515e-05,-4.8751536951659435,0.0013330495874955169,7.978247728473042e-05,3.989123864236521e-05,0.0013330560624650063,1.0
35,Candidatus.Colwellbacteria,8.706910924906619e-06,-5.0601358985196345,0.000870691092490663,0.00019066494574734277,9.533247287367139e-05,0.0008443200433524278,1.0
36,Candidatus.Curtissbacteria,2.3002914733511526e-05,-4.638217130396414,0.0023002914733511555,0.0005222335659981365,0.00026111678299906824,0.0023593675556338478,1.0
37,Candidatus.Dadabacteria,7.94428703495808e-06,-5.099945072739466,0.000794428703495809,0.0001892116514680141,9.460582573400706e-05,0.000842721253380108,1.0
38,Candidatus.Daviesbacteria,3.747226176997665e-05,-4.4262900927462,0.0037472261769976698,0.0008167096469040124,0.0004083548234520062,0.003623552397274423,1.0
39,Candidatus.Delongbacteria,2.6199615593144177e-06,-5.581705080703194,0.00026199615593144215,6.954866645036537e-05,3.4774333225182686e-05,0.000287613203196008,1.0
40,Candidatus.Desantisbacteria,2.2914154645682274e-05,-4.639896160216599,0.0022914154645682304,0.0005894322037160205,0.00029471610185801024,0.0024273290786360575,1.0
41,Candidatus.Diapherotrites,4.387895716296625e-06,-5.357743702513714,0.00043878957162966307,0.00012589902434893913,6.294951217446957e-05,0.0004076567911523511,1.0
42,Candidatus.Doudnabacteria,4.22469097724148e-05,-4.374205052817743,0.004224690977241485,0.0005682284705278438,0.0002841142352639219,0.004112709617238479,1.0
43,Candidatus.Edwardsbacteria,1.735753922884665e-05,-4.7605118445445544,0.0017357539228846672,0.0002874166608816701,0.00014370833044083505,0.001685103426691727,1.0
44,Candidatus.Eisenbacteria,0.00011233589166229603,-3.949481463146547,0.011233589166229617,0.001938338128805819,0.0009691690644029095,0.011251674701327884,1.0
