id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.007607361705616158,-2.118765933946292,0.7607361705616176,0.5795897301702378,0.10762711094790857,0.5023559995583105,1.0
1,Actinomycetota,0.14611616910041525,-0.8353017227204569,14.611616910041555,8.236476169556655,1.5294752276930519,14.255104411140435,1.0
2,Aquificota,6.924626450234099e-05,-4.1596036496971225,0.006924626450234115,0.011635437013330996,0.0021606464110282856,0.003701174392124815,0.9310344827586207
3,Armatimonadota,0.0004799876061230035,-3.3187699765033316,0.04799876061230044,0.02913461049777308,0.005410161349040658,0.03826444910012006,1.0
4,Atribacterota,3.141991709509075e-05,-4.502794965228322,0.0031419917095090832,0.005751824644234656,0.0010680870224462555,0.001697837709352823,0.9310344827586207
5,Bacillota,0.014435550638334281,-1.8405666454771221,1.4435550638334314,0.8865766049074618,0.16463314246815364,1.2537892889432531,1.0
6,Bacteroidota,0.07419405179388769,-1.1296309111177483,7.419405179388781,12.537923811170964,2.3282340021535033,4.919760144657782,1.0
7,Balneolota,4.342632950316857e-05,-4.362246876690854,0.004342632950316867,0.004593327461741044,0.0008529594963659425,0.0025690100319841745,0.9310344827586207
8,Bdellovibrionota,0.0005135053552689104,-3.289455022852274,0.05135053552689114,0.02972764849311603,0.005520285740137708,0.04641448131817009,0.9655172413793104
9,Caldisericota,6.866049654569103e-06,-5.163293060125622,0.0006866049654569117,0.001210870371854387,0.00022485298319007297,0.00036062724846344353,0.7931034482758621
10,Calditrichota,0.001128173222858995,-2.9476242124484084,0.1128173222858998,0.5805068674491121,0.10779741906506389,0.004536311178040157,0.9310344827586207
11,Campylobacterota,0.03315190441447318,-1.4794915184525488,3.3151904414473266,12.297014650354958,2.2834982940658253,0.09425492377580026,1.0
12,Candidatus Abawacabacteria,7.888584917772728e-06,-5.103000895082168,0.0007888584917772747,0.0012016926797028952,0.0002231487285423168,0.0004904864493685939,0.7931034482758621
13,Candidatus Absconditabacteria,6.374221175942559e-05,-4.195572871231776,0.0063742211759425715,0.011384942852096184,0.0021141308130464102,0.002087925526679216,0.9310344827586207
14,Candidatus Adlerbacteria,2.3667715630555065e-05,-4.625843657445672,0.0023667715630555117,0.0030097281869321114,0.0005588924934933636,0.0014359485257017506,0.8620689655172413
15,Candidatus Aenigmarchaeota,3.779981195818627e-07,-6.422510360631695,3.779981195818633e-05,8.005101933709239e-05,1.486510110721909e-05,0.0,0.3448275862068966
16,Candidatus Altiarchaeota,8.055447268257792e-06,-5.09391034093768,0.0008055447268257813,0.002963703658666796,0.0005503459531526966,3.031636950561285e-05,0.5172413793103449
17,Candidatus Amesbacteria,1.636673101665108e-05,-4.786038055053627,0.0016366731016651116,0.0023301181198097046,0.00043269207225053936,0.0008254611851641519,0.8620689655172413
18,Candidatus Aminicenantes,0.0004008887620135201,-3.3969761180171845,0.04008887620135211,0.028689401811461342,0.0053274881714766385,0.029137529137520112,0.9655172413793104
19,Candidatus Andersenbacteria,1.0709413982576755e-05,-4.970234293042682,0.0010709413982576779,0.001217623803318445,0.00022610706392964673,0.0006437010632456102,0.896551724137931
20,Candidatus Azambacteria,3.154898063559536e-05,-4.5010146684796855,0.0031548980635595436,0.0038954923955449388,0.0007233747777568514,0.002140841693320154,0.896551724137931
21,Candidatus Bathyarchaeota,2.392689015349837e-05,-4.621113744217377,0.0023926890153498437,0.0052447415912474276,0.0009739240634379403,0.0011015490533562821,0.8275862068965517
