Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,grassland phyla,0.930941488898934,0.0093094148889893,0,0.018597750152506407,0.0634959722553984,0,0.018597750152506462,0.06349597225539884,0.004194470121538584,0,73,0,0.4591194968553459,-0.1525106346157083,0.6464425661714058,-0.19529949038257532,50,0,80,0,0.5031446540880503,0.0,0.819672131147541,-0.01943136715679203,29.69924812030075,0,80,0,0.5031446540880503,0.0,0.7857759151978306,-0.03645125900945997,0.012733394551576337,0,80,0,0.5031446540880503,0.0,0.9491321126024262,-0.019708919521979354,0.012733394551576368,0,80,0,0.5031446540880503,0.0,0.949132112602432,-0.019708919521960203,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.3571786979829303,0,0.006872243121299893,-0.03906942151190759,1.0,0,1.0,0.7407126410026712,0.0869417196411728,0,0.062388921274930814,0.39143331882644095,1.214075042887399,0,0.062388921274930884,0.3914333188264413,0.008279595573600827,0,80,0,0.5031446540880503,0.0,0.9497716894977167,-0.019431367156787477,0.6585064883369158,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.650226892763315,0,82,0,0.5157232704402516,0.04357446703305951,0.9990825688073395,0.01943136715692276,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008279595573600806,0,80,0,0.5031446540880503,0.0,0.949771689497711,-0.01943136715681697
Actinomycetota,,grassland phyla,32.949031707822954,0.3294903170782291,1,0.658234557999842,6.795111645090635,1,0.658234557999842,6.7951116450906355,0.005523978557084289,0,146,0,0.9182389937106918,1.4379574120909637,0.8513435000003107,1.4716421205111165,56,0,138,0,0.8679245283018868,1.2636595439587257,0.9180327868852459,1.3046775090989404,34.03076923076923,0,138,0,0.8679245283018868,1.2636595439587257,0.9003783102143758,1.316698869895645,0.013105517790434146,0,138,0,0.8679245283018868,1.2636595439587257,0.9768697370367406,1.3048895540667709,0.013105517790434196,0,138,0,0.8679245283018868,1.2636595439587257,0.976869737036748,1.3048895540668157,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,26.9719351647011,1,0.5189494696926807,5.718160658182494,1.0,0,1.0,0.7407126410026712,1.393544204075024,1,1.0,8.862654532518393,19.459785777306564,1,1.0,8.862654532518391,0.008518430061300852,0,138,0,0.8679245283018868,1.2636595439587257,0.9771689497716894,1.304677509098949,0.6585064883369158,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.649988058275615,0,23,0,0.14465408805031446,-1.241872310442196,0.9987155963302753,-1.3046775090987903,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008518430061300819,0,138,0,0.8679245283018868,1.2636595439587257,0.9771689497716821,1.304677509098896
Aquificota,,grassland phyla,0.0021929298646332,2.1929298646332835e-05,0,4.3808942034215504e-05,-0.13176796489295917,0,4.3808942034213776e-05,-0.13176796489295933,0.003778023639616202,0,35,0,0.22012578616352202,-0.980425508243839,0.5822607447144896,-0.7174413218044807,46,0,31,0,0.1949685534591195,-1.067574442309958,0.7540983606557377,-0.902170617993947,26.918518518518518,0,31,0,0.1949685534591195,-1.067574442309958,0.7122040072859744,-0.9051402306522436,0.012485464226696781,0,31,0,0.1949685534591195,-1.067574442309958,0.9306516805324087,-0.9022341036513963,0.01248546422669686,0,31,0,0.1949685534591195,-1.067574442309958,0.9306516805324179,-0.9022341036511824,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.0004186121229024,0,8.054243711494373e-06,-0.11624277081969406,0.9435897435897436,0,0.9435897435897436,0.4280904380312258,0.0003559768518952,0,0.00025544711883142767,-0.1699363325083505,0.0049709462098903,0,0.00025544711883145564,-0.1699363325083504,0.008120372581800811,0,31,0,0.1949685534591195,-1.067574442309958,0.9315068493150683,-0.9021706179939419,0.6585064883369158,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6503861157551151,0,136,0,0.8553459119496856,1.2200850769256664,0.9993272171253823,0.9021706179942699,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.008120372581800761,0,31,0,0.1949685534591195,-1.067574442309958,0.9315068493150592,-0.9021706179941641
Armatimonadota,,grassland phyla,0.0278571986497959,0.0002785719864979,0,0.0005565131929508193,-0.12637220290950682,0,0.0005565131929509365,-0.12637220290950577,0.004792446421218613,0,116,0,0.7295597484276729,0.7843404065950712,0.7386013663235081,0.5544449637439879,52,0,113,0,0.710691823899371,0.7189787060454819,0.8524590163934426,0.42193825826178544,31.12121212121212,0,113,0,0.710691823899371,0.7189787060454819,0.823397913561848,0.40776469239878166,0.012857405253168336,0,113,0,0.710691823899371,0.7189787060454819,0.9583757230717769,0.4217157723129704,0.012857405253168431,0,113,0,0.710691823899371,0.7189787060454819,0.9583757230717874,0.421715772313204,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.0075659846808377,0,0.0001455721924974152,-0.11469667107112846,0.9948717948717948,0,0.9948717948717948,0.7122924407325393,0.0021914653874019,0,0.001572584049356728,-0.15803613363018135,0.0306021487172924,0,0.0015725840493567888,-0.15803613363018099,0.008359207069500836,0,113,0,0.710691823899371,0.7189787060454819,0.958904109589041,0.4219382582617946,0.6585064883369158,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6501472812674151,0,48,0,0.3018867924528302,-0.6971914725289522,0.9989602446483181,-0.42193825826144304,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.008359207069500774,0,113,0,0.710691823899371,0.7189787060454819,0.9589041095890305,0.42193825826154885
Atribacterota,,grassland phyla,0.0008927936143154,8.9279361431543e-06,0,1.7835656456164436e-05,-0.13204131091389978,0,1.7835656456163816e-05,-0.13204131091389995,0.00304117276200483,0,6,0,0.03773584905660377,-1.6122552802232017,0.46869889818641775,-1.6413071327120843,42,0,6,0,0.03773584905660377,-1.6122552802232017,0.6885245901639344,-1.784909868831102,24.21897810218978,0,6,0,0.03773584905660377,-1.6122552802232017,0.6407801842766543,-1.748466020641223,0.012237655265251226,0,6,0,0.03773584905660377,-1.6122552802232017,0.912180294748677,-1.7843272862215454,0.012237655265251177,0,6,0,0.03773584905660377,-1.6122552802232017,0.9121802947486767,-1.784327286221754,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.00014025193455,0,2.6984962930412578e-06,-0.11630298492127247,0.8923076923076924,0,0.8923076923076924,0.14388843532991233,0.0001101671782136,0,7.905538833389524e-05,-0.17153001394323963,0.0015384009215198,0,7.905538833391673e-05,-0.1715300139432396,0.007961149590000795,0,6,0,0.03773584905660377,-1.6122552802232017,0.9132420091324199,-1.7849098688310965,0.6585064883369158,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.650545338746915,0,155,0,0.9748427672955975,1.6340425137397316,0.999571865443425,1.7849098688310017,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.007961149590000827,0,6,0,0.03773584905660377,-1.6122552802232017,0.9132420091324203,-1.7849098688308958
Bacillota,,grassland phyla,5.799736896328128,0.0579973689632812,0,0.11586341250700626,1.0871316497233596,0,0.1158634125070063,1.0871316497233598,0.003470916322695448,0,19,0,0.11949685534591195,-1.329021244508315,0.5349300363561607,-1.1024933845805973,44,0,10,0,0.06289308176100629,-1.5251063461570828,0.7213114754098361,-1.3435402434125245,25.558823529411768,0,10,0,0.06289308176100629,-1.5251063461570828,0.6762295081967213,-1.3299035881099268,0.01236154458111497,0,10,0,0.06289308176100629,-1.5251063461570828,0.9214148572699544,-1.343334675303804,0.012361544581114988,0,10,0,0.06289308176100629,-1.5251063461570828,0.9214148572699591,-1.3433346753037922,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,1.6865079365079445,0,0.03244900278526211,0.2484873813250405,1.0,0,1.0,0.7407126410026712,0.6608145506979235,1,0.47419705005808865,4.1120780890036865,9.227773010361124,1,0.47419705005808876,4.112078089003686,0.008040761085900804,0,10,0,0.06289308176100629,-1.5251063461570828,0.9223744292237442,-1.3435402434125143,0.6585064883369158,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.650465727251015,0,150,0,0.9433962264150944,1.5251063461570828,0.9994495412844037,1.3435402434126358,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.008040761085900794,0,10,0,0.06289308176100629,-1.5251063461570828,0.9223744292237398,-1.3435402434125299
Bacteroidota,,grassland phyla,5.660431288025482,0.0566043128802547,0,0.11308045468532851,1.0578434626468638,0,0.11308045468532861,1.057843462646865,0.003678875445724179,0,28,0,0.1761006289308176,-1.1329361428595472,0.5669802418062203,-0.8417536207149657,46,0,30,0,0.18867924528301888,-1.0893616758264877,0.7540983606557377,-0.902170617993947,26.918518518518518,0,30,0,0.18867924528301888,-1.0893616758264877,0.7122040072859744,-0.9051402306522436,0.012485464226696781,0,30,0,0.18867924528301888,-1.0893616758264877,0.9306516805324087,-0.9022341036513963,0.01248546422669686,0,30,0,0.18867924528301888,-1.0893616758264877,0.9306516805324179,-0.9022341036511824,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,3.46751527594633,0,0.0667162071469987,0.6337499344351324,1.0,0,1.0,0.7407126410026712,0.5262588118316811,1,0.37764055872270624,3.2396999609293293,7.348804373566224,1,0.37764055872270624,3.239699960929328,0.008120372581800811,0,30,0,0.18867924528301888,-1.0893616758264877,0.9315068493150683,-0.9021706179939419,0.6585064883369158,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6503861157551151,0,129,0,0.8113207547169812,1.067574442309958,0.9993272171253823,0.9021706179942699,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.008120372581800761,0,30,0,0.18867924528301888,-1.0893616758264877,0.9315068493150592,-0.9021706179941641
Balneolota,,grassland phyla,0.0014263099558625,1.426309955862574e-05,0,2.849390269472077e-05,-0.13192914223232272,0,2.849390269471926e-05,-0.13192914223232288,0.005643636721300729,0,150,0,0.9433962264150944,1.5251063461570828,0.8697849547009252,1.62166988090939,56,0,139,0,0.8742138364779874,1.2854467774752556,0.9180327868852459,1.3046775090989404,34.03076923076923,0,139,0,0.8742138364779874,1.2854467774752556,0.9003783102143758,1.316698869895645,0.013105517790434146,0,139,0,0.8742138364779874,1.2854467774752556,0.9768697370367406,1.3048895540667709,0.013105517790434196,0,139,0,0.8742138364779874,1.2854467774752556,0.976869737036748,1.3048895540668157,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,D,0.0004040629685957,0,7.774312892076557e-06,-0.1162459180522796,0.9333333333333332,0,0.9333333333333332,0.37125003749096264,0.0001369433432208,0,9.826982367717371e-05,-0.17135641346433914,0.0019123097171322,0,9.826982367721026e-05,-0.17135641346433897,0.008518430061300852,0,139,0,0.8742138364779874,1.2854467774752556,0.9771689497716894,1.304677509098949,0.6585064883369158,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.649988058275615,0,18,0,0.11320754716981132,-1.3508084780248448,0.9987155963302753,-1.3046775090987903,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.008518430061300819,0,139,0,0.8742138364779874,1.2854467774752556,0.9771689497716821,1.304677509098896
Bdellovibrionota,,grassland phyla,0.0196766309234878,0.0001967663092348,0,0.0003930870738082356,-0.12809211929248243,0,0.00039308707380839096,-0.12809211929248096,0.0047322949600176675,0,114,0,0.7169811320754716,0.7407659395620116,0.7293309546121391,0.4790268836843779,52,0,112,0,0.7044025157232704,0.6971914725289522,0.8524590163934426,0.42193825826178544,31.12121212121212,0,112,0,0.7044025157232704,0.6971914725289522,0.823397913561848,0.40776469239878166,0.012857405253168336,0,112,0,0.7044025157232704,0.6971914725289522,0.9583757230717769,0.4217157723129704,0.012857405253168431,0,112,0,0.7044025157232704,0.6971914725289522,0.9583757230717874,0.421715772313204,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.0042199922196328,0,8.119412682526924e-05,-0.1154204668521708,0.9948717948717948,0,0.9948717948717948,0.7122924407325393,0.0018995225076312,0,0.001363087372525813,-0.159928914905101,0.026525388265105,0,0.001363087372525865,-0.1599289149051007,0.008359207069500836,0,112,0,0.7044025157232704,0.6971914725289522,0.958904109589041,0.4219382582617946,0.6585064883369158,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6501472812674151,0,54,0,0.33962264150943394,-0.5664680714297736,0.9989602446483181,-0.42193825826144304,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008359207069500774,0,112,0,0.7044025157232704,0.6971914725289522,0.9589041095890305,0.42193825826154885
Caldisericota,,grassland phyla,0.0001867818665459,1.8678186654590012e-06,0,3.7314079654436568e-06,-0.13218974574289785,0,3.7314079654436496e-06,-0.13218974574289805,0.004385385618865893,0,90,0,0.5660377358490566,0.21787233516529755,0.6758660452851121,0.04407092514151156,51,0,85,0,0.5345911949685535,0.10893616758264878,0.8360655737704918,0.20125344555249672,30.40754716981132,0,85,0,0.5345911949685535,0.10893616758264878,0.8045159294772657,0.18481857339011676,0.012795396106281397,0,85,0,0.5345911949685535,0.10893616758264878,0.9537536348809897,0.2009899139465584,0.012795396106281377,0,85,0,0.5345911949685535,0.10893616758264878,0.9537536348809916,0.2009899139463853,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,D,5.2644213558622513e-05,0,1.0128930883828237e-06,-0.11632193597976274,0.7589743589743589,0,0.7589743589743589,-0.5950367716935042,2.7814015612404244e-05,0,1.995919148532932e-05,-0.1720639421014615,0.0003884015905927,0,1.995919148532676e-05,-0.17206394210146167,0.008319401321550832,0,85,0,0.5345911949685535,0.10893616758264878,0.9543378995433789,0.20125344555250355,0.6585064883369158,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.650187087015365,0,64,0,0.4025157232704403,-0.3485957362644761,0.9990214067278287,-0.2012534455525679,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.008319401321550846,0,85,0,0.5345911949685535,0.10893616758264878,0.9543378995433771,0.2012534455526737
