id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.004772499258811818,-2.3212541303819565,0.4772499258811832,0.6611902038240016,0.10326056145508854,0.17966266252927027,1.0
1,Actinomycetota,0.45451171971934684,-0.3424549138857539,45.451171971934734,30.339867666503327,4.7382912686803085,38.18738008389674,1.0
2,Aquificota,2.501961868665801e-05,-4.601719313489211,0.00250196186866581,0.0046018144104915,0.0007186826679996557,0.0003734764495087854,0.5609756097560976
3,Armatimonadota,0.000252078499323401,-3.598464195273227,0.02520784993234019,0.04304377299939865,0.0067223079551952955,0.0067225760911581375,1.0
4,Atribacterota,4.116983773646884e-05,-4.385420844692946,0.0041169837736469,0.008969324853563242,0.0014007732039819421,0.000611725555446805,0.7317073170731707
5,Bacillota,0.00891289840651408,-2.049981043745022,0.8912898406514106,1.0557082576808325,0.1648739300588815,0.45695623924872075,1.0
6,Bacteroidota,0.022961686323383055,-1.638996220191889,2.2961686323383117,2.727464818520733,0.4259584411272071,1.6899454188642218,1.0
7,Balneolota,8.217703928743525e-06,-5.085249509755727,0.0008217703928743553,0.001338716613024401,0.000209072409558794,0.00025123387235560644,0.7317073170731707
8,Bdellovibrionota,0.00020664032840199325,-3.6847849166340993,0.02066403284019939,0.02875636187430793,0.004490989212140756,0.00896343478821085,0.975609756097561
9,Caldisericota,5.476471657949192e-06,-5.261499155566603,0.0005476471657949212,0.001040787765807188,0.00016254374071374605,0.0,0.4146341463414634
10,Calditrichota,2.900963309622094e-05,-4.537457763968598,0.002900963309622104,0.005088570347948293,0.0007947011738738981,0.0005825265340836281,0.7804878048780488
11,Campylobacterota,0.0008997332728841721,-3.0458862186529667,0.0899733272884175,0.27501956342550743,0.042950839813123594,0.017045270355760006,1.0
12,Candidatus.Abawacabacteria,4.854390106571523e-06,-5.313865326000848,0.00048543901065715414,0.001007768649877122,0.00015738702116471166,0.0,0.34146341463414637
13,Candidatus.Absconditabacteria,3.414745247608351e-05,-4.466641690718854,0.003414745247608364,0.010431184444493908,0.0016290773156505231,0.00016270056912659118,0.5609756097560976
14,Candidatus.Adlerbacteria,9.103264016727193e-05,-4.040802861493239,0.009103264016727217,0.018581133361011422,0.0029018854971430324,0.0007469528990175708,0.7560975609756098
15,Candidatus.Aenigmarchaeota,3.216285684674243e-06,-5.492645382259672,0.0003216285684674257,0.0007834774478702487,0.000122358620388781,0.0,0.24390243902439024
16,Candidatus.Altiarchaeota,2.476239040919298e-06,-5.606207433504404,0.0002476239040919307,0.0005586253737119551,8.724262609902446e-05,0.0,0.2926829268292683
17,Candidatus.Amesbacteria,5.110839438901925e-05,-4.291507762538055,0.005110839438901946,0.014756498832305051,0.0023045779349459027,0.0003832944928247274,0.7073170731707317
18,Candidatus.Aminicenantes,0.0004921741553029566,-3.3078811953955203,0.0492174155302958,0.07643727940854286,0.011937497473762625,0.0054410253309957165,1.0
19,Candidatus.Andersenbacteria,1.4167888140465717e-05,-4.848694880683754,0.0014167888140465769,0.0034907133120415813,0.0005451578296161694,0.0,0.4878048780487805
20,Candidatus.Azambacteria,6.512048751500636e-05,-4.186282356824559,0.006512048751500663,0.02482986788646305,0.003877773875026027,0.00029770632164488744,0.6585365853658537
21,Candidatus.Bathyarchaeota,6.1903484269163e-05,-4.208284905805656,0.006190348426916321,0.012166141456563768,0.001900032078940489,0.0,0.4146341463414634
22,Candidatus.Beckwithbacteria,4.550692350584767e-05,-4.341922523966176,0.004550692350584783,0.010441015150378216,0.001630612613970496,0.0010457221077156504,0.926829268292683
23,Candidatus.Berkelbacteria,8.752826650165719e-05,-4.057851672654635,0.00875282665016575,0.014890706760446524,0.002325537691959032,0.0013296248886439206,0.8292682926829268
24,Candidatus.Bipolaricaulota,1.3093140496054321e-05,-4.882956171896724,0.001309314049605437,0.00293834340965358,0.0004588921440061931,0.0005724082071888762,0.5853658536585366
25,Candidatus.Blackallbacteria,8.978646628304776e-06,-5.046789120588187,0.000897864662830481,0.001622490484525074,0.000253390442596748,0.0001813124848150791,0.5609756097560976
26,Candidatus.Blackburnbacteria,2.6647669002413682e-05,-4.574340774767421,0.0026647669002413795,0.008279330845102937,0.0012930142440000978,0.0,0.3902439024390244
27,Candidatus.Brennerbacteria,5.280734837603478e-06,-5.2773056392634095,0.0005280734837603499,0.0017887877255360867,0.00027936170831713406,0.0,0.24390243902439024
28,Candidatus.Buchananbacteria,0.00013493208329733899,-3.869884774254391,0.013493208329733945,0.032678268079668484,0.005103488058006182,0.0022408586970527125,0.7317073170731707
29,Candidatus.Calescamantes,1.6650170506033184e-06,-5.778581314743236,0.00016650170506033246,0.0004808252001468109,7.50922803177694e-05,0.0,0.2682926829268293
30,Candidatus.Campbellbacteria,6.277308797805986e-05,-4.202226506703039,0.006277308797806005,0.011752604415400469,0.0018354484435417332,0.0006217969683667016,0.6585365853658537
31,Candidatus.Chisholmbacteria,3.222383604244954e-05,-4.4918227608471994,0.003222383604244963,0.006242330585044396,0.0009748882504186865,0.0004293356460213478,0.6829268292682927
32,Candidatus.Cloacimonetes,5.8818849145892635e-06,-5.230483477184916,0.0005881884914589285,0.0014045129461677977,0.00021934807042427423,0.0,0.36585365853658536
33,Candidatus.Coatesbacteria,2.0451140915647774e-05,-4.68928245882785,0.002045114091564785,0.004401773041215251,0.0006874414548264361,0.00025123387235560644,0.6341463414634146
34,Candidatus.Collierbacteria,0.00016739370884174225,-3.7762608681268564,0.016739370884174286,0.035943871427459945,0.005613489617666801,0.0008083360588767118,0.7560975609756098
35,Candidatus.Colwellbacteria,3.972300879539596e-05,-4.4009578635566,0.003972300879539613,0.012743048866155215,0.001990129879357796,0.0,0.4634146341463415
36,Candidatus.Curtissbacteria,0.00013264675294352254,-3.8773033766350657,0.013264675294352312,0.04401793170614769,0.0068744459851048335,0.00025123387235560644,0.6097560975609756
37,Candidatus.Dadabacteria,1.5989908587966043e-05,-4.796154019046473,0.0015989908587966087,0.0024262952778550313,0.00037892366099518093,0.00011619516604870218,0.5365853658536586
38,Candidatus.Daviesbacteria,0.0006184488657503443,-3.208696202648447,0.0618448865750347,0.2266992684315042,0.035404477568342925,0.0011908252865795517,0.7804878048780488
39,Candidatus.Delongbacteria,1.8111756788968982e-05,-4.742039422311494,0.0018111756788969054,0.0057133373096892965,0.0008922733805927054,0.0,0.43902439024390244
40,Candidatus.Desantisbacteria,3.416250320279501e-05,-4.4664503145834065,0.0034162503202795143,0.007052561576626202,0.0011014250723727528,0.0005216511301571731,0.6829268292682927
41,Candidatus.Diapherotrites,8.195501231146239e-06,-5.086424480133238,0.000819550123114627,0.0018447610548817763,0.0002881032737264803,0.0,0.36585365853658536
42,Candidatus.Doudnabacteria,8.140571367716566e-05,-4.089345111924313,0.0081405713677166,0.02582203974395867,0.004032725086451124,0.0007469528990175708,0.7317073170731707
43,Candidatus.Edwardsbacteria,5.781259326138117e-05,-4.237977549326699,0.005781259326138139,0.014294611792787643,0.0022324432984168778,0.001142653698950442,0.8048780487804879
44,Candidatus.Eisenbacteria,0.0001631986055702709,-3.7872835563402703,0.016319860557027135,0.019756502505914066,0.0030854473181102723,0.0028212723938496336,0.9024390243902439
45,Candidatus.Falkowbacteria,0.00019372881081546788,-3.7128057873979388,0.01937288108154686,0.038795883601157155,0.0060588990877851944,0.0035053747064248716,0.8048780487804879
46,Candidatus.Firestonebacteria,2.8837087313640993e-05,-4.540048607596673,0.002883708731364111,0.006681771263348942,0.0010435173542763883,0.0,0.36585365853658536
47,Candidatus.Fischerbacteria,5.598867333764076e-06,-5.25189982307419,0.0005598867333764094,0.0008397068687513124,0.00013114018057659444,0.00018531421878937898,0.5365853658536586
48,Candidatus.Fraserbacteria,8.83887846201406e-06,-5.053602837776421,0.0008838878462014089,0.0018947749391194455,0.00029591413017453834,0.0,0.4634146341463415
49,Candidatus.Giovannonibacteria,0.0001212148164698407,-3.916444291738961,0.012121481646984119,0.04240750471891687,0.006622939544262061,0.0009762034147595461,0.9512195121951219
50,Candidatus.Glassbacteria,5.7499915283779106e-05,-4.240332795168011,0.0057499915283779355,0.01723629271165913,0.002691856673792969,0.00034776742010478204,0.7560975609756098
51,Candidatus.Gottesmanbacteria,0.00029124951443806007,-3.5357347900072873,0.029124951443806123,0.09097647057734705,0.014208137653412374,0.001287918466174973,1.0
52,Candidatus.Gracilibacteria,4.289715193567457e-06,-5.367571540908058,0.00042897151935674717,0.0011648597498512218,0.00018192052920688593,0.0,0.3170731707317073
53,Candidatus.Gribaldobacteria,1.4215345079109903e-05,-4.847242593297898,0.0014215345079109957,0.00314587830991533,0.0004913036501032472,0.00012087498987672007,0.5365853658536586
54,Candidatus.Handelsmanbacteria,0.00012742539731245233,-3.894744003606732,0.012742539731245273,0.031060098577143945,0.00485077243942351,0.004129147499265937,0.8780487804878049
55,Candidatus.Harrisonbacteria,0.00011303857351324007,-3.9467733316906135,0.011303857351324043,0.02691829005332914,0.004203930621237058,0.0012170919261925023,0.7804878048780488
56,Candidatus.Heimdallarchaeota,6.309462913638414e-06,-5.200007608041221,0.0006309462913638436,0.0012696026126049161,0.00019827861611411234,0.0,0.43902439024390244
57,Candidatus.Huberarchaea,6.399980853589301e-07,-6.193821325265012,6.399980853589325e-05,0.00017738179918807032,2.770238286977023e-05,0.0,0.14634146341463414
58,Candidatus.Hydrogenedentes,7.607032028613646e-06,-5.118784755189586,0.0007607032028613675,0.0015381884232792864,0.0002402246725570297,0.0,0.4634146341463415
59,Candidatus.Jacksonbacteria,9.641199520887658e-06,-5.015868929489899,0.0009641199520887689,0.002635268886891983,0.00041155985565392053,6.217969683667017e-05,0.5365853658536586
60,Candidatus.Jorgensenbacteria,7.660883215369451e-05,-4.115721158115514,0.007660883215369483,0.025173009879944964,0.0039313636510100525,0.000932695452550053,0.6585365853658537
61,Candidatus.Kaiserbacteria,0.0003790542067368247,-3.4212986792052456,0.037905420673682605,0.10543396211777525,0.016466018494753744,0.0051949786820339175,1.0
62,Candidatus.Kerfeldbacteria,4.191432196043988e-05,-4.377637554942966,0.004191432196044005,0.010050457579430629,0.0015696177688815352,0.0003137166323146951,0.6829268292682927
63,Candidatus.Komeilibacteria,4.0508196479711406e-05,-4.392457092198918,0.0040508196479711565,0.009481778297435767,0.0014808049861042862,0.00040134933646920987,0.7804878048780488
64,Candidatus.Korarchaeota,2.1017244846453825e-07,-6.677424216300464,2.1017244846453922e-05,8.58077216882857e-05,1.340091469515011e-05,0.0,0.07317073170731707
65,Candidatus.Kuenenbacteria,3.527551477873115e-05,-4.452526639829289,0.0035275514778731285,0.008784338966631165,0.0013718832621234594,0.0001112514115022832,0.5365853658536586
66,Candidatus.Levybacteria,0.0009699435303183482,-3.0132535494296566,0.0969943530318352,0.369952456383828,0.05777686683339288,0.0020034287251610642,0.9024390243902439
67,Candidatus.Lindowbacteria,4.057753738904276e-05,-4.391714313409192,0.004057753738904289,0.01093891026654691,0.0017083707672885253,0.0007537016170668205,0.926829268292683
68,Candidatus.Liptonbacteria,8.695179914044167e-05,-4.060721427477459,0.008695179914044204,0.029186501935655737,0.004558165803660439,0.00017729459091932596,0.5365853658536586
69,Candidatus.Lloydbacteria,7.497313529579494e-05,-4.125094327046494,0.007497313529579524,0.029785497185548442,0.004651713145189589,0.0003734764495087854,0.5365853658536586
70,Candidatus.Lokiarchaeota,4.18026773679414e-06,-5.378795901744441,0.00041802677367941545,0.0008085116890451465,0.00012626831200909143,0.0,0.36585365853658536
71,Candidatus.Magasanikbacteria,0.0002868851074374802,-3.542291995935234,0.028688510743748133,0.07691794369829809,0.012012564624099213,0.003668602113363543,1.0
72,Candidatus.Margulisbacteria,1.4032118971953802e-05,-4.852876741777066,0.001403211897195385,0.0024929804391565793,0.0003893381334977922,0.0003730781810200214,0.7560975609756098
73,Candidatus.Marinimicrobia,4.102716950128659e-05,-4.386928444338851,0.004102716950128674,0.008271674205867705,0.0012918184778473076,0.0005825265340836281,0.7804878048780488
74,Candidatus.Melainabacteria,0.00017982146165850953,-3.7451584765425547,0.017982146165851018,0.07783478879904332,0.012155751772551734,0.0012796130450151897,0.975609756097561
75,Candidatus.Micrarchaeota,2.72011962927651e-05,-4.565411995527498,0.0027201196292765215,0.0070852080682035365,0.0011065235977748497,0.0,0.4878048780487805
76,Candidatus.Microgenomates,3.3468131149278624e-05,-4.47536853784288,0.003346813114927876,0.01148695946760437,0.001793961672717714,0.0,0.2926829268292683
77,Candidatus.Moranbacteria,0.0003808554084224307,-3.4192398727308575,0.03808554084224322,0.0964175651355575,0.015057893859359725,0.0016729401923881227,0.8292682926829268
78,Candidatus.Nanohaloarchaeota,6.120774204142316e-07,-6.213193641364032,6.120774204142341e-05,0.00015312603641879524,2.3914269150614948e-05,0.0,0.1951219512195122
79,Candidatus.Nealsonbacteria,0.000150708150735347,-3.8218632591408355,0.015070815073534761,0.03370151931613972,0.005263293052963062,0.0013296248886439206,0.926829268292683
80,Candidatus.Niyogibacteria,2.4962697341512144e-05,-4.602708488811636,0.002496269734151224,0.00907165279939544,0.0014167541442288902,0.0,0.3902439024390244
81,Candidatus.Nomurabacteria,0.000586754313595756,-3.231543708948888,0.058675431359575835,0.17130086607919898,0.026752700670364817,0.006587686948281224,0.9512195121951219
82,Candidatus.Odinarchaeota,3.553156298534715e-07,-6.4493856880642415,3.553156298534726e-05,8.45675491724539e-05,1.32072322879618e-05,0.0,0.17073170731707318
83,Candidatus.Omnitrophica,0.0022769307567453313,-2.6426501764207213,0.227693075674534,0.7008412165045207,0.10945300926809803,0.012648718263210014,1.0
84,Candidatus.Pacebacteria,3.489070550062413e-05,-4.457290248897252,0.0034890705500624265,0.008294345082762798,0.0012953590739773278,0.000697170996292213,0.7804878048780488
85,Candidatus.Parcubacteria,2.4790088572020383e-05,-4.605721921547185,0.002479008857202048,0.0066384212052216915,0.0010367472126205659,0.0,0.3170731707317073
86,Candidatus.Peregrinibacteria,0.0002357741565562741,-3.6275038000895288,0.023577415655627487,0.04078893273712965,0.006370161068978855,0.005747925860953086,0.975609756097561
87,Candidatus.Portnoybacteria,6.453493356011405e-05,-4.190205132722841,0.00645349335601143,0.0163049032713624,0.0025463980811185056,0.0009020950254871924,0.7317073170731707
88,Candidatus.Ratteibacteria,1.1971301235188533e-05,-4.9218586408594405,0.0011971301235188586,0.0034933565607007232,0.0005455706357028746,0.0,0.4634146341463415
89,Candidatus.Raymondbacteria,2.5371947946849226e-05,-4.595646188273286,0.002537194794684933,0.006909439518485291,0.0010790731621436469,0.00022250282300456737,0.6341463414634146
90,Candidatus.Riflebacteria,2.2724775165729255e-05,-4.643500404905386,0.0022724775165729335,0.004633467761790505,0.0007236260909484029,0.0004866191888544747,0.7317073170731707
91,Candidatus.Roizmanbacteria,0.00028355206099842534,-3.547367191696655,0.028355206099842645,0.08526689434993266,0.013316451655187314,0.0023796379142949635,0.9512195121951219
92,Candidatus.Rokubacteria,0.001552383677651966,-2.809000932244152,0.15523836776519714,0.35417450002977163,0.05531276403466566,0.011889647945500015,1.0
93,Candidatus.Ryanbacteria,6.479380445588437e-05,-4.188466519117968,0.006479380445588463,0.02274871215162518,0.0035527519548403503,0.0,0.4878048780487805
94,Candidatus.Saccharibacteria,0.0029306431451530924,-2.533037060963195,0.2930643145153098,0.777903753349253,0.12148815554781918,0.0024329019941209643,1.0
95,Candidatus.Schekmanbacteria,7.267293601766565e-05,-4.138627293769677,0.007267293601766596,0.01669412098225854,0.002607183675222828,0.001148393807204371,0.926829268292683
96,Candidatus.Shapirobacteria,0.00011747463418903457,-3.930055898677269,0.011747463418903505,0.02907229844331604,0.004540330214640932,0.00025123387235560644,0.5609756097560976
97,Candidatus.Spechtbacteria,1.3309315911502174e-05,-4.875844266350634,0.0013309315911502228,0.0040389193200406695,0.0006307732241753222,0.0,0.43902439024390244
98,Candidatus.Staskawiczbacteria,0.0002074945469370529,-3.6829933122832927,0.020749454693705364,0.07727840768026892,0.012068859640188945,0.00018673822475439322,0.6341463414634146
99,Candidatus.Sumerlaeota,1.2344857780012822e-05,-4.908513909029856,0.001234485778001287,0.002839056128835603,0.0004433860758531592,0.0,0.4878048780487805
100,Candidatus.Sungbacteria,0.00016096146579636553,-3.793278081701362,0.016096146579636608,0.04786882540597552,0.007475854540840078,0.0015034917091453226,0.8292682926829268
101,Candidatus.Tagabacteria,1.8471309216395717e-05,-4.733502321381329,0.0018471309216395793,0.004784591499780725,0.0007472276536210035,0.0,0.36585365853658536
102,Candidatus.Taylorbacteria,0.00016665211122308336,-3.7781891801329,0.0166652111223084,0.06263393077123305,0.009781776590413988,0.00020151945670354525,0.5609756097560976
103,Candidatus.Tectomicrobia,4.3683880110596064e-05,-4.3596787934768315,0.004368388011059621,0.007139239560827011,0.0011149618992383143,0.0006045583701106348,0.7073170731707317
104,Candidatus.Terrybacteria,2.864317667306595e-05,-4.542978818239965,0.0028643176673066066,0.00813739104059826,0.001270846970768869,0.0,0.4878048780487805
