Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,Ddiv,Ddiv_isKeystone,Ddiv_rank,Ddiv_rank_isKeystone,Ddiv_rank_scaled,Ddiv_rank_zScore,Ddiv_scaled,Ddiv_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,DxCCdiv,DxCCdiv_isKeystone,DxCCdiv_rank,DxCCdiv_rank_isKeystone,DxCCdiv_rank_scaled,DxCCdiv_rank_zScore,DxCCdiv_scaled,DxCCdiv_zScore,EDpDM,EDpDM_isKeystone,EDpDM_rank,EDpDM_rank_isKeystone,EDpDM_rank_scaled,EDpDM_rank_zScore,EDpDM_scaled,EDpDM_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,iEDpDM,iEDpDM_isKeystone,iEDpDM_rank,iEDpDM_rank_isKeystone,iEDpDM_rank_scaled,iEDpDM_rank_zScore,iEDpDM_scaled,iEDpDM_zScore,pathIncrease,pathIncreaseDir,pathIncreaseDir_isKeystone,pathIncreaseDir_rank,pathIncreaseDir_rank_isKeystone,pathIncreaseDir_rank_scaled,pathIncreaseDir_rank_zScore,pathIncreaseDir_scaled,pathIncreaseDir_zScore,pathIncreaseIndir,pathIncreaseIndir_isKeystone,pathIncreaseIndir_rank,pathIncreaseIndir_rank_isKeystone,pathIncreaseIndir_rank_scaled,pathIncreaseIndir_rank_zScore,pathIncreaseIndir_scaled,pathIncreaseIndir_zScore,pathIncrease_isKeystone,pathIncrease_rank,pathIncrease_rank_isKeystone,pathIncrease_rank_scaled,pathIncrease_rank_zScore,pathIncrease_scaled,pathIncrease_zScore
Acidobacteriota,groundwater,mine,0.235087243959917,0.0023508724395991,0,0.00583228941989636,-0.095366574563436,0,0.005832289419896522,-0.09536657456343474,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.18190314721542253,0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.3952323606275313,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.39523236062753153,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.25272274818543883,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.25272274818543883,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.32495764461454774,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.32495764461454774,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-1.8586162690665193,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.13316016090142202,D,0.2930997951832703,0,0.007258831482380166,-0.07415298498166344,1.0,0,1.0,1.1277239236717935,0.0849888453813497,0,0.005340429219778132,-0.09746280519992934,0.1472049982771132,0,0.005340429219778133,-0.09746280519992932,0.23654934944741868,0,1,0,0.006369426751592357,-1.7210535483986824,1.0,,0.23654934944741868,0,157,0,1.0,1.7210535483986824,1.0,0.3249576446145491,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.13316016090142202,0.0,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.9409963295699374,0.0,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.09014829908415373,0,1,0,0.006369426751592357,-1.7210535483986824,0.0,-0.12555745450430217
Actinomycetota,groundwater,mine,21.416046364407148,0.2141604636440711,1,0.5313116038250113,4.931206069376533,1,0.5313116038250112,4.931206069376532,0.04815077395722563,0,154,0,0.9808917197452229,1.6548591811525792,0.0790504121775787,0.798477676076973,7,0,155,0,0.9872611464968153,1.6769239702346137,0.10606060606060606,0.9290370428165448,0.05263157894736842,0,155,0,0.9872611464968153,1.6769239702346137,0.10606060606060606,0.9290370428165451,2.3129370629370634,0,155,0,0.9872611464968153,1.6769239702346137,0.07024793388429754,0.6310922054746493,0.0173905042326095,0,155,0,0.9872611464968153,1.6769239702346137,0.07024793388429754,0.6310922054746493,0.010931460612983973,0,153,0,0.9745222929936306,1.6327943920705448,0.05639789686764301,0.3866631472873251,0.010931460612983973,0,153,0,0.9745222929936306,1.6327943920705448,0.05639789686764301,0.3866631472873251,0.004657303064946377,0,155,0,0.9872611464968153,1.6769239702346137,0.6127126230975829,1.01396373352562,0.006274157548042899,0,152,0,0.9681528662420382,1.6107296029885105,0.03369103365025907,0.2891296933543883,D,30.81520587612124,1,0.7631611834110985,7.226692305440854,1.0,0,1.0,1.1277239236717935,10.03045031115077,1,0.6302816527138886,6.253918987289967,17.373249561708185,1,0.6302816527138887,6.253918987289967,0.23654934944741868,0,100,0,0.6369426751592356,0.4633605707227222,1.0,,0.2256178888344347,0,5,0,0.03184713375796178,-1.6327943920705448,0.9537878221245589,-0.3866631472873237,0.006274157548042899,0,152,0,0.9681528662420382,1.6107296029885105,0.03369103365025907,0.2891296933543883,0.04845121399485221,0.020642437038155464,0,155,0,0.9872611464968153,1.6769239702346137,0.11602026047009463,0.45294295588059047,0.027808776956720252,0,152,0,0.9681528662420382,1.6107296029885105,0.006379569070812572,-0.009912706428648771,0,153,0,0.9745222929936306,1.6327943920705448,0.010679229442784577,0.009092801697170456
Aquificota,groundwater,mine,0.0183596838181567,0.0001835968381815,0,0.0004554861756067848,-0.14679941189631993,0,0.0004554861756069502,-0.14679941189631865,0.0,0,81,0,0.5159235668789809,0.04412957816406878,0.0,-0.18190314721542253,2,0,113,0,0.7197452229299363,0.7502028287891692,0.030303030303030304,-0.016869673929223894,0.015037593984962405,0,113,0,0.7197452229299363,0.7502028287891692,0.030303030303030304,-0.01686967392922392,0.6224417784050812,0,102,0,0.6496815286624203,0.507490148886791,0.01890464275785377,-0.014876522124008416,0.004680013371466776,0,102,0,0.6496815286624203,0.507490148886791,0.01890464275785377,-0.014876522124008409,0.0043034460231893,0,103,0,0.6560509554140127,0.5295549379688254,0.022202458901331306,-0.044810116726873954,0.0043034460231893,0,103,0,0.6560509554140127,0.5295549379688254,0.022202458901331306,-0.044810116726873954,0.004303446023191246,0,119,0,0.7579617834394905,0.8825915632813756,0.5661593554162936,0.7957080933520497,0.0,0,99,0,0.6305732484076433,0.4412957816406878,0.0,-0.13316016090142202,s,0.02417997666106,0,0.0005988348634661151,-0.13847823125899444,0.6666666666666666,0,0.6666666666666666,-0.05262711643801701,0.0093825203144828,0,0.0005895677887820966,-0.14574660159083117,0.0162510018877314,0,0.0005895677887820994,-0.14574660159083114,0.23654934944741868,0,101,0,0.643312101910828,0.4854253598047566,1.0,,0.23224590342422938,0,55,0,0.3503184713375796,-0.5295549379688254,0.9818074070664655,0.04481011672687536,0.0,0,99,0,0.6305732484076433,0.4412957816406878,0.0,-0.13316016090142202,0.01852969615282496,0.018529696152833335,0,113,0,0.7197452229299363,0.7502028287891692,0.10414565732281067,0.31027411718754033,0.0,0,99,0,0.6305732484076433,0.4412957816406878,0.0,-0.09014829908415373,0,103,0,0.6560509554140127,0.5295549379688254,0.004084167565793601,-0.07406177196932148
Armatimonadota,groundwater,mine,0.0127427380689501,0.0001274273806895,0,0.00031613512995507957,-0.14813240091182528,0,0.0003161351299550815,-0.14813240091182556,0.00019299696719051555,0,94,0,0.5987261146496815,0.33097183623051585,0.00031684827784878125,-0.1779736044472158,2,0,116,0,0.7388535031847133,0.8163971960352724,0.030303030303030304,-0.016869673929223894,0.015037593984962405,0,116,0,0.7388535031847133,0.8163971960352724,0.030303030303030304,-0.01686967392922392,0.4584199584199584,0,89,0,0.5668789808917197,0.2206478908203439,0.013923013923013924,-0.07755221682938536,0.0034467666046613414,0,89,0,0.5668789808917197,0.2206478908203439,0.013923013923013924,-0.07755221682938536,0.003167020523706904,0,65,0,0.4140127388535032,-0.30890704714848144,0.016339380728461906,-0.11878961887305527,0.003167020523706904,0,65,0,0.4140127388535032,-0.30890704714848144,0.016339380728461906,-0.11878961887305527,0.0031466056943763947,0,69,0,0.4394904458598726,-0.2206478908203439,0.41396598030438675,0.08218003893845593,2.0414829332026784e-05,0,104,0,0.6624203821656051,0.5516197270508597,0.00010962375374270846,-0.13178611582249855,D,0.01144688644688,0,0.00028349054172449345,-0.14152396871486347,1.0,0,1.0,1.1277239236717935,0.0032098541259356,0,0.00020169704257605534,-0.14968859661800948,0.0055596304310052,0,0.00020169704257606084,-0.14968859661800943,0.23654934944741868,0,102,0,0.6496815286624203,0.507490148886791,1.0,,0.23338232892371177,0,93,0,0.5923566878980892,0.30890704714848144,0.9866115864148217,0.11878961887305667,2.0414829332026784e-05,0,104,0,0.6624203821656051,0.5516197270508597,0.00010962375374270846,-0.13178611582249855,0.013570095637969841,0.013482621880103698,0,68,0,0.43312101910828027,-0.2427126799023783,0.07577871253563986,-0.030543931201824755,8.747375787264511e-05,0,104,0,0.6624203821656051,0.5516197270508597,2.0067221262574e-05,-0.08989591442100803,0,65,0,0.4140127388535032,-0.30890704714848144,0.0029910120496424958,-0.08784494528780945
Atribacterota,groundwater,mine,0.04231643005767,0.0004231643005767,0,0.0010498301105406668,-0.14111410158527107,0,0.001049830110540665,-0.14111410158527138,0.0,0,91,0,0.5796178343949044,0.2647774689844127,0.0,-0.18190314721542253,0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.3952323606275313,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.39523236062753153,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.25272274818543883,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.25272274818543883,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.32495764461454774,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.32495764461454774,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-1.8586162690665193,0.0,0,97,0,0.6178343949044586,0.397166203476619,0.0,-0.13316016090142202,D,0.04590719683593,0,0.001136925412902821,-0.1332811104355811,1.0,0,1.0,1.1277239236717935,0.0080498297941109,0,0.0005058257475297369,-0.14659768591057312,0.0139427141956819,0,0.0005058257475297408,-0.14659768591057307,0.23654934944741868,0,103,0,0.6560509554140127,0.5295549379688254,1.0,,0.23654934944741868,0,134,0,0.8535031847133758,1.2135633995118915,1.0,0.3249576446145491,0.0,0,97,0,0.6178343949044586,0.397166203476619,0.0,-0.13316016090142202,0.0,0.0,0,18,0,0.11464968152866242,-1.3459521340040979,0.0,-0.9409963295699374,0.0,0,97,0,0.6178343949044586,0.397166203476619,0.0,-0.09014829908415373,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.12555745450430217
Bacillota,groundwater,mine,27.10755303993099,0.2710755303993092,1,0.6725124346645942,6.281889558037442,1,0.6725124346645948,6.281889558037445,0.06092815786364171,0,156,0,0.9936305732484076,1.698988759316648,0.10002738474401406,1.0586334560198498,8,0,156,0,0.9936305732484076,1.698988759316648,0.12121212121212122,1.1182183861656985,0.06015037593984962,0,156,0,0.9936305732484076,1.698988759316648,0.12121212121212122,1.118218386165699,2.69587366276108,0,156,0,0.9936305732484076,1.698988759316648,0.08187838651414811,0.7774191845574451,0.020269726787677293,0,156,0,0.9936305732484076,1.698988759316648,0.08187838651414811,0.7774191845574452,0.009790757720689575,0,150,0,0.9554140127388535,1.5666000248244416,0.050512750650327,0.3124051936360872,0.009790757720689575,0,150,0,0.9554140127388535,1.5666000248244416,0.050512750650327,0.3124051936360872,0.0047593772116065105,0,156,0,0.9936305732484076,1.698988759316648,0.6261414503133392,1.0769220912679955,0.005031380509087515,0,148,0,0.9426751592356688,1.522470446660373,0.02701755713670295,0.2054830634069715,D,13.41158841158842,1,0.33214782743157567,3.063771232258317,1.0,0,1.0,1.1277239236717935,15.91423495823067,1,1.0,10.011428159389883,27.564263511244288,1,1.0,10.011428159389883,0.23654934944741868,0,104,0,0.6624203821656051,0.5516197270508597,1.0,,0.2267585917267291,0,8,0,0.050955414012738856,-1.5666000248244416,0.9586100839272614,-0.31240519363608577,0.005031380509087515,0,148,0,0.9426751592356688,1.522470446660373,0.02701755713670295,0.2054830634069715,0.04317700884510958,0.020988740384056195,0,156,0,0.9936305732484076,1.698988759316648,0.11796664908297026,0.4763280744904582,0.022188268461073014,0,148,0,0.9426751592356688,1.522470446660373,0.005090176796680021,-0.026129343027784673,0,150,0,0.9554140127388535,1.5666000248244416,0.009516731286837405,-0.0055646860336307676
Bacteroidota,groundwater,mine,5.2563021703979445,0.0525630217039793,0,0.13040382378815077,1.0962462058139764,0,0.1304038237881509,1.096246205813977,0.02415120721572335,0,148,0,0.9426751592356688,1.522470446660373,0.03964968219794419,0.30983101337542734,4,0,149,0,0.9490445859872612,1.5445352357424074,0.06060606060606061,0.3614930127690835,0.03007518796992481,0,149,0,0.9490445859872612,1.5445352357424074,0.06060606060606061,0.3614930127690837,0.9600870827285921,0,147,0,0.9363057324840764,1.5004056575783384,0.02915951972555746,0.11414383635271087,0.0072186998701397895,0,147,0,0.9363057324840764,1.5004056575783384,0.02915951972555746,0.11414383635271085,0.0082763662381454,0,146,0,0.9299363057324841,1.4783408684963042,0.04269965982252688,0.2138207039497301,0.0082763662381454,0,146,0,0.9299363057324841,1.4783408684963042,0.04269965982252688,0.2138207039497301,0.0033738907942729595,0,86,0,0.5477707006369427,0.15445352357424072,0.44386750223813787,0.22236731551147965,0.004902475443876718,0,146,0,0.9299363057324841,1.4783408684963042,0.02632536143449899,0.19680695019434052,D,6.317536549191338,0,0.1564584279756431,1.3668839010809666,1.0,0,1.0,1.1277239236717935,2.5978609183383563,0,0.1632413323767581,1.5073103856638423,4.499627101559575,0,0.16324133237675814,1.5073103856638421,0.23654934944741868,0,105,0,0.6687898089171974,0.5736845161328942,1.0,,0.22827298320927328,0,12,0,0.07643312101910828,-1.4783408684963042,0.9650120946961847,-0.21382070394972869,0.004902475443876718,0,146,0,0.9299363057324841,1.4783408684963042,0.02632536143449899,0.19680695019434052,0.03625644227270599,0.014780070540278897,0,89,0,0.5668789808917197,0.2206478908203439,0.08307098772688117,0.05706998061151453,0.02147637173244583,0,146,0,0.9299363057324841,1.4783408684963042,0.004926861654894718,-0.028183351228857813,0,146,0,0.9299363057324841,1.4783408684963042,0.007991355301240522,-0.024797559375720767
Balneolota,groundwater,mine,0.000640220422386,6.402204223860564e-06,0,1.588325565006213e-05,-0.15100451750385874,0,1.58832556500607e-05,-0.15100451750385904,0.0,0,90,0,0.5732484076433121,0.2427126799023783,0.0,-0.18190314721542253,2,0,120,0,0.7643312101910829,0.90465635236341,0.030303030303030304,-0.016869673929223894,0.015037593984962405,0,120,0,0.7643312101910829,0.90465635236341,0.030303030303030304,-0.01686967392922392,0.6243511090136857,0,112,0,0.7133757961783439,0.7281380397071349,0.018962632459564976,-0.014146932473513231,0.004694369240704404,0,112,0,0.7133757961783439,0.7281380397071349,0.018962632459564976,-0.014146932473513242,0.0043170559094107275,0,110,0,0.7006369426751592,0.684008461543066,0.02227267540639603,-0.04392413466523775,0.0043170559094107275,0,110,0,0.7006369426751592,0.684008461543066,0.02227267540639603,-0.04392413466523775,0.004317055909412597,0,124,0,0.7898089171974523,0.9929155086915475,0.5679498657117278,0.8041025410510331,0.0,0,96,0,0.6114649681528662,0.3751014143945846,0.0,-0.13316016090142202,s,0.0001549998503914,0,3.838685022218432e-06,-0.14422497227141182,0.6666666666666666,0,0.6666666666666666,-0.05262711643801701,0.0005644966230426,0,3.547117561882222e-05,-0.15137797780321943,0.0009777368318109,0,3.547117561882442e-05,-0.15137797780321938,0.23654934944741868,0,106,0,0.6751592356687898,0.5957493052149285,1.0,,0.23223229353800795,0,48,0,0.3057324840764331,-0.684008461543066,0.9817498719844489,0.04392413466523916,0.0,0,96,0,0.6114649681528662,0.3751014143945846,0.0,-0.13316016090142202,0.01858938670260423,0.01858938670261228,0,120,0,0.7643312101910829,0.90465635236341,0.10448114644747922,0.31430489137148077,0.0,0,96,0,0.6114649681528662,0.3751014143945846,0.0,-0.09014829908415373,0,110,0,0.7006369426751592,0.684008461543066,0.004097324079822879,-0.07389588659395319
Bdellovibrionota,groundwater,mine,0.0253776902943533,0.0002537769029435,0,0.0006295961963397068,-0.14513392927262675,0,0.0006295961963397874,-0.14513392927262628,0.0005652054039150813,0,100,0,0.6369426751592356,0.4633605707227222,0.0009279128137000024,-0.17039520053710283,3,0,128,0,0.8152866242038217,1.0811746650196852,0.045454545454545456,0.1723116694199298,0.022556390977443608,0,128,0,0.8152866242038217,1.0811746650196852,0.045454545454545456,0.17231166941992987,0.7002470007057163,0,127,0,0.8089171974522293,1.0591098759376507,0.02126772310258549,0.014854256133670378,0.005265015042900122,0,127,0,0.8089171974522293,1.0591098759376507,0.021267723102585488,0.014854256133670361,0.003262289727256368,0,74,0,0.4713375796178344,-0.11032394541017194,0.01683089626391225,-0.11258774444163616,0.003262289727256368,0,74,0,0.4713375796178344,-0.11032394541017194,0.01683089626391225,-0.11258774444163616,0.0032241820458380967,0,79,0,0.5031847133757962,0.0,0.42417188898836167,0.13002839082266177,3.810768141978333e-05,0,113,0,0.7197452229299363,0.7502028287891692,0.00020463100698638913,-0.13059527675409824,D,0.02289377289377,0,0.0005669810834492345,-0.13878588940984554,1.0,0,1.0,1.1277239236717935,0.0051706126649387,0,0.00032490488411851147,-0.1484364147934701,0.008955763841933,0,0.00032490488411851363,-0.14843641479347008,0.23654934944741868,0,108,0,0.6878980891719745,0.6398788833789973,1.0,,0.2332870597201623,0,84,0,0.535031847133758,0.11032394541017194,0.9862088408407078,0.11258774444163756,3.810768141978333e-05,0,113,0,0.7197452229299363,0.7502028287891692,0.00020463100698638913,-0.13059527675409824,0.013984014934945908,0.013820663905257494,0,77,0,0.49044585987261147,-0.04412957816406878,0.07767866861813574,-0.007716681777536945,0.00016335102969489653,0,113,0,0.7197452229299363,0.7502028287891692,3.74741103626678e-05,-0.08967698865224026,0,74,0,0.4713375796178344,-0.11032394541017194,0.0030822448336894166,-0.08669462654883042
Caldisericota,groundwater,mine,0.0037537029761353,3.753702976135303e-05,0,9.312577656013023e-05,-0.15026563943214044,0,9.312577656012999e-05,-0.15026563943214072,0.0,0,86,0,0.5477707006369427,0.15445352357424072,0.0,-0.18190314721542253,0,0,22,0,0.14012738853503184,-1.2576929776759602,0.0,-0.3952323606275313,0.0,0,22,0,0.14012738853503184,-1.2576929776759602,0.0,-0.39523236062753153,0.0,0,23,0,0.1464968152866242,-1.2356281885939258,0.0,-0.25272274818543883,0.0,0,23,0,0.1464968152866242,-1.2356281885939258,0.0,-0.25272274818543883,0.0,0,23,0,0.1464968152866242,-1.2356281885939258,0.0,-0.32495764461454774,0.0,0,23,0,0.1464968152866242,-1.2356281885939258,0.0,-0.32495764461454774,0.0,0,20,0,0.12738853503184713,-1.301822555840029,0.0,-1.8586162690665193,0.0,0,89,0,0.5668789808917197,0.2206478908203439,0.0,-0.13316016090142202,s,0.0052969842503001,0,0.00013118370148879904,-0.14299501676015222,0.6666666666666666,0,0.6666666666666666,-0.05262711643801701,0.001886706443549,0,0.00011855464296593257,-0.1505335866798191,0.0032678714191945,0,0.0001185546429659344,-0.15053358667981906,0.23654934944741868,0,116,0,0.7388535031847133,0.8163971960352724,1.0,,0.23654934944741868,0,135,0,0.8598726114649682,1.2356281885939258,1.0,0.3249576446145491,0.0,0,89,0,0.5668789808917197,0.2206478908203439,0.0,-0.13316016090142202,0.0,0.0,0,21,0,0.1337579617834395,-1.2797577667579947,0.0,-0.9409963295699374,0.0,0,89,0,0.5668789808917197,0.2206478908203439,0.0,-0.09014829908415373,0,23,0,0.1464968152866242,-1.2356281885939258,0.0,-0.12555745450430217
