#OTU ID	ERR2136696	ERR2136697	SRR1633224
Pseudomonadota	0.403783716283716	0.497174941733173	0.308277854618766
Actinomycetota	0.320648101898102	0.308152058761212	0.0136812302728995
Chloroflexota	0.0013736263736263	0.0023659862984674	0.0021019327537866
Bacillota	0.134115884115884	0.0907373402076418	0.588373366874402
Cyanobacteriota	0.0091158841158841	0.0011918214563175	0.001811948251076
Candidatus.Melainabacteria	2.08125208125208e-05	8.8283070838336e-06	1.2197814313414e-05
Candidatus.Margulisbacteria	0.0	1.76566141676672e-05	1.711737478236e-05
Deinococcota	0.0039231601731601	0.0017126915742637	0.0575206466539845
Armatimonadota	0.0001144688644688	7.94547637545024e-05	0.0001883585138452
Mycoplasmatota	0.0016441891441891	0.0003266473621018	7.65564478455156e-05
Thermomicrobiota	5.2031302031302e-05	0.0001235962991736	9.01020869449422e-05
Candidatus.Kaiserbacteria	0.0	8.8283070838336e-06	0.0002659258302802
Candidatus.Nomurabacteria	0.0002705627705627	7.94547637545024e-05	3.07304051210872e-05
Candidatus.Yanofskybacteria	0.0	2.64849212515008e-05	7.77020989136263e-05
Candidatus.Azambacteria	0.0	0.0	7.8847749981737e-06
Candidatus.Falkowbacteria	0.0007180319680319	0.0001500812204251	0.0001473172491111
Candidatus.Magasanikbacteria	0.0007804695304695	2.64849212515008e-05	3.69303991367452e-05
Candidatus.Nealsonbacteria	0.0	8.8283070838336e-06	0.0004544865178434
Candidatus.Uhrbacteria	3.12187812187812e-05	8.8283070838336e-06	7.35912333162878e-05
Candidatus.Giovannonibacteria	0.0	0.0	5.38456002012033e-05
Candidatus.Moranbacteria	6.24375624375624e-05	4.4141535419168e-05	9.56281685675938e-05
Candidatus.Zambryskibacteria	0.0	8.8283070838336e-06	3.21456211464005e-05
Candidatus.Staskawiczbacteria	0.0	0.0	6.07868978491682e-05
Candidatus.Wolfebacteria	0.0	0.0	3.71325728546471e-05
Candidatus.Harrisonbacteria	0.0	8.8283070838336e-06	6.19999401565795e-05
