id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.00022281348267800744,-3.652058533087642,0.022281348267800753,0.023718790426771066,0.003114429762686645,0.01529223193507,0.8620689655172413
1,Actinomycetota,0.1255417009870008,-0.9012119913116932,12.554170098700082,20.63371220160092,2.7093391458463487,5.25106479603132,1.0
2,Aquificota,1.7591369644158284e-05,-4.7547003455486125,0.0017591369644158303,0.002952861892632063,0.00038772976184892527,0.0005921303787835869,0.5344827586206896
3,Armatimonadota,3.859685505872672e-05,-4.413448080983286,0.0038596855058726748,0.005047797479558489,0.0006628082808391234,0.002102422808009301,0.603448275862069
4,Atribacterota,1.3298830463342798e-05,-4.8761865504351745,0.0013298830463342808,0.00252173093742088,0.00033111949402473995,0.0,0.4827586206896552
5,Bacillota,0.40575632191401984,-0.39173470489425055,40.575632191402015,18.990416280268345,2.4935638202832373,39.492420756530734,1.0
6,Bacteroidota,0.3178289825758421,-0.4978065023493944,31.782898257584232,23.990940430065066,3.150164808821942,29.202681956023703,1.0
7,Balneolota,1.1660870551301961e-05,-4.9332690257765295,0.001166087055130197,0.0031409758016747577,0.00041243032821661977,0.0,0.43103448275862066
8,Bdellovibrionota,7.110493630708953e-05,-4.148100248264417,0.007110493630708962,0.007225343359244829,0.0009487340626891233,0.00579427341590636,0.6896551724137931
9,Caldisericota,2.046186651598676e-06,-5.689054752802727,0.00020461866515986778,0.0003847854552340827,5.052480554309186e-05,0.0,0.3448275862068966
10,Calditrichota,7.097372414895643e-06,-5.148902405777071,0.0007097372414895649,0.0015563547270598078,0.00020435938747459046,0.0,0.4482758620689655
11,Campylobacterota,0.006329640136888551,-2.1986209805049497,0.6329640136888554,2.6200621266237607,0.34403101171782474,0.04128450963155006,0.9137931034482759
12,Candidatus Abawacabacteria,5.032977043198269e-07,-6.298175050535714,5.032977043198274e-05,0.0001325705011898848,1.7407359613669377e-05,0.0,0.22413793103448276
13,Candidatus Absconditabacteria,2.8154431763769903e-06,-5.55045323352807,0.00028154431763769924,0.0005519451919914321,7.247395429446964e-05,0.0,0.41379310344827586
14,Candidatus Adlerbacteria,2.965936195120935e-06,-5.527838195993056,0.0002965936195120938,0.0009141408476914965,0.00012003257384173333,0.0,0.3620689655172414
15,Candidatus Aenigmarchaeota,1.93798515212606e-06,-5.712649554619837,0.00019379851521260635,0.0010141883425813967,0.00013316945351227747,0.0,0.06896551724137931
16,Candidatus Altiarchaeota,3.539317798683216e-06,-5.451080439900519,0.0003539317798683221,0.0011684927837914926,0.0001534306192619879,0.0,0.25862068965517243
17,Candidatus Amesbacteria,1.476313925192624e-06,-5.830821283784973,0.0001476313925192625,0.0002942011727964733,3.8630506543051754e-05,0.0,0.27586206896551724
18,Candidatus Aminicenantes,4.4923433668033745e-05,-4.347527056371213,0.004492343366803378,0.005943139110986969,0.0007803723966528016,0.0027784757787410663,0.7068965517241379
19,Candidatus Andersenbacteria,9.5741602260157e-07,-6.0188993087642215,9.57416022601571e-05,0.00022120816465360138,2.904605502011056e-05,0.0,0.29310344827586204
