#OTU ID	mgm4440939	mgm4440940	mgm4440941	mgm4440942	mgm4440943	mgm4440944	mgm4440945	mgm4440946	mgm4440947	mgm4440948	mgm4440949	mgm4440950	mgm4524574	mgm4525093	mgm4525311	mgm4525312	mgm4525314	mgm4525315	mgm4525317	mgm4525322	mgm4525323	mgm4525324	mgm4525325	mgm4525701	mgm4530711	mgm4530717	mgm4536624	mgm4543593	mgm4543594	mgm4543595	mgm4543596	mgm4691110	mgm4691111	mgm4691112	mgm4691113	mgm4691114	mgm4691115	mgm4691116	mgm4691117	mgm4691118	mgm4691119	mgm4691120	mgm4691121	mgm4691122	mgm4691123	mgm4691124	mgm4691125	mgm4691126	mgm4691127	mgm4601031	mgm4444195	mgm4444196	mgm4560101	mgm4560102	mgm4560103	mgm4560104	mgm4560105	mgm4560106
Pseudomonadota	0.0431261284498323	0.829251466022766	0.119909945184025	0.146132183402271	0.059396729017726	0.0583962479981698	0.0396925403225806	0.0260256941566515	0.0439150401836969	0.0287290278096989	0.26550079491256	0.0093632958801498	0.0074975874099918	0.52875175315568	0.0231758250757514	0.115266707541386	0.940786042763002	0.125297836515551	0.0392025000988963	0.0392025000988963	0.0855509355509356	0.0301348865726548	0.0059962810521697	0.0028059129482617	0.0028059129482617	0.0209096329103143	0.0209096329103143	0.364564250196284	0.060888866468244	0.437699680511182	0.065371382311273	0.0287686901307502	0.033546928389233	0.0232512201952312	0.0260717586274594	0.0094998565002012	0.0177887879184879	0.0152244386547602	0.0285286979800963	0.0246966988766938	0.0476015070003863	0.0623876387270832	0.0123046938620398	0.0971765224769724	0.0462267022795561	0.0140114501570684	0.0187697864424113	0.0268332869331961	0.0093389278573571	0.0618556701030928	0.134454547823142	0.664278363017784	0.483684255705299	0.0396846689089624	0.0970381415988931	0.0215236297003949	0.23143725959573	0.0499830435080727
Actinomycetota	0.0490585504255868	0.0038806484994825	0.120693030540329	0.10648596321394	0.143815493095681	0.173530084648822	0.712953629032258	0.0460008288437629	0.082827620141053	0.102229372558033	0.232488543907229	0.600410201533797	0.0125454680424616	0.138908368396447	0.0282532143149619	0.125843041079093	0.0010904091404731	0.0939416081583378	0.125202737450057	0.125202737450057	0.178586278586279	0.0641324340895156	0.952572968681445	0.768820147823707	0.768820147823707	0.0799335661357636	0.0799335661357636	0.0604553781732531	0.0092821470009584	0.0567092651757189	0.0088038858530661	0.13474936644326	0.0781609475853389	0.0442220755320851	0.0429239749280546	0.0144034738838857	0.0559627454950395	0.0157837950716971	0.0977626301632272	0.0265896270910315	0.0294156174950877	0.046840394873996	0.0163067279051166	0.0333171223984005	0.0226299787672794	0.0260486869870058	0.0490214210337362	0.0362726507085213	0.010911292777414	0.0095162569389373	0.0391209192048149	0.178821231210955	0.0968827792561345	0.0206567635611532	0.0174362197550029	0.0151271469483553	0.0428473988819863	0.0262760763974898
Chloroflexota	0.0003611039463502	0.0	0.0010767423649177	0.0004840271055179	0.0005386348056018	0.000400366048959	0.0	8.28843762950684e-05	0.0002050188617352	0.000183865777982	9.35191246609932e-05	0.0	0.0	0.0001753155680224	0.0002047334370649	0.0012262415695892	0.0	0.0004129999682307	0.0002373511610427	0.0002373511610427	0.0016112266112266	0.0001226241569589	0.0	0.0	0.0	0.0001703432416318	0.0001703432416318	0.0	0.0	0.0	0.0	0.0009037804839694	0.0005520329145812	0.0003150504080652	0.0006100393125805	0.0002258635885818	0.0003930302633302	0.0002535749090113	0.0003640792181423	0.0008525562972045	0.0006583330067792	0.0012778220614384	0.0001637730413287	0.0015086392599635	0.0006585072900705	0.000224183202513	0.0009856504095997	0.0002538875435767	0.0001412500520106	0.0	6.51363956124124e-05	7.21079784200486e-05	0.0001087307524086	0.0007731294562322	0.0001044021867512	0.0004875833770255	0.0001614051307717	0.0006127810561701
Bacillota	0.471085891152953	0.15695067264574	0.543901722787784	0.458417671389598	0.401919498579963	0.411404712880348	0.245463709677419	0.344301699129714	0.319460390355913	0.435440128706045	0.457308519592257	0.387907972177635	0.363113354613614	0.315743338008415	0.387928916550651	0.582618025751073	0.0560849570947708	0.516662960256695	0.344436093199889	0.344436093199889	0.428430353430353	0.220171673819742	0.0408666402022439	0.227073638105667	0.227073638105667	0.326973852312409	0.326973852312409	0.355404344412457	0.0630580638652071	0.302715654952077	0.0631451123254402	0.732163163827593	0.444735202112161	0.450243288926228	0.788128654130694	0.372595953815142	0.286284434810571	0.740623943437879	0.448339514175047	0.66601740143373	0.786064165075882	0.54617941014164	0.520817272717402	0.653811833398323	0.706789757855279	0.483111999125686	0.71120660581599	0.53998028431903	0.290146221177872	0.141157811260904	0.183072353508246	0.13518934899606	0.328128563895668	0.575072852583376	0.256023162521513	0.683895863555997	0.438246078403958	0.499368378397244
Cyanobacteriota	0.0006706216146505	8.62366333218351e-05	0.0019087705559906	0.0009680542110358	0.000391734404074	0.0006863417982155	0.0	0.0004973062577704	0.0002870264064293	0.0005056308894507	9.35191246609932e-05	8.91742464776173e-05	0.0003340509242075	0.0004675081813931	0.0004913602489558	0.0019160024524831	0.0001422272791921	0.0012072306763668	0.0005142608489259	0.0005142608489259	0.0007796257796257	0.0002759043531575	0.0	0.0	0.0	0.0008943020185674	0.0008943020185674	0.0002617115938236	0.0002522322554608	0.0003993610223642	0.0	0.0007432187496379	0.0005327168457469	0.0004275684109457	0.0005793936956219	0.0003693633873424	0.0005430963638745	0.0003704182494381	0.0004887101095279	0.0006584098136826	0.0008061220491174	0.0016776013244221	0.0002940676156454	0.0041535044098124	0.001016419376163	0.0003376759487853	0.0003274622221738	0.0005392921615285	0.0002047578273333	0.0	0.0002475183033271	0.0001311054153091	0.0002227754137695	0.0019784184546662	0.0001413120507542	0.0008727715643733	0.0001752095169562	0.0016394364143907
Candidatus Melainabacteria	0.0	0.0	0.0	0.0001320073924139	4.89668005092547e-05	0.0	0.0	0.0	8.20075446941119e-05	0.0	9.35191246609932e-05	0.0	0.0	0.0	0.0	3.83200490496628e-05	0.0	6.35384566508879e-05	3.95585268404605e-05	3.95585268404605e-05	0.0	9.19681177191907e-05	0.0	0.0	0.0	4.25858104079721e-05	4.25858104079721e-05	0.0	0.0	0.0	0.0	3.14502366216487e-05	6.09981121084302e-06	2.87546007361178e-05	9.57675529953696e-06	1.78313359406709e-05	1.31010087776759e-05	1.24301425985959e-05	2.25709488336217e-05	7.80806509816004e-05	1.79138233137214e-05	6.37684713961616e-05	2.80495264154153e-05	0.0001299795683802	2.16530443543508e-05	4.06332054554982e-05	2.82857733439224e-05	4.0271817256999e-05	4.37984657397451e-06	0.0	0.0	0.0	4.08762227100118e-06	0.000193282364058	2.63641885735498e-06	5.57544488297463e-05	4.9554206815898e-06	0.0001809927917921
Candidatus Margulisbacteria	0.0	0.0	0.0	4.40024641379917e-05	4.89668005092547e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95585268404605e-05	3.95585268404605e-05	0.0	3.06560392397302e-05	0.0	0.0	0.0	4.25858104079721e-05	4.25858104079721e-05	0.0	0.0	0.0	0.0	1.158692928166e-05	1.52495280271076e-05	5.00080012802048e-06	5.74605317972218e-06	1.27366685290506e-05	8.33700558579374e-06	1.61591853781747e-05	3.92538240584725e-06	1.4772015050573e-05	2.01530512279366e-05	1.71684346066589e-05	1.80964686551066e-05	1.16835567083332e-05	1.2737084914324e-05	2.80229003141367e-06	2.17582871876326e-06	2.10113829166951e-05	4.37984657397451e-06	0.0	0.0	0.0	8.58400676910248e-06	3.96476644221683e-05	3.69098640029697e-06	7.50540657323508e-06	1.41583448045423e-06	2.59443592330106e-05
Deinococcota	0.0004642765024503	8.62366333218351e-05	0.0004404855129209	0.0004840271055179	0.0006365684066203	0.0003431708991077	0.0	0.0001657687525901	0.0003690339511235	0.0003217651114686	9.35191246609932e-05	0.0	3.71167693563952e-05	0.0	0.0002866268118909	0.0004981606376456	0.0	0.0004765384248816	0.0003164682147236	0.0003164682147236	0.0005197505197505	0.0002452483139178	0.0	0.0	0.0	0.0001703432416318	0.0001703432416318	0.0	0.0	0.0	0.0	0.0004535455175964	0.0002917743029186	0.0001700272043526	0.0001810006751612	0.0001205737954083	0.0001548301037361	8.70109981901712e-05	0.0002198214147274	0.0002616756951815	0.0002507935263921	0.0008142743270586	8.59582261117565e-05	0.0002117644653385	0.0003171534143666	0.0001275041964293	6.63627759222794e-05	0.0001173135546182	7.6647315044554e-05	0.0	2.6054558244965e-05	1.96658122963769e-05	7.48034875593216e-05	0.000494274216463	5.80012148618095e-05	0.0002423174122215	9.0259448128957e-05	0.0003910185570118
Armatimonadota	0.0001031725561	0.0	4.89428347689898e-05	8.80049282759835e-05	9.79336010185095e-05	0.0001715854495538	0.0	0.0	0.0	0.0	9.35191246609932e-05	0.0	0.0	0.0	0.0	7.66400980993256e-05	0.0	6.35384566508879e-05	7.91170536809209e-05	7.91170536809209e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.44190561949517e-05	4.47319488795155e-05	3.75060009601536e-05	2.48995637787961e-05	1.78313359406709e-05	5.59770375046151e-05	2.48602851971918e-05	3.72911328555489e-05	9.70732417609086e-05	5.93395397267022e-05	8.82948065485315e-05	2.08109389533726e-05	0.000264340470526	5.0948339657296e-05	2.66217552984299e-05	1.08791435938163e-05	3.15170743750427e-05	1.86143479393917e-05	0.0	0.0	3.27763538272948e-05	8.9927689962026e-06	0.0001090310771609	8.43654034353592e-06	5.06614943693368e-05	2.12375172068134e-05	0.0001099546653208
Mycoplasmatota	0.0001031725561	8.62366333218351e-05	0.0004894283476898	0.0002200123206899	0.0002448340025462	0.0003431708991077	0.0	0.0004973062577704	8.20075446941119e-05	0.0002757986669731	0.0	0.0	7.42335387127904e-05	0.000409069658719	0.0001228400622389	0.0005364806866952	0.0	0.0002223845982781	0.0003164682147236	0.0003164682147236	0.0005717255717255	6.13120784794605e-05	0.0	0.0	0.0	0.0001703432416318	0.0001703432416318	0.0	0.0	0.0	0.0001011940902651	0.0003972661467997	0.0001748612547108	0.0001850296047367	0.0001896197549308	0.0003192658244615	0.00015840310613	0.0002224995525148	0.0001265935825885	0.0004790353452114	0.000260870052006	0.0009050217671224	0.0002035852723699	0.0001971600194531	0.0005820847805846	0.0002648164079685	0.0002186707862357	0.0007581607335774	5.03682356007069e-05	0.0	6.51363956124124e-05	0.0	0.0003862803046096	0.0008441648549886	0.0002024769682448	0.000584617562008	7.04377654025978e-05	0.0009970046619542
