source,target,type,weight,a,b,c,signal
0,1,Undirected,0.00150000,25,35,1,pos
0,2,Undirected,-0.00250000,3,23,35,neg
0,3,Undirected,0.00400000,3,23,35,pos
0,4,Undirected,-0.00060000,2,24,35,neg
0,5,Undirected,-0.00410000,25,36,0,neg
0,6,Undirected,-0.00240000,22,36,3,neg
0,7,Undirected,0.00290000,0,26,35,pos
0,8,Undirected,0.00100000,9,22,30,pos
0,9,Undirected,-0.00120000,3,23,35,neg
0,10,Undirected,-0.00190000,15,35,11,neg
0,11,Undirected,-0.00530000,2,24,35,neg
0,12,Undirected,-0.00240000,1,24,36,neg
0,13,Undirected,-0.00110000,2,23,36,neg
0,14,Undirected,0.00470000,2,25,34,pos
0,15,Undirected,-0.00140000,0,27,34,neg
0,16,Undirected,-0.00770000,2,24,35,neg
0,17,Undirected,-0.00300000,0,26,35,neg
0,18,Undirected,-0.00130000,1,25,35,neg
0,19,Undirected,-0.00320000,3,25,33,neg
0,20,Undirected,-0.00550000,1,24,36,neg
0,21,Undirected,-0.00100000,1,24,36,neg
0,22,Undirected,0.00150000,1,25,35,pos
0,23,Undirected,-0.00260000,6,22,33,neg
0,24,Undirected,-0.00420000,2,25,34,neg
0,25,Undirected,-0.00430000,2,23,36,neg
0,26,Undirected,-0.00080000,1,24,36,neg
0,27,Undirected,0.00180000,1,25,35,pos
0,28,Undirected,-0.00170000,1,24,36,neg
0,29,Undirected,-0.00070000,2,23,36,neg
0,30,Undirected,0.00180000,3,22,36,pos
0,31,Undirected,-0.00240000,3,24,34,neg
0,32,Undirected,-0.00170000,1,24,36,neg
0,33,Undirected,0.00240000,1,24,36,pos
0,34,Undirected,0.00090000,0,26,35,pos
0,35,Undirected,0.00330000,3,23,35,pos
0,36,Undirected,-0.00530000,1,25,35,neg
0,37,Undirected,0.00120000,1,24,36,pos
0,38,Undirected,0.00420000,4,23,34,pos
0,39,Undirected,0.00060000,2,23,36,pos
0,40,Undirected,-0.00020000,1,25,35,neg
0,41,Undirected,-0.00240000,3,26,32,neg
0,42,Undirected,0.00110000,1,25,35,pos
0,43,Undirected,-0.00180000,3,28,30,neg
0,44,Undirected,0.00050000,0,27,34,pos
0,45,Undirected,0.00350000,0,27,34,pos
0,46,Undirected,-0.00560000,4,22,35,neg
0,47,Undirected,0.00000000,0,26,35,pos
0,48,Undirected,-0.00430000,1,24,36,neg
0,49,Undirected,0.00190000,2,26,33,pos
0,50,Undirected,-0.00650000,3,24,34,neg
0,51,Undirected,-0.00550000,3,26,32,neg
0,52,Undirected,-0.00130000,5,23,33,neg
0,53,Undirected,-0.00030000,1,24,36,neg
0,54,Undirected,-0.00030000,1,25,35,neg
0,55,Undirected,0.00350000,2,28,31,pos
0,56,Undirected,-0.00090000,2,23,36,neg
0,57,Undirected,-0.00610000,1,24,36,neg
0,58,Undirected,-0.00190000,7,25,29,neg
0,59,Undirected,-0.00480000,5,23,33,neg
0,60,Undirected,0.00130000,2,23,36,pos
0,61,Undirected,0.00010000,9,30,22,pos
0,62,Undirected,-0.00120000,2,25,34,neg
0,63,Undirected,0.00300000,2,24,35,pos
0,64,Undirected,0.00100000,0,26,35,pos
0,65,Undirected,0.00080000,2,23,36,pos
0,66,Undirected,0.00130000,1,25,35,pos
0,67,Undirected,-0.00200000,0,26,35,neg
0,68,Undirected,-0.00330000,4,22,35,neg
0,69,Undirected,-0.00480000,0,26,35,neg
0,70,Undirected,-0.00300000,3,26,32,neg
0,71,Undirected,-0.00730000,1,24,36,neg
0,72,Undirected,-0.00440000,1,24,36,neg
0,73,Undirected,-0.00100000,2,24,35,neg
0,74,Undirected,-0.00450000,2,23,36,neg
0,75,Undirected,-0.00330000,4,27,30,neg
0,76,Undirected,-0.00160000,5,23,33,neg
