source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00060000,84,11,0,neg
0,2,Undirected,0.00150000,8,76,11,pos
0,3,Undirected,-0.00010000,39,45,11,neg
0,4,Undirected,-0.00170000,5,79,11,neg
0,5,Undirected,-0.00050000,84,11,0,neg
0,6,Undirected,-0.00480000,84,11,0,neg
0,7,Undirected,-0.00040000,4,81,10,neg
0,8,Undirected,-0.00260000,39,48,8,neg
0,9,Undirected,0.00020000,10,74,11,pos
0,10,Undirected,-0.00040000,47,39,9,neg
0,11,Undirected,-0.00130000,2,82,11,neg
0,12,Undirected,-0.00440000,4,80,11,neg
0,13,Undirected,-0.00020000,12,72,11,neg
0,14,Undirected,0.00010000,1,83,11,pos
0,15,Undirected,-0.00280000,6,78,11,neg
0,16,Undirected,0.00020000,30,55,10,pos
0,17,Undirected,-0.00060000,1,83,11,neg
0,18,Undirected,-0.00500000,12,72,11,neg
0,19,Undirected,-0.00040000,7,77,11,neg
0,20,Undirected,-0.00120000,3,81,11,neg
0,21,Undirected,-0.00040000,10,74,11,neg
0,22,Undirected,0.00100000,8,76,11,pos
0,23,Undirected,0.00030000,3,81,11,pos
0,24,Undirected,-0.00060000,2,82,11,neg
0,25,Undirected,-0.00110000,3,81,11,neg
0,26,Undirected,-0.00030000,11,73,11,neg
0,27,Undirected,-0.00080000,2,82,11,neg
0,28,Undirected,-0.00300000,4,80,11,neg
0,29,Undirected,-0.00490000,3,81,11,neg
0,30,Undirected,0.00160000,14,70,11,pos
0,31,Undirected,-0.00720000,4,80,11,neg
0,32,Undirected,0.00030000,5,79,11,pos
0,33,Undirected,-0.00410000,9,75,11,neg
0,34,Undirected,-0.00160000,8,76,11,neg
0,35,Undirected,-0.00070000,16,68,11,neg
0,36,Undirected,-0.00090000,11,73,11,neg
0,37,Undirected,0.00000000,12,72,11,pos
0,38,Undirected,0.00060000,7,77,11,pos
0,39,Undirected,0.00100000,27,57,11,pos
0,40,Undirected,-0.00520000,17,67,11,neg
0,41,Undirected,-0.00290000,2,82,11,neg
0,42,Undirected,-0.00090000,7,77,11,neg
0,43,Undirected,-0.00190000,7,77,11,neg
0,44,Undirected,-0.00340000,8,76,11,neg
0,45,Undirected,-0.00190000,15,69,11,neg
0,46,Undirected,0.00180000,14,70,11,pos
0,47,Undirected,-0.00280000,1,83,11,neg
0,48,Undirected,0.00070000,1,83,11,pos
0,49,Undirected,-0.00090000,23,62,10,neg
0,50,Undirected,0.00190000,3,81,11,pos
0,51,Undirected,-0.00540000,4,80,11,neg
0,52,Undirected,0.00040000,2,82,11,pos
0,53,Undirected,-0.00450000,4,80,11,neg
0,54,Undirected,0.00120000,21,63,11,pos
0,55,Undirected,-0.00450000,4,80,11,neg
0,56,Undirected,-0.00020000,13,71,11,neg
0,57,Undirected,-0.00270000,2,82,11,neg
0,58,Undirected,0.00060000,18,66,11,pos
0,59,Undirected,-0.00670000,13,71,11,neg
0,60,Undirected,0.00350000,9,75,11,pos
0,61,Undirected,0.00340000,10,74,11,pos
0,62,Undirected,-0.00290000,4,80,11,neg
0,63,Undirected,0.00080000,23,61,11,pos
0,64,Undirected,-0.00290000,6,78,11,neg
0,65,Undirected,-0.00060000,6,78,11,neg
0,66,Undirected,0.00100000,5,79,11,pos
0,67,Undirected,-0.00540000,12,72,11,neg
0,68,Undirected,-0.00370000,1,83,11,neg
0,69,Undirected,-0.00100000,19,65,11,neg
0,70,Undirected,0.00020000,1,83,11,pos
0,71,Undirected,-0.00040000,7,77,11,neg
0,72,Undirected,0.00170000,2,82,11,pos
0,73,Undirected,0.00250000,17,67,11,pos
0,74,Undirected,0.00010000,39,46,10,pos
0,75,Undirected,-0.00160000,10,74,11,neg
0,76,Undirected,-0.00200000,2,82,11,neg
0,77,Undirected,0.00010000,28,56,11,pos
0,78,Undirected,-0.00260000,8,76,11,neg
0,79,Undirected,-0.00230000,2,82,11,neg
0,80,Undirected,-0.00300000,6,79,10,neg
0,81,Undirected,-0.00200000,8,77,10,neg
0,82,Undirected,0.00060000,19,66,10,pos
0,83,Undirected,-0.00170000,47,40,8,neg
0,84,Undirected,-0.00150000,4,80,11,neg
0,85,Undirected,-0.00250000,50,39,6,neg
0,86,Undirected,0.00260000,7,77,11,pos
0,87,Undirected,-0.00430000,9,75,11,neg
