Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,oceanic_seawater phyla,0.1021805270501693,0.0010218052705016,0,0.0020525999808098743,-0.12293696789123101,0,0.0020525999808100564,-0.12293696789122936,0.0045734577877599054,0,84,0,0.5283018867924528,0.08714893406611902,0.6115622709055147,-0.02575872652482379,44,0,81,0,0.5094339622641509,0.021787233516529756,0.8,0.019083809184283606,25.558823529411768,0,81,0,0.5094339622641509,0.021787233516529756,0.7676470588235296,0.002122468664507038,0.0127444794952683,0,81,0,0.5094339622641509,0.021787233516529756,0.9476986419040073,0.018792913407071,0.01274447949526814,0,81,0,0.5094339622641509,0.021787233516529756,0.9476986419040004,0.01879291340683524,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.02945619136705,0,0.0006309468164423135,-0.11573656286727844,0.970873786407767,0,0.970873786407767,1.4431037132410554,0.0189886557079159,0,0.009833887668668545,-0.13446209023058403,0.1927138077465081,0,0.009833887668668554,-0.13446209023058409,0.008040761085900804,0,81,0,0.5094339622641509,0.021787233516529756,0.9483568075117371,0.019083809184279144,0.638961866093464,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.630921105007563,0,80,0,0.5031446540880503,0.0,0.9991804828847002,-0.01908380918501628,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008040761085900905,0,81,0,0.5094339622641509,0.021787233516529756,0.9483568075117441,0.019083809184525125
Actinomycetota,,oceanic_seawater phyla,4.920233218514921,0.0492023321851491,0,0.09883752708523533,1.0015366197726105,0,0.09883752708523531,1.0015366197726103,0.0049247364290732135,0,101,0,0.6352201257861635,0.45753190384712483,0.6585352120742566,0.32558289460793916,46,0,106,0,0.6666666666666666,0.5664680714297736,0.8363636363636363,0.45255890351302663,26.918518518518518,0,106,0,0.6666666666666666,0.5664680714297736,0.8084848484848485,0.4387561353851635,0.012872286723876926,0,106,0,0.6666666666666666,0.5664680714297736,0.9572025794342046,0.452329636634004,0.012872286723876828,0,106,0,0.6666666666666666,0.5664680714297736,0.9572025794342023,0.4523296366339712,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,2.347150208084324,0,0.050275574769632236,0.48926138303363437,1.0,0,1.0,1.6784406264772889,0.6608538958008912,1,0.34224449990942635,2.41537188187812,6.706934528851996,1,0.34224449990942635,2.41537188187812,0.008120372581800811,0,106,0,0.6666666666666666,0.5664680714297736,0.9577464788732394,0.4525589035130174,0.638961866093464,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6308414935116631,0,56,0,0.3522012578616352,-0.5228936043967141,0.9990544033285004,-0.45255890351354633,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008120372581800872,0,106,0,0.6666666666666666,0.5664680714297736,0.9577464788732416,0.4525589035130552
Aquificota,,oceanic_seawater phyla,0.0283300511165397,0.0002833005111653,0,0.0005690933885043136,-0.14017275067353285,0,0.0005690933885045071,-0.14017275067353105,0.0051119879185700925,0,113,0,0.710691823899371,0.7189787060454819,0.683574460595066,0.5128679559296154,46,0,114,0,0.7169811320754716,0.7407659395620116,0.8363636363636363,0.45255890351302663,26.918518518518518,0,114,0,0.7169811320754716,0.7407659395620116,0.8084848484848485,0.4387561353851635,0.012872286723876926,0,114,0,0.7169811320754716,0.7407659395620116,0.9572025794342046,0.452329636634004,0.012872286723876828,0,114,0,0.7169811320754716,0.7407659395620116,0.9572025794342023,0.4523296366339712,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.01759872480044,0,0.0003769618158681199,-0.11883176994148427,0.8932038834951457,0,0.8932038834951457,0.815538611277766,0.0041349660226963,0,0.0021414254914319847,-0.19346893497738382,0.0419653217896863,0,0.0021414254914320307,-0.19346893497738363,0.008120372581800811,0,114,0,0.7169811320754716,0.7407659395620116,0.9577464788732394,0.4525589035130174,0.638961866093464,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6308414935116631,0,55,0,0.34591194968553457,-0.5446808379132438,0.9990544033285004,-0.45255890351354633,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.008120372581800872,0,114,0,0.7169811320754716,0.7407659395620116,0.9577464788732416,0.4525589035130552
Armatimonadota,,oceanic_seawater phyla,0.0124546639027458,0.0001245466390274,0,0.0002501889902682541,-0.1438778686452535,0,0.00025018899026837,-0.14387786864525265,0.005023891584928424,0,108,0,0.6792452830188679,0.6100425384628332,0.6717942285779389,0.42475582772905607,47,0,118,0,0.7421383647798742,0.8279148736281307,0.8545454545454545,0.6692964506773982,27.605947955390334,0,118,0,0.7421383647798742,0.8279148736281307,0.8291314633322069,0.659507728968842,0.012936202435792415,0,118,0,0.7421383647798742,0.8279148736281307,0.9619554477958452,0.6691390347269053,0.012936202435792264,0,118,0,0.7421383647798742,0.8279148736281307,0.9619554477958389,0.6691390347266857,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.0054229827982985,0,0.00011615940735757576,-0.12201005786386866,0.8349514563106796,0,0.8349514563106796,0.344864784805298,0.0017324102907497,0,0.0008971845325615094,-0.20301317860134852,0.0175820441870693,0,0.0008971845325615456,-0.20301317860134835,0.008160178329750816,0,118,0,0.7421383647798742,0.8279148736281307,0.9624413145539906,0.6692964506773913,0.638961866093464,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.630801687763713,0,38,0,0.2389937106918239,-0.9150638076942497,0.9989913635504003,-0.6692964506781136,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.008160178329750911,0,118,0,0.7421383647798742,0.8279148736281307,0.962441314553997,0.6692964506776226
Atribacterota,,oceanic_seawater phyla,0.0154928197243025,0.000154928197243,0,0.00031121939166724253,-0.14316880085473235,0,0.0003112193916672921,-0.14316880085473224,0.004827368485670817,0,95,0,0.5974842767295597,0.3268085027479463,0.6455151814226268,0.22819749436423523,46,0,111,0,0.6981132075471698,0.6754042390124224,0.8363636363636363,0.45255890351302663,26.918518518518518,0,111,0,0.6981132075471698,0.6754042390124224,0.8084848484848485,0.4387561353851635,0.012872286723876926,0,111,0,0.6981132075471698,0.6754042390124224,0.9572025794342046,0.452329636634004,0.012872286723876828,0,111,0,0.6981132075471698,0.6754042390124224,0.9572025794342023,0.4523296366339712,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.0079625707133526,0,0.0001705569664347875,-0.12134713796980141,0.8543689320388349,0,0.8543689320388349,0.5017560602961203,0.0021721975215439,0,0.0011249425314567162,-0.2012661071733705,0.0220453971041116,0,0.0011249425314567411,-0.20126610717337048,0.008120372581800811,0,111,0,0.6981132075471698,0.6754042390124224,0.9577464788732394,0.4525589035130174,0.638961866093464,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6308414935116631,0,54,0,0.33962264150943394,-0.5664680714297736,0.9990544033285004,-0.45255890351354633,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.008120372581800872,0,111,0,0.6981132075471698,0.6754042390124224,0.9577464788732416,0.4525589035130552
Bacillota,,oceanic_seawater phyla,9.186631332527712,0.0918663133252769,1,0.18454083024642412,1.997260888659282,1,0.18454083024642415,1.997260888659282,0.0034514034428510068,0,23,0,0.14465408805031446,-1.241872310442196,0.4615212876721281,-1.1480142415925365,37,0,14,0,0.0880503144654088,-1.4379574120909637,0.6727272727272727,-1.498079020966317,20.95340501792115,0,14,0,0.0880503144654088,-1.4379574120909637,0.629325513196481,-1.4767980153893343,0.012297408084757643,0,14,0,0.0880503144654088,-1.4379574120909637,0.9144537401618559,-1.4977243952872528,0.01229740808475752,0,14,0,0.0880503144654088,-1.4379574120909637,0.9144537401618514,-1.497724395287334,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,7.449227944046551,0,0.15956124801344257,1.8210793572008717,1.0,0,1.0,1.6784406264772889,0.8085278191090217,1,0.4187222030044559,3.002012134263657,8.205661163497957,1,0.4187222030044558,3.002012134263657,0.007762120850250776,0,14,0,0.0880503144654088,-1.4379574120909637,0.9154929577464789,-1.4980790209663237,0.638961866093464,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6311997452432131,0,146,0,0.9182389937106918,1.4379574120909637,0.9996217613314001,1.4980790209657457,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.007762120850250853,0,14,0,0.0880503144654088,-1.4379574120909637,0.9154929577464833,-1.4980790209662371
Bacteroidota,,oceanic_seawater phyla,11.147107870047238,0.1114710787004721,1,0.22392283599117208,2.4548117347886054,1,0.22392283599117213,2.454811734788606,0.004951824162724278,0,104,0,0.6540880503144654,0.5228936043967141,0.6621573808301735,0.35267548474719906,46,0,110,0,0.6918238993710691,0.6536170054958926,0.8363636363636363,0.45255890351302663,26.918518518518518,0,110,0,0.6918238993710691,0.6536170054958926,0.8084848484848485,0.4387561353851635,0.012872286723876926,0,110,0,0.6918238993710691,0.6536170054958926,0.9572025794342046,0.452329636634004,0.012872286723876828,0,110,0,0.6918238993710691,0.6536170054958926,0.9572025794342023,0.4523296366339712,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,8.167572496403936,1,0.17494807120354336,2.0085920208616606,1.0,0,1.0,1.6784406264772889,1.0216544447788891,1,0.5290966986127011,3.8486657253121535,10.368660177055444,1,0.5290966986127013,3.8486657253121543,0.008120372581800811,0,110,0,0.6918238993710691,0.6536170054958926,0.9577464788732394,0.4525589035130174,0.638961866093464,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6308414935116631,0,53,0,0.3333333333333333,-0.5882553049463034,0.9990544033285004,-0.45255890351354633,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.008120372581800872,0,110,0,0.6918238993710691,0.6536170054958926,0.9577464788732416,0.4525589035130552
Balneolota,,oceanic_seawater phyla,0.0023835899074599,2.383589907459936e-05,0,4.788149698923689e-05,-0.14622833208604616,0,4.788149698923605e-05,-0.14622833208604663,0.004955537280277522,0,105,0,0.660377358490566,0.5446808379132438,0.6626538984998191,0.35638926801547827,46,0,109,0,0.6855345911949685,0.6318297719793629,0.8363636363636363,0.45255890351302663,26.918518518518518,0,109,0,0.6855345911949685,0.6318297719793629,0.8084848484848485,0.4387561353851635,0.012872286723876926,0,109,0,0.6855345911949685,0.6318297719793629,0.9572025794342046,0.452329636634004,0.012872286723876828,0,109,0,0.6855345911949685,0.6318297719793629,0.9572025794342023,0.4523296366339712,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,s,0.0009222295196588,0,1.9754005947582834e-05,-0.12318490944865228,0.7087378640776699,0,0.7087378640776699,-0.6749285058850474,0.0003911959617574,0,0.00020259344334498195,-0.20834120331171943,0.0039702053965783,0,0.00020259344334500667,-0.20834120331171938,0.008120372581800811,0,109,0,0.6855345911949685,0.6318297719793629,0.9577464788732394,0.4525589035130174,0.638961866093464,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6308414935116631,0,52,0,0.3270440251572327,-0.6100425384628332,0.9990544033285004,-0.45255890351354633,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.008120372581800872,0,109,0,0.6855345911949685,0.6318297719793629,0.9577464788732416,0.4525589035130552
Bdellovibrionota,,oceanic_seawater phyla,0.0999279748113231,0.0009992797481132,0,0.002007350765370356,-0.12346268557420607,0,0.002007350765370413,-0.12346268557420588,0.0040278580972825965,0,47,0,0.29559748427672955,-0.7189787060454819,0.5386047404770814,-0.5714562361290584,43,0,69,0,0.4339622641509434,-0.2396595686818273,0.7818181818181819,-0.19765373798008792,24.88644688644689,0,69,0,0.4339622641509434,-0.2396595686818273,0.7474525474525476,-0.21379527861493894,0.012680587975522153,0,69,0,0.4339622641509434,-0.2396595686818273,0.9429475725084242,-0.19793442208312267,0.012680587975522049,0,69,0,0.4339622641509434,-0.2396595686818273,0.9429475725084213,-0.19793442208316572,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.0623898692342001,0,0.0013363808267352762,-0.10713973890480856,0.9514563106796116,0,0.9514563106796116,1.2862124377502322,0.0088970817438877,0,0.004607640677369261,-0.17455124994547916,0.090295517864478,0,0.004607640677369268,-0.17455124994547927,0.0080009553379508,0,69,0,0.4339622641509434,-0.2396595686818273,0.9436619718309859,-0.19765373798009472,0.638961866093464,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6309609107555131,0,99,0,0.6226415094339622,0.4139574368140653,0.9992435226628003,0.197653737979551,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008000955337950866,0,69,0,0.4339622641509434,-0.2396595686818273,0.9436619718309889,-0.19765373798004218
Caldisericota,,oceanic_seawater phyla,0.0090062190797387,9.006219079738717e-05,0,0.00018091671323212526,-0.1446826927869343,0,0.00018091671323212447,-0.14468269278693477,0.004168278355753348,0,57,0,0.3584905660377358,-0.5011063708801844,0.5573817219507803,-0.43101080208118336,42,0,49,0,0.3081761006289308,-0.6754042390124224,0.7636363636363637,-0.41439128514445944,24.21897810218978,0,49,0,0.3081761006289308,-0.6754042390124224,0.7274054412740545,-0.4281369839434418,0.012616704516780266,0,49,0,0.3081761006289308,-0.6754042390124224,0.9381971025412282,-0.41463441372578275,0.012616704516780215,0,49,0,0.3081761006289308,-0.6754042390124224,0.9381971025412293,-0.414634413725639,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,D,0.0025589988961008,0,5.4813339126398186e-05,-0.12275765628084048,0.8058252427184466,0,0.8058252427184466,0.10952787156906443,0.0040884973784718,0,0.0021173602055872074,-0.19365353342621758,0.0414937165582749,0,0.002117360205587248,-0.1936535334262174,0.007961149590000795,0,49,0,0.3081761006289308,-0.6754042390124224,0.9389671361502347,-0.41439128514446855,0.638961866093464,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6310007165034631,0,104,0,0.6540880503144654,0.5228936043967141,0.9993065624409003,0.41439128514411827,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.007961149590000827,0,49,0,0.3081761006289308,-0.6754042390124224,0.9389671361502335,-0.4143912851446095
