Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,pasture_soil phyla,2.407620364362364,0.0240762036436235,0,0.05288727767537381,0.37143759522186576,0,0.05288727767537401,0.3714375952218674,0.006827752369908731,1,158,0,0.9937106918238994,1.6994042142893209,0.9641711442995048,2.234093634722223,51,1,159,0,1.0,1.7211914478058505,1.0,2.3495871598324967,30.40754716981132,1,159,0,1.0,1.7211914478058505,1.0,2.422729394920634,0.013364880419490827,1,159,0,1.0,1.7211914478058505,1.0,2.3508470206177368,0.013364880419490983,1,159,0,1.0,1.7211914478058505,1.0,2.3508470206179553,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,2.015298738887745,0,0.043335151188986475,0.29241906529803513,1.0,0,1.0,0.9143139585903521,0.1603486815943063,0,0.13595592118291133,1.1123334007183174,1.5296289326833268,0,0.13595592118291142,1.112333400718318,0.008319401321550832,1,159,0,1.0,1.7211914478058505,1.0,2.3495871598325015,0.630801687763713,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6224822864421623,0,1,0,0.006289308176100629,-1.7211914478058505,0.9987226976625369,-2.349587159831747,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008319401321550735,1,159,0,1.0,1.7211914478058505,1.0,2.3495871598322764
Actinomycetota,,pasture_soil phyla,40.18668066189549,0.4018668066189542,1,0.882765476848811,8.260708284578314,1,0.8827654768488108,8.260708284578312,0.005454022343980057,0,124,0,0.779874213836478,0.9586382747273092,0.7701818518794075,0.7895595246498569,45,0,131,0,0.8238993710691824,1.1111489093430176,0.8823529411764706,0.8912227157985327,26.236162361623617,0,131,0,0.8238993710691824,1.1111489093430176,0.8628174517039289,0.8891987620668736,0.012976220915366774,0,131,0,0.8238993710691824,1.1111489093430176,0.9709193429402296,0.8911953624025913,0.012976220915366914,0,131,0,0.8238993710691824,1.1111489093430176,0.9709193429402287,0.8911953624028218,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,38.49283141922671,1,0.8277148380318982,7.954734621463346,1.0,0,1.0,0.9143139585903521,1.179416682989317,1,1.0,9.086756352572085,11.250918087086516,1,1.0,9.086756352572085,0.008080566833850809,0,131,0,0.8238993710691824,1.1111489093430176,0.9712918660287082,0.8912227157985431,0.630801687763713,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6227211209298623,0,27,0,0.16981132075471697,-1.154723376376077,0.9991058883637758,-0.8912227157977812,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008080566833850722,0,131,0,0.8238993710691824,1.1111489093430176,0.9712918660287092,0.8912227157983109
Aquificota,,pasture_soil phyla,0.0033252512847007,3.3252512847007685e-05,0,7.30445258885073e-05,-0.13064304984396843,0,7.304452588850565e-05,-0.1306430498439687,0.0031605472681036383,0,8,0,0.050314465408805034,-1.5686808131901424,0.44631209672018224,-1.6221246601408392,34,0,6,0,0.03773584905660377,-1.6122552802232017,0.6666666666666666,-1.7824454315970673,19.04964539007092,0,6,0,0.03773584905660377,-1.6122552802232017,0.6264775413711584,-1.7527881142739734,0.012264452251676735,0,6,0,0.03773584905660377,-1.6122552802232017,0.9176627000560911,-1.7819267385537627,0.01226445225167678,0,6,0,0.03773584905660377,-1.6122552802232017,0.9176627000560837,-1.781926738553761,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.0032324922515259,0,6.950857346063415e-05,-0.13022702309668535,0.8791208791208791,0,0.8791208791208791,0.33596491208962,0.000259633620317,0,0.00022013731369217182,-0.1403973069053409,0.0024767468842625,0,0.00022013731369222567,-0.14039730690534075,0.0076427036064007645,0,6,0,0.03773584905660377,-1.6122552802232017,0.9186602870813397,-1.7824454315970597,0.630801687763713,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6231589841573123,0,152,0,0.9559748427672956,1.5686808131901424,0.9998084046493805,1.7824454315975964,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.007642703606400736,0,6,0,0.03773584905660377,-1.6122552802232017,0.9186602870813471,-1.7824454315970666
Armatimonadota,,pasture_soil phyla,0.0670944304661145,0.0006709443046611,0,0.0014738377474523532,-0.11732635238675132,0,0.0014738377474524493,-0.11732635238675065,0.0044436958803027735,0,66,0,0.41509433962264153,-0.3050212692314166,0.6275100662281038,-0.2728406642839205,40,0,64,0,0.4025157232704403,-0.3485957362644761,0.7843137254901961,-0.3240809875631036,22.89855072463768,0,64,0,0.4025157232704403,-0.3485957362644761,0.7530548451264564,-0.33781095322976523,0.012652565659147486,0,64,0,0.4025157232704403,-0.3485957362644761,0.9467024965442618,-0.32432600377437604,0.01265256565914755,0,64,0,0.4025157232704403,-0.3485957362644761,0.9467024965442555,-0.3243260037743733,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.06953325196808,0,0.0014951798105930733,-0.11630016716008448,0.989010989010989,0,0.989010989010989,0.8617367725448312,0.0019385005077887,0,0.001643609536601967,-0.1272598179230211,0.0184921162634636,0,0.0016436095366020242,-0.1272598179230209,0.007881538094100788,0,64,0,0.4025157232704403,-0.3485957362644761,0.9473684210526316,-0.324080987563096,0.630801687763713,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6229201496696123,0,95,0,0.5974842767295597,0.3268085027479463,0.9994252139481415,0.32408098756363074,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.007881538094100748,0,64,0,0.4025157232704403,-0.3485957362644761,0.9473684210526379,-0.3240809875631011
Atribacterota,,pasture_soil phyla,0.0016839536391695,1.6839536391695772e-05,0,3.699076691054855e-05,-0.13098579636295066,0,3.699076691054678e-05,-0.13098579636295093,0.0036003515764791434,0,21,0,0.1320754716981132,-1.2854467774752556,0.5084184240004628,-1.1596521850446377,37,0,28,0,0.1761006289308176,-1.1329361428595472,0.7254901960784313,-1.0532632095800853,20.95340501792115,0,28,0,0.1761006289308176,-1.1329361428595472,0.6890856701103382,-1.0529069378435036,0.012458471760797288,0,28,0,0.1761006289308176,-1.1329361428595472,0.9321798152887574,-1.053266059453242,0.012458471760797342,0,28,0,0.1761006289308176,-1.1329361428595472,0.9321798152887505,-1.053266059453243,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.0014586757169391,0,3.136603596752419e-05,-0.13059962346266552,0.8681318681318682,0,0.8681318681318682,0.28338772604409906,0.0001551343984657,0,0.0001315348516798157,-0.14121503544950198,0.0014798878418471,0,0.000131534851679853,-0.14121503544950195,0.007762120850250776,0,28,0,0.1761006289308176,-1.1329361428595472,0.9330143540669856,-1.0532632095800805,0.630801687763713,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6230395669134623,0,129,0,0.8113207547169812,1.067574442309958,0.9996168092987611,1.0532632095806136,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.007762120850250742,0,28,0,0.1761006289308176,-1.1329361428595472,0.9330143540669925,-1.0532632095800838
Bacillota,,pasture_soil phyla,1.7342134074087845,0.0173421340740878,0,0.038094804057813104,0.23081234605839113,0,0.038094804057813125,0.2308123460583911,0.0048039945234621744,0,86,0,0.5408805031446541,0.13072340109917852,0.6783891163523547,0.10602830562499636,41,0,72,0,0.4528301886792453,-0.17429786813223805,0.803921568627451,-0.08102024689077633,23.55636363636364,0,72,0,0.4528301886792453,-0.17429786813223805,0.7746880570409983,-0.09597849297857199,0.012717280163599175,0,72,0,0.4528301886792453,-0.17429786813223805,0.9515446277433791,-0.08128387375784238,0.012717280163599184,0,72,0,0.4528301886792453,-0.17429786813223805,0.9515446277433687,-0.08128387375805994,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,1.684241464742823,0,0.0362163966587267,0.2228785806415837,1.0,0,1.0,0.9143139585903521,0.053307463118111,0,0.04519815929939144,0.2747131945667397,0.508520787964541,0,0.045198159299391465,0.2747131945667396,0.007921343842050793,0,72,0,0.4528301886792453,-0.17429786813223805,0.952153110047847,-0.08102024689076605,0.630801687763713,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6228803439216622,0,87,0,0.5471698113207547,0.1525106346157083,0.9993613488312684,0.08102024689107716,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.007921343842050788,0,72,0,0.4528301886792453,-0.17429786813223805,0.9521531100478575,-0.08102024689054754
Bacteroidota,,pasture_soil phyla,0.9345520360247178,0.0093455203602471,0,0.020528947903468608,0.06382182355767979,0,0.020528947903468736,0.06382182355768076,0.003886842786041123,0,33,0,0.20754716981132076,-1.0239999752768985,0.548874864478959,-0.8583947933905534,36,0,20,0,0.12578616352201258,-1.3072340109917853,0.7058823529411765,-1.2963239502524126,20.314285714285713,0,20,0,0.12578616352201258,-1.3072340109917853,0.6680672268907563,-1.2878670470737337,0.012393790327732591,0,20,0,0.12578616352201258,-1.3072340109917853,0.9273401585889213,-1.2961839863965205,0.012393790327732702,0,20,0,0.12578616352201258,-1.3072340109917853,0.9273401585889187,-1.2961839863962947,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,0.8533847542136309,0,0.018350409610554362,0.048352349555139285,1.0,0,1.0,0.9143139585903521,0.0437708495444963,0,0.03711228624777116,0.20008717347659738,0.4175472925981814,0,0.03711228624777122,0.20008717347659766,0.0077223151023007724,0,20,0,0.12578616352201258,-1.3072340109917853,0.9282296650717704,-1.296323950252405,0.630801687763713,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6230793726614123,0,145,0,0.9119496855345912,1.416170178574434,0.9996806744156342,1.2963239502531672,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.007722315102300703,0,20,0,0.12578616352201258,-1.3072340109917853,0.9282296650717728,-1.2963239502526376
Balneolota,,pasture_soil phyla,0.0028739208038054,2.873920803805426e-05,0,6.313032146500643e-05,-0.13073729962959302,0,6.313032146500574e-05,-0.13073729962959327,0.003290664379287949,0,11,0,0.06918238993710692,-1.5033191126405532,0.46468639578475124,-1.4853011199530566,35,0,13,0,0.08176100628930817,-1.4597446456074936,0.6862745098039216,-1.53938469092474,19.6797153024911,0,13,0,0.08176100628930817,-1.4597446456074936,0.647198381131812,-1.5211548423592638,0.012329117158553737,0,13,0,0.08176100628930817,-1.4597446456074936,0.9225011202175387,-1.5390708774470805,0.012329117158553725,0,13,0,0.08176100628930817,-1.4597446456074936,0.9225011202175271,-1.5390708774473056,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,D,0.0019611537051244,0,4.217086562725268e-05,-0.13049407507102284,0.8681318681318682,0,0.8681318681318682,0.28338772604409906,0.0006908019026349,0,0.0005857148814310584,-0.1370233237737732,0.0065898301533685,0,0.0005857148814310647,-0.13702332377377344,0.007682509354350768,0,13,0,0.08176100628930817,-1.4597446456074936,0.9234449760765551,-1.539384690924735,0.630801687763713,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6231191784093623,0,150,0,0.9433962264150944,1.5251063461570828,0.9997445395325073,1.5393846909250428,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.007682509354350775,0,13,0,0.08176100628930817,-1.4597446456074936,0.9234449760765666,-1.539384690924513
Bdellovibrionota,,pasture_soil phyla,0.0295057336448728,0.0002950573364487,0,0.0006481411901104045,-0.1251758701287868,0,0.0006481411901104647,-0.12517587012878648,0.006399070265138447,0,154,0,0.9685534591194969,1.6122552802232017,0.9036354228637538,1.7833166181103413,48,0,155,0,0.9748427672955975,1.6340425137397316,0.9411764705882353,1.6204049378155145,28.29850746268657,0,155,0,0.9748427672955975,1.6340425137397316,0.9306409130816506,1.6473808846531552,0.013170513394284104,0,155,0,0.9748427672955975,1.6340425137397316,0.9854568825828576,1.6208812082937858,0.013170513394284253,0,155,0,0.9748427672955975,1.6340425137397316,0.9854568825828572,1.6208812082940134,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.03268279017648,0,0.0007027809953165328,-0.12404081862113688,0.978021978021978,0,0.978021978021978,0.8091595864993097,0.0012994730749567,0,0.0011017930250597197,-0.13226034293240607,0.0123961830738705,0,0.0011017930250597492,-0.13226034293240613,0.00819998407770082,0,155,0,0.9748427672955975,1.6340425137397316,0.9856459330143541,1.6204049378155223,0.630801687763713,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6226017036860123,0,8,0,0.050314465408805034,-1.5686808131901424,0.9989142930131564,-1.620404937814764,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008199984077700728,0,155,0,0.9748427672955975,1.6340425137397316,0.9856459330143545,1.6204049378152936
Caldisericota,,pasture_soil phyla,0.0003121275688576,3.121275688576183e-06,0,6.8563871815746976e-06,-0.13127227006351844,0,6.856387181574282e-06,-0.13127227006351871,0.004147569948915949,0,51,0,0.32075471698113206,-0.6318297719793629,0.5856930724864564,-0.5842293656235735,39,0,43,0,0.27044025157232704,-0.8061276401116009,0.7647058823529411,-0.5671417282354309,22.24548736462094,0,43,0,0.27044025157232704,-0.8061276401116009,0.7315778296878318,-0.5778973307354608,0.012587859424920007,0,43,0,0.27044025157232704,-0.8061276401116009,0.9418609841478535,-0.5673370740937858,0.012587859424920127,0,43,0,0.27044025157232704,-0.8061276401116009,0.9418609841478515,-0.5673370740935628,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,s,0.0001566662671676,0,3.3688089229237888e-06,-0.13087311803667315,0.5824175824175825,0,0.5824175824175825,-1.0836191111394493,5.305309476243698e-05,0,4.498248628124377e-05,-0.14201384327203403,0.0005060942685037,0,4.498248628123785e-05,-0.14201384327203442,0.007841732346150784,0,43,0,0.27044025157232704,-0.8061276401116009,0.9425837320574163,-0.567141728235426,0.630801687763713,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6229599554175623,0,111,0,0.6981132075471698,0.6754042390124224,0.9994890790650147,0.5671417282361843,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.00784173234615071,0,43,0,0.27044025157232704,-0.8061276401116009,0.9425837320574183,-0.5671417282356547
