id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.06733506909068818,-1.1717586899246482,6.733506909068831,3.2528618231070237,0.3974003214968231,6.922537679635483,1.0
1,Actinomycetota,0.20969298829366165,-0.6784160912145925,20.96929882936621,8.53353240926089,1.0425369128359254,17.889662424538045,1.0
2,Aquificota,5.6995664073819615e-05,-4.244158181879073,0.005699566407381976,0.005144974456003014,0.0006285586705172719,0.00514820901728611,0.835820895522388
3,Armatimonadota,0.0009370604840754328,-3.0282323759719514,0.0937060484075435,0.02766687238571193,0.003380046426439231,0.09060956883428017,1.0
4,Atribacterota,5.0471566769471204e-05,-4.296953213420181,0.005047156676947134,0.01080950320268657,0.00132059100003992,0.0027152515680577867,0.8507462686567164
5,Bacillota,0.01846525191869126,-1.7336447629574276,1.8465251918691306,0.7387033441210256,0.09024697709541021,1.6624182644353354,1.0
6,Bacteroidota,0.028926227815852894,-1.5387081977234003,2.892622781585297,3.2427651905067245,0.39616682150217475,1.984237064112404,1.0
7,Balneolota,5.079886893668099e-05,-4.294145957401645,0.0050798868936681105,0.0033794098001517074,0.00041286061753678655,0.005440344036994354,0.8059701492537313
8,Bdellovibrionota,0.0005765711917941598,-3.239147060798635,0.0576571191794161,0.015152208367778202,0.0018511368770624214,0.05941936260380015,1.0
9,Caldisericota,8.496645324666126e-05,-4.070752510116386,0.008496645324666152,0.03500588345075909,0.004276649330380819,0.0005493569776576538,0.7611940298507462
10,Calditrichota,0.00010898354664168377,-3.9626390629959625,0.010898354664168402,0.009641852471857617,0.001177939759052313,0.009851649035932525,0.8656716417910447
11,Campylobacterota,0.0007356500468205523,-3.1333287330518775,0.0735650046820554,0.06460900402168729,0.007893246121743825,0.06248065841686014,1.0
12,Candidatus Abawacabacteria,7.303547880197748e-06,-5.136466119265199,0.0007303547880197762,0.000955384517874296,0.00011671879569531929,0.0006222078423076453,0.7313432835820896
13,Candidatus Absconditabacteria,1.060325053729098e-05,-4.97456097681048,0.0010603250537291004,0.0016362491943868003,0.00019989965490668744,0.0007601624213707019,0.7313432835820896
14,Candidatus Adlerbacteria,8.998983385503164e-05,-4.045806550005557,0.008998983385503185,0.016860997980665888,0.002059898754590736,0.005306671655537654,0.8656716417910447
15,Candidatus Aenigmarchaeota,6.118693511615887e-07,-6.213341300283922,6.1186935116159e-05,0.00010866857080138292,1.3275978913798765e-05,0.0,0.29850746268656714
16,Candidatus Altiarchaeota,8.580962964443615e-07,-6.0664639724453195,8.580962964443633e-05,0.0001542782713276955,1.8848090684355854e-05,0.0,0.3283582089552239
17,Candidatus Amesbacteria,4.320965262374891e-05,-4.364419225107317,0.004320965262374901,0.006389297569613194,0.0007805769339067352,0.0029426744383453155,0.8805970149253731
18,Candidatus Aminicenantes,0.0009210264266748747,-3.0357279085714253,0.09210264266748767,0.07841546528657137,0.009579973823001565,0.07680491551459012,1.0
19,Candidatus Andersenbacteria,1.0108971197444947e-05,-4.9952930408489316,0.0010108971197444968,0.00081717478727916,9.98337897038769e-05,0.0010141653545902422,0.7313432835820896
20,Candidatus Azambacteria,5.233758078562652e-05,-4.281186355745333,0.005233758078562664,0.00549320364410268,0.0006711016369360554,0.00443023345404115,0.8656716417910447
21,Candidatus Bathyarchaeota,3.855556048851869e-05,-4.413912979082956,0.003855556048851879,0.006361567277371588,0.0007771891395117402,0.0012739520682611832,0.8507462686567164
22,Candidatus Beckwithbacteria,3.0261510863391056e-05,-4.519109392794875,0.003026151086339113,0.004164093623994168,0.0005087250042910008,0.0028781947962238123,0.7910447761194029
23,Candidatus Berkelbacteria,5.585529783530264e-05,-4.252935628071758,0.005585529783530276,0.005052590007568628,0.0006172721137848793,0.00514820901728611,0.8208955223880597
24,Candidatus Bipolaricaulota,2.400485431329627e-05,-4.6197009254425145,0.0024004854313296325,0.001982265543510538,0.00024217228001733183,0.0024109485997813353,0.7611940298507462
25,Candidatus Blackallbacteria,2.7886534934431295e-05,-4.554605446018849,0.0027886534934431356,0.0028729457828640267,0.00035098618995828843,0.0025535527899160247,0.7761194029850746
26,Candidatus Blackburnbacteria,7.967820523132664e-06,-5.098660457050595,0.0007967820523132684,0.0014360681069440432,0.00017544364268316486,0.0005870146489505667,0.7014925373134329
27,Candidatus Brennerbacteria,1.4549812111802693e-06,-5.837142614879735,0.00014549812111802726,0.00038421986965463107,4.6939927986358295e-05,0.0,0.3880597014925373
28,Candidatus Buchananbacteria,7.49166813354882e-05,-4.125421469278744,0.007491668133548836,0.009894763041183138,0.0012088377027786488,0.0073513195618613685,0.8208955223880597
29,Candidatus Calescamantes,5.289777223421093e-07,-6.276562617695664,5.2897772234211044e-05,0.0001309840144202723,1.6002244261282936e-05,0.0,0.22388059701492538
30,Candidatus Campbellbacteria,1.3994672188016335e-05,-4.854037270016897,0.001399467218801637,0.004579902014632552,0.0005595240843339818,0.0007771920052849079,0.7164179104477612
31,Candidatus Chisholmbacteria,2.2495786638073308e-05,-4.647898815719073,0.0022495786638073367,0.0025987667716125405,0.0003174898924995332,0.0019817032172951754,0.7611940298507462
32,Candidatus Cloacimonetes,8.972964496238503e-06,-5.047064050639547,0.0008972964496238525,0.004976704057950465,0.0006080011694855777,0.0001920904823007832,0.582089552238806
33,Candidatus Coatesbacteria,6.0691604489836176e-05,-4.216871381015528,0.006069160448983633,0.006796202351704502,0.0008302882650407538,0.004583918966642639,0.8656716417910447
34,Candidatus Collierbacteria,3.724320588036737e-05,-4.428952942185128,0.003724320588036745,0.003032256354889649,0.00037044907402274384,0.0034586191934500065,0.835820895522388
