Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,rhizosphere phyla,1.5274266956280065,0.01527426695628,0,0.026764783899677073,0.17886336244369685,0,0.026764783899677146,0.17886336244369738,0.006790612655002673,0,150,0,0.9433962264150944,1.5251063461570828,0.7598059984623782,1.6622332963904445,47,0,155,0,0.9748427672955975,1.6340425137397316,0.8867924528301887,1.7797967807303314,27.605947955390334,0,155,0,0.9748427672955975,1.6340425137397316,0.8670126955179912,1.8124967804330465,0.013273190313808409,0,155,0,0.9748427672955975,1.6340425137397316,0.9711865443512674,1.7756862680858225,0.013273190313808435,0,155,0,0.9748427672955975,1.6340425137397316,0.9711865443512661,1.7784303552015486,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.13867504899051267,D,1.665111304241078,0,0.028452330616664835,0.20751261371172444,1.0,0,1.0,1.1445408721624686,0.1180370862632955,0,0.08544342915346498,0.5030102193921154,0.9875691172505384,0,0.08544342915346503,0.5030102193921157,0.008160178329750816,0,155,0,0.9748427672955975,1.6340425137397316,0.971563981042654,1.7778605160568126,0.6229466868349123,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6147865085051615,0,5,0,0.031446540880503145,-1.6340425137397316,0.9988359058377168,-1.7750829775002839,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.13867504905630726,0.0081601783297508,0,155,0,0.9748427672955975,1.6340425137397316,0.9715639810426553,1.77508297749998
Actinomycetota,,rhizosphere phyla,28.067620603613573,0.2806762060361352,1,0.4918231442360477,5.46221350174754,1,0.4918231442360479,5.462213501747541,0.008160542311912853,1,158,0,0.9937106918238994,1.6994042142893209,0.9130883050337949,2.808226273469997,49,1,157,0,0.9874213836477987,1.6776169807727912,0.9245283018867925,2.216843403334382,28.99625468164794,1,157,0,0.9874213836477987,1.6776169807727912,0.9106776906225709,2.27862511293119,0.013404420652737096,1,157,0,0.9874213836477987,1.6776169807727912,0.9807885417885834,2.2121951972892533,0.013404420652737009,1,157,0,0.9874213836477987,1.6776169807727912,0.9807885417885739,2.2152807316701426,0.0,0,100,0,0.6289308176100629,0.4357446703305951,0.0,-0.13867504899051267,D,27.456906443929533,1,0.46916562145950863,5.264740154905167,1.0,0,1.0,1.1445408721624686,1.2841109449324255,1,0.9295285576923,7.388228723688756,10.743642972598602,1,0.9295285576923003,7.388228723688756,0.008239789825650825,1,157,0,0.9874213836477987,1.6776169807727912,0.981042654028436,2.214207038392345,0.6229466868349123,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6147068970092614,0,2,0,0.012578616352201259,-1.6994042142893209,0.9987065620419073,-2.2110843061657226,0.0,0,100,0,0.6289308176100629,0.4357446703305951,0.0,-0.13867504905630726,0.008239789825650878,1,157,0,0.9874213836477987,1.6776169807727912,0.9810426540284457,2.2110843061654184
Aquificota,,rhizosphere phyla,0.0028429360137171,2.842936013717129e-05,0,4.9816183169735536e-05,-0.12463516686866452,0,4.9816183169734946e-05,-0.12463516686866478,0.0036844552276658355,0,34,0,0.2138364779874214,-1.0022127417603688,0.4122560548324291,-0.9361735484253091,34,0,22,0,0.13836477987421383,-1.2636595439587257,0.6415094339622641,-1.061006266195996,19.04964539007092,0,22,0,0.13836477987421383,-1.2636595439587257,0.5982871671350194,-1.0561759892496776,0.01242102085265128,0,22,0,0.13836477987421383,-1.2636595439587257,0.908834126084358,-1.0588684699896744,0.012421020852651328,0,22,0,0.13836477987421383,-1.2636595439587257,0.9088341260843583,-1.0583416364043006,0.0,0,101,0,0.6352201257861635,0.45753190384712483,0.0,-0.13867504899051267,D,0.0023086339989219,0,3.9448424644583886e-05,-0.11852795128092251,0.8571428571428571,0,0.8571428571428571,0.36584169084525564,0.0003292118484643,0,0.000238306367441125,-0.19200959345867755,0.002754383938715,0,0.0002383063674411481,-0.19200959345867752,0.0076427036064007645,0,22,0,0.13836477987421383,-1.2636595439587257,0.909952606635071,-1.0583918791241125,0.6229466868349123,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6153039832285115,0,129,0,0.8113207547169812,1.067574442309958,0.9996766405104769,1.0589256588226348,0.0,0,101,0,0.6352201257861635,0.45753190384712483,0.0,-0.13867504905630726,0.007642703606400736,0,22,0,0.13836477987421383,-1.2636595439587257,0.9099526066350706,-1.058925658822939
Armatimonadota,,rhizosphere phyla,0.0406033856886579,0.0004060338568865,0,0.000711484778066646,-0.11711820306116928,0,0.0007114847780667833,-0.11711820306116799,0.005024048998013711,0,93,0,0.5849056603773585,0.2832340357148868,0.5621440596302449,0.18444242277768472,40,0,95,0,0.5974842767295597,0.3268085027479463,0.7547169811320755,0.25013360161615505,22.89855072463768,0,95,0,0.5974842767295597,0.3268085027479463,0.7191687175280284,0.2342470459420492,0.012814151655700507,0,95,0,0.5974842767295597,0.3268085027479463,0.9375991280970405,0.24879488954151033,0.012814151655700571,0,95,0,0.5974842767295597,0.3268085027479463,0.937599128097042,0.25034460730750707,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.13867504899051267,D,0.037666699199285,0,0.0006436238683425322,-0.11159497976164154,1.0,0,1.0,1.1445408721624686,0.0030522271726131,0,0.0022094137058053043,-0.1759312332776931,0.0255367646722651,0,0.0022094137058053112,-0.17593123327769322,0.007881538094100788,0,95,0,0.5974842767295597,0.3268085027479463,0.938388625592417,0.25064768788246944,0.6229466868349123,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6150651487408115,0,66,0,0.41509433962264153,-0.3050212692314166,0.9992886091230492,-0.24907832717246486,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.13867504905630726,0.007881538094100748,0,95,0,0.5974842767295597,0.3268085027479463,0.9383886255924153,0.24907832717216086
Atribacterota,,rhizosphere phyla,0.0029342544569467,2.934254456946768e-05,0,5.141633747245402e-05,-0.12461698812771668,0,5.141633747245274e-05,-0.12461698812771696,0.004793462450721656,0,81,0,0.5094339622641509,0.021787233516529756,0.536343583193386,-0.008451104618257385,39,0,84,0,0.5283018867924528,0.08714893406611902,0.7358490566037735,0.03161029031412986,22.24548736462094,0,84,0,0.5283018867924528,0.08714893406611902,0.6986581295552075,0.015294400981720508,0.012748608654385495,0,84,0,0.5283018867924528,0.08714893406611902,0.932803409852323,0.030780476454135938,0.012748608654385436,0,84,0,0.5283018867924528,0.08714893406611902,0.9328034098523157,0.032159658360736636,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.13867504899051267,D,0.0015526948242326,0,2.653143148648884e-05,-0.11867617502389971,0.8428571428571429,0,0.8428571428571429,0.28797177271353464,0.0005924150733721,0,0.000428831115317473,-0.19045547945376018,0.0049565001100675,0,0.00042883111531752713,-0.19045547945375993,0.007841732346150784,0,84,0,0.5283018867924528,0.08714893406611902,0.9336492890995259,0.032474426714703415,0.6229466868349123,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6151049544887615,0,90,0,0.5660377358490566,0.21787233516529755,0.9993532810209537,-0.031077662840353598,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.13867504905630726,0.00784173234615082,0,84,0,0.5283018867924528,0.08714893406611902,0.9336492890995334,0.031077662840049584
Bacillota,,rhizosphere phyla,3.1292005769458293,0.0312920057694582,0,0.05483233824603608,0.4977281110711537,0,0.05483233824603615,0.49772811107115417,0.008937298032319905,1,159,0,1.0,1.7211914478058505,1.0,3.4580089801971168,53,1,159,0,1.0,1.7211914478058505,1.0,3.0909366485424825,31.840304182509506,1,159,0,1.0,1.7211914478058505,1.0,3.2321499908171267,0.013666983331893902,1,159,0,1.0,1.7211914478058505,1.0,3.085552340638577,0.013666983331893947,1,159,0,1.0,1.7211914478058505,1.0,3.089321034947424,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.13867504899051267,D,1.1790691048239164,0,0.020147160075665475,0.1122099803059445,1.0,0,1.0,1.1445408721624686,0.7845036066483584,1,0.5678781174399461,4.438239179834387,6.563628083544935,1,0.5678781174399461,4.438239179834387,0.00839901281745084,1,159,0,1.0,1.7211914478058505,1.0,3.0869000830633992,0.6229466868349123,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6145476740174615,0,1,0,0.006289308176100629,-1.7211914478058505,0.9984478744502889,-3.0830869634953837,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.13867504905630726,0.008399012817450813,1,159,0,1.0,1.7211914478058505,1.0,3.0830869634950795
Bacteroidota,,rhizosphere phyla,3.785051228863437,0.0378505122886343,0,0.06632467435570448,0.6282881456053713,0,0.0663246743557045,0.628288145605371,0.0034975076006045986,0,22,0,0.13836477987421383,-1.2636595439587257,0.39133836512518433,-1.0925616276330226,33,0,19,0,0.11949685534591195,-1.329021244508315,0.6226415094339622,-1.2795295774980213,18.424028268551236,0,19,0,0.11949685534591195,-1.329021244508315,0.5786385759050603,-1.2659267299522197,0.012355528721752709,0,19,0,0.11949685534591195,-1.329021244508315,0.9040421299789895,-1.276713673798237,0.012355528721752631,0,19,0,0.11949685534591195,-1.329021244508315,0.9040421299789807,-1.2763572437128978,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.13867504899051267,D,2.9532331818824096,0,0.050462912998672366,0.4600861705634263,1.0,0,1.0,1.1445408721624686,0.6939542789270516,1,0.5023322342520857,3.9035801596159563,5.806038054205423,1,0.5023322342520858,3.9035801596159563,0.00760289785845076,0,19,0,0.11949685534591195,-1.329021244508315,0.90521327014218,-1.2765651402918785,0.6229466868349123,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6153437889764615,0,146,0,0.9182389937106918,1.4379574120909637,0.9997413124083814,1.276926323154746,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.13867504905630726,0.007602897858450808,0,19,0,0.11949685534591195,-1.329021244508315,0.9052132701421887,-1.2769263231550503
Balneolota,,rhizosphere phyla,0.0018273384908382,1.827338490838276e-05,0,3.202007661568327e-05,-0.12483734162792141,0,3.2020076615681886e-05,-0.1248373416279217,0.005191269744852608,0,105,0,0.660377358490566,0.5446808379132438,0.5808544960769402,0.32432829248839323,39,0,76,0,0.4779874213836478,-0.08714893406611902,0.7358490566037735,0.03161029031412986,22.24548736462094,0,76,0,0.4779874213836478,-0.08714893406611902,0.6986581295552075,0.015294400981720508,0.012748608654385495,0,76,0,0.4779874213836478,-0.08714893406611902,0.932803409852323,0.030780476454135938,0.012748608654385436,0,76,0,0.4779874213836478,-0.08714893406611902,0.9328034098523157,0.032159658360736636,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.13867504899051267,D,0.0015266560999433,0,2.6086498832180177e-05,-0.11868128066904385,0.8,0,0.8,0.054362018318371015,0.0003352748747391,0,0.00024269520634223873,-0.1919737936159927,0.0028051108559547,0,0.0002426952063422783,-0.19197379361599254,0.007841732346150784,0,76,0,0.4779874213836478,-0.08714893406611902,0.9336492890995259,0.032474426714703415,0.6229466868349123,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6151049544887615,0,89,0,0.559748427672956,0.1960851016487678,0.9993532810209537,-0.031077662840353598,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.13867504905630726,0.00784173234615082,0,76,0,0.4779874213836478,-0.08714893406611902,0.9336492890995334,0.031077662840049584
Bdellovibrionota,,rhizosphere phyla,0.0517516344271214,0.0005175163442712,0,0.0009068332482741266,-0.11489892381514738,0,0.0009068332482741497,-0.1148989238151474,0.00304882016025193,0,9,0,0.05660377358490566,-1.5468935796736125,0.34113444009884164,-1.4679040059473218,31,0,10,0,0.06289308176100629,-1.5251063461570828,0.5849056603773585,-1.7165762001020717,17.1859649122807,0,10,0,0.06289308176100629,-1.5251063461570828,0.5397550479973517,-1.6810124062898828,0.012224569876245059,0,10,0,0.06289308176100629,-1.5251063461570828,0.8944599974536619,-1.71231953970495,0.012224569876245095,0,10,0,0.06289308176100629,-1.5251063461570828,0.8944599974536616,-1.7123038504880088,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.13867504899051267,D,0.03500084218508,0,0.0005980714509445333,-0.11211769814708555,1.0,0,1.0,1.1445408721624686,0.0092310437261894,0,0.006682069640992683,-0.1394476934460972,0.0772324528889085,0,0.006682069640992696,-0.13944769344609728,0.007523286362550752,0,10,0,0.06289308176100629,-1.5251063461570828,0.895734597156398,-1.712911662627406,0.6229466868349123,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6154234004723615,0,152,0,0.9559748427672956,1.5686808131901424,0.9998706562041908,1.7129276518201848,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.13867504905630726,0.00752328636255073,0,10,0,0.06289308176100629,-1.5251063461570828,0.8957345971563982,-1.7129276518204888
Caldisericota,,rhizosphere phyla,0.0004970196807085,4.970196807085371e-06,0,8.709173661902728e-06,-0.12510216787957523,0,8.709173661902064e-06,-0.1251021678795755,0.004967636948231724,0,90,0,0.5660377358490566,0.21787233516529755,0.5558320792556413,0.13725181518208748,40,0,87,0,0.5471698113207547,0.1525106346157083,0.7547169811320755,0.25013360161615505,22.89855072463768,0,87,0,0.5471698113207547,0.1525106346157083,0.7191687175280284,0.2342470459420492,0.012814151655700507,0,87,0,0.5471698113207547,0.1525106346157083,0.9375991280970405,0.24879488954151033,0.012814151655700571,0,87,0,0.5471698113207547,0.1525106346157083,0.937599128097042,0.25034460730750707,0.0,0,116,0,0.7295597484276729,0.7843404065950712,0.0,-0.13867504899051267,s,0.0003427416659017,0,5.856544946577196e-06,-0.1189134213420689,0.6142857142857143,0,0.6142857142857143,-0.9579469173940056,6.778265275319906e-05,0,4.9065784929942114e-05,-0.19355323250220077,0.0005671103605104,0,4.9065784929940766e-05,-0.193553232502201,0.007881538094100788,0,87,0,0.5471698113207547,0.1525106346157083,0.938388625592417,0.25064768788246944,0.6229466868349123,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6150651487408115,0,71,0,0.44654088050314467,-0.1960851016487678,0.9992886091230492,-0.24907832717246486,0.0,0,116,0,0.7295597484276729,0.7843404065950712,0.0,-0.13867504905630726,0.007881538094100748,0,87,0,0.5471698113207547,0.1525106346157083,0.9383886255924153,0.24907832717216086
