id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.015274266956280038,-1.8160396232773397,1.5274266956280065,0.9875691172505383,0.11803708626329557,1.6651113042410781,1.0
1,Actinomycetota,0.28067620603613525,-0.5517944025604484,28.067620603613573,10.743642972598602,1.2841109449324257,27.456906443929533,1.0
2,Aquificota,2.842936013717129e-05,-4.546232914914655,0.002842936013717134,0.002754383938715065,0.0003292118484643397,0.002308633998921974,0.8571428571428571
3,Armatimonadota,0.0004060338568865786,-3.391437751531273,0.04060338568865793,0.025536764672265178,0.003052227172613118,0.037666699199285066,1.0
4,Atribacterota,2.934254456946768e-05,-4.5325022270789415,0.002934254456946773,0.0049565001100675245,0.0005924150733721776,0.001552694824232682,0.8428571428571429
5,Bacillota,0.03129200576945826,-1.5045665983530339,3.1292005769458293,6.563628083544935,0.7845036066483584,1.1790691048239164,1.0
6,Bacteroidota,0.03785051228863431,-1.4219282381554168,3.785051228863437,5.806038054205423,0.6939542789270516,2.9532331818824096,1.0
7,Balneolota,1.8273384908382757e-05,-4.7381809977558165,0.0018273384908382788,0.002805110855954753,0.000335274874739161,0.0015266560999433521,0.8
8,Bdellovibrionota,0.0005175163442712142,-3.286075929707355,0.051751634427121496,0.07723245288890856,0.009231043726189426,0.03500084218508005,1.0
9,Caldisericota,4.970196807085371e-06,-5.303626413975136,0.0004970196807085378,0.0005671103605104156,6.778265275319906e-05,0.00034274166590173764,0.6142857142857143
10,Calditrichota,2.751370043197907e-05,-4.560450995611295,0.0027513700431979118,0.0024904524994208894,0.00029766600774961945,0.0027694237523815946,0.8571428571428571
11,Campylobacterota,0.0013229639575265929,-2.8784519874531163,0.13229639575265958,0.46550756008646277,0.055638795367678955,0.03028934566271005,0.9714285714285714
12,Candidatus Abawacabacteria,4.973901783622575e-06,-5.303302794709807,0.0004973901783622582,0.0012114580799324724,0.00014479693561446038,0.00023290563682625665,0.7
13,Candidatus Absconditabacteria,5.844213304854891e-06,-5.233273941363534,0.00058442133048549,0.0008954358420530728,0.00010702505362452659,0.00027114239502138034,0.6714285714285714
14,Candidatus Adlerbacteria,3.494089802461509e-05,-4.456665937300338,0.003494089802461514,0.0044470982088456205,0.0005315299007732023,0.002757504600222504,0.7142857142857143
15,Candidatus Aenigmarchaeota,3.9141255350310425e-07,-6.4073652496292235,3.914125535031046e-05,0.0001230579429035326,1.4708237396414049e-05,0.0,0.3
16,Candidatus Altiarchaeota,9.114731288350337e-07,-6.040256130268125,9.114731288350354e-05,0.00026122302368461735,3.122212313246906e-05,0.0,0.4
17,Candidatus Amesbacteria,1.2110849397421308e-05,-4.916825396437735,0.001211084939742133,0.002224003586893866,0.0002658192714317859,0.0008483297344886918,0.7714285714285715
18,Candidatus Aminicenantes,0.00026074921189403493,-3.5837769955403154,0.02607492118940354,0.016493649123476586,0.001971368130470236,0.024065304221980034,0.9428571428571428
19,Candidatus Andersenbacteria,1.0444306664939912e-05,-4.981120384940253,0.0010444306664939929,0.0018646757285451716,0.00022287137778886427,0.0006006657584571875,0.7714285714285715
20,Candidatus Azambacteria,2.028685199213217e-05,-4.692785339290708,0.002028685199213221,0.002136963775742178,0.0002554160241878298,0.0017848706845552211,0.8142857142857143
21,Candidatus Bathyarchaeota,2.7721915785453348e-05,-4.557176760124404,0.002772191578545339,0.0035763742695329353,0.0004274584844633158,0.0011847090940288565,0.7571428571428571
22,Candidatus Beckwithbacteria,1.2581332328979086e-05,-4.9002733658474025,0.0012581332328979115,0.0017911989810769583,0.00021408922671937956,0.0010901763089437564,0.7
23,Candidatus Berkelbacteria,2.7689226289946605e-05,-4.5576891794187935,0.002768922628994666,0.0028760776233033494,0.00034375702580386304,0.0023548292559774585,0.8571428571428571
24,Candidatus Bipolaricaulota,1.2891678746514918e-05,-4.889690525402505,0.0012891678746514942,0.0014084711051125817,0.00016834449602513876,0.0011073667395550023,0.7571428571428571
25,Candidatus Blackallbacteria,1.2713499427069104e-05,-4.895734892193074,0.001271349942706913,0.0018500656049901133,0.00022112513402297267,0.000930908665955905,0.7857142857142857
26,Candidatus Blackburnbacteria,1.1614003094878338e-05,-4.935018062572679,0.001161400309487836,0.002912153635243297,0.0003480689339619945,0.00039587655877564563,0.7285714285714285
27,Candidatus Brennerbacteria,6.527471588845388e-07,-6.185255009789893,6.527471588845405e-05,0.00023268875372388045,2.7811625552114684e-05,0.0,0.32857142857142857
28,Candidatus Buchananbacteria,3.732539709156757e-05,-4.42799556327449,0.0037325397091567633,0.0032723525280636237,0.00039112093613693724,0.0031069459547385884,0.9
29,Candidatus Calescamantes,2.1311754725340212e-06,-5.671380790728837,0.00021311754725340248,0.000904615822355868,0.0001081222711336293,0.0,0.45714285714285713
30,Candidatus Campbellbacteria,1.1338938062780474e-05,-4.945427616966058,0.0011338938062780495,0.0022943679340083844,0.0002742294195066267,0.0007152158201530045,0.7428571428571429
31,Candidatus Chisholmbacteria,6.916971032644705e-06,-5.160084043085075,0.000691697103264472,0.0009645328711244104,0.0001152837282211339,0.0004521072401274689,0.6857142857142857
32,Candidatus Cloacimonetes,4.604585257517292e-06,-5.336809481315835,0.00046045852575173014,0.001102170123350578,0.00013173452637822285,0.00018232927029748834,0.6428571428571429
33,Candidatus Coatesbacteria,1.903484333201049e-05,-4.720450693334685,0.0019034843332010522,0.0016267828070508337,0.00019443773521604692,0.0018489243173190886,0.7857142857142857
34,Candidatus Collierbacteria,1.363884600852207e-05,-4.865222374058768,0.0013638846008522092,0.0017924064954791747,0.00021423355229535082,0.0009899055226223873,0.7857142857142857
35,Candidatus Colwellbacteria,8.043000276899401e-06,-5.094581916345838,0.0008043000276899418,0.0011855308548930166,0.0001416980395016795,0.0006541972023348474,0.7
36,Candidatus Curtissbacteria,2.003238603786385e-05,-4.698267319235506,0.0020032386037863894,0.0033294242416117103,0.00039794231061857826,0.0013849959579716872,0.7428571428571429
37,Candidatus Dadabacteria,1.6634682827860823e-05,-4.7789854753736405,0.0016634682827860855,0.002692531905466067,0.0003218191164958692,0.0013222416722560074,0.7285714285714285
38,Candidatus Daviesbacteria,0.00011641222395954084,-3.9340014138490296,0.011641222395954106,0.02804257120747459,0.003351728338647056,0.002433660982717359,0.9142857142857143
39,Candidatus Delongbacteria,1.4802270632435807e-06,-5.82967165977403,0.00014802270632435836,0.00022166652124086633,2.6494216791871348e-05,0.00010873483165473491,0.5714285714285714
40,Candidatus Desantisbacteria,2.0139908528845677e-05,-4.695942506250513,0.002013990852884571,0.0018128453766814616,0.00021667646585092683,0.0017632742867714777,0.8571428571428571
41,Candidatus Diapherotrites,5.217959872966628e-06,-5.282499265024256,0.0005217959872966635,0.0013943217300947637,0.000166653322242589,0.00017239093554882279,0.6714285714285714
42,Candidatus Doudnabacteria,5.63716328447105e-05,-4.248939385346972,0.005637163284471061,0.007831511907013256,0.0009360447085605199,0.0041893509864788896,0.9285714285714286
43,Candidatus Edwardsbacteria,2.624400907117658e-05,-4.5809698208019025,0.002624400907117663,0.0032974093815296658,0.00039411580294918853,0.0019784834953519275,0.7857142857142857
44,Candidatus Eisenbacteria,0.00020666411566525598,-3.68473492599241,0.02066641156652563,0.022460780071581542,0.002684576692952207,0.012209002220950019,0.9142857142857143
45,Candidatus Falkowbacteria,7.423650292097278e-05,-4.129382494734993,0.00742365029209729,0.009336995440878558,0.0011159844076162853,0.006312116885424733,0.9285714285714286
46,Candidatus Firestonebacteria,1.192160042849989e-05,-4.923665438336577,0.0011921600428499912,0.0012761154923933938,0.0001525249745323431,0.0009998992912716776,0.7571428571428571
47,Candidatus Fischerbacteria,5.744046877008415e-06,-5.240782024485984,0.0005744046877008427,0.0006356983723610874,7.5980488155328e-05,0.0005378639117393813,0.6714285714285714
48,Candidatus Fraserbacteria,1.0863467182540637e-05,-4.964031543262125,0.0010863467182540654,0.0013789789911735964,0.00016481951419217627,0.0007852428246376689,0.7428571428571429
49,Candidatus Giovannonibacteria,3.524151156946996e-05,-4.4529454722179596,0.0035241511569470024,0.007547939293151407,0.0009021512984693782,0.0023300123818076287,0.8142857142857143
50,Candidatus Glassbacteria,3.9195029245051794e-05,-4.406769007171582,0.003919502924505185,0.0025953817650474485,0.0003102074537729506,0.004097975356554002,0.8714285714285714
51,Candidatus Gottesmanbacteria,7.081460626559367e-05,-4.149877155215534,0.007081460626559381,0.009631836258695266,0.0011512246256816933,0.004303735507286072,0.9571428571428572
52,Candidatus Gracilibacteria,0.00010425936192968226,-3.9818849372956873,0.010425936192968254,0.05577872016992116,0.006666832213914716,0.00023548396226166145,0.6285714285714286
53,Candidatus Gribaldobacteria,4.3646828729941046e-06,-5.360047305569416,0.0004364682872994113,0.0008235526080803523,9.843336384695925e-05,0.00023782181001652552,0.7
54,Candidatus Handelsmanbacteria,0.00010372352361147874,-3.9841227381519295,0.01037235236114789,0.008655706396784247,0.0010345547919435251,0.007990357612189442,0.9142857142857143
55,Candidatus Harrisonbacteria,1.7472694374622977e-05,-4.757640119527388,0.0017472694374623017,0.0026518624635401126,0.0003169581884443128,0.0014894181412408274,0.7857142857142857
56,Candidatus Heimdallarchaeota,3.6661648887771157e-06,-5.435788006183502,0.00036661648887771235,0.0008395830106536953,0.00010034936342443997,0.0001401161562788682,0.6285714285714286
57,Candidatus Huberarchaea,2.3285706252792715e-08,-7.6329105854298005,2.3285706252792753e-06,1.0131758909854257e-05,1.2109768111936457e-06,0.0,0.05714285714285714
58,Candidatus Hydrogenedentes,5.766537868459144e-06,-5.239084851644419,0.0005766537868459156,0.0009412246016507267,0.00011249785717023166,0.00042829725658202755,0.6714285714285714
59,Candidatus Jacksonbacteria,1.3722644692322399e-06,-5.862562181297238,0.0001372264469232243,0.000524465247959758,6.268558689631594e-05,0.0,0.45714285714285713
60,Candidatus Jorgensenbacteria,1.90138103065413e-05,-4.7209308431931385,0.001901381030654134,0.0020627919698822527,0.0002465507977508519,0.0018107453820550182,0.8
61,Candidatus Kaiserbacteria,0.00024134597974250386,-3.6173599311116584,0.02413459797425044,0.027618238820436312,0.0033010109177615257,0.019510013294870038,0.9428571428571428
62,Candidatus Kerfeldbacteria,1.6197231116072377e-05,-4.790559220876403,0.0016197231116072408,0.0017514002760752741,0.0002093323716361323,0.0013063218012043776,0.7857142857142857
63,Candidatus Komeilibacteria,2.9605098359058544e-05,-4.528633491693097,0.0029605098359058593,0.008373362151713309,0.0010008082000045545,0.0017934083384633925,0.8285714285714286
64,Candidatus Korarchaeota,4.4178573315248734e-07,-6.354788313166244,4.4178573315248834e-05,0.00012566141804246949,1.5019412193388869e-05,0.0,0.35714285714285715
65,Candidatus Kuenenbacteria,1.622821047329019e-05,-4.789729368308373,0.0016228210473290218,0.004135402462670354,0.0004942751334495514,0.0008084587543029121,0.7857142857142857
66,Candidatus Levybacteria,0.00012690170979298107,-3.8965325264580573,0.012690170979298136,0.03165800763005959,0.0037838556433973745,0.0034470601217763148,0.9571428571428572
67,Candidatus Lindowbacteria,4.551783722787826e-05,-4.341818381549554,0.0045517837227878315,0.003503816501642835,0.00041878617246214654,0.004527330809947617,0.7857142857142857
68,Candidatus Liptonbacteria,2.8654761479674628e-05,-4.542803202229518,0.0028654761479674673,0.0064868457729254855,0.0007753263652140417,0.0020890378111613145,0.7571428571428571
69,Candidatus Lloydbacteria,2.341704639440284e-05,-4.630467883623399,0.0023417046394402876,0.00240894967093763,0.00028792455651513286,0.002178122524852389,0.8428571428571429
70,Candidatus Lokiarchaeota,4.767683681955014e-06,-5.321692566132445,0.0004767683681955019,0.0013780252212766523,0.00016470551688542134,0.00018814868092642984,0.6428571428571429
71,Candidatus Magasanikbacteria,0.00013523498088487533,-3.868910956025555,0.01352349808848756,0.023332403119171046,0.002788755573255628,0.008637663242469135,0.9714285714285714
72,Candidatus Margulisbacteria,5.9269162317880024e-06,-5.227171210829029,0.0005926916231788014,0.0008126008182164708,9.712437459008629e-05,0.00047608497114005465,0.7285714285714285
73,Candidatus Marinimicrobia,2.8798081917130124e-05,-4.540636437259756,0.0028798081917130176,0.0026940878336098504,0.0003220050854790211,0.002357076326974134,0.8571428571428571
74,Candidatus Melainabacteria,5.33052055872348e-05,-4.273230377325793,0.005330520558723483,0.028022475682493192,0.0033493264640093202,0.0016475564909676278,0.8571428571428571
75,Candidatus Micrarchaeota,1.5036874203896047e-05,-4.822842433497489,0.0015036874203896073,0.0014555096035210873,0.00017396667192893638,0.0012228402132736069,0.8571428571428571
76,Candidatus Microgenomates,3.088869228378972e-06,-5.510200477776762,0.0003088869228378977,0.0005495427529649187,6.56829220396054e-05,0.0001405650903305752,0.6285714285714286
77,Candidatus Moranbacteria,7.125321290037405e-05,-4.147195547972871,0.0071253212900374225,0.008921763110779033,0.0010663546515707317,0.006233907012366585,0.9285714285714286
78,Candidatus Nanohaloarchaeota,4.825491642369112e-07,-6.316458432228883,4.82549164236912e-05,0.0002531401821366081,3.0256038786179322e-05,0.0,0.3
79,Candidatus Nealsonbacteria,2.8086312604082392e-05,-4.5515052747114995,0.0028086312604082447,0.00505674919977608,0.0006043971313801172,0.0017615430952489274,0.8857142857142857
80,Candidatus Niyogibacteria,6.6271900543208124e-06,-5.178670574548597,0.0006627190054320825,0.0006924471779189391,8.276326775015791e-05,0.0005415093206735052,0.7142857142857143
81,Candidatus Nomurabacteria,0.00010154234955347568,-3.993352791824618,0.010154234955347593,0.022660444013266615,0.002708441098487654,0.005317984291553904,0.8857142857142857
82,Candidatus Odinarchaeota,1.49628255291819e-07,-6.824986388031514,1.496282552918193e-05,3.978943841553103e-05,4.755747514359165e-06,0.0,0.24285714285714285
83,Candidatus Omnitrophica,0.0004158894659456932,-3.381022079730271,0.04158894659456939,0.02595417321324106,0.0031021170356086082,0.0398514712310401,0.9857142857142858
84,Candidatus Pacebacteria,2.4878679968648957e-05,-4.604172666486856,0.002487867996864899,0.0031796069515684024,0.0003800357194953072,0.0016381992705493428,0.8285714285714286
85,Candidatus Parcubacteria,1.8941117236077665e-06,-5.722594407848413,0.0001894111723607771,0.0004186108288472111,5.0033563881537e-05,4.124393574944535e-05,0.5428571428571428
86,Candidatus Peregrinibacteria,0.0001360805778704246,-3.8662038551464883,0.013608057787042481,0.008210868474485638,0.0009813864908187083,0.012523014242720024,0.9857142857142858
87,Candidatus Portnoybacteria,2.366973167193585e-05,-4.625806665351784,0.00236697316719359,0.0051052848650642345,0.0006101982529526653,0.001619289635319098,0.8
88,Candidatus Ratteibacteria,3.2802416941085576e-06,-5.4840941555107285,0.0003280241694108564,0.0004973358574794778,5.9443004530732445e-05,0.00022470520058384794,0.6
89,Candidatus Raymondbacteria,1.6700716916760538e-05,-4.777264885360787,0.0016700716916760567,0.0028372201201512077,0.0003391126658583889,0.0011773902868567015,0.7571428571428571
90,Candidatus Riflebacteria,2.3652654693730255e-05,-4.626120108451078,0.0023652654693730292,0.004662520527346791,0.0005572777925893768,0.001419493416038353,0.7428571428571429
91,Candidatus Roizmanbacteria,8.776159213245004e-05,-4.056695506581186,0.008776159213245018,0.013333202356935142,0.001593622491105365,0.005096272517696561,0.9
92,Candidatus Rokubacteria,0.0014261751943348397,-2.845827121567314,0.14261751943348416,0.16919081642628112,0.020222170422933467,0.08474398394538508,0.9857142857142858
93,Candidatus Ryanbacteria,1.3952609636945067e-05,-4.855344556194697,0.0013952609636945093,0.0017509661646656336,0.00020928048539848822,0.0012618072100062964,0.7428571428571429
94,Candidatus Saccharibacteria,0.0002542407997983154,-3.5947547539179707,0.025424079979831583,0.021313641811500066,0.002547467446221061,0.02081045185158502,0.9857142857142858
95,Candidatus Schekmanbacteria,1.6982043678764132e-05,-4.770010046424106,0.001698204367876416,0.0017418278286542128,0.00020818824533423212,0.001370957792312962,0.8142857142857143
96,Candidatus Shapirobacteria,2.3898727387427367e-05,-4.621625224714332,0.002389872738742742,0.004604649059086195,0.0005503608291364517,0.001291754243248352,0.8714285714285714
