source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00250000,2,2,0,neg
0,2,Undirected,-0.04640000,1,2,1,neg
0,3,Undirected,-0.04090000,0,3,1,neg
0,4,Undirected,0.01400000,2,2,0,pos
0,5,Undirected,-0.00010000,2,2,0,neg
0,6,Undirected,-0.00370000,1,3,0,neg
0,7,Undirected,-0.03270000,2,2,0,neg
0,8,Undirected,-0.01750000,0,3,1,neg
0,9,Undirected,-0.00310000,0,3,1,neg
0,10,Undirected,-0.00110000,0,3,1,neg
0,11,Undirected,0.00570000,0,3,1,pos
0,12,Undirected,-0.00520000,0,3,1,neg
0,13,Undirected,-0.02990000,0,3,1,neg
0,14,Undirected,0.00960000,0,3,1,pos
0,15,Undirected,-0.02390000,0,3,1,neg
0,16,Undirected,-0.03560000,1,1,2,neg
0,17,Undirected,-0.00230000,1,3,0,neg
0,18,Undirected,-0.01840000,0,3,1,neg
0,19,Undirected,0.00020000,0,3,1,pos
0,20,Undirected,-0.00080000,0,4,0,neg
0,21,Undirected,-0.02590000,1,1,2,neg
0,22,Undirected,-0.00220000,0,3,1,neg
0,23,Undirected,0.01290000,0,3,1,pos
0,24,Undirected,-0.01030000,0,3,1,neg
0,25,Undirected,-0.00530000,0,3,1,neg
0,26,Undirected,-0.02690000,1,1,2,neg
0,27,Undirected,-0.04110000,1,2,1,neg
0,28,Undirected,0.00360000,0,3,1,pos
0,29,Undirected,-0.02590000,0,3,1,neg
0,30,Undirected,-0.00280000,0,3,1,neg
0,31,Undirected,-0.03330000,1,2,1,neg
0,32,Undirected,-0.02230000,0,3,1,neg
0,33,Undirected,0.02430000,0,3,1,pos
0,34,Undirected,0.01860000,0,3,1,pos
0,35,Undirected,-0.00840000,2,1,1,neg
0,36,Undirected,-0.02210000,1,3,0,neg
0,37,Undirected,-0.02530000,0,3,1,neg
0,38,Undirected,0.00360000,0,3,1,pos
0,39,Undirected,0.00180000,1,2,1,pos
0,40,Undirected,-0.01930000,1,2,1,neg
0,41,Undirected,-0.00930000,1,2,1,neg
0,42,Undirected,-0.01270000,1,1,2,neg
0,43,Undirected,-0.00340000,0,3,1,neg
0,44,Undirected,-0.00150000,1,2,1,neg
0,45,Undirected,0.01460000,0,3,1,pos
0,46,Undirected,-0.00820000,1,1,2,neg
0,47,Undirected,-0.04290000,1,1,2,neg
0,48,Undirected,-0.01820000,1,1,2,neg
0,49,Undirected,-0.02440000,0,3,1,neg
0,50,Undirected,0.02040000,2,1,1,pos
0,51,Undirected,0.00280000,0,3,1,pos
0,52,Undirected,0.01630000,1,3,0,pos
0,53,Undirected,0.00650000,2,1,1,pos
0,54,Undirected,0.00660000,2,2,0,pos
0,55,Undirected,-0.02520000,0,3,1,neg
0,56,Undirected,-0.00940000,2,1,1,neg
0,57,Undirected,-0.03600000,0,3,1,neg
0,58,Undirected,-0.03000000,1,3,0,neg
0,59,Undirected,-0.02100000,2,2,0,neg
0,60,Undirected,-0.00200000,0,3,1,neg
0,61,Undirected,-0.01830000,2,1,1,neg
0,62,Undirected,-0.01980000,0,4,0,neg
0,63,Undirected,-0.04350000,2,2,0,neg
0,64,Undirected,-0.01370000,2,2,0,neg
0,65,Undirected,-0.05680000,1,3,0,neg
0,66,Undirected,-0.04350000,2,0,2,neg
0,67,Undirected,-0.01650000,2,1,1,neg
0,68,Undirected,-0.04420000,2,2,0,neg
0,69,Undirected,0.00790000,2,2,0,pos
0,70,Undirected,-0.04370000,2,1,1,neg
0,71,Undirected,0.02610000,1,3,0,pos
0,72,Undirected,-0.02630000,2,2,0,neg
0,73,Undirected,-0.03930000,1,3,0,neg
0,74,Undirected,-0.02150000,1,2,1,neg
0,75,Undirected,-0.01390000,0,3,1,neg
0,76,Undirected,0.00080000,1,1,2,pos
1,2,Undirected,-0.00090000,2,2,0,neg
1,3,Undirected,0.02560000,1,3,0,pos
1,4,Undirected,0.01180000,4,0,0,pos
1,5,Undirected,0.01060000,4,0,0,pos
1,6,Undirected,0.00050000,3,1,0,pos
1,7,Undirected,0.02100000,4,0,0,pos
1,8,Undirected,0.00120000,1,3,0,pos
1,9,Undirected,-0.01850000,1,3,0,neg
1,10,Undirected,-0.00060000,1,3,0,neg
1,11,Undirected,0.02690000,1,3,0,pos
1,12,Undirected,0.01080000,1,3,0,pos
1,13,Undirected,0.03080000,1,3,0,pos
1,14,Undirected,-0.01470000,1,3,0,neg
1,15,Undirected,0.02580000,1,3,0,pos
1,16,Undirected,0.02240000,1,3,0,pos
1,17,Undirected,-0.01460000,3,1,0,neg
1,18,Undirected,-0.03250000,1,3,0,neg
1,19,Undirected,-0.00390000,1,3,0,neg
1,20,Undirected,-0.03100000,2,2,0,neg
1,21,Undirected,0.00400000,1,3,0,pos
1,22,Undirected,0.02500000,1,3,0,pos
1,23,Undirected,-0.01270000,1,3,0,neg
1,24,Undirected,0.01290000,1,3,0,pos
1,25,Undirected,0.00520000,1,3,0,pos
1,26,Undirected,-0.00910000,1,3,0,neg
1,27,Undirected,-0.00110000,2,2,0,neg
1,28,Undirected,-0.00000000,1,3,0,pos
1,29,Undirected,-0.00100000,1,3,0,neg
1,30,Undirected,0.01740000,1,3,0,pos
1,31,Undirected,0.03640000,2,2,0,pos
1,32,Undirected,-0.02090000,1,3,0,neg
1,33,Undirected,-0.00060000,1,3,0,neg
1,34,Undirected,0.02610000,1,3,0,pos
1,35,Undirected,0.01980000,3,1,0,pos
1,36,Undirected,0.05140000,3,1,0,pos
1,37,Undirected,0.00700000,1,3,0,pos
1,38,Undirected,0.01740000,1,3,0,pos
1,39,Undirected,0.00610000,2,2,0,pos
1,40,Undirected,-0.00630000,2,2,0,neg
1,41,Undirected,0.02460000,2,2,0,pos
1,42,Undirected,-0.01690000,1,3,0,neg
1,43,Undirected,0.00830000,1,3,0,pos
1,44,Undirected,0.03040000,2,2,0,pos
1,45,Undirected,0.01430000,1,3,0,pos
1,46,Undirected,-0.01500000,1,3,0,neg
1,47,Undirected,-0.00430000,1,3,0,neg
1,48,Undirected,0.01260000,1,3,0,pos
1,49,Undirected,0.01840000,1,3,0,pos
1,50,Undirected,0.03930000,3,1,0,pos
1,51,Undirected,-0.00240000,1,3,0,neg
1,52,Undirected,0.00230000,3,1,0,pos
1,53,Undirected,0.01020000,3,1,0,pos
1,54,Undirected,0.05100000,4,0,0,pos
1,55,Undirected,-0.01850000,1,3,0,neg
1,56,Undirected,0.02020000,3,1,0,pos
1,57,Undirected,-0.00540000,1,3,0,neg
1,58,Undirected,-0.04010000,3,1,0,neg
1,59,Undirected,-0.00380000,4,0,0,neg
1,60,Undirected,0.01680000,1,3,0,pos
1,61,Undirected,0.00830000,3,1,0,pos
1,62,Undirected,0.04840000,2,2,0,pos
1,63,Undirected,0.01680000,4,0,0,pos
1,64,Undirected,0.02230000,4,0,0,pos
1,65,Undirected,-0.00030000,3,1,0,neg
1,66,Undirected,0.00840000,2,2,0,pos
1,67,Undirected,0.01420000,3,1,0,pos
1,68,Undirected,0.01970000,4,0,0,pos
1,69,Undirected,0.01730000,4,0,0,pos
1,70,Undirected,-0.00960000,3,1,0,neg
1,71,Undirected,0.00200000,3,1,0,pos
1,72,Undirected,-0.01230000,4,0,0,neg
1,73,Undirected,0.00310000,3,1,0,pos
1,74,Undirected,0.01650000,2,2,0,pos
1,75,Undirected,0.03430000,1,3,0,pos
1,76,Undirected,-0.01190000,1,3,0,neg
2,3,Undirected,0.00940000,1,1,2,pos
2,4,Undirected,0.00740000,2,2,0,pos
2,5,Undirected,-0.04570000,2,2,0,neg
2,6,Undirected,-0.03350000,1,3,0,neg
2,7,Undirected,-0.01890000,2,2,0,neg
2,8,Undirected,-0.04540000,1,1,2,neg
2,9,Undirected,-0.00660000,1,1,2,neg
2,10,Undirected,-0.01950000,1,1,2,neg
2,11,Undirected,-0.00630000,1,1,2,neg
2,12,Undirected,-0.01950000,1,1,2,neg
2,13,Undirected,-0.02030000,0,3,1,neg
2,14,Undirected,-0.02560000,1,1,2,neg
2,15,Undirected,-0.01300000,1,1,2,neg
2,16,Undirected,-0.04970000,0,3,1,neg
2,17,Undirected,-0.02330000,1,3,0,neg
2,18,Undirected,-0.01630000,1,1,2,neg
2,19,Undirected,-0.00540000,1,1,2,neg
2,20,Undirected,-0.00540000,1,2,1,neg
2,21,Undirected,-0.00700000,0,3,1,neg
2,22,Undirected,0.00510000,0,3,1,pos
2,23,Undirected,0.00700000,1,1,2,pos
2,24,Undirected,-0.01490000,1,1,2,neg
2,25,Undirected,-0.00870000,1,1,2,neg
2,26,Undirected,-0.02030000,0,3,1,neg
2,27,Undirected,0.00300000,1,2,1,pos
2,28,Undirected,0.00950000,1,1,2,pos
2,29,Undirected,0.01670000,1,1,2,pos
2,30,Undirected,-0.06470000,1,1,2,neg
2,31,Undirected,-0.01330000,0,4,0,neg
2,32,Undirected,-0.01590000,1,1,2,neg
2,33,Undirected,0.02700000,1,1,2,pos
2,34,Undirected,0.01740000,1,1,2,pos
2,35,Undirected,-0.05380000,2,1,1,neg
2,36,Undirected,0.01260000,1,3,0,pos
2,37,Undirected,0.01220000,1,1,2,pos
2,38,Undirected,0.02110000,1,1,2,pos
2,39,Undirected,-0.00970000,1,2,1,neg
2,40,Undirected,-0.01120000,2,0,2,neg
2,41,Undirected,0.00530000,0,4,0,pos
2,42,Undirected,-0.03520000,1,1,2,neg
2,43,Undirected,-0.00590000,0,3,1,neg
2,44,Undirected,-0.02100000,0,4,0,neg
2,45,Undirected,-0.02380000,1,1,2,neg
2,46,Undirected,0.04430000,0,3,1,pos
2,47,Undirected,0.02920000,0,3,1,pos
2,48,Undirected,-0.02550000,0,3,1,neg
2,49,Undirected,0.00950000,1,1,2,pos
2,50,Undirected,-0.02720000,2,1,1,neg
2,51,Undirected,-0.02740000,0,3,1,neg
2,52,Undirected,-0.05930000,1,3,0,neg
2,53,Undirected,0.00230000,2,1,1,pos
2,54,Undirected,-0.00820000,2,2,0,neg
2,55,Undirected,-0.01890000,1,1,2,neg
2,56,Undirected,-0.00670000,2,1,1,neg
2,57,Undirected,-0.03670000,1,1,2,neg
2,58,Undirected,-0.06140000,1,3,0,neg
2,59,Undirected,0.00970000,2,2,0,pos
2,60,Undirected,-0.04460000,1,1,2,neg
2,61,Undirected,-0.04260000,2,1,1,neg
2,62,Undirected,-0.01470000,1,2,1,neg
2,63,Undirected,0.01620000,2,2,0,pos
2,64,Undirected,-0.02430000,2,2,0,neg
2,65,Undirected,0.00670000,2,1,1,pos
2,66,Undirected,-0.01290000,1,2,1,neg
2,67,Undirected,0.01960000,2,1,1,pos
2,68,Undirected,-0.02340000,2,2,0,neg
2,69,Undirected,0.03330000,2,2,0,pos
2,70,Undirected,-0.00350000,2,1,1,neg
2,71,Undirected,-0.02850000,1,3,0,neg
2,72,Undirected,-0.02600000,2,2,0,neg
2,73,Undirected,0.01970000,1,3,0,pos
2,74,Undirected,-0.03380000,1,2,1,neg
2,75,Undirected,0.01780000,1,1,2,pos
2,76,Undirected,-0.02750000,0,3,1,neg
3,4,Undirected,0.03360000,1,3,0,pos
3,5,Undirected,-0.03610000,1,3,0,neg
3,6,Undirected,0.00310000,1,2,1,pos
3,7,Undirected,-0.02680000,1,3,0,neg
3,8,Undirected,-0.03770000,1,0,3,neg
3,9,Undirected,-0.02900000,1,0,3,neg
