Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,Ddiv,Ddiv_isKeystone,Ddiv_rank,Ddiv_rank_isKeystone,Ddiv_rank_scaled,Ddiv_rank_zScore,Ddiv_scaled,Ddiv_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,DxCCdiv,DxCCdiv_isKeystone,DxCCdiv_rank,DxCCdiv_rank_isKeystone,DxCCdiv_rank_scaled,DxCCdiv_rank_zScore,DxCCdiv_scaled,DxCCdiv_zScore,EDpDM,EDpDM_isKeystone,EDpDM_rank,EDpDM_rank_isKeystone,EDpDM_rank_scaled,EDpDM_rank_zScore,EDpDM_scaled,EDpDM_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,iEDpDM,iEDpDM_isKeystone,iEDpDM_rank,iEDpDM_rank_isKeystone,iEDpDM_rank_scaled,iEDpDM_rank_zScore,iEDpDM_scaled,iEDpDM_zScore,pathIncrease,pathIncreaseDir,pathIncreaseDir_isKeystone,pathIncreaseDir_rank,pathIncreaseDir_rank_isKeystone,pathIncreaseDir_rank_scaled,pathIncreaseDir_rank_zScore,pathIncreaseDir_scaled,pathIncreaseDir_zScore,pathIncreaseIndir,pathIncreaseIndir_isKeystone,pathIncreaseIndir_rank,pathIncreaseIndir_rank_isKeystone,pathIncreaseIndir_rank_scaled,pathIncreaseIndir_rank_zScore,pathIncreaseIndir_scaled,pathIncreaseIndir_zScore,pathIncrease_isKeystone,pathIncrease_rank,pathIncrease_rank_isKeystone,pathIncrease_rank_scaled,pathIncrease_rank_zScore,pathIncrease_scaled,pathIncrease_zScore
Acidobacteriota,saline water,coastal seawater,0.1395082643672751,0.0013950826436727,0,0.00246506851363563,-0.10308027751882198,0,0.002465068513635716,-0.10308027751882132,0.0038879771653672185,0,59,0,0.3710691823899371,-0.45753190384712483,0.6410757450049567,-0.43417018926464723,52,0,68,0,0.4276729559748428,-0.26144680219835703,0.8125,-0.3682704769730188,0.3270440251572327,0,68,0,0.4276729559748428,-0.26144680219835703,0.8124999999999999,-0.36827047697301935,31.12121212121212,0,68,0,0.4276729559748428,-0.26144680219835703,0.7755681818181819,-0.3810577927095819,0.1957308938441014,0,68,0,0.4276729559748428,-0.26144680219835703,0.7755681818181817,-0.38105779270958423,0.008359207069500885,0,68,0,0.4276729559748428,-0.26144680219835703,0.9459459459459486,-0.36827047697280635,0.008359207069500885,0,68,0,0.4276729559748428,-0.26144680219835703,0.9459459459459486,-0.36827047697280635,0.008359207069500836,0,68,0,0.4276729559748428,-0.26144680219835703,0.9459459459459459,-0.36827047697303084,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.0709259336554702,0,0.0012290572745753763,-0.09858136643487084,0.965034965034965,0,0.965034965034965,1.2586592357423467,0.0196443497134393,0,0.017416004257577476,-0.07019687112291431,0.3322160984056556,0,0.01741600425757748,-0.07019687112291448,0.669731709258817,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6613725021893161,0,90,0,0.5660377358490566,0.21787233516529755,0.9993383856610127,0.36827047697314985,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.012639181462533929,0.012639181462533856,0,68,0,0.4276729559748428,-0.26144680219835703,0.9452627469479712,-0.36847772408708074,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0,68,0,0.4276729559748428,-0.26144680219835703,0.9452627469479739,-0.36847772408687374
Actinomycetota,saline water,coastal seawater,6.953171279497486,0.0695317127949747,0,0.12286041740066264,1.331986966247802,0,0.1228604174006627,1.3319869662478026,0.004090554948687359,0,78,0,0.49056603773584906,-0.04357446703305951,0.6744781282597323,-0.15868116312829134,54,0,82,0,0.5157232704402516,0.04357446703305951,0.84375,0.08215264486321223,0.33962264150943394,0,82,0,0.5157232704402516,0.04357446703305951,0.8437499999999999,0.08215264486321158,32.56488549618321,0,82,0,0.5157232704402516,0.04357446703305951,0.8115458015267176,0.06493071681186738,0.2048106006049258,0,82,0,0.5157232704402516,0.04357446703305951,0.8115458015267174,0.06493071681186358,0.008438818565400852,0,82,0,0.5157232704402516,0.04357446703305951,0.9549549549549531,0.08215264486320775,0.008438818565400852,0,82,0,0.5157232704402516,0.04357446703305951,0.9549549549549531,0.08215264486320775,0.008438818565400843,0,82,0,0.5157232704402516,0.04357446703305951,0.9549549549549549,0.08215264486319547,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,3.846097271510162,0,0.06664803107473076,0.7063894388215384,1.0,0,1.0,1.4271587040281373,0.6060517882078846,1,0.5373046538934279,3.9199000747606094,10.249265740390028,1,0.5373046538934279,3.9199000747606094,0.669731709258817,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6612928906934161,0,70,0,0.44025157232704404,-0.21787233516529755,0.9992180921448334,-0.08215264486286424,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.012761090712092952,0.012761090712092938,0,82,0,0.5157232704402516,0.04357446703305951,0.9543801310490047,0.08188187258073842,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0,82,0,0.5157232704402516,0.04357446703305951,0.9543801310490029,0.08188187258074085
Aquificota,saline water,coastal seawater,0.0159270197681367,0.0001592701976813,0,0.00028142558524784126,-0.1291084793354256,0,0.00028142558524795917,-0.12910847933542458,0.0034104975146601944,0,21,0,0.1320754716981132,-1.2854467774752556,0.562345698561178,-1.0835030125255651,48,0,16,0,0.10062893081761007,-1.3943829450579044,0.75,-1.269116720645481,0.3018867924528302,0,16,0,0.10062893081761007,-1.3943829450579044,0.7499999999999999,-1.2691167206454812,28.29850746268657,0,16,0,0.10062893081761007,-1.3943829450579044,0.705223880597015,-1.2530651769977865,0.1779780343565193,0,16,0,0.10062893081761007,-1.3943829450579044,0.7052238805970148,-1.2530651769977887,0.00819998407770084,0,16,0,0.10062893081761007,-1.3943829450579044,0.9279279279279273,-1.2691167206454628,0.00819998407770084,0,16,0,0.10062893081761007,-1.3943829450579044,0.9279279279279273,-1.2691167206454628,0.00819998407770082,0,16,0,0.10062893081761007,-1.3943829450579044,0.9279279279279279,-1.2691167206454934,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.014376951324845,0,0.00024913449427188506,-0.11063917143743307,0.8566433566433567,0,0.8566433566433567,0.736310884056397,0.0009480754709155,0,0.0008405310778331833,-0.19741208337537902,0.0160334110589661,0,0.000840531077833192,-0.19741208337537916,0.669731709258817,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6615317251811161,0,147,0,0.9245283018867925,1.4597446456074936,0.9995789726933718,1.269116720645806,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.012395450989830945,0.012395450989830917,0,16,0,0.10062893081761007,-1.3943829450579044,0.927034562090823,-1.268871728472741,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0,16,0,0.10062893081761007,-1.3943829450579044,0.9270345620908224,-1.2688717284727276
Armatimonadota,saline water,coastal seawater,0.0203574128422019,0.000203574128422,0,0.0003597092806221029,-0.12817536715134925,0,0.0003597092806221359,-0.12817536715134922,0.0052732541905799,0,143,0,0.89937106918239,1.3725957115413745,0.8694895095936672,1.449691961610055,59,0,139,0,0.8742138364779874,1.2854467774752556,0.921875,1.20821044945379,0.3710691823899371,0,139,0,0.8742138364779874,1.2854467774752556,0.9218749999999999,1.2082104494537889,36.27237354085603,0,139,0,0.8742138364779874,1.2854467774752556,0.9039396887159533,1.2102708579953525,0.22812813547708197,0,139,0,0.8742138364779874,1.2854467774752556,0.9039396887159532,1.2102708579953503,0.008637847305150825,0,139,0,0.8742138364779874,1.2854467774752556,0.9774774774774703,1.208210449453557,0.008637847305150825,0,139,0,0.8742138364779874,1.2854467774752556,0.9774774774774703,1.208210449453557,0.008637847305150863,0,139,0,0.8742138364779874,1.2854467774752556,0.9774774774774775,1.208210449453776,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.010870382662765,0,0.00018837006720261835,-0.1113868687329962,0.8636363636363636,0,0.8636363636363636,0.770010777713555,0.0019921961161678,0,0.0017662125011636838,-0.19030756470069887,0.033691093399717,0,0.001766212501163739,-0.19030756470069865,0.669731709258817,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6610938619536662,0,24,0,0.1509433962264151,-1.2200850769256664,0.9989173583543848,-1.2082104494532135,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.013065992292870846,0.013065992292870905,0,139,0,0.8742138364779874,1.2854467774752556,0.9771831983717821,1.2082554122357239,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0,139,0,0.8742138364779874,1.2854467774752556,0.9771831983717748,1.2082554122354907
Atribacterota,saline water,coastal seawater,0.009404578714896,9.40457871489599e-05,0,0.00016617603967221948,-0.1304822105405219,0,0.00016617603967221937,-0.13048221054052225,0.004575176384772927,0,117,0,0.7358490566037735,0.8061276401116009,0.7543857601644027,0.5003638974103968,56,0,121,0,0.7610062893081762,0.89327657417772,0.875,0.5325757666994433,0.3522012578616352,0,121,0,0.7610062893081762,0.89327657417772,0.8749999999999999,0.5325757666994425,34.03076923076923,0,121,0,0.7610062893081762,0.89327657417772,0.8480769230769231,0.5177805880182603,0.2140299951620706,0,121,0,0.7610062893081762,0.89327657417772,0.8480769230769228,0.5177805880182564,0.008518430061300819,0,121,0,0.7610062893081762,0.89327657417772,0.9639639639639574,0.5325757666992219,0.008518430061300819,0,121,0,0.7610062893081762,0.89327657417772,0.9639639639639574,0.5325757666992219,0.008518430061300852,0,121,0,0.7610062893081762,0.89327657417772,0.963963963963964,0.5325757666994316,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.0074346096301099,0,0.00012883243939940692,-0.11211947044488202,0.7902097902097902,0,0.7902097902097902,0.4161618943133952,0.0008634065357967,0,0.0007654665144333189,-0.19798819690541217,0.0146015294394851,0,0.0007654665144333242,-0.19798819690541233,0.669731709258817,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6612132791975162,0,43,0,0.27044025157232704,-0.8061276401116009,0.999097798628654,-0.5325757666988783,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.01288302931792181,0.012883029317921858,0,121,0,0.7610062893081762,0.89327657417772,0.9634997106552099,0.5323499177698306,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0,121,0,0.7610062893081762,0.89327657417772,0.9634997106552035,0.5323499177696157
Bacillota,saline water,coastal seawater,4.696377539000147,0.0469637753900013,0,0.08298355980587241,0.8566698327568083,0,0.08298355980587256,0.8566698327568099,0.004175839083647681,0,85,0,0.5345911949685535,0.10893616758264878,0.6885403482860755,-0.042701795104646945,54,0,80,0,0.5031446540880503,0.0,0.84375,0.08215264486321223,0.33962264150943394,0,80,0,0.5031446540880503,0.0,0.8437499999999999,0.08215264486321158,32.56488549618321,0,80,0,0.5031446540880503,0.0,0.8115458015267176,0.06493071681186738,0.2048106006049258,0,80,0,0.5031446540880503,0.0,0.8115458015267174,0.06493071681186358,0.008438818565400852,0,80,0,0.5031446540880503,0.0,0.9549549549549531,0.08215264486320775,0.008438818565400852,0,80,0,0.5031446540880503,0.0,0.9549549549549531,0.08215264486320775,0.008438818565400843,0,80,0,0.5031446540880503,0.0,0.9549549549549549,0.08215264486319547,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,3.024203413913466,0,0.05240564366373151,0.5311389664122849,1.0,0,1.0,1.4271587040281373,0.692781514726154,1,0.6141962440114423,4.510035864624295,11.715998504772507,1,0.6141962440114423,4.510035864624295,0.669731709258817,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6612928906934161,0,75,0,0.4716981132075472,-0.10893616758264878,0.9992180921448334,-0.08215264486286424,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.012761090712092952,0.012761090712092938,0,80,0,0.5031446540880503,0.0,0.9543801310490047,0.08188187258073842,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0,80,0,0.5031446540880503,0.0,0.9543801310490029,0.08188187258074085
Bacteroidota,saline water,coastal seawater,16.695427768240314,0.1669542776824028,1,0.29500312042318366,3.3838631943973825,1,0.2950031204231838,3.3838631943973834,0.005158069607832723,0,140,0,0.8805031446540881,1.3072340109917853,0.8504971032453246,1.293050458248381,58,0,128,0,0.8050314465408805,1.0457872087934281,0.90625,0.9829988885356743,0.36477987421383645,0,128,0,0.8050314465408805,1.0457872087934281,0.9062499999999999,0.9829988885356734,35.519379844961236,0,128,0,0.8050314465408805,1.0457872087934281,0.8851744186046511,0.9776513874604109,0.2233923260689386,0,128,0,0.8050314465408805,1.0457872087934281,0.885174418604651,0.9776513874604088,0.008598041557200897,0,128,0,0.8050314465408805,1.0457872087934281,0.9729729729729744,0.9829988885358641,0.008598041557200897,0,128,0,0.8050314465408805,1.0457872087934281,0.9729729729729744,0.9829988885358641,0.008598041557200859,0,128,0,0.8050314465408805,1.0457872087934281,0.9729729729729729,0.982998888535658,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,13.068055856554212,1,0.22645298112077175,2.672765733801212,1.0,0,1.0,1.4271587040281373,0.8772519740548604,1,0.7777414034049391,5.765229724823213,14.835677046605618,1,0.7777414034049391,5.765229724823213,0.669731709258817,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6611336677016161,0,30,0,0.18867924528301888,-1.0893616758264877,0.9989775051124744,-0.9829988885355205,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.013004997290625622,0.013004997290625564,0,128,0,0.8050314465408805,1.0457872087934281,0.9726214865597128,0.9829264506572059,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0,128,0,0.8050314465408805,1.0457872087934281,0.9726214865597141,0.9829264506573953
Balneolota,saline water,coastal seawater,0.0035474441348589,3.5474441348589226e-05,0,6.268225671348621e-05,-0.13171581747991398,0,6.26822567134857e-05,-0.13171581747991437,0.003910060097878146,0,63,0,0.39622641509433965,-0.3703829697810058,0.644716926989625,-0.4041392279619656,52,0,58,0,0.36477987421383645,-0.4793191373636546,0.8125,-0.3682704769730188,0.3270440251572327,0,58,0,0.36477987421383645,-0.4793191373636546,0.8124999999999999,-0.36827047697301935,31.12121212121212,0,58,0,0.36477987421383645,-0.4793191373636546,0.7755681818181819,-0.3810577927095819,0.1957308938441014,0,58,0,0.36477987421383645,-0.4793191373636546,0.7755681818181817,-0.38105779270958423,0.008359207069500885,0,58,0,0.36477987421383645,-0.4793191373636546,0.9459459459459486,-0.36827047697280635,0.008359207069500885,0,58,0,0.36477987421383645,-0.4793191373636546,0.9459459459459486,-0.36827047697280635,0.008359207069500836,0,58,0,0.36477987421383645,-0.4793191373636546,0.9459459459459459,-0.36827047697303084,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,s,0.0016031569217897,0,2.7780694246236862e-05,-0.11336289723596873,0.6748251748251748,0,0.6748251748251748,-0.13988635102971317,0.0003162294461353,0,0.0002803581416846766,-0.20171135846680166,0.0053479251962307,0,0.00028035814168472626,-0.20171135846680147,0.669731709258817,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6613725021893161,0,87,0,0.5471698113207547,0.1525106346157083,0.9993383856610127,0.36827047697314985,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.012639181462533929,0.012639181462533856,0,58,0,0.36477987421383645,-0.4793191373636546,0.9452627469479712,-0.36847772408708074,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0,58,0,0.36477987421383645,-0.4793191373636546,0.9452627469479739,-0.36847772408687374
Bdellovibrionota,saline water,coastal seawater,0.1286673045558796,0.0012866730455587,0,0.0022735120577519956,-0.10536355837403658,0,0.0022735120577521612,-0.10536355837403497,0.003891868146899234,0,60,0,0.37735849056603776,-0.4357446703305951,0.6417173161300797,-0.42887877628045323,52,0,60,0,0.37735849056603776,-0.4357446703305951,0.8125,-0.3682704769730188,0.3270440251572327,0,60,0,0.37735849056603776,-0.4357446703305951,0.8124999999999999,-0.36827047697301935,31.12121212121212,0,60,0,0.37735849056603776,-0.4357446703305951,0.7755681818181819,-0.3810577927095819,0.1957308938441014,0,60,0,0.37735849056603776,-0.4357446703305951,0.7755681818181817,-0.38105779270958423,0.008359207069500885,0,60,0,0.37735849056603776,-0.4357446703305951,0.9459459459459486,-0.36827047697280635,0.008359207069500885,0,60,0,0.37735849056603776,-0.4357446703305951,0.9459459459459486,-0.36827047697280635,0.008359207069500836,0,60,0,0.37735849056603776,-0.4357446703305951,0.9459459459459459,-0.36827047697303084,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.0882469503380651,0,0.0015292087207332205,-0.09488804724507974,0.9755244755244756,0,0.9755244755244756,1.3092090762280846,0.0145363670706031,0,0.012887442673560958,-0.1049531593363351,0.245832273586761,0,0.012887442673560985,-0.10495315933633512,0.669731709258817,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6613725021893161,0,105,0,0.660377358490566,0.5446808379132438,0.9993383856610127,0.36827047697314985,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.012639181462533929,0.012639181462533856,0,60,0,0.37735849056603776,-0.4357446703305951,0.9452627469479712,-0.36847772408708074,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0,60,0,0.37735849056603776,-0.4357446703305951,0.9452627469479739,-0.36847772408687374
Caldisericota,saline water,coastal seawater,0.0033545617727226,3.354561772722671e-05,0,5.9274084159020046e-05,-0.13175644161397926,0,5.927408415901869e-05,-0.13175644161397962,0.004514380736519729,0,112,0,0.7044025157232704,0.6971914725289522,0.7443613660285134,0.41768684538572454,56,0,118,0,0.7421383647798742,0.8279148736281307,0.875,0.5325757666994433,0.3522012578616352,0,118,0,0.7421383647798742,0.8279148736281307,0.8749999999999999,0.5325757666994425,34.03076923076923,0,118,0,0.7421383647798742,0.8279148736281307,0.8480769230769231,0.5177805880182603,0.2140299951620706,0,118,0,0.7421383647798742,0.8279148736281307,0.8480769230769228,0.5177805880182564,0.008518430061300819,0,118,0,0.7421383647798742,0.8279148736281307,0.9639639639639574,0.5325757666992219,0.008518430061300819,0,118,0,0.7421383647798742,0.8279148736281307,0.9639639639639574,0.5325757666992219,0.008518430061300852,0,118,0,0.7421383647798742,0.8279148736281307,0.963963963963964,0.5325757666994316,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,s,0.0013062211083533,0,2.2635169855134016e-05,-0.11342621215321622,0.6433566433566433,0,0.6433566433566433,-0.2915358724869245,0.0006214931321433,0,0.0005509944179041923,-0.19963425026306386,0.0105104025614712,0,0.0005509944179042212,-0.1996342502630639,0.669731709258817,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6612132791975162,0,39,0,0.24528301886792453,-0.89327657417772,0.999097798628654,-0.5325757666988783,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.01288302931792181,0.012883029317921858,0,118,0,0.7421383647798742,0.8279148736281307,0.9634997106552099,0.5323499177698306,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0,118,0,0.7421383647798742,0.8279148736281307,0.9634997106552035,0.5323499177696157
