Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,Ddiv,Ddiv_isKeystone,Ddiv_rank,Ddiv_rank_isKeystone,Ddiv_rank_scaled,Ddiv_rank_zScore,Ddiv_scaled,Ddiv_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,DxCCdiv,DxCCdiv_isKeystone,DxCCdiv_rank,DxCCdiv_rank_isKeystone,DxCCdiv_rank_scaled,DxCCdiv_rank_zScore,DxCCdiv_scaled,DxCCdiv_zScore,EDpDM,EDpDM_isKeystone,EDpDM_rank,EDpDM_rank_isKeystone,EDpDM_rank_scaled,EDpDM_rank_zScore,EDpDM_scaled,EDpDM_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,iEDpDM,iEDpDM_isKeystone,iEDpDM_rank,iEDpDM_rank_isKeystone,iEDpDM_rank_scaled,iEDpDM_rank_zScore,iEDpDM_scaled,iEDpDM_zScore,pathIncrease,pathIncreaseDir,pathIncreaseDir_isKeystone,pathIncreaseDir_rank,pathIncreaseDir_rank_isKeystone,pathIncreaseDir_rank_scaled,pathIncreaseDir_rank_zScore,pathIncreaseDir_scaled,pathIncreaseDir_zScore,pathIncreaseIndir,pathIncreaseIndir_isKeystone,pathIncreaseIndir_rank,pathIncreaseIndir_rank_isKeystone,pathIncreaseIndir_rank_scaled,pathIncreaseIndir_rank_zScore,pathIncreaseIndir_scaled,pathIncreaseIndir_zScore,pathIncrease_isKeystone,pathIncrease_rank,pathIncrease_rank_isKeystone,pathIncrease_rank_scaled,pathIncrease_rank_zScore,pathIncrease_scaled,pathIncrease_zScore
Acidobacteriota,saline water,estuarine seawater,0.1457933592176563,0.0014579335921765,0,0.0026678707329619794,-0.10506072546595412,0,0.00266787073296209,-0.1050607254659532,0.006819288050885804,0,142,0,0.9281045751633987,1.47170859176811,0.7718794130757888,1.574007754844831,43,0,148,0,0.9673202614379085,1.607558615623628,0.9148936170212766,1.6191253216321557,0.28104575163398693,0,148,0,0.9673202614379085,1.607558615623628,0.9148936170212766,1.619125321632154,25.042145593869733,0,148,0,0.9673202614379085,1.607558615623628,0.900872258906008,1.6453945166866386,0.16367415420829892,0,148,0,0.9673202614379085,1.607558615623628,0.900872258906008,1.6453945166866406,0.008384932920536659,0,148,0,0.9673202614379085,1.607558615623628,0.97989949748743,1.6149607513844204,0.008384932920536659,0,148,0,0.9673202614379085,1.607558615623628,0.97989949748743,1.6149607513844204,0.008384932920536636,0,148,0,0.9673202614379085,1.607558615623628,0.9798994974874372,1.6191253216321657,0.0,0,1,0,0.006535947712418301,-1.7207669688365594,0.0,-0.21896393648144905,D,0.1187490367459952,0,0.0021276885676031953,-0.10541257237890407,0.9375,1,0.9375,1.815377929059247,0.0163381809834515,0,0.009305070957186632,-0.10102271703049381,0.1307054478676126,0,0.009305070957186674,-0.10102271703049372,0.6200120399036808,0,1,0,0.006535947712418301,-1.7207669688365594,1.0,,0.6116271069831442,0,11,0,0.0718954248366013,-1.4943502624106964,0.9987361325656509,-1.6149607513839295,0.0,0,1,0,0.006535947712418301,-1.7207669688365594,0.0,-0.21896393648144905,0.01370922384701916,0.013709223847019123,0,148,0,0.9673202614379085,1.607558615623628,0.9796239351990549,1.6195740699193653,0.0,0,1,0,0.006535947712418301,-1.7207669688365594,0.0,-0.2189639297054422,0,148,0,0.9673202614379085,1.607558615623628,0.9796239351990476,1.6154596469078537
Actinomycetota,saline water,estuarine seawater,14.134364182687218,0.1413436418268719,1,0.25864454138630033,2.7890812838824104,1,0.2586445413863004,2.7890812838824113,0.0059189605246587,0,119,0,0.7777777777777778,0.950950166988625,0.6699707860557169,0.780694877843148,39,0,111,0,0.7254901960784313,0.7698168018479346,0.8297872340425532,0.6252389657255569,0.2549019607843137,0,111,0,0.7254901960784313,0.7698168018479346,0.8297872340425531,0.6252389657255546,22.369811320754717,0,111,0,0.7254901960784313,0.7698168018479346,0.8047370533922119,0.6164718391334074,0.1462079171291158,0,111,0,0.7254901960784313,0.7698168018479346,0.8047370533922119,0.6164718391334086,0.008212934296525698,0,113,0,0.738562091503268,0.8151001431331071,0.9597989949748729,0.621305275666874,0.008212934296525698,0,113,0,0.738562091503268,0.8151001431331071,0.9597989949748729,0.621305275666874,0.008212934296525629,0,111,0,0.7254901960784313,0.7698168018479346,0.9597989949748745,0.6252389657255704,0.0,0,97,0,0.6339869281045751,0.4528334128517262,0.0,-0.21896393648144905,D,10.855088477198729,1,0.19449629475866748,2.0782371144177767,1.0,1,1.0,2.0169036487371463,1.471347956105512,1,0.8379756074522953,6.4428826387823115,11.770783648844096,1,0.8379756074522953,6.442882638782311,0.6200120399036808,0,98,0,0.6405228758169934,0.4754750834943125,1.0,,0.6117991056071551,0,44,0,0.2875816993464052,-0.7471751312053482,0.9990169919955062,-0.6213052756663829,0.0,0,97,0,0.6339869281045751,0.4528334128517262,0.0,-0.21896393648144905,0.013424233904976218,0.013424233904976105,0,113,0,0.738562091503268,0.8151001431331071,0.959259327280202,0.6250323664204583,0.0,0,97,0,0.6339869281045751,0.4528334128517262,0.0,-0.2189639297054422,0,113,0,0.738562091503268,0.8151001431331071,0.9592593272802004,0.6211484027905011
Aquificota,saline water,estuarine seawater,0.0157862588814985,0.0001578625888149,0,0.0002888725404153366,-0.13195832746866723,0,0.0002888725404154916,-0.13195832746866581,0.0057045176609920424,0,111,0,0.7254901960784313,0.7698168018479346,0.645697866286063,0.5917411024978811,39,0,108,0,0.7058823529411765,0.7018917899201755,0.8297872340425532,0.6252389657255569,0.2549019607843137,0,108,0,0.7058823529411765,0.7018917899201755,0.8297872340425531,0.6252389657255546,22.369811320754717,0,108,0,0.7058823529411765,0.7018917899201755,0.8047370533922119,0.6164718391334074,0.1462079171291158,0,108,0,0.7058823529411765,0.7018917899201755,0.8047370533922119,0.6164718391334086,0.008212934296525698,0,110,0,0.7189542483660131,0.7471751312053482,0.9597989949748729,0.621305275666874,0.008212934296525698,0,110,0,0.7189542483660131,0.7471751312053482,0.9597989949748729,0.621305275666874,0.008212934296525629,0,108,0,0.7058823529411765,0.7018917899201755,0.9597989949748745,0.6252389657255704,0.0,0,98,0,0.6405228758169934,0.4754750834943125,0.0,-0.21896393648144905,s,0.0063400025283006,0,0.00011359713954475909,-0.12827529516482183,0.53125,0,0.53125,0.5054607511529011,0.0034306010217682,0,0.0019538274160191375,-0.15907454808073923,0.0274448081741462,0,0.0019538274160191805,-0.15907454808073912,0.6200120399036808,0,99,0,0.6470588235294118,0.4981167541368988,1.0,,0.6117991056071551,0,46,0,0.3006535947712418,-0.7018917899201755,0.9990169919955062,-0.6213052756663829,0.0,0,98,0,0.6405228758169934,0.4754750834943125,0.0,-0.21896393648144905,0.013424233904976218,0.013424233904976105,0,110,0,0.7189542483660131,0.7471751312053482,0.959259327280202,0.6250323664204583,0.0,0,98,0,0.6405228758169934,0.4754750834943125,0.0,-0.2189639297054422,0,110,0,0.7189542483660131,0.7471751312053482,0.9592593272802004,0.6211484027905011
Armatimonadota,saline water,estuarine seawater,0.0226578956871087,0.000226578956871,0,0.00041461653053674597,-0.13053663164261947,0,0.0004146165305369044,-0.130536631642618,0.004871838892454806,0,74,0,0.48366013071895425,-0.06792501192775893,0.5514464437998543,-0.1419638773494931,36,0,66,0,0.43137254901960786,-0.2490583770684494,0.7659574468085106,-0.12017580120439224,0.23529411764705882,0,66,0,0.43137254901960786,-0.2490583770684494,0.7659574468085106,-0.1201758012043939,20.417910447761194,0,66,0,0.43137254901960786,-0.2490583770684494,0.7345188948872657,-0.13506403448989437,0.13345039508340648,0,66,0,0.43137254901960786,-0.2490583770684494,0.7345188948872656,-0.13506403448989424,0.008083935328517367,0,59,0,0.38562091503267976,-0.40755007156655354,0.9447236180904421,-0.12393633112192723,0.008083935328517367,0,59,0,0.38562091503267976,-0.40755007156655354,0.9447236180904421,-0.12393633112192723,0.008083935328517372,0,66,0,0.43137254901960786,-0.2490583770684494,0.9447236180904522,-0.12017580120438386,0.0,0,99,0,0.6470588235294118,0.4981167541368988,0.0,-0.21896393648144905,s,0.0091968662849668,0,0.0001647850609024756,-0.12769424147496178,0.578125,0,0.578125,0.6566050409113257,0.0040675788371957,0,0.0023166048743365627,-0.1562097408408289,0.0325406306975662,0,0.002316604874336605,-0.1562097408408288,0.6200120399036808,0,100,0,0.6535947712418301,0.5207584247794851,1.0,,0.6119281045751634,0,86,0,0.5620915032679739,0.20377503578327677,0.9992276365678978,0.1239363311224183,0.0,0,99,0,0.6470588235294118,0.4981167541368988,0.0,-0.21896393648144905,0.013210596584920235,0.013210596584920244,0,59,0,0.38562091503267976,-0.40755007156655354,0.9439933841083712,-0.12050701190337754,0.0,0,99,0,0.6470588235294118,0.4981167541368988,0.0,-0.2189639297054422,0,59,0,0.38562091503267976,-0.40755007156655354,0.943993384108361,-0.1242182160172396
Atribacterota,saline water,estuarine seawater,0.0056424912550298,5.642491255029813e-05,0,0.00010325187210903877,-0.13405700533871465,0,0.00010325187210903835,-0.134057005338715,0.003990798205899286,0,26,0,0.16993464052287582,-1.1547252027719017,0.45172090603700416,-0.9182823852772326,32,0,21,0,0.13725490196078433,-1.2679335559848333,0.6808510638297872,-1.114062157110991,0.20915032679738563,0,21,0,0.13725490196078433,-1.2679335559848333,0.6808510638297872,-1.1140621571109923,17.88235294117647,0,21,0,0.13725490196078433,-1.2679335559848333,0.6433041301627034,-1.1113238703240855,0.11687812379853903,0,21,0,0.13725490196078433,-1.2679335559848333,0.6433041301627034,-1.1113238703240838,0.007911936704506406,0,21,0,0.13725490196078433,-1.2679335559848333,0.924623115577885,-1.1175918068394737,0.007911936704506406,0,21,0,0.13725490196078433,-1.2679335559848333,0.924623115577885,-1.1175918068394737,0.007911936704506364,0,21,0,0.13725490196078433,-1.2679335559848333,0.9246231155778896,-1.1140621571109794,0.0,0,100,0,0.6535947712418301,0.5207584247794851,0.0,-0.21896393648144905,o,0.0,0,0.0,-0.1295647797803185,0.3125,0,0.3125,-0.1998792677197466,0.0012599935494846,0,0.0007176031037620958,-0.16883685353470246,0.0100799483958769,0,0.000717603103762103,-0.16883685353470265,0.6200120399036808,0,101,0,0.6601307189542484,0.5434000954220715,1.0,,0.6121001031991744,0,130,0,0.8496732026143791,1.2000085440570745,0.999508495997753,1.1175918068399648,0.0,0,100,0,0.6535947712418301,0.5207584247794851,0.0,-0.21896393648144905,0.012925886898489707,0.01292588689848964,0,21,0,0.13725490196078433,-1.2679335559848333,0.9236488024950888,-1.114070695293271,0.0,0,100,0,0.6535947712418301,0.5207584247794851,0.0,-0.2189639297054422,0,21,0,0.13725490196078433,-1.2679335559848333,0.9236488024950842,-1.117551666656507
Bacillota,saline water,estuarine seawater,2.880508341892706,0.028805083418927,0,0.05271038367334659,0.4607335658046963,0,0.052710383673346614,0.46073356580469627,0.0037453920946068247,0,21,0,0.13725490196078433,-1.2679335559848333,0.42394323720469385,-1.1345190575014574,32,0,25,0,0.16339869281045752,-1.177366873414488,0.6808510638297872,-1.114062157110991,0.20915032679738563,0,25,0,0.16339869281045752,-1.177366873414488,0.6808510638297872,-1.1140621571109923,17.88235294117647,0,25,0,0.16339869281045752,-1.177366873414488,0.6433041301627034,-1.1113238703240855,0.11687812379853903,0,25,0,0.16339869281045752,-1.177366873414488,0.6433041301627034,-1.1113238703240838,0.007911936704506406,0,23,0,0.1503267973856209,-1.2226502146996607,0.924623115577885,-1.1175918068394737,0.007911936704506406,0,23,0,0.1503267973856209,-1.2226502146996607,0.924623115577885,-1.1175918068394737,0.007911936704506364,0,25,0,0.16339869281045752,-1.177366873414488,0.9246231155778896,-1.1140621571109794,0.0,0,101,0,0.6601307189542484,0.5434000954220715,0.0,-0.21896393648144905,D,2.5469718663430347,0,0.04563542636237687,0.3884604139150662,1.0,1,1.0,2.0169036487371463,0.1667317169468601,0,0.09495857945113424,0.57537209646003,1.3338537355748812,0,0.09495857945113427,0.5753720964600302,0.6200120399036808,0,102,0,0.6666666666666666,0.5660417660646577,1.0,,0.6121001031991744,0,131,0,0.8562091503267973,1.2226502146996607,0.999508495997753,1.1175918068399648,0.0,0,101,0,0.6601307189542484,0.5434000954220715,0.0,-0.21896393648144905,0.012925886898489707,0.01292588689848964,0,23,0,0.1503267973856209,-1.2226502146996607,0.9236488024950888,-1.114070695293271,0.0,0,101,0,0.6601307189542484,0.5434000954220715,0.0,-0.2189639297054422,0,23,0,0.1503267973856209,-1.2226502146996607,0.9236488024950842,-1.117551666656507
Bacteroidota,saline water,estuarine seawater,20.91532825639309,0.2091532825639305,1,0.38272931239771146,4.192017526423205,1,0.38272931239771146,4.192017526423206,0.004065354109243659,0,30,0,0.19607843137254902,-1.0641585202015564,0.4601599346401901,-0.852588338992276,33,0,35,0,0.22875816993464052,-0.950950166988625,0.7021276595744681,-0.8655905681343413,0.21568627450980393,0,35,0,0.22875816993464052,-0.950950166988625,0.7021276595744681,-0.8655905681343424,18.509225092250922,0,35,0,0.22875816993464052,-0.950950166988625,0.6658553819580749,-0.8699607374794701,0.12097532740033282,0,35,0,0.22875816993464052,-0.950950166988625,0.6658553819580748,-0.8699607374794692,0.007954936360509146,0,35,0,0.22875816993464052,-0.950950166988625,0.9296482412060243,-0.869177937910087,0.007954936360509146,0,35,0,0.22875816993464052,-0.950950166988625,0.9296482412060243,-0.869177937910087,0.007954936360509117,0,35,0,0.22875816993464052,-0.950950166988625,0.9296482412060303,-0.865590568134328,0.0,0,102,0,0.6666666666666666,0.5660417660646577,0.0,-0.21896393648144905,D,22.70148223453877,1,0.40675432442784976,4.487659260705181,1.0,1,1.0,2.0169036487371463,1.550193744687854,1,0.8828805854407958,6.797491512900692,12.401549957502832,1,0.8828805854407958,6.797491512900691,0.6200120399036808,0,103,0,0.673202614379085,0.588683436707244,1.0,,0.6120571035431717,0,121,0,0.7908496732026143,0.9962335082737976,0.9994382811402892,0.8691779379105782,0.0,0,102,0,0.6666666666666666,0.5660417660646577,0.0,-0.21896393648144905,0.01299704931853314,0.01299704931853309,0,35,0,0.22875816993464052,-0.950950166988625,0.9287338759273395,-0.8657321260519903,0.0,0,102,0,0.6666666666666666,0.5660417660646577,0.0,-0.2189639297054422,0,35,0,0.22875816993464052,-0.950950166988625,0.9287338759273335,-0.8692706434717486
Balneolota,saline water,estuarine seawater,0.0055036176855556,5.503617685555621e-05,0,0.0001007106265161647,-0.13408573735404886,0,0.00010071062651616415,-0.1340857373540492,0.005077566042841399,0,85,0,0.5555555555555556,0.18113336514069048,0.5747328266171238,0.03931015104156831,36,0,60,0,0.39215686274509803,-0.3849084009239673,0.7659574468085106,-0.12017580120439224,0.23529411764705882,0,60,0,0.39215686274509803,-0.3849084009239673,0.7659574468085106,-0.1201758012043939,20.417910447761194,0,60,0,0.39215686274509803,-0.3849084009239673,0.7345188948872657,-0.13506403448989437,0.13345039508340648,0,60,0,0.39215686274509803,-0.3849084009239673,0.7345188948872656,-0.13506403448989424,0.008083935328517367,0,60,0,0.39215686274509803,-0.3849084009239673,0.9447236180904421,-0.12393633112192723,0.008083935328517367,0,60,0,0.39215686274509803,-0.3849084009239673,0.9447236180904421,-0.12393633112192723,0.008083935328517372,0,60,0,0.39215686274509803,-0.3849084009239673,0.9447236180904522,-0.12017580120438386,0.0,0,103,0,0.673202614379085,0.588683436707244,0.0,-0.21896393648144905,o,0.0,0,0.0,-0.1295647797803185,0.265625,0,0.265625,-0.3510235574781711,0.0016487741637436,0,0.0009390250115083008,-0.16708831301807794,0.0131901933099494,0,0.0009390250115083437,-0.16708831301807783,0.6200120399036808,0,104,0,0.6797385620915033,0.6113251073498304,1.0,,0.6119281045751634,0,85,0,0.5555555555555556,0.18113336514069048,0.9992276365678978,0.1239363311224183,0.0,0,103,0,0.673202614379085,0.588683436707244,0.0,-0.21896393648144905,0.013210596584920235,0.013210596584920244,0,60,0,0.39215686274509803,-0.3849084009239673,0.9439933841083712,-0.12050701190337754,0.0,0,103,0,0.673202614379085,0.588683436707244,0.0,-0.2189639297054422,0,60,0,0.39215686274509803,-0.3849084009239673,0.943993384108361,-0.1242182160172396
Bdellovibrionota,saline water,estuarine seawater,0.0757683290038373,0.0007576832900383,0,0.0013864836404035672,-0.11954843719899871,0,0.0013864836404036984,-0.11954843719899758,0.0044832441983529685,0,49,0,0.3202614379084967,-0.6339667779924166,0.5074611711189724,-0.4843694639668194,35,0,56,0,0.3660130718954248,-0.4754750834943125,0.7446808510638298,-0.368647390181042,0.22875816993464052,0,56,0,0.3660130718954248,-0.4754750834943125,0.7446808510638298,-0.36864739018104375,19.776951672862456,0,56,0,0.3660130718954248,-0.4754750834943125,0.7114608874475995,-0.38185090748887124,0.12926112204485266,0,56,0,0.3660130718954248,-0.4754750834943125,0.7114608874475995,-0.3818509074888696,0.008040935672514626,0,56,0,0.3660130718954248,-0.4754750834943125,0.9396984924623029,-0.37235020005131386,0.008040935672514626,0,56,0,0.3660130718954248,-0.4754750834943125,0.9396984924623029,-0.37235020005131386,0.00804093567251462,0,56,0,0.3660130718954248,-0.4754750834943125,0.9396984924623115,-0.36864739018103526,0.0,0,104,0,0.6797385620915033,0.6113251073498304,0.0,-0.21896393648144905,D,0.0676085160104951,0,0.0012113771238064326,-0.11581397433774387,0.921875,1,0.921875,1.7649964991397722,0.0072140321095481,0,0.004108601853214812,-0.1420585696440345,0.0577122568763852,0,0.00410860185321484,-0.1420585696440345,0.6200120399036808,0,105,0,0.6862745098039216,0.6339667779924166,1.0,,0.6119711042311662,0,97,0,0.6339869281045751,0.4528334128517262,0.9992978514253616,0.3723502000518049,0.0,0,104,0,0.6797385620915033,0.6113251073498304,0.0,-0.21896393648144905,0.013139404159640258,0.013139404159640246,0,56,0,0.3660130718954248,-0.4754750834943125,0.9389061665833381,-0.36895029171393506,0.0,0,104,0,0.6797385620915033,0.6113251073498304,0.0,-0.2189639297054422,0,56,0,0.3660130718954248,-0.4754750834943125,0.9389061665833295,-0.3726039255072957
Caldisericota,saline water,estuarine seawater,0.0039000637855183,3.900063785518314e-05,0,7.136721511805035e-05,-0.13441750196137855,0,7.136721511804998e-05,-0.13441750196137892,0.0041055071869379985,0,32,0,0.20915032679738563,-1.018875178916384,0.4647048862264291,-0.8172079327975932,33,0,34,0,0.2222222222222222,-0.9735918376312113,0.7021276595744681,-0.8655905681343413,0.21568627450980393,0,34,0,0.2222222222222222,-0.9735918376312113,0.7021276595744681,-0.8655905681343424,18.509225092250922,0,34,0,0.2222222222222222,-0.9735918376312113,0.6658553819580749,-0.8699607374794701,0.12097532740033282,0,34,0,0.2222222222222222,-0.9735918376312113,0.6658553819580748,-0.8699607374794692,0.007954936360509146,0,34,0,0.2222222222222222,-0.9735918376312113,0.9296482412060243,-0.869177937910087,0.007954936360509146,0,34,0,0.2222222222222222,-0.9735918376312113,0.9296482412060243,-0.869177937910087,0.007954936360509117,0,34,0,0.2222222222222222,-0.9735918376312113,0.9296482412060303,-0.865590568134328,0.0,0,105,0,0.6862745098039216,0.6339667779924166,0.0,-0.21896393648144905,o,0.0,0,0.0,-0.1295647797803185,0.21875,0,0.21875,-0.5021678472365956,0.0015049865240885,0,0.0008571337537781861,-0.16773499781795134,0.0120398921927084,0,0.0008571337537782145,-0.16773499781795137,0.6200120399036808,0,106,0,0.6928104575163399,0.656608448635003,1.0,,0.6120571035431717,0,122,0,0.7973856209150327,1.018875178916384,0.9994382811402892,0.8691779379105782,0.0,0,105,0,0.6862745098039216,0.6339667779924166,0.0,-0.21896393648144905,0.01299704931853314,0.01299704931853309,0,34,0,0.2222222222222222,-0.9735918376312113,0.9287338759273395,-0.8657321260519903,0.0,0,105,0,0.6862745098039216,0.6339667779924166,0.0,-0.2189639297054422,0,34,0,0.2222222222222222,-0.9735918376312113,0.9287338759273335,-0.8692706434717486
