Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,Ddiv,Ddiv_isKeystone,Ddiv_rank,Ddiv_rank_isKeystone,Ddiv_rank_scaled,Ddiv_rank_zScore,Ddiv_scaled,Ddiv_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,DxCCdiv,DxCCdiv_isKeystone,DxCCdiv_rank,DxCCdiv_rank_isKeystone,DxCCdiv_rank_scaled,DxCCdiv_rank_zScore,DxCCdiv_scaled,DxCCdiv_zScore,EDpDM,EDpDM_isKeystone,EDpDM_rank,EDpDM_rank_isKeystone,EDpDM_rank_scaled,EDpDM_rank_zScore,EDpDM_scaled,EDpDM_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,iEDpDM,iEDpDM_isKeystone,iEDpDM_rank,iEDpDM_rank_isKeystone,iEDpDM_rank_scaled,iEDpDM_rank_zScore,iEDpDM_scaled,iEDpDM_zScore,pathIncrease,pathIncreaseDir,pathIncreaseDir_isKeystone,pathIncreaseDir_rank,pathIncreaseDir_rank_isKeystone,pathIncreaseDir_rank_scaled,pathIncreaseDir_rank_zScore,pathIncreaseDir_scaled,pathIncreaseDir_zScore,pathIncreaseIndir,pathIncreaseIndir_isKeystone,pathIncreaseIndir_rank,pathIncreaseIndir_rank_isKeystone,pathIncreaseIndir_rank_scaled,pathIncreaseIndir_rank_zScore,pathIncreaseIndir_scaled,pathIncreaseIndir_zScore,pathIncrease_isKeystone,pathIncrease_rank,pathIncrease_rank_isKeystone,pathIncrease_rank_scaled,pathIncrease_rank_zScore,pathIncrease_scaled,pathIncrease_zScore
Acidobacteriota,saline water,hypersaline water,0.1240229068147575,0.0012402290681475,0,0.0013512351664973163,-0.07187812555792342,0,0.0013512351664973976,-0.07187812555792254,0.005537927935682573,0,72,0,0.47368421052631576,-0.10255785942861935,0.44562359776756644,-0.19484503267194345,21,0,72,0,0.47368421052631576,-0.10255785942861935,0.6774193548387096,-0.1029573081084711,0.13815789473684212,0,72,0,0.47368421052631576,-0.10255785942861935,0.6774193548387097,-0.10295730810846941,11.048780487804878,0,72,0,0.47368421052631576,-0.10255785942861935,0.6396538158929976,-0.1288280969614533,0.07268934531450578,0,72,0,0.47368421052631576,-0.10255785942861935,0.6396538158929977,-0.1288280969614532,0.007551992564192034,0,76,0,0.5,-0.011395317714291038,0.9122807017545093,-0.035776091089247446,0.007551992564192034,0,76,0,0.5,-0.011395317714291038,0.9122807017545093,-0.035776091089247446,0.007406761937957477,0,73,0,0.48026315789473684,-0.07976722400003727,0.9340659340659342,-0.10032440171117833,0.00014523062623446036,0,95,0,0.625,0.42162675542876843,0.35714285714285715,0.16653509199491132,D,0.018464267109445,0,0.0001938410896652001,-0.08159936286664166,1.0,1,1.0,2.0496765994198913,0.0502151296516333,0,0.02003356542815674,0.042405193294680864,0.2008605186065333,0,0.020033565428156753,0.04240519329468089,0.5645985825490939,0,1,0,0.006578947368421052,-1.7206929748579467,1.0,,0.5570465899849019,0,74,0,0.4868421052631579,-0.05697658857145519,0.9986201150771963,0.03577609108922538,0.00014523062623446036,0,95,0,0.625,0.42162675542876843,0.35714285714285715,0.16653509199491132,0.013557200959432716,0.013296485556366531,0,72,0,0.47368421052631576,-0.10255785942861935,0.9330918325599739,-0.099808305447613,0.0002607154030660105,0,96,0,0.631578947368421,0.4444173908573505,0.35667729392309716,0.16595409064730968,0,76,0,0.5,-0.011395317714291038,0.9110914736001747,-0.03627416871850616
Actinomycetota,saline water,hypersaline water,1.9601935503535968,0.0196019355035359,0,0.02135639718826516,0.1753357123688604,0,0.021356397188265226,0.17533571236886109,0.006073323870385709,0,87,0,0.5723684210526315,0.2393016720001118,0.4887056070359182,0.045546571545745526,22,0,89,0,0.5855263157894737,0.28488294285727594,0.7096774193548387,0.15786787243298864,0.14473684210526316,0,89,0,0.5855263157894737,0.28488294285727594,0.7096774193548387,0.15786787243299003,11.697183098591548,0,93,0,0.6118421052631579,0.37604548457160425,0.6771921853702861,0.15385798617262866,0.07695515196441809,0,93,0,0.6118421052631579,0.37604548457160425,0.6771921853702862,0.15385798617262864,0.007610084814685836,0,91,0,0.5986842105263158,0.3304642137144401,0.9192982456141614,0.1754070485465815,0.007610084814685836,0,91,0,0.5986842105263158,0.3304642137144401,0.9192982456141614,0.1754070485465815,0.007479377251074706,0,91,0,0.5986842105263158,0.3304642137144401,0.9432234432234432,0.22832450044613906,0.0001307075636110143,0,88,0,0.5789473684210527,0.2620923074286939,0.3214285714285714,-0.0296923032238987,D,1.6066893313686506,0,0.016867304231460087,0.12464503873522113,1.0,1,1.0,2.0496765994198913,0.3912831128232799,0,0.1561042637161258,1.2758638903730248,1.5651324512931195,0,0.15610426371612582,1.2758638903730248,0.5645985825490939,0,97,0,0.6381578947368421,0.46720802628593255,1.0,,0.5569884977344081,0,61,0,0.40131578947368424,-0.3532548491430222,0.9985159728188714,-0.17540704854660358,0.0001307075636110143,0,88,0,0.5789473684210527,0.2620923074286939,0.3214285714285714,-0.0296923032238987,0.013662911973300022,0.013428243637880543,0,91,0,0.5986842105263158,0.3304642137144401,0.9423380645220452,0.22712458435184688,0.00023466833541927167,0,85,0,0.5592105263157895,0.19372040114294764,0.3210430448775261,-0.029904125514903904,0,91,0,0.5986842105263158,0.3304642137144401,0.9181956246478968,0.1749523575111376
Aquificota,saline water,hypersaline water,0.0008691560248577,8.691560248577608e-06,0,9.469494113011281e-06,-0.08845899809010316,0,9.469494113010617e-06,-0.08845899809010328,0.006771005443880203,0,101,0,0.6644736842105263,0.5583705680002609,0.5448463471263602,0.3588040727975202,22,0,84,0,0.5526315789473685,0.17092976571436558,0.7096774193548387,0.15786787243298864,0.14473684210526316,0,84,0,0.5526315789473685,0.17092976571436558,0.7096774193548387,0.15786787243299003,11.697183098591548,0,92,0,0.6052631578947368,0.3532548491430222,0.6771921853702861,0.15385798617262866,0.07695515196441809,0,92,0,0.6052631578947368,0.3532548491430222,0.6771921853702862,0.15385798617262864,0.007697223190426206,0,102,0,0.6710526315789473,0.5811612034288429,0.9298245614035994,0.4921817579991141,0.007697223190426206,0,102,0,0.6710526315789473,0.5811612034288429,0.9298245614035994,0.4921817579991141,0.007479377251074706,0,92,0,0.6052631578947368,0.3532548491430222,0.9432234432234432,0.22832450044613906,0.0002178459393516905,0,129,0,0.8486842105263158,1.196508360000559,0.5357142857142856,1.1476720680889603,s,1.50106650775376e-05,0,1.5758457446387718e-07,-0.08399515420692166,0.5,0,0.5,0.23701714858746384,0.0005923421088133,0,0.0002363177089273453,-0.13705362983724217,0.0023693684352534,0,0.00023631770892736526,-0.1370536298372421,0.5645985825490939,0,98,0,0.6447368421052632,0.48999866171451467,1.0,,0.5569013593586677,0,51,0,0.3355263157894737,-0.5811612034288429,0.9983597594313847,-0.4921817579991362,0.0002178459393516905,0,129,0,0.8486842105263158,1.196508360000559,0.5357142857142856,1.1476720680889603,0.013821519845615735,0.013430344755645812,0,92,0,0.6052631578947368,0.3532548491430222,0.9424855121929134,0.2323381127738989,0.0003911750899702664,0,131,0,0.8618421052631579,1.2420896308577232,0.535155464157186,1.1469321379534374,0,102,0,0.6710526315789473,0.5811612034288429,0.9288546301863644,0.4918747734097919
Armatimonadota,saline water,hypersaline water,0.0084551144791305,8.455114479130497e-05,0,9.21188538019576e-05,-0.08743765842843666,0,9.211885380195762e-05,-0.08743765842843679,0.004266227181174034,0,32,0,0.21052631578947367,-1.0141832765719023,0.3432929296748305,-0.765835891298204,19,0,39,0,0.2565789473684211,-0.8546488285718279,0.6129032258064516,-0.6246076691913905,0.125,0,39,0,0.2565789473684211,-0.8546488285718279,0.6129032258064516,-0.6246076691913893,9.961805555555555,0,40,0,0.2631578947368421,-0.8318581931432458,0.5767249103942652,-0.60271990577095,0.06553819444444445,0,40,0,0.2631578947368421,-0.8318581931432458,0.5767249103942652,-0.6027199057709501,0.007392238875334023,0,38,0,0.25,-0.87743946400041,0.8929824561404592,-0.6165297250879789,0.007392238875334023,0,38,0,0.25,-0.87743946400041,0.8929824561404592,-0.6165297250879789,0.007334146624840247,0,46,0,0.3026315789473684,-0.6951143805717533,0.9249084249084251,-0.42897330386849963,5.8092250493784134e-05,0,27,0,0.17763157894736842,-1.1281364537148129,0.14285714285714282,-1.0108292793179483,s,0.0005103502774863,0,5.357746035220521e-06,-0.0839308301861957,0.6875,0,0.6875,0.9167644426496241,0.006292008877972,0,0.0025102269456610906,-0.11644101330991151,0.025168035511888,0,0.002510226945661091,-0.11644101330991158,0.5645985825490939,0,99,0,0.6513157894736842,0.5127892971430967,1.0,,0.5572063436737599,0,115,0,0.756578947368421,0.87743946400041,0.9989065062875899,0.6165297250879568,5.8092250493784134e-05,0,27,0,0.17763157894736842,-1.1281364537148129,0.14285714285714282,-1.0108292793179483,0.01326660932572247,0.013162353063830757,0,44,0,0.2894736842105263,-0.7406956514289175,0.9236789743475182,-0.43263284946665936,0.00010425626189172876,0,29,0,0.19078947368421054,-1.0825551828576487,0.1426300131437361,-1.010524148986835,0,38,0,0.25,-0.87743946400041,0.8915626961950762,-0.6169200171923489
Atribacterota,saline water,hypersaline water,0.0002151937332777,2.151937332777068e-06,0,2.3445454350542536e-06,-0.08854704466057293,0,2.344545435054179e-06,-0.08854704466057307,0.008329774117765257,0,132,0,0.868421052631579,1.2648802662863052,0.6702766728025684,1.0586877996459096,26,0,132,0,0.868421052631579,1.2648802662863052,0.8387096774193549,1.2011685945988277,0.17105263157894737,0,132,0,0.868421052631579,1.2648802662863052,0.8387096774193549,1.2011685945988289,14.12230215827338,0,135,0,0.8881578947368421,1.3332521725720514,0.8175910884195868,1.211144611350663,0.09290988262021961,0,135,0,0.8881578947368421,1.3332521725720514,0.8175910884195868,1.211144611350663,0.007900546067154512,0,140,0,0.9210526315789473,1.447205349714962,0.9543859649123818,1.2313227467245154,0.007900546067154512,0,140,0,0.9210526315789473,1.447205349714962,0.9543859649123818,1.2313227467245154,0.007682700127802951,0,135,0,0.8881578947368421,1.3332521725720514,0.968864468864469,1.1485414264866458,0.0002178459393516905,0,130,0,0.8552631578947368,1.219298995429141,0.5357142857142856,1.1476720680889603,o,0.0,0,0.0,-0.08399710346821104,0.375,0,0.375,-0.21614771412064296,0.0001592243376065,0,6.35233087582197e-05,-0.13861998290499808,0.0006368973504262,0,6.352330875823966e-05,-0.13861998290499794,0.5645985825490939,0,100,0,0.6578947368421053,0.5355799325716788,1.0,,0.5566980364819394,0,12,0,0.07894736842105263,-1.469995985143544,0.9979952615272475,-1.2313227467245376,0.0002178459393516905,0,130,0,0.8552631578947368,1.219298995429141,0.5357142857142856,1.1476720680889603,0.014191797975581373,0.013800480016696082,0,135,0,0.8881578947368421,1.3332521725720514,0.9684600591936503,1.1507591243835265,0.0003913179588855222,0,134,0,0.881578947368421,1.3104615371434694,0.5353509190381786,1.14800642590272,0,140,0,0.9210526315789473,1.447205349714962,0.9537386197415673,1.2317462425229988
Bacillota,saline water,hypersaline water,0.2756562496577428,0.0027565624965774,0,0.00300328727949153,-0.051462887587645716,0,0.00300328727949156,-0.05146288758764547,0.006302172514473253,0,93,0,0.6118421052631579,0.37604548457160425,0.5071205010733487,0.14829911244008598,23,0,97,0,0.6381578947368421,0.46720802628593255,0.7419354838709677,0.4186930529744484,0.1513157894736842,0,97,0,0.6381578947368421,0.46720802628593255,0.7419354838709677,0.4186930529744494,12.228873239436618,0,97,0,0.6381578947368421,0.46720802628593255,0.7079736483416628,0.3856605743425761,0.08045311341734618,0,97,0,0.6381578947368421,0.46720802628593255,0.7079736483416629,0.38566057434257606,0.007610084814685614,0,89,0,0.5855263157894737,0.28488294285727594,0.9192982456141345,0.1754070485457743,0.007610084814685614,0,89,0,0.5855263157894737,0.28488294285727594,0.9192982456141345,0.1754070485457743,0.007508423376321599,0,96,0,0.631578947368421,0.4444173908573505,0.946886446886447,0.3597840613090731,0.00010166143836412224,0,57,0,0.375,-0.4444173908573505,0.24999999999999997,-0.4221470936615186,D,0.09441719152567,0,0.0009912081091538049,-0.07173623590897563,0.9375,1,0.9375,1.823094168065838,0.0959147785646675,0,0.03826565828332841,0.20767614274302215,0.3836591142586701,0,0.038265658283328424,0.20767614274302218,0.5645985825490939,0,101,0,0.6644736842105263,0.5583705680002609,1.0,,0.5569884977344083,0,64,0,0.42105263157894735,-0.28488294285727594,0.9985159728188718,-0.17540704854579636,0.00010166143836412224,0,57,0,0.375,-0.4444173908573505,0.24999999999999997,-0.4221470936615186,0.013662911973299618,0.0134803921568626,0,96,0,0.631578947368421,0.4444173908573505,0.9459976298211596,0.35652132278077464,0.00018251981643721123,0,65,0,0.4276315789473684,-0.2620923074286939,0.24970014601585355,-0.4220294903294913,0,89,0,0.5855263157894737,0.28488294285727594,0.9181956246478696,0.17495235751032998
Bacteroidota,saline water,hypersaline water,4.761383487113433,0.0476138348711343,0,0.05187548795785944,0.5524754501514271,0,0.051875487957859456,0.5524754501514271,0.009034894158432186,0,139,0,0.9144736842105263,1.42441471428638,0.727015968262772,1.3752851563963886,26,0,134,0,0.881578947368421,1.3104615371434694,0.8387096774193549,1.2011685945988277,0.17105263157894737,0,134,0,0.881578947368421,1.3104615371434694,0.8387096774193549,1.2011685945988289,13.971530249110321,0,129,0,0.8486842105263158,1.196508360000559,0.8088623579382391,1.145412117775039,0.09191796216519948,0,129,0,0.8486842105263158,1.196508360000559,0.8088623579382391,1.1454121177750387,0.007886023004531117,0,138,0,0.9078947368421053,1.4016240788577976,0.9526315789474755,1.17852696181576,0.007886023004531117,0,138,0,0.9078947368421053,1.4016240788577976,0.9526315789474755,1.17852696181576,0.007639130939932612,0,125,0,0.8223684210526315,1.1053458182862308,0.9633699633699633,0.9513520851922468,0.0002468920645985826,0,142,0,0.9342105263157895,1.492786620572126,0.6071428571428571,1.5401268585265804,D,1.1201258719730205,0,0.011759276352450856,0.06146067539614324,1.0,1,1.0,2.0496765994198913,2.317745625166645,1,0.92467566945911,8.242838387212451,9.270982500666582,1,0.9246756694591103,8.242838387212453,0.5645985825490939,0,102,0,0.6710526315789473,0.5811612034288429,1.0,,0.5567125595445628,0,15,0,0.09868421052631579,-1.4016240788577976,0.9980212970918286,-1.178526961815782,0.0002468920645985826,0,142,0,0.9342105263157895,1.492786620572126,0.6071428571428571,1.5401268585265804,0.01416534056817856,0.013721858450942901,0,126,0,0.8289473684210527,1.1281364537148129,0.9629427260189269,0.9556745011339661,0.00044348211723579733,0,142,0,0.9342105263157895,1.492786620572126,0.6067152136726665,1.5402493893200357,0,138,0,0.9078947368421053,1.4016240788577976,0.9519605891310896,1.1788803579354787
Balneolota,saline water,hypersaline water,0.0003721462500331,3.721462500331308e-06,0,4.054550187861463e-06,-0.08852591327271642,0,4.054550187861126e-06,-0.08852591327271656,0.004578280001047961,0,47,0,0.3092105263157895,-0.6723237451431713,0.36840306146071733,-0.6257248573738604,18,0,31,0,0.20394736842105263,-1.0369739120004844,0.5806451612903226,-0.8854328497328503,0.11842105263157894,0,31,0,0.20394736842105263,-1.0369739120004844,0.5806451612903225,-0.8854328497328493,9.37241379310345,0,29,0,0.19078947368421054,-1.0825551828576487,0.542602892102336,-0.8596788476187276,0.06166061705989111,0,29,0,0.19078947368421054,-1.0825551828576487,0.5426028921023359,-0.8596788476187285,0.007464854188450998,0,51,0,0.3355263157894737,-0.5811612034288429,0.9017543859649908,-0.3525508005442017,0.007464854188450998,0,51,0,0.3355263157894737,-0.5811612034288429,0.9017543859649908,-0.3525508005442017,0.007276054374346462,0,30,0,0.19736842105263158,-1.0597645474290665,0.9175824175824177,-0.6918924255943598,0.00018879981410479843,0,117,0,0.7697368421052632,0.9230207348575741,0.4642857142857142,0.7552172776513407,s,9.477082374961691e-05,0,9.949206017875112e-07,-0.08398479667852901,0.5625,0,0.5625,0.46359957994151724,0.0001576747252897,0,6.290508353501985e-05,-0.1386255870158603,0.0006306989011591,0,6.290508353504978e-05,-0.1386255870158601,0.5645985825490939,0,103,0,0.6776315789473685,0.603951838857425,1.0,,0.5571337283606429,0,102,0,0.6710526315789473,0.5811612034288429,0.9987763284646843,0.3525508005441796,0.00018879981410479843,0,117,0,0.7697368421052632,0.9230207348575741,0.4642857142857142,0.7552172776513407,0.013398675772899644,0.013059798759188635,0,31,0,0.20394736842105263,-1.0369739120004844,0.9164821414964787,-0.6871020614706114,0.00033887701371148156,0,116,0,0.7631578947368421,0.900230099428992,0.4636079602582919,0.7536821927511234,0,51,0,0.3355263157894737,-0.5811612034288429,0.9004380248364262,-0.3530313659706176
Bdellovibrionota,saline water,hypersaline water,0.0051572921504051,5.15729215040518e-05,0,5.618893071049403e-05,-0.08788166253968505,0,5.6188930710493136e-05,-0.08788166253968518,0.006619197607809545,0,99,0,0.6513157894736842,0.5127892971430967,0.5326307396166937,0.2906426862788199,22,0,91,0,0.5986842105263158,0.3304642137144401,0.7096774193548387,0.15786787243298864,0.14473684210526316,0,91,0,0.5986842105263158,0.3304642137144401,0.7096774193548387,0.15786787243299003,11.574912891986063,0,87,0,0.5723684210526315,0.2393016720001118,0.6701135214117119,0.10055146763877376,0.07615074271043462,0,87,0,0.5723684210526315,0.2393016720001118,0.6701135214117118,0.10055146763877303,0.007610084814685836,0,92,0,0.6052631578947368,0.3532548491430222,0.9192982456141614,0.1754070485465815,0.007610084814685836,0,92,0,0.6052631578947368,0.3532548491430222,0.9192982456141614,0.1754070485465815,0.007435808063204369,0,80,0,0.5263157894736842,0.07976722400003727,0.9377289377289378,0.031135159151751766,0.0001742767514813524,0,111,0,0.7302631578947368,0.7862769222860816,0.4285714285714285,0.5589898824325307,D,0.001309099331269,0,1.3743152617379741e-05,-0.08382710589400647,0.75,0,0.75,1.1433468740036774,0.0028931519421266,0,0.0011542367634672982,-0.1287328432514329,0.0115726077685066,0,0.0011542367634673183,-0.1287328432514328,0.5645985825490939,0,104,0,0.6842105263157895,0.6267424742860072,1.0,,0.5569884977344081,0,62,0,0.40789473684210525,-0.3304642137144401,0.9985159728188714,-0.17540704854660358,0.0001742767514813524,0,111,0,0.7302631578947368,0.7862769222860816,0.4285714285714285,0.5589898824325307,0.013662911973300022,0.013350020859407454,0,81,0,0.5328947368421053,0.10255785942861935,0.9368487165733732,0.03302947670844663,0.00031289111389236216,0,109,0,0.7171052631578947,0.7406956514289175,0.4280573931700347,0.5582839217069758,0,92,0,0.6052631578947368,0.3532548491430222,0.9181956246478968,0.1749523575111376
Caldisericota,saline water,hypersaline water,1.3794917908098951e-05,1.3794917908098937e-07,0,1.5029625312853905e-07,-0.08857416010013006,0,1.5029625312853916e-07,-0.08857416010013018,0.008293975286739573,0,130,0,0.8552631578947368,1.219298995429141,0.6673960279002125,1.04261420277754,26,0,129,0,0.8486842105263158,1.196508360000559,0.8387096774193549,1.2011685945988277,0.17105263157894737,0,129,0,0.8486842105263158,1.196508360000559,0.8387096774193549,1.2011685945988289,14.07168458781362,0,132,0,0.868421052631579,1.2648802662863052,0.8146606544109145,1.189076713268524,0.0925768722882475,0,132,0,0.868421052631579,1.2648802662863052,0.8146606544109145,1.1890767132685238,0.0078424538166606,0,125,0,0.8223684210526315,1.1053458182862308,0.9473684210527162,1.0201396070882829,0.0078424538166606,0,125,0,0.8223684210526315,1.1053458182862308,0.9473684210527162,1.0201396070882829,0.007668177065179505,0,132,0,0.868421052631579,1.2648802662863052,0.967032967032967,1.0828116460551809,0.0001742767514813524,0,108,0,0.7105263157894737,0.7179050160003354,0.4285714285714285,0.5589898824325307,o,0.0,0,0.0,-0.08399710346821104,0.0625,0,0.0625,-1.3490598708909098,1.3794917908098951e-05,0,5.503548281269099e-06,-0.13914592257506017,5.5179671632395805e-05,0,5.5035482812691e-06,-0.13914592257506025,0.5645985825490939,0,105,0,0.6907894736842105,0.6495331097145892,1.0,,0.5567561287324333,0,28,0,0.18421052631578946,-1.1053458182862308,0.9980994037855726,-1.020139607088305,0.0001742767514813524,0,108,0,0.7105263157894737,0.7179050160003354,0.4285714285714285,0.5589898824325307,0.014085976627712235,0.013772954924874637,0,132,0,0.868421052631579,1.2648802662863052,0.9665284631895651,1.0824607877063677,0.00031302170283805997,0,113,0,0.743421052631579,0.8318581931432458,0.4282360481755312,0.5592658717023365,0,125,0,0.8223684210526315,1.1053458182862308,0.9466270538617853,1.0202992523409296
