id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.001240229068147574,-2.9064980939952374,0.12402290681475751,0.20086051860653334,0.050215129651633335,0.018464267109445005,1.0
1,Actinomycetota,0.01960193550353595,-1.70770104410248,1.9601935503535968,1.5651324512931197,0.39128311282327993,1.6066893313686506,1.0
2,Aquificota,8.691560248577608e-06,-5.0609022550214915,0.0008691560248577617,0.0023693684352534233,0.0005923421088133558,1.5010665077537599e-05,0.5
3,Armatimonadota,8.455114479130497e-05,-4.072880507839381,0.008455114479130502,0.02516803551188805,0.006292008877972013,0.0005103502774863421,0.6875
4,Atribacterota,2.1519373327770676e-06,-5.667170380043471,0.00021519373327770703,0.0006368973504262088,0.0001592243376065522,0.0,0.375
5,Bacillota,0.002756562496577425,-2.5596321567812907,0.2756562496577428,0.3836591142586701,0.09591477856466753,0.09441719152567003,0.9375
6,Bacteroidota,0.0476138348711343,-1.3222668385569638,4.761383487113433,9.270982500666582,2.3177456251666455,1.1201258719730205,1.0
7,Balneolota,3.7214625003313082e-06,-5.429286352859464,0.00037214625003313104,0.000630698901159146,0.0001576747252897865,9.477082374961691e-05,0.5625
8,Bdellovibrionota,5.15729215040518e-05,-4.287578265972565,0.005157292150405186,0.011572607768506611,0.002893151942126653,0.0013090993312690404,0.75
9,Caldisericota,1.3794917908098937e-07,-6.860280879611452,1.3794917908098951e-05,5.5179671632395805e-05,1.3794917908098951e-05,0.0,0.0625
10,Calditrichota,3.240268658894673e-06,-5.489418979843283,0.0003240268658894677,0.0009421381404849151,0.00023553453512122877,0.0,0.1875
11,Campylobacterota,0.0001921710551191701,-3.7163120253494233,0.019217105511917028,0.04817684844279528,0.01204421211069882,0.00500589950661934,0.875
12,Candidatus.Abawacabacteria,1.6553901489718686e-07,-6.781099633563828,1.6553901489718702e-05,6.621560595887481e-05,1.6553901489718702e-05,0.0,0.0625
13,Candidatus.Absconditabacteria,1.3621698181944562e-06,-5.865768746676238,0.00013621698181944577,0.00039267723558680947,9.816930889670237e-05,0.0,0.1875
14,Candidatus.Adlerbacteria,1.4675985609905024e-07,-6.833392722750235,1.4675985609905039e-05,5.505713001416658e-05,1.3764282503541645e-05,0.0,0.125
15,Candidatus.Aenigmarchaeota,3.310780297943737e-07,-6.480069637899847,3.3107802979437404e-05,0.00013243121191774962,3.3107802979437404e-05,0.0,0.0625
16,Candidatus.Altiarchaeota,3.310780297943737e-07,-6.480069637899847,3.3107802979437404e-05,0.00013243121191774962,3.3107802979437404e-05,0.0,0.0625
17,Candidatus.Amesbacteria,4.309063256269468e-06,-5.365617130500369,0.0004309063256269473,0.0011999246597863187,0.00029998116494657967,0.0,0.3125
18,Candidatus.Aminicenantes,5.815676026180364e-05,-4.235399794714539,0.005815676026180372,0.009971999628558546,0.0024929999071396365,0.0005044955481743927,0.8125
19,Candidatus.Andersenbacteria,2.0998738458849867e-06,-5.677806795590717,0.00020998738458849893,0.0004691804543914663,0.00011729511359786658,0.0,0.4375
20,Candidatus.Azambacteria,7.920010037178298e-06,-5.101274268020559,0.0007920010037178303,0.002117357625635383,0.0005293394064088458,1.4609015983432207e-05,0.5
21,Candidatus.Bathyarchaeota,1.268817640440868e-06,-5.896600791964625,0.00012688176404408697,0.00030613314256862275,7.653328564215569e-05,0.0,0.4375
22,Candidatus.Beckwithbacteria,2.2834350823458093e-06,-5.641411330796528,0.00022834350823458126,0.0006202999472623326,0.00015507498681558316,0.0,0.1875
23,Candidatus.Berkelbacteria,3.051519580395717e-06,-5.515483839002314,0.0003051519580395721,0.0008399091999326948,0.0002099772999831737,0.0,0.25
24,Candidatus.Bipolaricaulota,2.905550739154428e-07,-6.536771536145917,2.9055507391544333e-05,0.00010502918435534956,2.625729608883739e-05,0.0,0.125
25,Candidatus.Blackallbacteria,2.1256040761300555e-06,-5.6725176257792365,0.00021256040761300578,0.0006039101605469414,0.00015097754013673536,0.0,0.4375
26,Candidatus.Blackburnbacteria,3.2021772226477206e-07,-6.494554635974467,3.202177222647723e-05,0.00010986435500517222,2.7466088751293055e-05,0.0,0.1875
27,Candidatus.Brennerbacteria,1.314826190496225e-06,-5.881131653636121,0.00013148261904962272,0.0005259304761984908,0.0001314826190496227,0.0,0.0625
28,Candidatus.Buchananbacteria,3.1129962658138513e-06,-5.506821400273929,0.00031129962658138553,0.0008452985230905756,0.0002113246307726439,0.0,0.1875
29,Candidatus.Calescamantes,1.0660351150516405e-06,-5.972228489472688,0.00010660351150516416,0.00041895463501056326,0.00010473865875264081,0.0,0.125
30,Candidatus.Campbellbacteria,1.7167152407603565e-06,-5.765301737234353,0.00017167152407603585,0.00045433536025061926,0.00011358384006265481,0.0,0.25
31,Candidatus.Chisholmbacteria,7.735771219294729e-07,-6.111496382728969,7.735771219294737e-05,0.00017990816360107127,4.497704090026782e-05,0.0,0.3125
32,Candidatus.Cloacimonetes,4.836839246288276e-07,-6.315438346270856,4.8368392462882825e-05,0.00013274252336777477,3.3185630841943694e-05,0.0,0.125
33,Candidatus.Coatesbacteria,2.1994245323052907e-06,-5.657690935149117,0.00021994245323052943,0.0007407021938856808,0.0001851755484714202,0.0,0.125
34,Candidatus.Collierbacteria,2.389030197530426e-06,-5.621778360698868,0.00023890301975304295,0.0006002332002496449,0.00015005830006241123,0.0,0.375
35,Candidatus.Colwellbacteria,1.1164725192754955e-06,-5.9521519621347645,0.00011164725192754967,0.00032880502389381525,8.220125597345381e-05,0.0,0.25
36,Candidatus.Curtissbacteria,2.532569577423705e-06,-5.596438614407525,0.0002532569577423708,0.0006107900673351755,0.00015269751683379387,0.0,0.4375
37,Candidatus.Dadabacteria,8.169895444693474e-06,-5.087783501372509,0.0008169895444693482,0.0020598021229796255,0.0005149505307449064,0.0,0.375
38,Candidatus.Daviesbacteria,2.326526285326434e-06,-5.633292036400545,0.00023265262853264362,0.0006224913086637198,0.00015562282716592994,0.0,0.3125
39,Candidatus.Desantisbacteria,9.434259128799791e-07,-6.025292199251828,9.434259128799803e-05,0.0002559067692888337,6.397669232220843e-05,0.0,0.375
40,Candidatus.Diapherotrites,8.687838212935821e-07,-6.0610882752187925,8.687838212935831e-05,0.0002473070965440897,6.182677413602243e-05,0.0,0.1875
41,Candidatus.Doudnabacteria,2.615016550278295e-06,-5.582525558165046,0.00026150165502782975,0.0006397527855948457,0.00015993819639871143,0.0,0.375
42,Candidatus.Edwardsbacteria,1.3695446954660153e-06,-5.8634237898594455,0.00013695446954660174,0.0004159716201454371,0.00010399290503635928,8.8787000872776e-06,0.5
43,Candidatus.Eisenbacteria,4.4266077099368725e-05,-4.353928963893898,0.004426607709936879,0.012405472727319362,0.0031013681818298404,0.00015563796868339053,0.75
44,Candidatus.Falkowbacteria,7.595278413754112e-06,-5.119456301940635,0.000759527841375412,0.0018965136498324923,0.0004741284124581231,8.8787000872776e-06,0.5
45,Candidatus.Firestonebacteria,2.2831835223946104e-06,-5.641459178496649,0.00022831835223946132,0.0007703488897587112,0.0001925872224396778,0.0,0.25
46,Candidatus.Fischerbacteria,6.051416430027157e-07,-6.218142959934864,6.0514164300271654e-05,0.00016316824615797754,4.0792061539494385e-05,0.0,0.1875
47,Candidatus.Fraserbacteria,1.3715900694100584e-06,-5.8627756679257335,0.00013715900694100596,0.00022360752828158223,5.590188207039556e-05,2.165755759788091e-05,0.5625
48,Candidatus.Giovannonibacteria,1.2272611683727786e-06,-5.911063007025526,0.000122726116837278,0.00028240427969011145,7.060106992252786e-05,0.0,0.4375
49,Candidatus.Glassbacteria,6.296125155548262e-05,-4.200926647576604,0.0062961251555482675,0.013823544153159261,0.0034558860382898154,1.4097083228897453e-05,0.5
50,Candidatus.Gottesmanbacteria,6.937691340844041e-06,-5.158785025905044,0.0006937691340844047,0.0018513527895011165,0.00046283819737527913,2.1145624843346154e-05,0.5
51,Candidatus.Gracilibacteria,1.2233292438594844e-06,-5.9124566422704845,0.0001223329243859486,0.0003260134074197726,8.150335185494315e-05,0.0,0.1875
52,Candidatus.Gribaldobacteria,3.4573474554783875e-07,-6.461256972666368,3.457347455478393e-05,0.00010814763295722414,2.7036908239306036e-05,0.0,0.125
53,Candidatus.Handelsmanbacteria,6.805160403253244e-05,-4.167161633660241,0.00680516040325325,0.014127414438608743,0.0035318536096521857,0.00018002620600360059,0.6875
54,Candidatus.Harrisonbacteria,4.798224270543865e-06,-5.318919456830177,0.00047982242705438705,0.0009407978129392569,0.00023519945323481422,4.164676533937044e-05,0.5625
55,Candidatus.Heimdallarchaeota,3.4654091698896146e-06,-5.460245479743648,0.00034654091698896187,0.0009681693638159705,0.00024204234095399262,0.0,0.25
56,Candidatus.Hydrogenedentes,8.276950744859375e-08,-7.082129629227808,8.276950744859383e-06,3.310780297943754e-05,8.276950744859385e-06,0.0,0.0625
57,Candidatus.Jorgensenbacteria,2.3921420865655583e-06,-5.621213028037007,0.00023921420865655613,0.0007545641831517627,0.00018864104578794068,0.0,0.25
58,Candidatus.Kaiserbacteria,1.4311794806730806e-05,-4.844305899029795,0.001431179480673082,0.0028704148658301176,0.0007176037164575294,0.00010123787588439261,0.625
59,Candidatus.Kerfeldbacteria,2.3563266380268983e-05,-4.62776450706831,0.002356326638026901,0.006342723342237754,0.0015856808355594386,0.0,0.4375
60,Candidatus.Komeilibacteria,1.987214858002775e-05,-4.701755174359545,0.0019872148580027775,0.006217164469965056,0.001554291117491264,1.7757400174555246e-05,0.5
61,Candidatus.Korarchaeota,2.7589835816197813e-08,-7.559250883947471,2.758983581619784e-06,1.1035934326479136e-05,2.758983581619784e-06,0.0,0.0625
62,Candidatus.Kuenenbacteria,1.213841626649802e-06,-5.915837973193941,0.00012138416266498038,0.0003460493837929872,8.65123459482468e-05,0.0,0.1875
63,Candidatus.Levybacteria,7.950051362053752e-06,-5.099630065534162,0.0007950051362053759,0.0020059411332958034,0.0005014852833239509,2.1316640793001808e-05,0.5
64,Candidatus.Lindowbacteria,4.106849898094504e-06,-5.386491169953885,0.000410684989809451,0.0011881464691509485,0.00029703661728773713,0.0,0.375
65,Candidatus.Liptonbacteria,1.0856650913612523e-06,-5.9643041263177725,0.00010856650913612538,0.00028591576079923576,7.147894019980894e-05,0.0,0.1875
66,Candidatus.Lloydbacteria,9.861049558048616e-07,-6.006076858587115,9.861049558048628e-05,0.0002661240013774116,6.65310003443529e-05,0.0,0.25
67,Candidatus.Lokiarchaeota,2.1467315293190575e-06,-5.668222265123928,0.00021467315293190599,0.0006815358043381135,0.00017038395108452838,0.0,0.375
68,Candidatus.Magasanikbacteria,1.5046623515597465e-05,-4.822560945456305,0.001504662351559748,0.004392308795031801,0.0010980771987579502,7.105546931000603e-06,0.5
69,Candidatus.Margulisbacteria,4.939038322334028e-06,-5.306357604104977,0.0004939038322334034,0.0013528688853528656,0.0003382172213382164,3.71268770860758e-05,0.5625
70,Candidatus.Marinimicrobia,5.587284874322434e-06,-5.252799185057908,0.0005587284874322441,0.0016657772029364068,0.0004164443007341017,0.0,0.375
71,Candidatus.Melainabacteria,4.866586032753055e-06,-5.312775594651769,0.00048665860327530607,0.0014286347074369693,0.0003571586768592423,0.0,0.375
72,Candidatus.Micrarchaeota,1.3975956979448188e-06,-5.854618444860916,0.0001397595697944821,0.0005247640791196063,0.00013119101977990158,0.0,0.125
73,Candidatus.Microgenomates,3.563522560865417e-07,-6.448120487315086,3.56352256086542e-05,0.0001218264626635664,3.04566156658916e-05,0.0,0.125
74,Candidatus.Moranbacteria,5.3465232803132075e-06,-5.2719285377921725,0.0005346523280313214,0.0013743892740117642,0.00034359731850294105,2.910774830643505e-05,0.5625
75,Candidatus.Nealsonbacteria,1.2259021383578775e-06,-5.911544197409365,0.00012259021383578787,0.00043888771891286506,0.00010972192972821626,0.0,0.3125
76,Candidatus.Niyogibacteria,8.773563704394859e-07,-6.05682396617965,8.77356370439487e-05,0.00022896050169991618,5.7240125424979045e-05,0.0,0.3125
77,Candidatus.Nomurabacteria,9.5045310302318e-06,-5.022069307100186,0.000950453103023181,0.002638398567472041,0.0006595996418680102,3.552773465500296e-05,0.5
78,Candidatus.Omnitrophica,8.1642040362141e-05,-4.088086150122723,0.008164204036214111,0.015700036630291472,0.003925009157572868,0.0008773617453928721,0.75
79,Candidatus.Pacebacteria,1.6410610962749657e-06,-5.784875249976063,0.00016410610962749677,0.0004544171678984088,0.0001136042919746022,0.0,0.25
80,Candidatus.Parcubacteria,8.276950744859375e-08,-7.082129629227808,8.276950744859383e-06,3.310780297943754e-05,8.276950744859385e-06,0.0,0.0625
81,Candidatus.Peregrinibacteria,1.890922509427321e-05,-4.723326268308675,0.0018909225094273232,0.003764844516458719,0.0009412111291146797,0.0002148670450461021,0.625
82,Candidatus.Portnoybacteria,1.3666140999416365e-06,-5.864354102788468,0.0001366614099941638,0.0004353721771286898,0.00010884304428217245,0.0,0.25
83,Candidatus.Ratteibacteria,1.6027659063320026e-05,-4.795129904353488,0.0016027659063320048,0.006194482255466505,0.0015486205638666263,0.0,0.1875
84,Candidatus.Raymondbacteria,1.7616840641173168e-06,-5.754071974194756,0.0001761684064117319,0.0004742800461110706,0.00011857001152776764,0.0,0.1875
85,Candidatus.Riflebacteria,2.3969141727000876e-06,-5.620347516650572,0.00023969141727000907,0.0005850928425967381,0.00014627321064918452,0.0,0.25
86,Candidatus.Roizmanbacteria,9.845174657189464e-06,-5.00677657490618,0.0009845174657189474,0.002399393975827212,0.000599848493956803,8.672494583021864e-05,0.625
87,Candidatus.Rokubacteria,0.0001740753413383949,-3.759262744558322,0.01740753413383951,0.026811922819749416,0.006702980704937354,0.005422891520294369,0.9375
88,Candidatus.Ryanbacteria,1.7787791164302414e-06,-5.749877977982013,0.0001778779116430243,0.0005288578407801205,0.00013221446019503013,0.0,0.3125
89,Candidatus.Saccharibacteria,5.003627758446165e-06,-5.30071500682554,0.0005003627758446169,0.001281389527107827,0.00032034738177695674,0.0,0.375
90,Candidatus.Schekmanbacteria,3.993451022411519e-06,-5.398651637593561,0.0003993451022411524,0.001007235064701125,0.00025180876617528127,0.0,0.3125
91,Candidatus.Shapirobacteria,1.8049839231700235e-06,-5.743526661963109,0.00018049839231700258,0.0005143126875353491,0.00012857817188383728,0.0,0.25
92,Candidatus.Spechtbacteria,4.2850425299643185e-07,-6.368044863253699,4.285042529964325e-05,0.00012049879515155563,3.0124698787888907e-05,0.0,0.125
93,Candidatus.Staskawiczbacteria,2.07436304587441e-06,-5.683115232989467,0.0002074363045874412,0.0006167065260857293,0.00015417663152143233,0.0,0.3125
94,Candidatus.Sumerlaeota,8.436287537569763e-07,-6.0738486264370835,8.436287537569777e-05,0.0003143631985706137,7.859079964265342e-05,0.0,0.25
95,Candidatus.Sungbacteria,2.9579344816766244e-06,-5.529011449866318,0.0002957934481676628,0.0007539637120454924,0.0001884909280113731,0.0,0.375
