#OTU ID	mgm4573676	mgm4573677
Pseudomonadota	0.921760215965694	0.827177119404899
Actinomycetota	0.0119569502012733	0.0673656534564576
Chloroflexota	0.0001911200831372	0.0007695267410542
Bacillota	0.0045868819952936	0.0105168654610748
Cyanobacteriota	0.0011825555144116	0.0027895344363216
Candidatus.Margulisbacteria	0.0	6.41272284211876e-05
Deinococcota	0.0002150100935293	0.0005771450557906
Armatimonadota	2.38900103921545e-05	9.61908426317815e-05
Mycoplasmatota	9.55600415686181e-05	0.0003206361421059
Thermomicrobiota	1.19450051960773e-05	0.0
Candidatus.Kaiserbacteria	2.38900103921545e-05	6.41272284211876e-05
Candidatus.Nomurabacteria	1.19450051960773e-05	3.20636142105938e-05
Candidatus.Yanofskybacteria	1.19450051960773e-05	0.0
Candidatus.Azambacteria	1.19450051960773e-05	0.0
Candidatus.Falkowbacteria	0.0	3.20636142105938e-05
Candidatus.Magasanikbacteria	9.55600415686181e-05	6.41272284211876e-05
Candidatus.Nealsonbacteria	2.38900103921545e-05	0.0
Candidatus.Uhrbacteria	0.0	6.41272284211876e-05
Candidatus.Giovannonibacteria	1.19450051960773e-05	0.0
Candidatus.Moranbacteria	2.38900103921545e-05	3.20636142105938e-05
Candidatus.Zambryskibacteria	1.19450051960773e-05	3.20636142105938e-05
Candidatus.Staskawiczbacteria	2.38900103921545e-05	0.0
Candidatus.Wolfebacteria	1.19450051960773e-05	0.0
Candidatus.Harrisonbacteria	1.19450051960773e-05	0.0
Candidatus.Taylorbacteria	0.0	3.20636142105938e-05
Candidatus.Buchananbacteria	2.38900103921545e-05	3.20636142105938e-05
Candidatus.Portnoybacteria	1.19450051960773e-05	0.0
Candidatus.Sungbacteria	2.38900103921545e-05	0.0
Candidatus.Wildermuthbacteria	0.0	3.20636142105938e-05
Candidatus.Komeilibacteria	1.19450051960773e-05	6.41272284211876e-05
Candidatus.Kuenenbacteria	1.19450051960773e-05	0.0
Candidatus.Lloydbacteria	0.0	3.20636142105938e-05
Candidatus.Kerfeldbacteria	2.38900103921545e-05	0.0
Candidatus.Yonathbacteria	1.19450051960773e-05	3.20636142105938e-05
Candidatus.Campbellbacteria	1.19450051960773e-05	0.0
Candidatus.Woesebacteria	0.0	6.41272284211876e-05
Candidatus.Gottesmanbacteria	1.19450051960773e-05	0.0
Candidatus.Roizmanbacteria	2.38900103921545e-05	3.20636142105938e-05
Candidatus.Levybacteria	3.58350155882318e-05	3.20636142105938e-05
Candidatus.Daviesbacteria	1.19450051960773e-05	3.20636142105938e-05
Candidatus.Curtissbacteria	1.19450051960773e-05	0.0
Candidatus.Beckwithbacteria	3.58350155882318e-05	3.20636142105938e-05
Candidatus.Amesbacteria	1.19450051960773e-05	0.0
Candidatus.Chisholmbacteria	1.19450051960773e-05	6.41272284211876e-05
Candidatus.Collierbacteria	1.19450051960773e-05	9.61908426317815e-05
Candidatus.Microgenomates	0.0	3.20636142105938e-05
candidate.division.NC10	3.58350155882318e-05	6.41272284211876e-05
Candidatus.Rokubacteria	5.97250259803863e-05	0.0001603180710529
Candidatus.Schekmanbacteria	1.19450051960773e-05	3.20636142105938e-05
Candidatus.Aminicenantes	0.0	6.41272284211876e-05
candidate.division.WWE3	3.58350155882318e-05	3.20636142105938e-05
Candidatus.Peregrinibacteria	3.58350155882318e-05	6.41272284211876e-05
Candidatus.Saccharibacteria	1.19450051960773e-05	6.41272284211876e-05
Candidatus.Eisenbacteria	1.19450051960773e-05	0.0
Candidatus.Edwardsbacteria	0.0	3.20636142105938e-05
Candidatus.Dadabacteria	1.19450051960773e-05	0.0
Candidatus.Firestonebacteria	0.0	3.20636142105938e-05
Candidatus.Raymondbacteria	0.0	3.20636142105938e-05
Candidatus.Riflebacteria	0.0	3.20636142105938e-05
Candidatus.Blackallbacteria	0.0	3.20636142105938e-05
Candidatus.Wirthbacteria	1.19450051960773e-05	0.0
Candidatus.Abawacabacteria	1.19450051960773e-05	3.20636142105938e-05
Planctomycetota	0.0041688068134309	0.0175708605874054
Candidatus.Omnitrophica	5.97250259803863e-05	0.0003847633705271
Verrucomicrobiota	0.0002389001039215	0.0009939720405284
Lentisphaerota	2.38900103921545e-05	0.0003206361421059
Chlamydiota	0.0002150100935293	0.0001603180710529
Kiritimatiellota	1.19450051960773e-05	6.41272284211876e-05
Thermodesulfobacteriota	0.0007525353273528	0.0025650891368475
Nitrospirota	5.97250259803863e-05	0.0003206361421059
Campylobacterota	0.0005255802286273	0.0009298448121072
Bacteroidota	0.0506946020521519	0.0575862511222265
Ignavibacteriota	7.16700311764636e-05	0.0002885725278953
Chlorobiota	0.0001194500519607	0.0001282544568423
Balneolota	1.19450051960773e-05	0.0
Gemmatimonadota	0.0001194500519607	6.41272284211876e-05
candidate.division.Zixibacteria	2.38900103921545e-05	9.61908426317815e-05
Candidatus.Marinimicrobia	1.19450051960773e-05	0.0
Elusimicrobiota	0.0001313950571568	0.0003526997563165
Acidobacteriota	0.0002986251299019	0.0009619084263178
Myxococcota	0.0002986251299019	0.0024047710657945
Nitrospinota	0.0	0.0001282544568423
Spirochaetota	0.000155285067549	0.00054508144158
Bdellovibrionota	0.0004419651922548	0.0004168269847377
Synergistota	2.38900103921545e-05	6.41272284211876e-05
Caldisericota	0.0	3.20636142105938e-05
Fusobacteriota	8.36150363725408e-05	0.0002244452994741
Thermotogota	7.16700311764636e-05	6.41272284211876e-05
Chrysiogenota	1.19450051960773e-05	0.0
Aquificota	0.0	6.41272284211876e-05
Deferribacterota	2.38900103921545e-05	6.41272284211876e-05
Coprothermobacterota	0.0	3.20636142105938e-05
Nitrososphaerota	4.7780020784309e-05	9.61908426317815e-05
Thermoproteota	1.19450051960773e-05	3.20636142105938e-05
Euryarchaeota	0.0004300201870587	0.001731435167372
Candidatus.Woesearchaeota	1.19450051960773e-05	0.0
Candidatus.Heimdallarchaeota	1.19450051960773e-05	3.20636142105938e-05
