Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,saline water,polar seawater,0.0789162902677468,0.0007891629026774,0,0.0011676050258879024,-0.1354079342596449,0,0.0011676050258880018,-0.13540793425964437,0.005359956943012847,0,15,0,0.15151515151515152,-1.224744871391589,0.06757333345069384,-0.9999176788005297,2,0,12,0,0.12121212121212122,-1.3297230032251537,0.25,-1.3136210293567425,0.5144356955380578,0,9,0,0.09090909090909091,-1.4347011350587187,0.17650918635170604,-1.282436122409122,0.01711684598600399,0,8,0,0.08080808080808081,-1.469693845669907,0.35414178678204183,-1.1645285521264956,0.01711684598600511,0,9,0,0.09090909090909091,-1.4347011350587187,0.6740460427877906,-1.4589852271096335,0.0,0,1,0,0.010101010101010102,-1.7146428199482247,0.0,-0.8257598762045946,s,0.04114524361321,0,0.0006457175147292894,-0.12468740201252078,0.6666666666666666,0,0.6666666666666666,0.8683766135433264,0.038178621189922,0,0.004310420210613798,-0.17944435520161583,0.0935181409983186,0,0.0043104202106138065,-0.1794443552016158,0.005806362949220092,0,10,0,0.10101010101010101,-1.3997084244475304,0.6836569579288025,-1.4642585966529669,0.3450255715561925,0,1,0,0.010101010101010102,-1.7146428199482247,1.0,,0.3392192086069728,0,92,0,0.9292929292929293,1.469693845669907,0.9960367901170484,1.1771215753771416,0.0,0,1,0,0.010101010101010102,-1.7146428199482247,0.0,-0.8349892837835914,0.005806362949219712,0,8,0,0.08080808080808081,-1.469693845669907,0.3650107991360066,-1.1771215753771551
Actinomycetota,saline water,polar seawater,4.013054168466301,0.0401305416846629,0,0.059375094804438346,0.4366734925864418,0,0.05937509480443844,0.4366734925864422,0.008039437594455476,0,21,0,0.21212121212121213,-1.0147886077244594,0.10135372412540697,-0.8564078536430731,3,0,26,0,0.26262626262626265,-0.8398250546685182,0.375,-0.7481928471553622,0.8258426966292135,0,19,0,0.1919191919191919,-1.084774028946836,0.2833567415730337,-0.8112001891738889,0.019750575544681955,0,22,0,0.2222222222222222,-0.9797958971132712,0.4086327655858209,-0.7459524399903075,0.018460949275183144,0,19,0,0.1919191919191919,-1.084774028946836,0.7269756247860893,-0.9128094335002963,0.0012896262694984924,0,33,0,0.3333333333333333,-0.5948760803902003,0.054979179311705074,-0.540783798731096,D,3.5276869239629463,0,0.055362152055724645,0.4201303334715665,1.0,1,1.0,2.123402668153389,1.2502323418600791,0,0.14115299574357715,0.9407706545936791,3.062431297482056,0,0.14115299574357718,0.9407706545936794,0.006246134817563389,0,19,0,0.1919191919191919,-1.084774028946836,0.7354368932038835,-0.9109747567290273,0.3450255715561925,0,72,0,0.7272727272727273,0.7698396334461417,1.0,,0.33834310058800715,0,78,0,0.7878787878787878,0.9797958971132712,0.993464306611206,0.7498539306680253,0.0004363361506218648,0,33,0,0.3333333333333333,-0.5948760803902003,0.05648389351292966,-0.5434797492814774,0.006682470968185361,0,22,0,0.2222222222222222,-0.9797958971132712,0.4200863930885152,-0.7498539306680388
Aquificota,saline water,polar seawater,0.0259238707305723,0.0002592387073057,0,0.0003835563183822815,-0.14311381034214057,0,0.00038355631838231504,-0.1431138103421407,0.01084824423703111,0,31,0,0.31313131313131315,-0.6648615016125768,0.13676453616648276,-0.7059714808481777,4,0,57,0,0.5757575757575758,0.2449489742783178,0.5,-0.18276466495398172,1.2024539877300613,0,45,0,0.45454545454545453,-0.1749635530559413,0.41257668711656437,-0.2412940129897386,0.021784221810386615,0,39,0,0.3939393939393939,-0.38491981672307085,0.4507082228755671,-0.42274698992647397,0.020430974962752514,0,44,0,0.4444444444444444,-0.20995626366712955,0.8045534694417066,-0.1122903424437009,0.0013532468476325117,0,34,0,0.3434343434343434,-0.5598833697790121,0.057691443520237994,-0.5267251964584551,s,0.022891133818557,0,0.0003592445867523942,-0.12753984540009075,0.6666666666666666,0,0.6666666666666666,0.8683766135433264,0.0113431783520793,0,0.0012806608436217186,-0.20424644552879517,0.0277849990239786,0,0.0012806608436217264,-0.20424644552879517,0.006898921184635471,0,44,0,0.4444444444444444,-0.20995626366712955,0.8122977346278317,-0.0896940568419287,0.3450255715561925,0,71,0,0.7171717171717171,0.7348469228349535,1.0,,0.33766969991460605,0,61,0,0.6161616161616161,0.38491981672307085,0.9914870251714211,0.4214442900288344,0.0004569504569504569,0,34,0,0.3434343434343434,-0.5598833697790121,0.05915242391511531,-0.5297076452892515,0.0073558716415864644,0,39,0,0.3939393939393939,-0.38491981672307085,0.4624190064794665,-0.4214442900288479
Armatimonadota,saline water,polar seawater,0.0331271774292126,0.0003312717742921,0,0.0004901327562230528,-0.14206634375562255,0,0.0004901327562230907,-0.14206634375562266,0.07313900070054076,1,98,0,0.98989898989899,1.6796501093370364,0.9220682432963948,2.6302480078766473,7,0,91,0,0.9191919191919192,1.4347011350587187,0.875,1.5135198816501596,2.3986013986013988,0,92,0,0.9292929292929293,1.469693845669907,0.8229895104895105,1.5687733248472313,0.047659925810344214,1,98,0,0.98989898989899,1.6796501093370364,0.9860678362226236,3.689653823361962,0.024203295761591043,0,93,0,0.9393939393939394,1.5046865562810952,0.9531040790962035,1.4205905921120185,0.02345663004874885,1,99,0,1.0,1.7146428199482247,1.0,4.357585547302429,s,0.0049594974375929,0,7.783243161259592e-05,-0.13034189809937785,0.5,0,0.5,0.2408635862382952,0.0219522697358526,0,0.002478442232566597,-0.19444121725737687,0.0537718595487806,0,0.002478442232566601,-0.19444121725737687,0.007970865113722258,0,88,0,0.8888888888888888,1.3297230032251537,0.9385113268608416,1.2589353029726758,0.3450255715561925,0,70,0,0.7070707070707071,0.6998542122237652,1.0,,0.32932974055423764,0,2,0,0.020202020202020204,-1.6796501093370364,0.9669987115964886,-3.6458564488473773,0.007724965888231194,1,99,0,1.0,1.7146428199482247,1.0,4.3259427336840925,0.015695831001954874,1,98,0,0.98989898989899,1.6796501093370364,0.9867016352977327,3.6458564488473635
Atribacterota,saline water,polar seawater,0.0396483329472387,0.0003964833294723,0,0.0005866164344548126,-0.14111807196929096,0,0.0005866164344549406,-0.1411180719692902,0.011898001734972874,0,33,0,0.3333333333333333,-0.5948760803902003,0.1499988987191998,-0.6497477066976751,4,0,56,0,0.5656565656565656,0.20995626366712955,0.5,-0.18276466495398172,1.2288401253918495,0,49,0,0.494949494949495,-0.034992710611188256,0.4216300940438871,-0.20136525043155074,0.022023395859927263,0,40,0,0.40404040404040403,-0.3499271061118826,0.45565665352251455,-0.384735287680612,0.020903907160947057,0,52,0,0.5252525252525253,0.06998542122237651,0.8231771152325608,0.07988545293752657,0.0011194886989796377,0,29,0,0.29292929292929293,-0.7348469228349535,0.04772589654409244,-0.5783800687700034,s,0.021237968006026,0,0.0003333004428815284,-0.12779817417884567,0.6666666666666666,0,0.6666666666666666,0.8683766135433264,0.0208969573087685,0,0.002359295970275282,-0.19541656744250682,0.0511868825832065,0,0.0023592959702752867,-0.19541656744250685,0.007056964199821343,0,52,0,0.5252525252525253,0.06998542122237651,0.830906148867314,0.10914232313073748,0.3450255715561925,0,69,0,0.696969696969697,0.6648615016125768,1.0,,0.33759067840701346,0,60,0,0.6060606060606061,0.3499271061118826,0.9912549972473659,0.3829064240356526,0.00037792894935752074,0,29,0,0.29292929292929293,-0.7348469228349535,0.04892305737340365,-0.582500710592784,0.007434893149179056,0,40,0,0.40404040404040403,-0.3499271061118826,0.4673866090712369,-0.38290642403566616
Bacillota,saline water,polar seawater,3.1240560467857006,0.0312405604678569,0,0.04622193376053288,0.30740010927853184,0,0.04622193376053299,0.3074001092785324,0.008958481178086185,0,25,0,0.25252525252525254,-0.8748177652797064,0.11294016767200202,-0.8071849626593612,3,0,28,0,0.2828282828282828,-0.7698396334461417,0.375,-0.7481928471553622,0.8099173553719008,0,18,0,0.18181818181818182,-1.1197667395580242,0.27789256198347106,-0.8352991754625194,0.019673657780182152,0,21,0,0.21212121212121213,-1.0147886077244594,0.4070413629069913,-0.7581769065124875,0.01840443632787352,0,18,0,0.18181818181818182,-1.1197667395580242,0.7247501956076372,-0.9357734453396785,0.001269221452308427,0,32,0,0.32323232323232326,-0.6298687910013886,0.05410928380038657,-0.5452927676486182,D,2.140999684544341,0,0.033600019684810134,0.20344231684388597,1.0,1,1.0,2.123402668153389,1.504425599193349,0,0.16985177321803208,1.1757033951128413,3.685075074004545,0,0.16985177321803208,1.1757033951128413,0.006227483778504187,0,18,0,0.18181818181818182,-1.1197667395580242,0.7332408691631993,-0.9344399195829437,0.3450255715561925,0,68,0,0.6868686868686869,0.6298687910013886,1.0,,0.33836862306250926,0,79,0,0.797979797979798,1.0147886077244594,0.9935392473071746,0.7623009432870139,0.0004294647151790007,0,32,0,0.32323232323232326,-0.6298687910013886,0.05559438337886776,-0.5480704506122195,0.006656948493683257,0,21,0,0.21212121212121213,-1.0147886077244594,0.4184819500153874,-0.7623009432870275
Bacteroidota,saline water,polar seawater,11.749703052309776,0.1174970305230975,0,0.17384259054781562,1.5616958658498368,0,0.17384259054781584,1.5616958658498383,0.019872850725332906,0,48,0,0.48484848484848486,-0.06998542122237651,0.25053835001964575,-0.22262419541293876,5,0,61,0,0.6161616161616161,0.38491981672307085,0.625,0.3826635172473987,1.5705128205128205,0,62,0,0.6262626262626263,0.4199125273342591,0.5388621794871795,0.31567017517597223,0.023481656411885727,0,51,0,0.5151515151515151,0.034992710611188256,0.48582757390624703,-0.15297533711577868,0.02147389325513829,0,59,0,0.5959595959595959,0.3149343955006943,0.8456226563998875,0.31149905722500754,0.00200776315674525,0,44,0,0.4444444444444444,-0.20995626366712955,0.08559469764295241,-0.38209299190052975,D,4.765184984026263,0,0.07478296723762462,0.6135055896887865,1.0,1,1.0,2.123402668153389,5.63415855123905,1,0.6361044514481843,4.992521709708632,13.800813580474182,1,0.6361044514481843,4.992521709708633,0.007239057239057239,0,60,0,0.6060606060606061,0.3499271061118826,0.8523462783171522,0.33823641309924346,0.3450255715561925,0,67,0,0.6767676767676768,0.5948760803902003,1.0,,0.33710967792601243,0,49,0,0.494949494949495,-0.034992710611188256,0.9898426533618045,0.14832810929325738,0.0006768363911221053,0,44,0,0.4444444444444444,-0.20995626366712955,0.08761674820509562,-0.3828052027055091,0.007915893630180082,0,51,0,0.5151515151515151,0.034992710611188256,0.49762419006478853,-0.14832810929327092
Balneolota,saline water,polar seawater,0.0011021105416873,1.1021105416873317e-05,0,1.6306263297379138e-05,-0.14672325882242354,0,1.630626329737865e-05,-0.146723258822424,0.019972088379913187,0,49,0,0.494949494949495,-0.034992710611188256,0.25178944572715134,-0.21730914361355944,4,0,55,0,0.5555555555555556,0.1749635530559413,0.5,-0.18276466495398172,1.1736526946107784,0,38,0,0.3838383838383838,-0.4199125273342591,0.4026946107784431,-0.2848775040284449,0.02307500869588206,0,48,0,0.48484848484848486,-0.06998542122237651,0.4774141694242456,-0.21760346850954096,0.02013078021327054,0,38,0,0.3838383838383838,-0.4199125273342591,0.7927320694525126,-0.2342743498155893,0.0029442284826088987,0,55,0,0.5555555555555556,0.1749635530559413,0.12551796555984565,-0.17515690385205648,o,0.0,0,0.0,-0.1311168844356426,0.1666666666666666,0,0.1666666666666666,-1.0141624683717678,0.0011021105416873,0,0.00012442983547225278,-0.21371153579821778,0.0026996084672763,0,0.00012442983547225497,-0.21371153579821778,0.006788978217549647,0,38,0,0.3838383838383838,-0.4199125273342591,0.7993527508090615,-0.22801501682291306,0.3450255715561925,0,66,0,0.6666666666666666,0.5598833697790121,1.0,,0.33724367091714813,0,52,0,0.5252525252525253,0.06998542122237651,0.9902360920156386,0.21367492554277862,0.0009929224214938498,0,55,0,0.5555555555555556,0.1749635530559413,0.1285342143719423,-0.1716329414913794,0.007781900639044381,0,48,0,0.48484848484848486,-0.06998542122237651,0.4892008639308894,-0.21367492554279216
Bdellovibrionota,saline water,polar seawater,0.0585433231596518,0.0005854332315965,0,0.0008661770354571501,-0.13837046288805718,0,0.0008661770354571758,-0.1383704628880574,0.02492175478524658,0,59,0,0.5959595959595959,0.3149343955006943,0.31419021909778344,0.0477891544594997,4,0,52,0,0.5252525252525253,0.06998542122237651,0.5,-0.18276466495398172,1.2098765432098766,0,46,0,0.46464646464646464,-0.13997084244475302,0.41512345679012347,-0.23006184786093606,0.023794682388035365,0,54,0,0.5454545454545454,0.13997084244475302,0.49230397607715337,-0.10322641902256319,0.020573122990165935,0,46,0,0.46464646464646464,-0.13997084244475302,0.8101511312683332,-0.054528552626190004,0.0032215593978654274,0,61,0,0.6161616161616161,0.38491981672307085,0.13734110105203545,-0.11387350860711093,s,0.041075957756395,0,0.0006446301693318712,-0.12469822883378717,0.6666666666666666,0,0.6666666666666666,0.8683766135433264,0.0325027855679678,0,0.0036696103590665346,-0.18469012620038677,0.0796152398606183,0,0.0036696103590665385,-0.18469012620038677,0.006933278361849792,0,46,0,0.46464646464646464,-0.13997084244475302,0.8163430420711976,-0.046468756847869795,0.3450255715561925,0,65,0,0.6565656565656566,0.5248906591678238,1.0,,0.33700660639436886,0,46,0,0.46464646464646464,-0.13997084244475302,0.9895400082434684,0.0980613275625024,0.001085686799972514,0,61,0,0.6161616161616161,0.38491981672307085,0.14054260118177772,-0.10965847352636306,0.008018965161823655,0,54,0,0.5454545454545454,0.13997084244475302,0.504103671706295,-0.09806132756251593
Campylobacterota,saline water,polar seawater,0.6134913857434747,0.0061349138574347,0,0.009076904437635869,-0.05767286425336069,0,0.009076904437635928,-0.057672864253360566,0.0036454746716686544,0,10,0,0.10101010101010101,-1.3997084244475304,0.04595874149620648,-1.091743328246326,2,0,13,0,0.13131313131313133,-1.2947302926139654,0.25,-1.3136210293567425,0.4688995215311005,0,6,0,0.06060606060606061,-1.5396792668922834,0.16088516746411483,-1.351343633733343,0.016211105778402964,0,4,0,0.04040404040404041,-1.60966468811466,0.3354023265016583,-1.3084769744137732,0.015624186842607002,0,3,0,0.030303030303030304,-1.6446573987258482,0.6152664644904149,-2.065526628204077,0.0005869189357974132,0,16,0,0.16161616161616163,-1.1897521607804007,0.025021451699483093,-0.6960650490485769,D,0.3834592240123753,0,0.006017860520086868,-0.07119636570088554,1.0,1,1.0,2.123402668153389,0.2665403080361487,0,0.03009277692316237,0.031614102773228375,0.652887750572815,0,0.03009277692316238,0.03161410277322842,0.0053047481618910194,0,3,0,0.030303030303030304,-1.6446573987258482,0.6245954692556634,-2.09534797656621,0.3450255715561925,0,64,0,0.6464646464646465,0.4898979485566356,1.0,,0.33952155176645893,0,96,0,0.9696969696969697,1.60966468811466,0.9969245491308292,1.324570801786535,0.0001992716278430564,0,16,0,0.16161616161616163,-1.1897521607804007,0.02579579388779465,-0.7018589451920747,0.005504019789733583,0,4,0,0.04040404040404041,-1.60966468811466,0.34600431965436007,-1.3245708017865485
