source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00690000,4,2,0,neg
0,2,Undirected,-0.02200000,2,4,0,neg
0,3,Undirected,-0.02130000,2,3,1,neg
0,4,Undirected,-0.00900000,2,4,0,neg
0,5,Undirected,-0.01790000,4,2,0,neg
0,6,Undirected,-0.00450000,4,2,0,neg
0,7,Undirected,-0.00430000,1,3,2,neg
0,8,Undirected,-0.02340000,3,2,1,neg
0,9,Undirected,-0.02370000,4,2,0,neg
0,10,Undirected,0.00150000,1,3,2,pos
0,11,Undirected,-0.00530000,1,3,2,neg
0,12,Undirected,-0.01610000,1,4,1,neg
0,13,Undirected,-0.01230000,1,4,1,neg
0,14,Undirected,-0.00510000,1,3,2,neg
0,15,Undirected,-0.00870000,1,3,2,neg
0,16,Undirected,-0.01330000,1,3,2,neg
0,17,Undirected,-0.02000000,1,3,2,neg
0,18,Undirected,-0.01800000,2,3,1,neg
0,19,Undirected,-0.01380000,1,4,1,neg
0,20,Undirected,0.00910000,1,4,1,pos
0,21,Undirected,-0.00840000,2,2,2,neg
0,22,Undirected,0.00070000,2,2,2,pos
0,23,Undirected,-0.03220000,2,2,2,neg
0,24,Undirected,-0.01200000,1,3,2,neg
0,25,Undirected,-0.01440000,1,3,2,neg
0,26,Undirected,0.00280000,2,3,1,pos
0,27,Undirected,-0.01330000,2,2,2,neg
0,28,Undirected,-0.01920000,1,3,2,neg
0,29,Undirected,-0.00430000,1,3,2,neg
0,30,Undirected,-0.00230000,1,3,2,neg
0,31,Undirected,-0.00290000,2,3,1,neg
0,32,Undirected,-0.01390000,1,3,2,neg
0,33,Undirected,-0.00670000,1,4,1,neg
0,34,Undirected,0.01410000,2,2,2,pos
0,35,Undirected,-0.00730000,2,2,2,neg
0,36,Undirected,-0.00950000,1,4,1,neg
0,37,Undirected,-0.03450000,3,1,2,neg
0,38,Undirected,0.01300000,1,3,2,pos
0,39,Undirected,-0.00630000,4,2,0,neg
0,40,Undirected,-0.00020000,2,2,2,neg
0,41,Undirected,-0.01890000,2,2,2,neg
0,42,Undirected,-0.00620000,3,2,1,neg
0,43,Undirected,-0.02780000,2,2,2,neg
0,44,Undirected,-0.01790000,3,3,0,neg
0,45,Undirected,-0.03130000,1,3,2,neg
0,46,Undirected,-0.01680000,4,1,1,neg
0,47,Undirected,-0.02010000,2,2,2,neg
0,48,Undirected,-0.00530000,1,3,2,neg
0,49,Undirected,-0.02130000,2,2,2,neg
0,50,Undirected,-0.01610000,1,3,2,neg
0,51,Undirected,-0.01200000,1,3,2,neg
0,52,Undirected,-0.01700000,2,2,2,neg
0,53,Undirected,-0.01540000,2,2,2,neg
0,54,Undirected,-0.01190000,1,3,2,neg
0,55,Undirected,-0.00860000,2,2,2,neg
0,56,Undirected,-0.00190000,2,2,2,neg
0,57,Undirected,-0.01910000,1,3,2,neg
0,58,Undirected,-0.00920000,2,2,2,neg
0,59,Undirected,-0.01190000,1,3,2,neg
0,60,Undirected,-0.01960000,1,3,2,neg
0,61,Undirected,-0.01590000,1,3,2,neg
0,62,Undirected,-0.01530000,1,3,2,neg
0,63,Undirected,-0.01690000,1,3,2,neg
0,64,Undirected,-0.00340000,1,3,2,neg
0,65,Undirected,-0.00800000,2,3,1,neg
0,66,Undirected,-0.01510000,2,3,1,neg
0,67,Undirected,0.00810000,2,2,2,pos
0,68,Undirected,-0.00700000,2,3,1,neg
0,69,Undirected,-0.02600000,1,3,2,neg
0,70,Undirected,-0.02210000,3,2,1,neg
