id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.0007891629026774667,-3.102833338449172,0.07891629026774681,0.09351814099831865,0.038178621189922095,0.04114524361321005,0.6666666666666666
1,Actinomycetota,0.040130541684662936,-1.396524978091421,4.013054168466301,3.0624312974820556,1.2502323418600791,3.5276869239629463,1.0
2,Aquificota,0.00025923870730572334,-3.5863001528236964,0.02592387073057238,0.02778499902397864,0.011343178352079384,0.02289113381855701,0.6666666666666666
3,Armatimonadota,0.0003312717742921267,-3.4798155662049393,0.03312717742921269,0.05377185954878065,0.02195226973585265,0.004959497437592996,0.5
4,Atribacterota,0.00039648332947238665,-3.4017750682968324,0.03964833294723876,0.05118688258320652,0.02089695730876855,0.02123796800602601,0.6666666666666666
5,Bacillota,0.03124056046785693,-1.505281183312211,3.1240560467857006,3.685075074004545,1.504425599193349,2.1409996845443415,1.0
6,Bacteroidota,0.1174970305230975,-0.9299731090835556,11.749703052309775,13.800813580474182,5.63415855123905,4.765184984026263,1.0
7,Balneolota,1.1021105416873317e-05,-4.9577748435630316,0.0011021105416873327,0.0026996084672763336,0.0011021105416873327,0.0,0.16666666666666666
8,Bdellovibrionota,0.0005854332315965166,-3.232522628862654,0.05854332315965182,0.07961523986061832,0.03250278556796783,0.04107595775639504,0.6666666666666666
9,Campylobacterota,0.006134913857434733,-2.2121915309815416,0.6134913857434747,0.652887750572815,0.26654030803614875,0.3834592240123753,1.0
10,Candidatus.Aminicenantes,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
11,Candidatus.Andersenbacteria,9.162543522081667e-05,-4.03798394944713,0.00916254352208167,0.022443556375143503,0.00916254352208167,0.0,0.16666666666666666
12,Candidatus.Beckwithbacteria,0.00012257844588987331,-3.9115858891491144,0.012257844588987342,0.026916215440808664,0.010988498939467172,0.0,0.3333333333333333
13,Candidatus.Berkelbacteria,0.00011706789318143664,-3.9315621973790527,0.011706789318143675,0.027088199677371177,0.011058711210030549,0.0,0.3333333333333333
14,Candidatus.Buchananbacteria,0.00014275517487508332,-3.8454081396218114,0.014275517487508388,0.03496773365857368,0.01427551748750839,0.0,0.16666666666666666
15,Candidatus.Campbellbacteria,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
16,Candidatus.Coatesbacteria,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
17,Candidatus.Collierbacteria,7.137758743753333e-05,-4.146438135285843,0.007137758743753361,0.0174838668292848,0.007137758743753362,0.0,0.16666666666666666
18,Candidatus.Colwellbacteria,0.00047187917822199996,-3.3261691855788422,0.04718791782220003,0.06032397604873169,0.02462716009587773,0.019654088050310027,0.5
19,Candidatus.Curtissbacteria,0.0004262974566398167,-3.3702872584168793,0.0426297456639817,0.08054866645174903,0.03288385537807046,0.0,0.3333333333333333
20,Candidatus.Daviesbacteria,0.0003970676902231666,-3.401135450454807,0.03970676902231678,0.06980869139710931,0.028499278922389258,0.0,0.3333333333333333
21,Candidatus.Desantisbacteria,0.00014826572758351998,-3.828959226864548,0.014826572758352053,0.03472296834535988,0.014175592466824002,0.0,0.3333333333333333
22,Candidatus.Falkowbacteria,0.00023438061009589998,-3.630078319602198,0.023438061009590058,0.0375837132187642,0.015343486670844576,0.0,0.3333333333333333
23,Candidatus.Firestonebacteria,8.239869285440664e-05,-4.084079677752168,0.008239869285440694,0.017149158790084364,0.007001114758945271,0.0,0.3333333333333333
24,Candidatus.Fischerbacteria,7.137758743753333e-05,-4.146438135285843,0.007137758743753361,0.0174838668292848,0.007137758743753362,0.0,0.16666666666666666
25,Candidatus.Giovannonibacteria,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
26,Candidatus.Gottesmanbacteria,0.00015870247224958334,-3.7994163078009864,0.015870247224958365,0.020159822830612666,0.008230213206651977,0.006612663250120007,0.5
27,Candidatus.Gracilibacteria,0.00016479738570881664,-3.783049682088178,0.01647973857088172,0.034298317580172905,0.014002229517892248,0.0,0.3333333333333333
28,Candidatus.Gribaldobacteria,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
29,Candidatus.Harrisonbacteria,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
30,Candidatus.Heimdallarchaeota,5.51055270843665e-06,-5.258804839227014,0.0005510552708436656,0.001349804233638165,0.0005510552708436657,0.0,0.16666666666666666
31,Candidatus.Kaiserbacteria,0.00032576122158368997,-3.4871006150998447,0.03257612215836902,0.05407336155611538,0.02207535741491848,0.0033063316250619983,0.5
32,Candidatus.Kerfeldbacteria,1.1021105416873317e-05,-4.9577748435630316,0.0011021105416873327,0.0026996084672763336,0.0011021105416873327,0.0,0.16666666666666666
33,Candidatus.Komeilibacteria,0.00020318277569381665,-3.6921131110445553,0.02031827756938168,0.031703310215477586,0.01294282219751425,0.0,0.3333333333333333
34,Candidatus.Levybacteria,0.0003020420078754766,-3.5199326513481872,0.030204200787547774,0.0692393551692297,0.028266848380658266,0.0,0.3333333333333333
35,Candidatus.Liptonbacteria,7.688814014596998e-05,-4.114140644156717,0.007688814014597026,0.017264635871824783,0.007048258080153554,0.0,0.3333333333333333
36,Candidatus.Lloydbacteria,0.00020318277569381665,-3.6921131110445553,0.02031827756938168,0.031703310215477586,0.01294282219751425,0.0,0.3333333333333333
37,Candidatus.Magasanikbacteria,0.00039917799580471664,-3.398833406673181,0.03991779958047178,0.06779737722176257,0.02767816334871822,0.006612663250120007,0.5
38,Candidatus.Margulisbacteria,7.137758743753333e-05,-4.146438135285843,0.007137758743753361,0.0174838668292848,0.007137758743753362,0.0,0.16666666666666666
39,Candidatus.Marinimicrobia,0.0005024926518732866,-3.2988702847019358,0.05024926518732872,0.03561975842927823,0.014541705485488615,0.04106736428157011,1.0
40,Candidatus.Melainabacteria,0.00016300302265835,-3.7878043421502094,0.016300302265835034,0.02554288084247719,0.01042783743746347,0.0,0.3333333333333333
41,Candidatus.Moranbacteria,0.00017581849112569998,-3.754935451380874,0.017581849112570058,0.034279065656270105,0.01399436995287079,0.0,0.3333333333333333
42,Candidatus.Nealsonbacteria,0.0002855814685482233,-3.5442699774573634,0.028558146854822376,0.0299563956904284,0.012229647329076429,0.02471960785632208,0.6666666666666666
43,Candidatus.Nomurabacteria,0.00015377628029195664,-3.813110648492689,0.01537762802919572,0.03452927174365363,0.014096516160308766,0.0,0.3333333333333333
44,Candidatus.Omnitrophica,0.0024040999947074833,-2.6190474725068498,0.240409999470749,0.3514962155659594,0.1434977291093204,0.12163249608573005,0.8333333333333334
