#OTU ID	mgm4537102	mgm4537103	mgm4537104	mgm4537105	mgm4601897	mgm4601898
Pseudomonadota	0.646586345381526	0.62781748213304	0.924528301886792	0.918918918918919	0.581550669532154	0.355888650963597
Actinomycetota	0.0508701472556894	0.0505772402418911	0.0172955974842767	0.0199764982373678	0.0104149446189453	0.0916488222698073
Chloroflexota	0.000669344042838	0.0016492578339747	0.0003930817610062	0.0	0.0003306331625061	0.0025695931477516
Bacillota	0.0287817938420348	0.0219901044529962	0.0062893081761006	0.0054837446141794	0.0208298892378906	0.10406852248394
Cyanobacteriota	0.0488621151271754	0.062671797691039	0.0019654088050314	0.0035252643948296	0.0060505868738634	0.0723768736616702
Candidatus.Melainabacteria	0.0	0.0005497526113249	0.0	0.0	0.0	0.0004282655246252
Candidatus.Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Deinococcota	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0004282655246252
Armatimonadota	0.001338688085676	0.0005497526113249	0.0	0.0	9.91899487518598e-05	0.0
Mycoplasmatota	0.00334672021419	0.0016492578339747	0.0	0.0	0.0014547859150272	0.0102783725910064
Candidatus.Kaiserbacteria	0.001338688085676	0.0005497526113249	0.0	0.0	6.61266325012399e-05	0.0
Candidatus.Nomurabacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0008565310492505
Candidatus.Yanofskybacteria	0.002008032128514	0.0016492578339747	0.0	0.0	0.0	0.0004282655246252
Candidatus.Falkowbacteria	0.0	0.0005497526113249	0.0	0.0	0.0	0.0008565310492505
Candidatus.Magasanikbacteria	0.0	0.0005497526113249	0.0	0.0	0.0001322532650024	0.001713062098501
Candidatus.Nealsonbacteria	0.000669344042838	0.0005497526113249	0.0	0.0	6.61266325012399e-05	0.0004282655246252
Candidatus.Uhrbacteria	0.0	0.0	0.0	0.0	0.0001322532650024	0.0
Candidatus.Giovannonibacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Moranbacteria	0.0	0.0	0.0	0.0	0.0001983798975037	0.0008565310492505
Candidatus.Zambryskibacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Staskawiczbacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0004282655246252
Candidatus.Wolfebacteria	0.000669344042838	0.0	0.0	0.0	3.30633162506199e-05	0.0004282655246252
Candidatus.Harrisonbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Taylorbacteria	0.0	0.0005497526113249	0.0	0.0	0.0	0.0008565310492505
Candidatus.Buchananbacteria	0.0	0.0	0.0	0.0	0.0	0.0008565310492505
Candidatus.Portnoybacteria	0.0	0.0	0.0	0.0	9.91899487518598e-05	0.0004282655246252
Candidatus.Sungbacteria	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Liptonbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0004282655246252
Candidatus.Ryanbacteria	0.0	0.0005497526113249	0.0	0.0	0.0	0.0
Candidatus.Komeilibacteria	0.000669344042838	0.0005497526113249	0.0	0.0	0.0	0.0
Candidatus.Lloydbacteria	0.000669344042838	0.0005497526113249	0.0	0.0	0.0	0.0
Candidatus.Kerfeldbacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0
Candidatus.Campbellbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Colwellbacteria	0.001338688085676	0.0010995052226498	0.0003930817610062	0.0	0.0	0.0
Candidatus.Vogelbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Spechtbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0004282655246252
Candidatus.Andersenbacteria	0.0	0.0005497526113249	0.0	0.0	0.0	0.0
Candidatus.Woesebacteria	0.000669344042838	0.0	0.0	0.0	0.0001322532650024	0.0008565310492505
Candidatus.Gottesmanbacteria	0.0	0.0	0.0	0.0003916960438699	0.0001322532650024	0.0004282655246252
Candidatus.Roizmanbacteria	0.0	0.0	0.0003930817610062	0.0	0.0001653165812531	0.0
Candidatus.Levybacteria	0.0	0.0	0.0	0.0	9.91899487518598e-05	0.001713062098501
Candidatus.Daviesbacteria	0.000669344042838	0.0	0.0	0.0	0.0	0.001713062098501
Candidatus.Curtissbacteria	0.002008032128514	0.0005497526113249	0.0	0.0	0.0	0.0
Candidatus.Shapirobacteria	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Beckwithbacteria	0.000669344042838	0.0	0.0	0.0	6.61266325012399e-05	0.0
Candidatus.Collierbacteria	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Woykebacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0004282655246252
Candidatus.Pacebacteria	0.0	0.0	0.0003930817610062	0.0	0.0	0.0
Candidatus.Gracilibacteria	0.0	0.0	0.0	0.0	0.0001322532650024	0.0008565310492505
Candidatus.Rokubacteria	0.0	0.0	0.0	0.0	0.0	0.0008565310492505
Candidatus.Schekmanbacteria	0.0	0.0	0.0	0.0	9.91899487518598e-05	0.0004282655246252
Candidatus.Aminicenantes	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
candidate.division.WWE3	0.0	0.0	0.0	0.0003916960438699	3.30633162506199e-05	0.0012847965738758
Candidatus.Peregrinibacteria	0.000669344042838	0.0005497526113249	0.0003930817610062	0.0	0.0002314432137543	0.0021413276231263
Candidatus.Berkelbacteria	0.000669344042838	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Gribaldobacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Saccharibacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0004282655246252
Candidatus.Desantisbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0008565310492505
Candidatus.Firestonebacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0004282655246252
Candidatus.Riflebacteria	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0
Candidatus.Wallbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Coatesbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Candidatus.Fischerbacteria	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Wirthbacteria	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Planctomycetota	0.0040160642570281	0.0043980208905992	0.0011792452830188	0.0023501762632197	0.0007273929575136	0.0029978586723768
Candidatus.Omnitrophica	0.002008032128514	0.0016492578339747	0.0	0.0007833920877399	0.0005620763762605	0.0094218415417558
Verrucomicrobiota	0.001338688085676	0.0021990104452996	0.0007861635220125	0.0	0.000429823111258	0.0025695931477516
Lentisphaerota	0.000669344042838	0.0	0.0	0.0	0.0002314432137543	0.0004282655246252
Chlamydiota	0.002008032128514	0.0010995052226498	0.0	0.0	6.61266325012399e-05	0.0008565310492505
Thermodesulfobacteriota	0.002008032128514	0.0027487630566245	0.0003930817610062	0.0003916960438699	0.0010580261200198	0.0029978586723768
Nitrospirota	0.002008032128514	0.0021990104452996	0.0	0.0	0.0001322532650024	0.001713062098501
Campylobacterota	0.0053547523427041	0.0087960417811984	0.0019654088050314	0.0003916960438699	0.0023144321375434	0.0179871520342612
Bacteroidota	0.0441767068273092	0.051126992853216	0.012185534591195	0.0109674892283588	0.318002975698463	0.268522483940043
Ignavibacteriota	0.0	0.0005497526113249	0.0	0.0	0.0004628864275086	0.0004282655246252
Chlorobiota	0.0	0.0010995052226498	0.0	0.0	6.61266325012399e-05	0.0004282655246252
Balneolota	0.0	0.0	0.0	0.0	6.61266325012399e-05	0.0
Gemmatimonadota	0.0	0.0010995052226498	0.0	0.0	0.0001322532650024	0.0
candidate.division.Zixibacteria	0.0	0.0	0.0	0.0003916960438699	0.0	0.0
Candidatus.Marinimicrobia	0.000669344042838	0.0010995052226498	0.0003930817610062	0.0003916960438699	3.30633162506199e-05	0.0004282655246252
Fibrobacterota	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Elusimicrobiota	0.0	0.0005497526113249	0.0	0.0003916960438699	9.91899487518598e-05	0.0021413276231263
Acidobacteriota	0.0	0.0021990104452996	0.0003930817610062	0.0	0.000429823111258	0.001713062098501
Myxococcota	0.000669344042838	0.0010995052226498	0.0	0.0011750881316098	0.0004959497437592	0.0012847965738758
Nitrospinota	0.00334672021419	0.0016492578339747	0.0	0.0	9.91899487518598e-05	0.0
Spirochaetota	0.0	0.0016492578339747	0.0	0.0	0.0009257728550173	0.0034261241970021
Bdellovibrionota	0.0	0.0005497526113249	0.0	0.0003916960438699	0.000429823111258	0.0021413276231263
Synergistota	0.0	0.0	0.0	0.0	9.91899487518598e-05	0.0
Fusobacteriota	0.000669344042838	0.0	0.0	0.0	0.0003967597950074	0.0055674518201284
Thermotogota	0.000669344042838	0.0005497526113249	0.0	0.0	0.0002314432137543	0.0047109207708779
Atribacterota	0.000669344042838	0.0	0.0	0.0003916960438699	3.30633162506199e-05	0.0012847965738758
Aquificota	0.000669344042838	0.0	0.0	0.0003916960438699	6.61266325012399e-05	0.0004282655246252
Deferribacterota	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0008565310492505
Dictyoglomota	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
Nitrososphaerota	0.132530120481928	0.133040131940627	0.0306603773584906	0.0329024676850764	0.0475119854521409	0.0
Thermoproteota	0.000669344042838	0.0	0.0	0.0	0.0004959497437592	0.0025695931477516
Euryarchaeota	0.002677376171352	0.0043980208905992	0.0	0.0	0.0007935195900148	0.0029978586723768
Candidatus.Woesearchaeota	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Thermoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0004282655246252
Candidatus.Heimdallarchaeota	0.0	0.0	0.0	0.0	3.30633162506199e-05	0.0
