source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00750000,7,1,0,neg
0,2,Undirected,-0.00990000,7,0,1,neg
0,3,Undirected,-0.00640000,7,0,1,neg
0,4,Undirected,-0.00800000,7,0,1,neg
0,5,Undirected,-0.01100000,7,1,0,neg
0,6,Undirected,-0.02580000,7,1,0,neg
0,7,Undirected,-0.01100000,6,1,1,neg
0,8,Undirected,0.00220000,7,0,1,pos
0,9,Undirected,-0.02490000,5,2,1,neg
0,10,Undirected,-0.01540000,7,0,1,neg
0,11,Undirected,-0.00340000,7,1,0,neg
0,12,Undirected,-0.02280000,6,2,0,neg
0,13,Undirected,-0.00020000,6,1,1,neg
0,14,Undirected,-0.01370000,5,2,1,neg
0,15,Undirected,-0.01240000,4,3,1,neg
0,16,Undirected,-0.01180000,5,2,1,neg
0,17,Undirected,-0.01600000,6,1,1,neg
0,18,Undirected,-0.01640000,7,1,0,neg
0,19,Undirected,-0.01030000,6,1,1,neg
0,20,Undirected,-0.03070000,6,1,1,neg
0,21,Undirected,-0.00330000,7,0,1,neg
0,22,Undirected,0.00040000,7,0,1,pos
0,23,Undirected,-0.02830000,6,2,0,neg
0,24,Undirected,-0.00460000,5,2,1,neg
0,25,Undirected,-0.02490000,7,0,1,neg
0,26,Undirected,-0.00270000,6,1,1,neg
0,27,Undirected,-0.00130000,2,5,1,neg
0,28,Undirected,-0.01420000,7,0,1,neg
0,29,Undirected,-0.00270000,4,3,1,neg
0,30,Undirected,-0.01630000,7,0,1,neg
0,31,Undirected,-0.01440000,5,2,1,neg
0,32,Undirected,-0.00460000,7,0,1,neg
0,33,Undirected,-0.00980000,5,2,1,neg
0,34,Undirected,-0.01400000,5,2,1,neg
0,35,Undirected,-0.02370000,6,1,1,neg
0,36,Undirected,-0.01780000,6,1,1,neg
0,37,Undirected,-0.01600000,5,2,1,neg
0,38,Undirected,-0.00860000,7,0,1,neg
0,39,Undirected,-0.00880000,7,0,1,neg
0,40,Undirected,-0.01310000,7,0,1,neg
0,41,Undirected,-0.02680000,7,0,1,neg
0,42,Undirected,-0.00760000,7,0,1,neg
0,43,Undirected,-0.00400000,6,1,1,neg
