#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Pseudomonadota	0.359034726309594	0.392344385177527	0.497405523618615	0.285853821719285	0.25575925868194	0.54991748696323	0.634667568338345	0.683706778045474
Actinomycetota	0.0220718069452619	0.0449749747397608	0.0033977800306441	0.0049519316556692	0.0049479595790448	0.0052932572299208	0.0060623758707194	0.0086000852584336
Chloroflexota	0.0	0.0010691543106891	0.0003009688605232	0.0005427641933581	0.0004973196696609	0.0001616907486789	0.000188702122173	0.0002227256833846
Bacillota	0.0067686874632136	0.0116667058298282	0.0243395965577227	0.0436819006953864	0.0515267713858592	0.0106819820917224	0.0095623306163643	0.0086886965518232
Cyanobacteriota	0.586521483225427	0.497556218718425	0.0029986482802053	0.0061548043944156	0.0045560419886254	0.0016355176327507	0.0015967102645415	0.0015219588364618
Candidatus.Melainabacteria	0.0	5.87447423455601e-05	9.74428687180551e-05	0.0002503346176641	0.0002816907681139	4.42293079345928e-05	3.33003745011348e-05	2.63438980347452e-05
Candidatus.Margulisbacteria	0.0	1.1748948469112e-05	3.93611587925149e-05	6.44462631784226e-05	4.41649557385494e-05	1.16011299500571e-05	5.97699029507547e-06	9.57959928536189e-06
Deinococcota	0.0005885815185403	0.0010104095683436	5.4721611004228e-05	7.78570462675742e-05	8.9814447804445e-05	7.66157957118357e-05	0.0001135628156064	0.0001520761386551
Armatimonadota	0.0	0.0001644852785675	7.53622186637175e-05	0.0001151092215152	8.68453751497526e-05	1.06343691208857e-05	9.39241332083289e-06	1.19744991067024e-05
Mycoplasmatota	0.0011771630370806	0.0004699579387644	0.0009365075707828	0.0012762595239842	0.0015832579931147	0.0004966733759868	0.0004260740224632	0.0003843814213251
Thermomicrobiota	0.0	4.69957938764481e-05	1.3920409816865e-05	6.33286979209934e-06	4.08247490020205e-06	9.66760829171428e-07	2.56156726931806e-06	7.18469946402142e-06
Candidatus.Kaiserbacteria	0.0002942907592701	8.22426392837841e-05	1.68004946065612e-05	4.35850450397425e-05	7.64536208583292e-05	2.12687382417714e-05	2.39079611803019e-05	2.75413479454154e-05
