id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.0051333408079250005,-2.289599901512118,0.5133340807925013,0.20361200262040213,0.04341022481727016,0.46578770781268586,1.0
1,Actinomycetota,0.17658918757794598,-0.7530358914662107,17.65891875779464,9.529198821132306,2.031632014960446,13.922826524274285,1.0
2,Aquificota,7.137937495483745e-05,-4.146427259334317,0.007137937495483763,0.003727366014940464,0.0007946771045048638,0.006614580425486466,1.0
3,Armatimonadota,0.00043735406666635455,-3.359166830902535,0.04373540666663558,0.01767915040775462,0.003769207531491867,0.041037119647305095,1.0
4,Atribacterota,4.321826697828126e-05,-4.3643326520029735,0.004321826697828137,0.0034086264344528714,0.0007267215976140223,0.002731925262432754,1.0
5,Bacillota,0.12932055450834526,-0.8883324418628461,12.932055450834554,13.28640929284884,2.832671979029212,7.9383110869109,1.0
6,Bacteroidota,0.06328942700468722,-1.1986688362235254,6.328942700468736,3.2378757701277205,0.6903174336617038,6.018486306860986,1.0
7,Balneolota,5.438608740700977e-05,-4.264512183668114,0.00543860874070099,0.0023736241637782236,0.000506058372076504,0.005071236009080679,1.0
8,Bdellovibrionota,0.00043792988757907495,-3.358595414324354,0.0437929887579076,0.01855081168162717,0.003955046339500938,0.04469840072504016,1.0
9,Caldisericota,9.248704594090401e-06,-5.033919091805348,0.0009248704594090425,0.0010186600630049363,0.0002171790551555037,0.0005341592388481984,0.9090909090909091
10,Calditrichota,0.00010415553460295923,-3.9823176476205924,0.010415553460295952,0.005838455632306183,0.0012447629232181267,0.008767540500192196,1.0
11,Campylobacterota,0.0017903330561017865,-2.7470661695942877,0.17903330561017908,0.1700395203319543,0.03625254754353704,0.11815337831608039,1.0
12,Candidatus Abawacabacteria,3.1189469380609625e-05,-4.50599201373383,0.0031189469380609705,0.002319940170173627,0.000494612906183174,0.0029593640816850714,0.9545454545454546
13,Candidatus Absconditabacteria,1.1081617126985645e-05,-4.955396858914418,0.0011081617126985676,0.0007908193678083234,0.0001686032557246255,0.0008112571450505878,1.0
14,Candidatus Adlerbacteria,2.8653577367763478e-05,-4.5428211491209955,0.002865357736776356,0.0018090138398875594,0.0003856830465612412,0.0024690441933908945,1.0
15,Candidatus Aenigmarchaeota,5.881336551975459e-07,-6.230523967939614,5.8813365519754764e-05,0.0001758410781414853,3.7489443824507534e-05,0.0,0.22727272727272727
16,Candidatus Altiarchaeota,2.839280684648059e-06,-5.546791672015092,0.00028392806846480666,0.00037285425913858276,7.949279514458625e-05,0.0001268676673379718,0.6818181818181818
17,Candidatus Amesbacteria,2.7170383253625344e-05,-4.565904235569568,0.0027170383253625418,0.002292645439212164,0.0004887936499894564,0.0022052235407082773,1.0
