Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,sediment,desert sediment,0.1209124113149772,0.0012091241131497,0,0.002235018687104153,-0.10993007354458471,0,0.0022350186871042846,-0.10993007354458334,0.0038117158499030137,0,97,0,0.6139240506329114,0.3836898258568368,0.6447198803990302,0.25221678146642784,68,0,89,0,0.5632911392405063,0.2082887626079971,0.8,0.1242434737566031,43.39837398373984,0,89,0,0.5632911392405063,0.2082887626079971,0.7447154471544715,0.10230658447169806,0.012859347316682984,0,89,0,0.5632911392405063,0.2082887626079971,0.9288487235356097,0.12393747571662611,0.01285934731668286,0,89,0,0.5632911392405063,0.2082887626079971,0.9288487235356049,0.12393747571641053,0.0,0,1,0,0.006329113924050633,-1.7211229331292395,0.0,,D,0.1051082615093501,0,0.0014359563469269897,-0.08848487837446163,1.0,1,1.0,2.516906052013143,0.0299394141441535,0,0.002135955350534576,-0.12578688022335355,0.0792122442243999,0,0.0021359553505345763,-0.12578688022335358,0.00907038619688785,0,89,0,0.5632911392405063,0.2082887626079971,0.9297520661157024,0.12424347375659818,0.7144239296944288,0,1,0,0.006329113924050633,-1.7211229331292395,1.0,,0.7053535434975409,0,70,0,0.4430379746835443,-0.2082887626079971,0.9992575671045115,-0.12424347375713926,0.0,0,1,0,0.006329113924050633,-1.7211229331292395,0.0,,0.009070386196887936,0,89,0,0.5632911392405063,0.2082887626079971,0.9297520661157072,0.12424347375681252
Actinomycetota,sediment,desert sediment,17.137923377541256,0.1713792337754123,1,0.31678781847452464,3.5437515471559267,1,0.31678781847452486,3.5437515471559276,0.0032440045425649487,0,40,0,0.25316455696202533,-0.8660427497911459,0.5486962572904275,-0.699287352636577,65,0,55,0,0.34810126582278483,-0.5371657561995715,0.7647058823529411,-0.4313358334191489,40.98393574297189,0,55,0,0.34810126582278483,-0.5371657561995715,0.7032837231278053,-0.4478220707368196,0.0126857142857144,0,55,0,0.34810126582278483,-0.5371657561995715,0.9163069657615154,-0.4315795185793956,0.012685714285714286,0,55,0,0.34810126582278483,-0.5371657561995715,0.9163069657615112,-0.4315795185795873,0.0,0,101,0,0.6392405063291139,0.4713903574812566,0.0,,D,11.290322580645215,0,0.15424487224620687,1.8018563666393863,1.0,1,1.0,2.516906052013143,5.682056358413691,1,0.4053726175922097,3.9795180892069504,15.033308059815916,1,0.4053726175922096,3.97951808920695,0.008949447714262678,0,55,0,0.34810126582278483,-0.5371657561995715,0.9173553719008263,-0.4313358334191557,0.7144239296944288,0,101,0,0.6392405063291139,0.4713903574812566,1.0,,0.705474481980166,0,101,0,0.6392405063291139,0.4713903574812566,0.9994288977727012,0.43133583341863485,0.0,0,101,0,0.6392405063291139,0.4713903574812566,0.0,,0.00894944771426276,0,55,0,0.34810126582278483,-0.5371657561995715,0.9173553719008306,-0.4313358334189616
Aquificota,sediment,desert sediment,0.0008040469413043,8.040469413043801e-06,0,1.4862493598303868e-05,-0.13571825246010785,0,1.4862493598302376e-05,-0.13571825246010802,0.0034189553625636323,0,59,0,0.37341772151898733,-0.4494652245751517,0.5782877263785898,-0.4060636201835444,66,0,59,0,0.37341772151898733,-0.4494652245751517,0.7764705882352941,-0.24614273102723155,41.78225806451613,0,59,0,0.37341772151898733,-0.4494652245751517,0.7169829222011385,-0.2659246928049712,0.012743585347734222,0,59,0,0.37341772151898733,-0.4494652245751517,0.9204870738776577,-0.24642835090907816,0.012743585347734157,0,59,0,0.37341772151898733,-0.4494652245751517,0.9204870738776573,-0.24642835090910767,0.0,0,102,0,0.6455696202531646,0.4933154903873616,0.0,,o,0.0,0,0.0,-0.10624855068808935,0.4285714285714285,0,0.4285714285714285,-0.43427135962378927,0.000435726967079,0,3.1085890399306184e-05,-0.14721630830823448,0.0011528251944155,0,3.108589039930721e-05,-0.14721630830823448,0.008989760541804403,0,59,0,0.37341772151898733,-0.4494652245751517,0.9214876033057852,-0.24614273102723244,0.7144239296944288,0,102,0,0.6455696202531646,0.4933154903873616,1.0,,0.7054341691526244,0,93,0,0.5886075949367089,0.295989294232417,0.9993717875499714,0.24614273102688017,0.0,0,102,0,0.6455696202531646,0.4933154903873616,0.0,,0.008989760541804448,0,59,0,0.37341772151898733,-0.4494652245751517,0.9214876033057856,-0.2461427310272069
Armatimonadota,sediment,desert sediment,0.0194086508363785,0.0001940865083637,0,0.0003587613284608769,-0.13172370256843033,0,0.00035876132846103374,-0.13172370256842864,0.0038558532510580166,0,99,0,0.6265822784810127,0.4275400916690467,0.6521853529353688,0.3261926194050219,69,0,103,0,0.6518987341772152,0.5152406232934665,0.8117647058823529,0.30943657614852044,44.21632653061225,0,103,0,0.6518987341772152,0.5152406232934665,0.7587515006002401,0.28867670031785003,0.012917238225880274,0,103,0,0.6518987341772152,0.5152406232934665,0.9330302652412651,0.3091521419293087,0.012917238225880201,0,103,0,0.6518987341772152,0.5152406232934665,0.9330302652412641,0.3091521419292554,0.0,0,103,0,0.6518987341772152,0.5152406232934665,0.0,,s,0.01261955091209,0,0.00017240437590124082,-0.10411580142624786,0.7142857142857143,0,0.7142857142857143,1.0413173461946772,0.0069411804045263,0,0.0004952017882744342,-0.14249119901051782,0.0183646371556114,0,0.0004952017882744366,-0.14249119901051782,0.009110699024429573,0,103,0,0.6518987341772152,0.5152406232934665,0.933884297520661,0.3094365761485135,0.7144239296944288,0,103,0,0.6518987341772152,0.5152406232934665,1.0,,0.7053132306699992,0,57,0,0.36075949367088606,-0.4933154903873616,0.9992004568817817,-0.30943657614889397,0.0,0,103,0,0.6518987341772152,0.5152406232934665,0.0,,0.009110699024429625,0,103,0,0.6518987341772152,0.5152406232934665,0.9338842975206622,0.30943657614856723
Atribacterota,sediment,desert sediment,0.0002565245452755,2.565245452755544e-06,0,4.7417560046689385e-06,-0.1358358096808949,0,4.741756004667929e-06,-0.13583580968089506,0.0031948307594168905,0,36,0,0.22784810126582278,-0.9537432814155657,0.5403789228304648,-0.781704344072331,63,0,39,0,0.2468354430379747,-0.8879678826972509,0.7411764705882353,-0.8017220382029836,39.40637450199203,0,39,0,0.2468354430379747,-0.8879678826972509,0.6762127958753222,-0.8072686821081216,0.012569992000914238,0,39,0,0.2468354430379747,-0.8879678826972509,0.9079481825453714,-0.8018183807742653,0.012569992000914182,0,39,0,0.2468354430379747,-0.8879678826972509,0.9079481825453715,-0.8018183807742709,0.0,0,104,0,0.6582278481012658,0.5371657561995715,0.0,,o,0.0,0,0.0,-0.10624855068808935,0.4285714285714285,0,0.4285714285714285,-0.43427135962378927,0.0001519002297949,0,1.0836955827380694e-05,-0.1474224603264108,0.0004018902321311,0,1.0836955827386914e-05,-0.14742246032641074,0.008868822059179231,0,39,0,0.2468354430379747,-0.8879678826972509,0.9090909090909091,-0.8017220382029863,0.7144239296944288,0,104,0,0.6582278481012658,0.5371657561995715,1.0,,0.7055551076352495,0,120,0,0.759493670886076,0.8879678826972509,0.999543118218161,0.8017220382026543,0.0,0,104,0,0.6582278481012658,0.5371657561995715,0.0,,0.008868822059179271,0,39,0,0.2468354430379747,-0.8879678826972509,0.9090909090909091,-0.801722038202981
Bacillota,sediment,desert sediment,0.6386755374913909,0.0063867553749139,0,0.011805667803374748,0.001237605770059551,0,0.011805667803374756,0.0012376057700594365,0.0028635422199549863,0,11,0,0.06962025316455696,-1.5018716040681899,0.48434423505464785,-1.336955597314038,61,0,19,0,0.12025316455696203,-1.32647054081935,0.7176470588235294,-1.1721082429868181,37.85375494071146,0,19,0,0.12025316455696203,-1.32647054081935,0.6495698674726806,-1.1610323431020126,0.012454296160877513,0,19,0,0.12025316455696203,-1.32647054081935,0.8995913094716443,-1.171972636282158,0.012454296160877513,0,19,0,0.12025316455696203,-1.32647054081935,0.8995913094716483,-1.1719726362819889,0.0,0,105,0,0.6645569620253164,0.5590908891056765,0.0,,D,0.4414546983392803,0,0.006031016657093493,-0.031641126970851294,1.0,1,1.0,2.516906052013143,0.2193856316371402,0,0.01565153918742474,0.011813687100761628,0.5804398225326971,0,0.01565153918742474,0.0118136871007616,0.008788196404095783,0,19,0,0.12025316455696203,-1.32647054081935,0.9008264462809916,-1.1721082429868248,0.7144239296944288,0,105,0,0.6645569620253164,0.5590908891056765,1.0,,0.705635733290333,0,142,0,0.8987341772151899,1.37032080663156,0.9996573386636207,1.1721082429866736,0.0,0,105,0,0.6645569620253164,0.5590908891056765,0.0,,0.008788196404095783,0,19,0,0.12025316455696203,-1.32647054081935,0.9008264462809876,-1.1721082429870004
Bacteroidota,sediment,desert sediment,4.042942167996121,0.0404294216799611,0,0.07473220654589612,0.7321595311613707,0,0.07473220654589625,0.7321595311613719,0.0032757232567205558,0,46,0,0.2911392405063291,-0.7344919523545161,0.5540612127073782,-0.6461256712372677,63,0,40,0,0.25316455696202533,-0.8660427497911459,0.7411764705882353,-0.8017220382029836,39.40637450199203,0,40,0,0.25316455696202533,-0.8660427497911459,0.6762127958753222,-0.8072686821081216,0.012569992000914238,0,40,0,0.25316455696202533,-0.8660427497911459,0.9079481825453714,-0.8018183807742653,0.012569992000914182,0,40,0,0.25316455696202533,-0.8660427497911459,0.9079481825453715,-0.8018183807742709,0.0,0,106,0,0.6708860759493671,0.5810160220117815,0.0,,D,2.648728190035742,0,0.03618609994256178,0.3413959916153491,1.0,1,1.0,2.516906052013143,1.6586413764790595,0,0.11833177181258597,1.0571890428904414,4.38835259640545,0,0.11833177181258597,1.0571890428904416,0.008868822059179231,0,40,0,0.25316455696202533,-0.8660427497911459,0.9090909090909091,-0.8017220382029863,0.7144239296944288,0,106,0,0.6708860759493671,0.5810160220117815,1.0,,0.7055551076352495,0,127,0,0.8037974683544303,1.0414438130399857,0.999543118218161,0.8017220382026543,0.0,0,106,0,0.6708860759493671,0.5810160220117815,0.0,,0.008868822059179271,0,40,0,0.25316455696202533,-0.8660427497911459,0.9090909090909091,-0.801722038202981
Balneolota,sediment,desert sediment,0.0005058374736429,5.058374736429566e-06,0,9.350208088105427e-06,-0.13578228029985454,0,9.350208088104373e-06,-0.13578228029985473,0.004299594285659648,0,138,0,0.8734177215189873,1.2826202750071403,0.727240440466037,1.069918212742851,73,0,134,0,0.8481012658227848,1.1949197433827203,0.8588235294117647,1.0502089857161898,47.55601659751037,0,134,0,0.8481012658227848,1.1949197433827203,0.816060532096656,1.0496235633577342,0.013148868053967559,0,134,0,0.8481012658227848,1.1949197433827203,0.9497612131543466,1.0502225774942733,0.013148868053967526,0,134,0,0.8481012658227848,1.1949197433827203,0.9497612131543485,1.050222577494353,0.0,0,107,0,0.6772151898734177,0.6029411549178864,0.0,,o,0.0,0,0.0,-0.10624855068808935,0.4285714285714285,0,0.4285714285714285,-0.43427135962378927,0.0002763618890494,0,1.9716372964304665e-05,-0.14733206002626145,0.0007311848302809,0,1.9716372964309056e-05,-0.14733206002626142,0.009271950334596468,0,134,0,0.8481012658227848,1.1949197433827203,0.9504132231404957,1.0502089857161827,0.7144239296944288,0,107,0,0.6772151898734177,0.6029411549178864,1.0,,0.7051519793598323,0,22,0,0.13924050632911392,-1.2606951421010353,0.9989720159908623,-1.0502089857164227,0.0,0,107,0,0.6772151898734177,0.6029411549178864,0.0,,0.00927195033459649,0,134,0,0.8481012658227848,1.1949197433827203,0.9504132231404938,1.050208985716096
Bdellovibrionota,sediment,desert sediment,0.0044523776634356,4.45237766343564e-05,0,8.230046172763526e-05,-0.134934928118827,0,8.230046172763446e-05,-0.13493492811882715,0.002478726062633038,0,5,0,0.03164556962025317,-1.6334224015048195,0.41925579806359214,-1.9819210222204433,55,0,2,0,0.012658227848101266,-1.6991978002231345,0.6470588235294118,-2.2832668573383224,33.33976833976834,0,2,0,0.012658227848101266,-1.6991978002231345,0.5721099250511015,-2.189542137420157,0.012107367218732136,0,2,0,0.012658227848101266,-1.6991978002231345,0.874532144559656,-2.2819280525979035,0.012107367218732153,0,2,0,0.012658227848101266,-1.6991978002231345,0.8745321445596612,-2.281928052597687,0.0,0,109,0,0.689873417721519,0.6467914207300963,0.0,,s,0.0027850429854853,0,3.8048390241107284e-05,-0.10577786845756718,0.5714285714285714,0,0.5714285714285714,0.303522993285444,0.0019216342696361,0,0.0001370943659831551,-0.14613704850284684,0.0050841663882765,0,0.00013709436598315886,-0.14613704850284687,0.008546319438845441,0,2,0,0.012658227848101266,-1.6991978002231345,0.8760330578512396,-2.2832668573383246,0.7144239296944288,0,109,0,0.689873417721519,0.6467914207300963,1.0,,0.7058776102555834,1,156,0,0.9873417721518988,1.6772726673170295,1.0,2.283266857338222,0.0,0,109,0,0.689873417721519,0.6467914207300963,0.0,,0.008546319438845429,0,2,0,0.012658227848101266,-1.6991978002231345,0.8760330578512345,-2.283266857338549
Caldisericota,sediment,desert sediment,1.3417052928825469e-05,1.3417052928825458e-07,0,2.480089818378944e-07,-0.1358880067076468,0,2.480089818378944e-07,-0.13588800670764697,0.003865398449876565,0,100,0,0.6329113924050633,0.4494652245751517,0.6537998435435384,0.3421907086086172,69,0,101,0,0.6392405063291139,0.4713903574812566,0.8117647058823529,0.30943657614852044,44.21632653061225,0,101,0,0.6392405063291139,0.4713903574812566,0.7587515006002401,0.28867670031785003,0.012917238225880274,0,101,0,0.6392405063291139,0.4713903574812566,0.9330302652412651,0.3091521419293087,0.012917238225880201,0,101,0,0.6392405063291139,0.4713903574812566,0.9330302652412641,0.3091521419292554,0.0,0,117,0,0.740506329113924,0.822192483978936,0.0,,o,0.0,0,0.0,-0.10624855068808935,0.4285714285714285,0,0.4285714285714285,-0.43427135962378927,6.64482620592211e-06,0,4.740591121648011e-07,-0.1475279637574385,1.7580557646114772e-05,0,4.7405911216480096e-07,-0.14752796375743854,0.009110699024429573,0,101,0,0.6392405063291139,0.4713903574812566,0.933884297520661,0.3094365761485135,0.7144239296944288,0,117,0,0.740506329113924,0.822192483978936,1.0,,0.7053132306699992,0,61,0,0.3860759493670886,-0.40561495876294174,0.9992004568817817,-0.30943657614889397,0.0,0,117,0,0.740506329113924,0.822192483978936,0.0,,0.009110699024429625,0,101,0,0.6392405063291139,0.4713903574812566,0.9338842975206622,0.30943657614856723
