Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,sediment,lake sediment,0.519023816070773,0.0051902381607077,0,0.009656423150742737,-0.02517769503067989,0,0.00965642315074277,-0.025177695030680115,0.010485493302150558,0,72,0,0.4528301886792453,-0.17429786813223805,0.20829935581016354,-0.3207350554494046,5,0,67,0,0.42138364779874216,-0.2832340357148868,0.45454545454545453,-0.2408974245890364,1.5581854043392505,0,58,0,0.36477987421383645,-0.4793191373636546,0.38461538461538464,-0.31394192758936335,0.013851292101000102,0,69,0,0.4339622641509434,-0.2396595686818273,0.5204280441628482,-0.28692633670807394,0.01243299299238365,0,56,0,0.3522012578616352,-0.5228936043967141,0.822255280643088,-0.2941518687539893,0.0014182991086067822,0,82,0,0.5157232704402516,0.04357446703305951,0.11183407202643228,-0.23691934931922987,D,0.4953570371895022,0,0.008379962934536356,-0.014480352963270526,1.0,0,1.0,0.29575835095535097,0.1671430840927285,0,0.0167661582354605,-0.02016879597234021,0.4094152700622847,0,0.016766158235460505,-0.020168795972340184,0.004326884802165433,0,56,0,0.3522012578616352,-0.5228936043967141,0.8287166454891993,-0.29057542087517535,0.3528368229705376,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.34801634689378874,0,91,0,0.5723270440251572,0.2396595686818273,0.9950944498613241,0.285279244169395,0.0004935912745800493,0,82,0,0.5157232704402516,0.04357446703305951,0.11324200913242007,-0.23568397403047783,0.0048204760767488475,0,69,0,0.4339622641509434,-0.2396595686818273,0.5269799825935648,-0.2852792441693623
Actinomycetota,sediment,lake sediment,9.784912867847984,0.0978491286784795,1,0.18204802211273463,2.0974689559232704,1,0.18204802211273485,2.097468955923272,0.019766951158982995,0,125,0,0.7861635220125787,0.980425508243839,0.39267996975427394,0.6111444161014523,6,0,108,0,0.6792452830188679,0.6100425384628332,0.5454545454545454,0.26980511553972064,1.9586776859504134,0,99,0,0.6226415094339622,0.4139574368140653,0.48347107438016534,0.22025565866841298,0.015617003399162393,0,119,0,0.7484276729559748,0.8497021071446604,0.5867702792957349,0.36276169963975213,0.013088645304206363,0,99,0,0.6226415094339622,0.4139574368140653,0.8656168087958288,0.28661817100875514,0.0025283580949473626,0,125,0,0.7861635220125787,0.980425508243839,0.19936315237250113,0.35048251566969685,D,10.006103400383273,1,0.16927341153785272,1.9874174833730294,1.0,0,1.0,0.29575835095535097,2.010026198808139,1,0.20162615455834212,2.031376776113349,4.9235385567059975,1,0.20162615455834212,2.0313767761133485,0.004547143274155454,0,99,0,0.6226415094339622,0.4139574368140653,0.8709021601016517,0.2843887937270689,0.3528368229705376,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.34741129952494904,0,41,0,0.2578616352201258,-0.8497021071446604,0.9933644182578968,-0.36611140086558974,0.0008783801714300877,0,125,0,0.7861635220125787,0.980425508243839,0.20152207001522066,0.3544721636086196,0.005425523445588554,0,119,0,0.7484276729559748,0.8497021071446604,0.593124456048659,0.3661114008656224
Aquificota,sediment,lake sediment,0.017258335681327,0.0001725833568132,0,0.0003210908383319047,-0.14012304032473857,0,0.0003210908383320343,-0.14012304032473763,0.007438595182487789,0,47,0,0.29559748427672955,-0.7189787060454819,0.14777126263835402,-0.6266505542231768,4,0,34,0,0.2138364779874214,-1.0022127417603688,0.36363636363636365,-0.7515999647177934,1.1857410881801125,0,26,0,0.16352201257861634,-1.1765106098926068,0.2926829268292683,-0.8107276681465518,0.012897426228333597,0,38,0,0.2389937106918239,-0.9150638076942497,0.4845888930651917,-0.6378983480424815,0.01184232077491334,0,29,0,0.18238993710691823,-1.1111489093430176,0.7831912073148354,-0.8173632126952863,0.0010551054534097765,0,62,0,0.389937106918239,-0.3921702032975356,0.08319594827075687,-0.42910790239618385,D,0.014793651223106,0,0.0002502644347589253,-0.11563317166440092,1.0,0,1.0,0.29575835095535097,0.005217660323532,0,0.0005233846143145766,-0.20042840304627763,0.0127806054438186,0,0.0005233846143145852,-0.20042840304627751,0.004125202345885412,0,29,0,0.18238993710691823,-1.1111489093430176,0.7900889453621345,-0.8170486776194006,0.3528368229705376,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.3483440808852435,0,122,0,0.7672955974842768,0.9150638076942497,0.9960315503131802,0.6381158435632455,0.00036753973940503666,0,62,0,0.389937106918239,-0.3921702032975356,0.08432267884322676,-0.4290109846363891,0.004492742085294099,0,38,0,0.2389937106918239,-0.9150638076942497,0.4911517261387323,-0.6381158435632127
Armatimonadota,sediment,lake sediment,0.0900752316020066,0.00090075231602,0,0.0016758470898982154,-0.12344201388516035,0,0.0016758470898983345,-0.1234420138851595,0.015759557533274418,0,106,0,0.6666666666666666,0.5664680714297736,0.31307117247034943,0.2087929846964667,7,0,122,0,0.7672955974842768,0.9150638076942497,0.6363636363636364,0.7805076556684777,2.2993762993762994,0,122,0,0.7672955974842768,0.9150638076942497,0.5675675675675675,0.674697317821743,0.015194377316866283,0,109,0,0.6855345911949685,0.6318297719793629,0.5708911494775362,0.20725773372975015,0.01324354143522101,0,107,0,0.6729559748427673,0.5882553049463034,0.8758608555636505,0.4238235625651208,0.0019508358816367635,0,107,0,0.6729559748427673,0.5882553049463034,0.15382504238688136,0.04487927354874511,D,0.0855816737663601,0,0.0014477865462589991,-0.10073314344828957,1.0,0,1.0,0.29575835095535097,0.0273179227412137,0,0.002740266627419493,-0.17582581423156146,0.0669149715487464,0,0.002740266627419498,-0.17582581423156138,0.004602871321285461,0,107,0,0.6729559748427673,0.5882553049463034,0.8815756035578144,0.4298616673011324,0.3528368229705376,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.3475559270758341,0,51,0,0.32075471698113206,-0.6318297719793629,0.9937779565139796,-0.210406180889973,0.0006780245734150675,0,107,0,0.6729559748427673,0.5882553049463034,0.15555555555555547,0.04718396780343419,0.005280895894703486,0,109,0,0.6855345911949685,0.6318297719793629,0.5773136060341587,0.21040618089000568
Atribacterota,sediment,lake sediment,3.6378707522404095,0.0363787075224039,0,0.06768248057918426,0.6892934115091387,0,0.06768248057918447,0.6892934115091406,0.006263866116427257,0,37,0,0.23270440251572327,-0.9368510412107794,0.12443470605863667,-0.7445960233705765,4,0,30,0,0.18867924528301888,-1.0893616758264877,0.36363636363636365,-0.7515999647177934,1.2514851485148515,0,44,0,0.27672955974842767,-0.7843404065950712,0.3089108910891089,-0.7230347962631894,0.013155989728205232,0,44,0,0.27672955974842767,-0.7843404065950712,0.4943037771026441,-0.5427607042625162,0.012367316147616601,0,53,0,0.3333333333333333,-0.5882553049463034,0.8179117462697665,-0.3523277388898125,0.0007886735805781379,0,44,0,0.27672955974842767,-0.7843404065950712,0.06218757205760395,-0.5700937246989458,D,0.0188698479236889,0,0.0003192215196497907,-0.11477518123507378,1.0,0,1.0,0.29575835095535097,3.389580759479004,1,0.34000956530016396,3.567132911592397,8.302743302679033,1,0.3400095653001639,3.567132911592396,0.00430698192819043,0,54,0,0.33962264150943394,-0.5664680714297736,0.8249047013977127,-0.342530018580198,0.3528368229705376,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.3482551813814885,0,116,0,0.7295597484276729,0.7843404065950712,0.9957773570732029,0.5424071303672549,0.0002746596608550274,0,44,0,0.27672955974842767,-0.7843404065950712,0.06301369863013696,-0.5714624661354816,0.0045816415890491125,0,44,0,0.27672955974842767,-0.7843404065950712,0.5008703220192019,-0.5424071303672222
Bacillota,sediment,lake sediment,4.595058074136015,0.04595058074136,0,0.08549092313722269,0.9085676173412933,0,0.08549092313722279,0.9085676173412939,0.0357164361450782,1,155,0,0.9748427672955975,1.6340425137397316,0.7095241422097667,2.212508972145792,9,1,150,0,0.9433962264150944,1.5251063461570828,0.8181818181818182,1.8019127359259919,3.025531914893617,0,148,0,0.9308176100628931,1.4815318791240233,0.7468085106382979,1.6432817197391372,0.02661519158384529,1,159,0,1.0,1.7211914478058505,1.0,4.4095111838432235,0.013933018048452504,0,136,0,0.8553459119496856,1.2200850769256664,0.9214593519560157,1.0345548188444584,0.012682173535374474,1,159,0,1.0,1.7211914478058505,1.0,5.723503409020944,D,3.933796829531728,0,0.06654810399082207,0.7092699099289308,1.0,0,1.0,0.29575835095535097,0.940689341005195,0,0.09436074742377155,0.8409630823873453,2.304208891937692,0,0.09436074742377155,0.8409630823873452,0.0047886314783854795,0,133,0,0.8364779874213837,1.154723376376077,0.91715374841169,0.9147712458813395,0.3528368229705376,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.3436894620916204,0,1,0,0.006289308176100629,-1.7211914478058505,0.98272244753943,-4.373020960790621,0.004358729400525436,1,159,0,1.0,1.7211914478058505,1.0,5.692332677496044,0.00914736087891721,1,159,0,1.0,1.7211914478058505,1.0,4.373020960790654
Bacteroidota,sediment,lake sediment,4.437217232957022,0.04437217232957,0,0.08255429883271143,0.8724091514844095,0,0.08255429883271166,0.8724091514844117,0.035432387640993906,1,154,0,0.9685534591194969,1.6122552802232017,0.7038813823781941,2.1839898565107387,8,0,136,0,0.8553459119496856,1.2200850769256664,0.7272727272727273,1.2912101957972348,2.8858447488584473,0,145,0,0.9119496855345912,1.416170178574434,0.7123287671232876,1.4569596597309353,0.018952152138359758,0,150,0,0.9433962264150944,1.5251063461570828,0.7120802447976068,1.5899194108421564,0.014587715970619232,0,152,0,0.9559748427672956,1.5686808131901424,0.9647577616034293,1.6144794701162892,0.004364436167726636,0,149,0,0.9371069182389937,1.5033191126405532,0.34413944546278946,1.3220666364120128,D,3.599940283407012,0,0.06090024745112148,0.6389971183086796,1.0,0,1.0,0.29575835095535097,1.0551675021814102,0,0.10584407606523748,0.9684031586386513,2.584621973511511,0,0.10584407606523748,0.9684031586386512,0.005051349414855506,0,152,0,0.9559748427672956,1.5686808131901424,0.9674714104193138,1.6005719355876322,0.3528368229705376,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.3462741819918421,0,10,0,0.06289308176100629,-1.5251063461570828,0.9901130211435536,-1.5903258368221511,0.001511291563835151,0,149,0,0.9371069182389937,1.5033191126405532,0.34672754946727546,1.3251772589667214,0.0065626409786954665,0,150,0,0.9433962264150944,1.5251063461570828,0.7174354511169454,1.5903258368221838
Balneolota,sediment,lake sediment,0.0030197691335636,3.019769133563636e-05,0,5.618271776427727e-05,-0.14338483694545068,0,5.618271776427648e-05,-0.14338483694545132,0.020451100543724565,0,128,0,0.8050314465408805,1.0457872087934281,0.4062709255646563,0.679834569841201,7,0,129,0,0.8113207547169812,1.067574442309958,0.6363636363636364,0.7805076556684777,2.436123348017621,0,134,0,0.8427672955974843,1.1765106098926068,0.6013215859030837,0.8570976952227559,0.016610978155332943,0,127,0,0.7987421383647799,1.0239999752768985,0.6241164224951649,0.7284916511827132,0.013953986252457739,0,137,0,0.8616352201257862,1.241872310442196,0.9228460829289574,1.0531282371856814,0.00265699190286524,0,129,0,0.8113207547169812,1.067574442309958,0.20950603581113872,0.41855073510790775,D,0.0029557070238742,0,5.00017430779713e-05,-0.1181249166835746,1.0,0,1.0,0.29575835095535097,0.0007095057316597,0,7.117067050990371e-05,-0.20544699837518518,0.0017379270121464,0,7.117067050990744e-05,-0.20544699837518512,0.004843032667250485,0,137,0,0.8616352201257862,1.241872310442196,0.9275730622617534,1.0567804796083993,0.3528368229705376,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.34707162380910855,0,33,0,0.20754716981132076,-1.0239999752768985,0.9923931724454444,-0.731804394570137,0.0009221664941750921,0,129,0,0.8113207547169812,1.067574442309958,0.21156773211567728,0.42162786202962044,0.0057651991614290354,0,127,0,0.7987421383647799,1.0239999752768985,0.6302581955322913,0.7318043945701697
Bdellovibrionota,sediment,lake sediment,0.0848621729683519,0.0008486217296835,0,0.0015788582841488982,-0.12463623080143361,0,0.0015788582841489303,-0.12463623080143386,0.009016715634066275,0,61,0,0.3836477987421384,-0.4139574368140653,0.17912138265485558,-0.4682036728016358,5,0,71,0,0.44654088050314467,-0.1960851016487678,0.45454545454545453,-0.2408974245890364,1.5369649805447472,0,56,0,0.3522012578616352,-0.5228936043967141,0.3793774319066148,-0.3422468405449562,0.01338378930441284,0,58,0,0.36477987421383645,-0.4793191373636546,0.502862782792683,-0.45894255148679264,0.012259581489824336,0,44,0,0.27672955974842767,-0.7843404065950712,0.8107867208368532,-0.44775798501507585,0.0011242078145782342,0,68,0,0.4276729559748428,-0.26144680219835703,0.0886447272971367,-0.3925415069838984,D,0.0669761758128401,0,0.0011330370392898595,-0.1046493772195163,1.0,0,1.0,0.29575835095535097,0.017993342795201,0,0.0018049160342276322,-0.1862061799460498,0.0440745086152265,0,0.0018049160342276343,-0.18620617994604977,0.004268503038505426,0,44,0,0.27672955974842767,-0.7843404065950712,0.8175349428208384,-0.44297557414324185,0.3528368229705376,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.34817689674385355,0,102,0,0.6415094339622641,0.4793191373636546,0.9955535152648648,0.45812632322460606,0.0003914231881750391,0,69,0,0.4339622641509434,-0.2396595686818273,0.08980213089802129,-0.3923806036794795,0.004659926226684041,0,58,0,0.36477987421383645,-0.4793191373636546,0.5094284885408004,-0.4581263232245734
Caldisericota,sediment,lake sediment,0.3775330791285855,0.0037753307912858,0,0.007023992064694236,-0.05759064938757912,0,0.007023992064694323,-0.05759064938757868,0.008710282434381445,0,59,0,0.3710691823899371,-0.45753190384712483,0.17303394010409778,-0.49897026276979756,5,0,68,0,0.4276729559748428,-0.26144680219835703,0.45454545454545453,-0.2408974245890364,1.6122448979591835,0,76,0,0.4779874213836478,-0.08714893406611902,0.39795918367346933,-0.24183454292289955,0.013781718921567541,0,68,0,0.4276729559748428,-0.26144680219835703,0.517814004011629,-0.31252557389654256,0.01285531291936207,0,82,0,0.5157232704402516,0.04357446703305951,0.8501853848659033,0.07993475667405783,0.000926406002196021,0,55,0,0.34591194968553457,-0.5446808379132438,0.07304788880328679,-0.4972108578213083,D,0.0009718260656824,0,1.6440397123336547e-05,-0.11854249978863168,1.0,0,1.0,0.29575835095535097,0.3760495613684868,0,0.03772161130389155,0.2123913458038167,0.9211295433502216,0,0.03772161130389156,0.21239134580381666,0.004474166069580447,0,83,0,0.5220125786163522,0.06536170054958926,0.8569250317662006,0.09388860214198798,0.3528368229705376,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.3480402303425588,0,92,0,0.5786163522012578,0.26144680219835703,0.9951627405825123,0.31099203278929455,0.0003224265583950322,0,55,0,0.34591194968553457,-0.5446808379132438,0.07397260273972601,-0.49820170422166254,0.0047965926279787685,0,68,0,0.4276729559748428,-0.26144680219835703,0.524369016536117,-0.31099203278926185
