id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.005190238160707715,-2.284812713537269,0.519023816070773,0.4094152700622847,0.16714308409272852,0.4953570371895022,1.0
1,Actinomycetota,0.09784912867847957,-1.0094430372702938,9.784912867847984,4.9235385567059975,2.010026198808139,10.006103400383271,1.0
2,Aquificota,0.00017258335681327004,-3.763001088068477,0.017258335681327067,0.012780605443818604,0.005217660323532086,0.014793651223106025,1.0
3,Armatimonadota,0.0009007523160200636,-3.045394612543234,0.09007523160200669,0.06691497154874643,0.027317922741213762,0.08558167376636014,1.0
4,Atribacterota,0.036378707522403915,-1.4391527347903796,3.6378707522404095,8.302743302679033,3.3895807594790037,0.018869847923688975,1.0
5,Bacillota,0.04595058074136002,-1.3377089954601489,4.595058074136015,2.304208891937692,0.940689341005195,3.933796829531728,1.0
6,Bacteroidota,0.04437217232957008,-1.3528893089969678,4.437217232957022,2.584621973511511,1.0551675021814102,3.5999402834070118,1.0
7,Balneolota,3.019769133563636e-05,-4.520026258318329,0.0030197691335636452,0.001737927012146476,0.0007095057316597682,0.0029557070238742378,1.0
8,Bdellovibrionota,0.0008486217296835167,-3.0712858519462336,0.08486217296835195,0.04407450861522659,0.01799334279520106,0.06697617581284018,1.0
9,Caldisericota,0.0037753307912858363,-2.423044989853019,0.3775330791285855,0.9211295433502217,0.37604956136848683,0.000971826065682403,1.0
10,Calditrichota,0.00024945504444132024,-3.60300770940017,0.02494550444413213,0.03233400116233455,0.01320030069837964,0.014179006768230045,1.0
11,Campylobacterota,0.0037566368143568327,-2.4252007898035326,0.3756636814356846,0.5023499823999413,0.20508352152932774,0.21046994024094098,1.0
12,Candidatus.Abawacabacteria,1.4325572616555603e-05,-4.843888009553234,0.0014325572616555656,0.0010955808326363072,0.00044726900198874806,0.0014233894712978785,1.0
13,Candidatus.Absconditabacteria,4.117434295602417e-05,-4.385373322403498,0.004117434295602432,0.0038667631856463005,0.0015785994601687032,0.0025537355036651024,1.0
14,Candidatus.Adlerbacteria,2.4873837291550062e-05,-4.604257210870302,0.002487383729155014,0.0022186847421891338,0.0009057742530769707,0.002337686802934889,0.8333333333333334
15,Candidatus.Aenigmarchaeota,1.371495456174295e-05,-4.862805626894085,0.0013714954561743012,0.0024677514585104234,0.001007455314226585,0.00020434501066680978,0.5
16,Candidatus.Altiarchaeota,1.3818608634712483e-05,-4.859535682915987,0.0013818608634712539,0.0016359715502033598,0.0006678825886180375,0.00048032642678195667,1.0
17,Candidatus.Amesbacteria,4.747408453131241e-05,-4.32354340124777,0.004747408453131261,0.005343572599584429,0.002181504378749884,0.001944658979001003,1.0
18,Candidatus.Aminicenantes,0.010345091454503312,-1.985265665654547,1.0345091454503361,1.8922678442090823,0.7725151124980975,0.14418249879957523,1.0
19,Candidatus.Andersenbacteria,3.161092982008822e-05,-4.5001627294121,0.003161092982008834,0.002826573059210382,0.00115394361929385,0.0021647002532369656,1.0
