#OTU ID	mgm4754246	mgm4754247
Pseudomonadota	0.39330503527449	0.516632771133977
Actinomycetota	0.327210491267678	0.353301345909316
Chloroflexota	0.0014894200227658	0.0026411008214237
Bacillota	0.0544643498964002	0.0505192351208182
Cyanobacteriota	0.0243959179385258	0.0017277385257983
Candidatus.Melainabacteria	6.31946973329468e-06	6.62584210939506e-06
Candidatus.Margulisbacteria	1.97483429165459e-06	2.00783094224093e-06
Deinococcota	0.0061287007407208	0.0037781354840147
Armatimonadota	0.0001496924393074	0.0001531975008929
Mycoplasmatota	5.52953601663284e-05	4.87902918964545e-05
Thermomicrobiota	6.89217167787451e-05	8.81437783643767e-05
Candidatus.Kaiserbacteria	4.42362881330628e-05	4.27667990697318e-05
Candidatus.Nomurabacteria	1.2046489179093e-05	1.16454194649974e-05
Candidatus.Yanofskybacteria	8.88675431244564e-06	1.00391547112046e-05
Candidatus.Azambacteria	4.14715201247463e-06	5.82270973249869e-06
Candidatus.Falkowbacteria	1.87609257707186e-05	1.78696953859443e-05
Candidatus.Magasanikbacteria	3.12023818081425e-05	2.63025853433562e-05
Candidatus.Nealsonbacteria	4.93708572913647e-06	3.81487879025776e-06
Candidatus.Uhrbacteria	3.00174812331497e-05	4.01566188448186e-05
Candidatus.Giovannonibacteria	4.14715201247463e-06	5.82270973249869e-06
Candidatus.Moranbacteria	1.61936411915676e-05	1.44563827841347e-05
Candidatus.Zambryskibacteria	2.76476800831642e-06	5.22036044982641e-06
Candidatus.Staskawiczbacteria	3.3572182958128e-06	3.61409569603367e-06
Candidatus.Wolfebacteria	7.89933716661835e-06	4.61801116715413e-06
Candidatus.Harrisonbacteria	3.94966858330917e-06	4.21644497870595e-06
Candidatus.Taylorbacteria	5.33205258746739e-06	6.42505901517097e-06
Candidatus.Buchananbacteria	8.49178745411473e-06	6.42505901517097e-06
Candidatus.Portnoybacteria	3.75218515414372e-06	4.21644497870595e-06
Candidatus.Adlerbacteria	4.93708572913647e-06	6.62584210939506e-06
Candidatus.Sungbacteria	7.89933716661835e-06	9.63758852275645e-06
Candidatus.Jorgensenbacteria	6.7144365916256e-06	4.01566188448186e-06
Candidatus.Liptonbacteria	6.7144365916256e-06	7.42897448629143e-06
Candidatus.Tagabacteria	1.18490057499275e-06	4.01566188448186e-07
Candidatus.Ryanbacteria	3.3572182958128e-06	2.61018022491321e-06
Candidatus.Wildermuthbacteria	3.3572182958128e-06	2.61018022491321e-06
Candidatus.Komeilibacteria	4.14715201247463e-06	4.81879426137823e-06
Candidatus.Kuenenbacteria	2.17231772082005e-06	1.40548165956865e-06
Candidatus.Lloydbacteria	1.97483429165459e-05	6.42505901517097e-06
Candidatus.Kerfeldbacteria	3.94966858330917e-06	3.21252950758548e-06
Candidatus.Terrybacteria	1.97483429165459e-06	2.61018022491321e-06
Candidatus.Yonathbacteria	2.96225143748188e-06	4.21644497870595e-06
Candidatus.Niyogibacteria	9.87417145827294e-07	2.00783094224093e-07
Candidatus.Campbellbacteria	2.76476800831642e-06	2.00783094224093e-06
Candidatus.Colwellbacteria	2.76476800831642e-06	2.40939713068911e-06
Candidatus.Vogelbacteria	4.14715201247463e-06	4.21644497870595e-06
Candidatus.Spechtbacteria	0.0	2.20861403646502e-06
