Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,shrubland_soil phyla,2.2537188020591232,0.0225371880205912,0,0.04820118151298178,0.3408333269733601,0,0.04820118151298176,0.34083332697335955,0.00727407833605776,0,151,0,0.9556962025316456,1.5676470027865046,0.7683666222333939,1.8184697999670207,43,0,144,0,0.9113924050632911,1.41417107244377,0.8775510204081632,1.5526644502532465,24.911439114391147,0,144,0,0.9113924050632911,1.41417107244377,0.8581218465245879,1.572508929966101,0.013282270382750701,0,144,0,0.9113924050632911,1.41417107244377,0.9704869241636077,1.5401862767452275,0.013282270382750759,0,144,0,0.9113924050632911,1.41417107244377,0.9704869241636094,1.550925075915063,0.0,0,1,0,0.006329113924050633,-1.7211229331292395,0.0,-0.29942472399004694,D,2.1493089563608736,0,0.045771239133313144,0.31532895014380763,1.0,0,1.0,0.7107274724835494,0.0979347664928621,0,0.1014076949090812,0.8708994910451254,0.7648949782608702,0,0.10140769490908122,0.8708994910451252,0.008062565508344756,0,144,0,0.9113924050632911,1.41417107244377,0.9708737864077671,1.5506719427820104,0.6150796850224408,0,1,0,0.006329113924050633,-1.7211229331292395,1.0,,0.6070171195140961,0,15,0,0.0949367088607595,-1.41417107244377,0.9987397744859609,-1.539804381582296,0.0,0,1,0,0.006329113924050633,-1.7211229331292395,0.0,-0.2994247358081712,0.008062565508344721,0,144,0,0.9113924050632911,1.41417107244377,0.9708737864077656,1.539804381582121
Actinomycetota,,shrubland_soil phyla,46.75650536599692,0.4675650536599683,1,1.0,9.699152343672367,1,1.0,9.699152343672365,0.005773623390600362,0,124,0,0.7848101265822784,0.9756684143216707,0.6098723848893245,0.6518611114089833,39,0,122,0,0.7721518987341772,0.9318181485094608,0.7959183673469388,0.6474209700317962,22.265454545454546,0,122,0,0.7721518987341772,0.9318181485094608,0.7669758812615955,0.6369350603548876,0.013013168086754446,0,126,0,0.7974683544303798,1.0195186801338807,0.9508246034909363,0.6388279559280587,0.013013168086754455,0,126,0,0.7974683544303798,1.0195186801338807,0.9508246034909345,0.6468621192367645,0.0,0,97,0,0.6139240506329114,0.3836898258568368,0.0,-0.29942472399004694,D,46.95763097216582,1,1.0,9.641834443056304,1.0,0,1.0,0.7107274724835494,0.965752811763123,1,1.0,10.01748898611829,7.542770585078871,1,1.0,10.017488986118291,0.00790131419817786,0,122,0,0.7721518987341772,0.9318181485094608,0.9514563106796118,0.6471458200055248,0.6150796850224408,0,101,0,0.6392405063291139,0.4713903574812566,1.0,,0.607178370824263,0,38,0,0.24050632911392406,-0.9098930156033559,0.9990050851204954,-0.6390116918322896,0.0,0,97,0,0.6139240506329114,0.3836898258568368,0.0,-0.2994247358081712,0.007901314198177856,0,126,0,0.7974683544303798,1.0195186801338807,0.9514563106796138,0.6390116918321149
Aquificota,,shrubland_soil phyla,0.0061147503233631,6.114750323363139e-05,0,0.00013077860022896464,-0.13180664376530263,0,0.00013077860022896352,-0.13180664376530288,0.004804139848643545,0,80,0,0.5063291139240507,0.010962566453052481,0.5074650749829067,-0.10191555271875403,36,0,74,0,0.46835443037974683,-0.12058823098357728,0.7346938775510204,-0.031511640134291564,20.330935251798564,0,74,0,0.46835443037974683,-0.12058823098357728,0.7003376890324476,-0.04707713028712196,0.012811435146258337,0,78,0,0.4936708860759494,-0.03288769935915744,0.9360847152577618,-0.036876663484081786,0.012811435146258352,0,78,0,0.4936708860759494,-0.03288769935915744,0.9360847152577605,-0.030870034512003534,0.0,0,98,0,0.620253164556962,0.40561495876294174,0.0,-0.29942472399004694,D,0.0058926030995092,0,0.00012548765722448916,-0.13080657765478831,1.0,0,1.0,0.7107274724835494,0.0003636790554535,0,0.0003765757148452415,-0.15747585588596688,0.00284042422499,0,0.0003765757148452765,-0.157475855885967,0.007780375715552689,0,74,0,0.46835443037974683,-0.12058823098357728,0.9368932038834952,-0.030498772076841815,0.6150796850224408,0,102,0,0.6455696202531646,0.4933154903873616,1.0,,0.6072993093068881,0,85,0,0.5379746835443038,0.12058823098357728,0.9992040680963964,0.03658282548037032,0.0,0,98,0,0.620253164556962,0.40561495876294174,0.0,-0.2994247358081712,0.007780375715552679,0,78,0,0.4936708860759494,-0.03288769935915744,0.9368932038834965,-0.036582825480544735
Armatimonadota,,shrubland_soil phyla,0.0809901409099398,0.0008099014090993,0,0.0017321683961613868,-0.11606138721597804,0,0.001732168396161593,-0.11606138721597622,0.005194299219539154,0,95,0,0.6012658227848101,0.3398395600446269,0.5486779165413654,0.20143465008950365,38,0,106,0,0.6708860759493671,0.5810160220117815,0.7755102040816326,0.4211100999764336,21.615942028985508,0,106,0,0.6708860759493671,0.5810160220117815,0.7446021887015677,0.40727879344851214,0.012945914844648888,0,102,0,0.6455696202531646,0.4933154903873616,0.9459106550325602,0.4135631764160348,0.012945914844649018,0,102,0,0.6455696202531646,0.4933154903873616,0.9459106550325671,0.42092140520853083,0.0,0,99,0,0.6265822784810127,0.4275400916690467,0.0,-0.29942472399004694,D,0.0805546504471201,0,0.001715475180058997,-0.11526625024743814,1.0,0,1.0,0.7107274724835494,0.0026797515754179,0,0.0027747799879822474,-0.13306501919457642,0.020929528873418,0,0.002774779987982248,-0.1330650191945769,0.007861001370636136,0,106,0,0.6708860759493671,0.5810160220117815,0.9466019417475727,0.4212642893113961,0.6150796850224408,0,103,0,0.6518987341772152,0.5152406232934665,1.0,,0.6072186836518048,0,58,0,0.3670886075949367,-0.4713903574812566,0.9990714127791291,-0.41381351939432276,0.0,0,99,0,0.6265822784810127,0.4275400916690467,0.0,-0.2994247358081712,0.007861001370636056,0,102,0,0.6455696202531646,0.4933154903873616,0.9466019417475657,0.41381351939414823
Atribacterota,,shrubland_soil phyla,0.0027189205242586,2.7189205242586856e-05,0,5.8150636001894e-05,-0.13252073969142567,0,5.8150636001892065e-05,-0.13252073969142594,0.004418732804472207,0,60,0,0.379746835443038,-0.4275400916690467,0.46675422543830597,-0.40157080576248533,35,0,62,0,0.3924050632911392,-0.3836898258568368,0.7142857142857143,-0.25782251018965413,19.695340501792113,0,62,0,0.3924050632911392,-0.3836898258568368,0.6784434203789043,-0.2718123183714162,0.012744208686417097,0,55,0,0.34810126582278483,-0.5371657561995715,0.9311727236814977,-0.2620517357838214,0.012744208686417237,0,55,0,0.34810126582278483,-0.5371657561995715,0.9311727236815055,-0.2567207721504813,0.0,0,100,0,0.6329113924050633,0.4494652245751517,0.0,-0.29942472399004694,D,0.002077145171676,0,4.423445409559161e-05,-0.13160073569778222,0.8852459016393442,0,0.8852459016393442,0.28047865772339325,0.0002965502715965,0,0.0003070664335474251,-0.1581833768145646,0.0023161316626266,0,0.000307066433547426,-0.15818337681456504,0.007740062888010965,0,62,0,0.3924050632911392,-0.3836898258568368,0.9320388349514563,-0.25638030277096563,0.6150796850224408,0,104,0,0.6582278481012658,0.5371657561995715,1.0,,0.6073396221344299,0,104,0,0.6582278481012658,0.5371657561995715,0.9992703957550301,0.2617809979183371,0.0,0,100,0,0.6329113924050633,0.4494652245751517,0.0,-0.2994247358081712,0.007740062888010879,0,55,0,0.34810126582278483,-0.5371657561995715,0.9320388349514486,-0.2617809979185114
Bacillota,,shrubland_soil phyla,1.3185177846467215,0.0131851778464671,0,0.02819966493059569,0.14417351887094304,0,0.02819966493059588,0.14417351887094465,0.003326716120329401,0,14,0,0.08860759493670886,-1.436096205349875,0.35140364324041634,-1.2506173936845124,31,0,24,0,0.1518987341772152,-1.2168448762888253,0.6326530612244898,-1.1630659904111045,17.19787985865724,0,24,0,0.1518987341772152,-1.2168448762888253,0.5924136439027907,-1.1548707252609338,0.012475392067950978,0,14,0,0.08860759493670886,-1.436096205349875,0.9115312764212428,-1.162453179522308,0.01247539206795107,0,14,0,0.08860759493670886,-1.436096205349875,0.911531276421247,-1.1598239805234147,0.0,0,101,0,0.6392405063291139,0.4713903574812566,0.0,-0.29942472399004694,D,1.2808617529249446,0,0.02727696705321818,0.13456838494583442,1.0,0,1.0,0.7107274724835494,0.0618230091346083,0,0.0640153550490227,0.49029041947555274,0.4828531370571487,0,0.06401535504902271,0.4902904194755526,0.00757881157784407,0,24,0,0.1518987341772152,-1.2168448762888253,0.912621359223301,-1.1599064255474512,0.6150796850224408,0,105,0,0.6645569620253164,0.5590908891056765,1.0,,0.6075008734445968,0,145,0,0.9177215189873418,1.436096205349875,0.9995357063895647,1.1625736876683435,0.0,0,101,0,0.6392405063291139,0.4713903574812566,0.0,-0.2994247358081712,0.0075788115778440135,0,14,0,0.08860759493670886,-1.436096205349875,0.9126213592232967,-1.1625736876685175
Bacteroidota,,shrubland_soil phyla,2.4513982027552945,0.0245139820275529,0,0.052429029577091606,0.38240256426340685,0,0.05242902957709159,0.3824025642634065,0.005598499810535434,0,115,0,0.7278481012658228,0.7783422181667261,0.5913739432350883,0.5157019480208046,37,0,88,0,0.5569620253164557,0.18636362970189216,0.7551020408163265,0.19479922992107102,20.971119133574007,0,88,0,0.5569620253164557,0.18636362970189216,0.7223900390481103,0.17928069453424006,0.012878670531742971,0,82,0,0.5189873417721519,0.0548128322652624,0.940997358998148,0.1883283052641906,0.012878670531743045,0,82,0,0.5189873417721519,0.0548128322652624,0.940997358998151,0.19501068928357435,0.0,0,102,0,0.6455696202531646,0.4933154903873616,0.0,-0.29942472399004694,D,2.299959438274922,0,0.04897946064694415,0.34668568219428914,1.0,0,1.0,0.7107274724835494,0.1464652827887458,0,0.15165918339015963,1.382399237981326,1.1439304274323785,0,0.15165918339015969,1.3823992379813264,0.007820688543094412,0,88,0,0.5569620253164557,0.18636362970189216,0.941747572815534,0.19538275861727714,0.6150796850224408,0,106,0,0.6708860759493671,0.5810160220117815,1.0,,0.6072589964793464,0,77,0,0.4873417721518987,-0.0548128322652624,0.9991377404377627,-0.18861534695697624,0.0,0,102,0,0.6455696202531646,0.4933154903873616,0.0,-0.2994247358081712,0.007820688543094367,0,82,0,0.5189873417721519,0.0548128322652624,0.9417475728155311,0.18861534695680174
Balneolota,,shrubland_soil phyla,0.0031555649070926,3.155564907092639e-05,0,6.748932330146919e-05,-0.13242891943146198,0,6.748932330146822e-05,-0.13242891943146223,0.0034500265388382515,0,17,0,0.10759493670886076,-1.37032080663156,0.36442901984189807,-1.1547431349753978,32,0,28,0,0.17721518987341772,-1.1291443446644054,0.6530612244897959,-0.9367551203557419,17.81560283687943,0,28,0,0.17721518987341772,-1.1291443446644054,0.6136922854248082,-0.9364546831313453,0.012542582842985291,0,25,0,0.15822784810126583,-1.1949197433827203,0.9164406606391624,-0.9373976335072901,0.012542582842985444,0,25,0,0.15822784810126583,-1.1949197433827203,0.9164406606391712,-0.9340931278222683,0.0,0,103,0,0.6518987341772152,0.5152406232934665,0.0,-0.29942472399004694,D,0.0026890876821856,0,5.726625527125845e-05,-0.13147336459953846,0.9508196721311476,0,0.9508196721311476,0.5263351233006256,0.0002734634638267,0,0.00028316092947992816,-0.15842670610988507,0.0021358179297253,0,0.0002831609294799952,-0.15842670610988488,0.007619124405385794,0,28,0,0.17721518987341772,-1.1291443446644054,0.9174757281553398,-0.9340248948533274,0.6150796850224408,0,107,0,0.6772151898734177,0.6029411549178864,1.0,,0.6074605606170551,0,134,0,0.8481012658227848,1.1949197433827203,0.9994693787309311,0.9373755152309969,0.0,0,103,0,0.6518987341772152,0.5152406232934665,0.0,-0.2994247358081712,0.007619124405385702,0,25,0,0.15822784810126583,-1.1949197433827203,0.9174757281553313,-0.937375515231171
Bdellovibrionota,,shrubland_soil phyla,0.0493369072195704,0.0004933690721957,0,0.0010551880820299656,-0.12271762341275931,0,0.0010551880820299723,-0.12271762341275948,0.005569084530522121,0,113,0,0.7151898734177216,0.7344919523545161,0.5882667840457458,0.4928314704074717,38,0,118,0,0.7468354430379747,0.8441176168850409,0.7755102040816326,0.4211100999764336,21.615942028985508,0,118,0,0.7468354430379747,0.8441176168850409,0.7446021887015677,0.40727879344851214,0.012945914844648888,0,101,0,0.6392405063291139,0.4713903574812566,0.9459106550325602,0.4135631764160348,0.012945914844649018,0,101,0,0.6392405063291139,0.4713903574812566,0.9459106550325671,0.42092140520853083,0.0,0,104,0,0.6582278481012658,0.5371657561995715,0.0,-0.29942472399004694,D,0.0445693246778401,0,0.0009491391229736142,-0.12275631734553333,1.0,0,1.0,0.7107274724835494,0.0043036726294253,0,0.004456287962101105,-0.11594928930815017,0.0336127577591779,0,0.0044562879621011875,-0.1159492893081498,0.007861001370636136,0,118,0,0.7468354430379747,0.8441176168850409,0.9466019417475727,0.4212642893113961,0.6150796850224408,0,109,0,0.689873417721519,0.6467914207300963,1.0,,0.6072186836518048,0,57,0,0.36075949367088606,-0.4933154903873616,0.9990714127791291,-0.41381351939432276,0.0,0,104,0,0.6582278481012658,0.5371657561995715,0.0,-0.2994247358081712,0.007861001370636056,0,101,0,0.6392405063291139,0.4713903574812566,0.9466019417475657,0.41381351939414823
Caldisericota,,shrubland_soil phyla,0.0005784346141827,5.784346141827587e-06,0,1.2371211442235354e-05,-0.13297085420208582,0,1.2371211442234073e-05,-0.13297085420208607,0.006199271289192608,0,130,0,0.8227848101265823,1.1072192117583004,0.654833907571979,0.9828037620147383,40,0,131,0,0.8291139240506329,1.1291443446644054,0.8163265306122449,0.8737318400871588,22.919708029197082,0,131,0,0.8291139240506329,1.1291443446644054,0.7895128854461494,0.8682676503773685,0.013080430259837923,0,129,0,0.8164556962025317,1.0852940788521954,0.9557392045032088,0.8641226497566088,0.013080430259837988,0,129,0,0.8164556962025317,1.0852940788521954,0.955739204503211,0.8728328373436893,0.0,0,105,0,0.6645569620253164,0.5590908891056765,0.0,-0.29942472399004694,o,0.0,0,0.0,-0.1320330773919519,0.4590163934426229,0,0.4590163934426229,-1.3175883685286152,0.000120594985102,0,0.0001248714822603894,-0.16003790240760177,0.0009418769433095,0,0.00012487148226047383,-0.16003790240760138,0.007941627025719584,0,131,0,0.8291139240506329,1.1291443446644054,0.9563106796116505,0.8730273506996438,0.6150796850224408,0,117,0,0.740506329113924,0.822192483978936,1.0,,0.6071380579967213,0,30,0,0.189873417721519,-1.0852940788521954,0.9989387574618618,-0.8642098642696361,0.0,0,105,0,0.6645569620253164,0.5590908891056765,0.0,-0.2994247358081712,0.007941627025719544,0,129,0,0.8164556962025317,1.0852940788521954,0.9563106796116484,0.8642098642694613
