Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,sludge phyla,0.3338211080964403,0.0033382110809643,0,0.005364912435731842,-0.058669115287130855,0,0.005364912435731997,-0.05866911528712928,0.005625803626945469,0,141,0,0.8867924528301887,1.329021244508315,0.8077489770576591,1.2040907723954242,55,0,152,0,0.9559748427672956,1.5686808131901424,0.9649122807017544,1.7000828803479044,33.29501915708812,0,152,0,0.9559748427672956,1.5686808131901424,0.9575183168649594,1.734921262745865,0.013250388802488404,0,152,0,0.9559748427672956,1.5686808131901424,0.9905744149878887,1.7006675099499433,0.013250388802488336,0,152,0,0.9559748427672956,1.5686808131901424,0.9905744149878838,1.7006675099497683,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.2570772404523103,0,0.003688466546159023,-0.051053116644388066,0.993103448275862,0,0.993103448275862,1.6863122656599738,0.0319538427661959,0,0.01524484352753495,-0.08611689569299359,0.3847752198250065,0,0.015244843527534972,-0.08611689569299355,0.008478624313350848,0,152,0,0.9559748427672956,1.5686808131901424,0.9906976744186046,1.7000828803479107,0.6483560226096649,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.639877398296314,0,8,0,0.050314465408805034,-1.5686808131901424,0.9988194358145893,-1.7000828803483758,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008478624313350891,0,152,0,0.9559748427672956,1.5686808131901424,0.9906976744186095,1.700082880348084
Actinomycetota,,sludge phyla,8.965730609863929,0.0896573060986391,0,0.14409022820206416,1.6573926657431102,0,0.14409022820206419,1.65739266574311,0.0053174316950463625,0,128,0,0.8050314465408805,1.0457872087934281,0.7634731492716048,0.8801616608437763,48,0,91,0,0.5723270440251572,0.2396595686818273,0.8421052631578947,0.2344033715739176,28.29850746268657,0,91,0,0.5723270440251572,0.2396595686818273,0.8138256087981148,0.21759873598455254,0.01280935207063801,0,91,0,0.5723270440251572,0.2396595686818273,0.9576033294482079,0.23412588701028525,0.012809352070637981,0,91,0,0.5723270440251572,0.2396595686818273,0.9576033294482058,0.2341258870102687,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,6.6271625657787965,0,0.09508452547889801,1.100216395004969,1.0,0,1.0,1.7228016029272488,0.5614043880576566,1,0.26784015037667336,2.325716084420178,6.760204035745284,1,0.26784015037667336,2.3257160844201774,0.00819998407770082,0,91,0,0.5723270440251572,0.2396595686818273,0.9581395348837208,0.23440337157392566,0.6483560226096649,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.640156038531964,0,68,0,0.4276729559748428,-0.26144680219835703,0.9992543805144775,-0.2344033715742318,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.00819998407770084,0,91,0,0.5723270440251572,0.2396595686818273,0.9581395348837229,0.23440337157393984
Aquificota,,sludge phyla,0.00864152716752,8.64152716751998e-05,0,0.0001388798833875727,-0.12331625398677433,0,0.00013887988338757274,-0.12331625398677466,0.003828104659086148,0,43,0,0.27044025157232704,-0.8061276401116009,0.5496366079392248,-0.684301033920173,43,0,40,0,0.25157232704402516,-0.8714893406611902,0.7543859649122807,-0.8125105632646443,24.88644688644689,0,40,0,0.25157232704402516,-0.8714893406611902,0.7156995051731896,-0.8185634290722309,0.012494560825511387,0,40,0,0.25157232704402516,-0.8714893406611902,0.934070121620672,-0.8126224452165988,0.012494560825511283,0,40,0,0.25157232704402516,-0.8714893406611902,0.9340701216206644,-0.8126224452168409,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,s,0.0040129889985215,0,5.757715325210437e-05,-0.09678957735218575,0.7034482758620689,0,0.7034482758620689,0.1537601004344288,0.0013428278588228,0,0.0006406490994511916,-0.22556080781078347,0.0161697886650521,0,0.0006406490994511999,-0.22556080781078355,0.0080009553379508,0,40,0,0.25157232704402516,-0.8714893406611902,0.9348837209302324,-0.8125105632646389,0.6483560226096649,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.640355067271714,0,124,0,0.779874213836478,0.9586382747273092,0.9995650553001119,0.8125105632641088,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.008000955337950866,0,40,0,0.25157232704402516,-0.8714893406611902,0.93488372093024,-0.8125105632644009
Armatimonadota,,sludge phyla,0.039602294220375,0.0003960229422037,0,0.0006364571789900137,-0.11716111658178914,0,0.0006364571789900928,-0.11716111658178849,0.004401060888081144,0,80,0,0.5031446540880503,0.0,0.631901265321303,-0.08243950562435057,46,0,70,0,0.44025157232704404,-0.21787233516529755,0.8070175438596491,-0.18436220236150716,26.918518518518518,0,70,0,0.44025157232704404,-0.21787233516529755,0.7741390513320339,-0.20147129521619206,0.01268341208654573,0,70,0,0.44025157232704404,-0.21787233516529755,0.9481882905444162,-0.18465154200063696,0.012683412086545635,0,70,0,0.44025157232704404,-0.21787233516529755,0.9481882905444092,-0.18465154200086373,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.03106798110758,0,0.00044575400284517703,-0.09189991167859816,0.9586206896551724,0,0.9586206896551724,1.5038655793235998,0.0034831833451479,0,0.001661790272394744,-0.21581073767298947,0.041943081685873,0,0.0016617902723947608,-0.21581073767298942,0.008120372581800811,0,70,0,0.44025157232704404,-0.21787233516529755,0.9488372093023254,-0.1843622023615038,0.6483560226096649,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.640235650027864,0,86,0,0.5408805031446541,0.13072340109917852,0.9993786504287312,0.18436220236098763,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.008120372581800872,0,70,0,0.44025157232704404,-0.21787233516529755,0.9488372093023323,-0.18436220236127965
Atribacterota,,sludge phyla,0.0089627897578083,8.962789757808361e-05,0,0.00014404296512198384,-0.12325238556313577,0,0.00014404296512198256,-0.12325238556313611,0.004884798921782667,0,108,0,0.6792452830188679,0.6100425384628332,0.7013560361943559,0.4257028227505403,51,0,123,0,0.7735849056603774,0.9368510412107794,0.8947368421052632,0.8625517324770549,30.40754716981132,0,123,0,0.7735849056603774,0.9368510412107794,0.8744786494538233,0.8580642553668206,0.012998320791093995,0,123,0,0.7735849056603774,0.9368510412107794,0.9717302794197848,0.8624873679681949,0.012998320791093972,0,123,0,0.7735849056603774,0.9368510412107794,0.9717302794197833,0.862487367968188,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,s,0.0018998404134052,0,2.7258336037670165e-05,-0.09717148801984306,0.6275862068965518,0,0.6275862068965518,-0.2476226095055945,0.0019077117489236,0,0.0009101492837896512,-0.22298756351403856,0.0229718914537375,0,0.0009101492837896792,-0.22298756351403848,0.008319401321550832,0,123,0,0.7735849056603774,0.9368510412107794,0.9720930232558138,0.8625517324770607,0.6483560226096649,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.640036621288114,0,36,0,0.22641509433962265,-0.9586382747273092,0.9990679756430968,-0.862551732477353,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.008319401321550846,0,123,0,0.7735849056603774,0.9368510412107794,0.9720930232558153,0.8625517324770611
Bacillota,,sludge phyla,8.789869979903136,0.0878986997990312,0,0.14126393334607878,1.6224307948150356,0,0.14126393334607876,1.6224307948150347,0.00687528400526022,1,158,0,0.9937106918238994,1.6994042142893209,0.987148501883473,2.5166066889903833,57,1,159,0,1.0,1.7211914478058505,1.0,2.118848454283329,34.77220077220077,1,159,0,1.0,1.7211914478058505,1.0,2.1835064113085036,0.013376469856280722,1,159,0,1.0,1.7211914478058505,1.0,2.1199140259368483,0.01337646985628072,1,159,0,1.0,1.7211914478058505,1.0,2.1199140259368834,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,1.6914352757137336,0,0.02426820211111109,0.2081793096812537,1.0,0,1.0,1.7228016029272488,1.366579011386012,1,0.6519805254419281,5.993568971840461,16.455790414997136,1,0.6519805254419281,5.99356897184046,0.008558235809250856,1,159,0,1.0,1.7211914478058505,1.0,2.11884845428334,0.6483560226096649,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.639797786800414,0,2,0,0.012578616352201259,-1.6994042142893209,0.9986951659003356,-2.118848454283595,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.008558235809250858,1,159,0,1.0,1.7211914478058505,1.0,2.1188484542833037
Bacteroidota,,sludge phyla,6.651902720212722,0.066519027202127,0,0.10690419137497684,1.1973934490577105,0,0.10690419137497699,1.1973934490577118,0.005305843922057279,0,126,0,0.7924528301886793,1.0022127417603688,0.7618093848747323,0.867989291633325,52,0,137,0,0.8616352201257862,1.241872310442196,0.9122807017543859,1.0719345194447671,31.12121212121212,0,137,0,0.8616352201257862,1.241872310442196,0.895002658160553,1.0747874361678915,0.01306132603557664,0,137,0,0.8616352201257862,1.241872310442196,0.9764404342782479,1.071993304377665,0.013061326035576566,0,137,0,0.8616352201257862,1.241872310442196,0.9764404342782425,1.0719933043774805,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,2.743944597239453,0,0.039369287742564776,0.3983999787485408,1.0,0,1.0,1.7228016029272488,0.7381706321017694,1,0.35217347301082513,3.1309483406673237,8.888751481740348,1,0.35217347301082513,3.1309483406673237,0.008359207069500836,0,137,0,0.8616352201257862,1.241872310442196,0.9767441860465116,1.0719345194447756,0.6483560226096649,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.639996815540164,0,23,0,0.14465408805031446,-1.241872310442196,0.9990058406859699,-1.0719345194452548,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.008359207069500885,0,137,0,0.8616352201257862,1.241872310442196,0.976744186046517,1.0719345194449628
Balneolota,,sludge phyla,0.0046567893428963,4.656789342896362e-05,0,7.484028556118553e-05,-0.12410843748763958,0,7.48402855611844e-05,-0.12410843748763993,0.0043172492110659325,0,73,0,0.4591194968553459,-0.1525106346157083,0.6198676429512876,-0.17047943165132065,47,0,78,0,0.49056603773584906,-0.04357446703305951,0.8245614035087719,0.025020584606205223,27.605947955390334,0,78,0,0.49056603773584906,-0.04357446703305951,0.7939085632296355,0.00728477980574002,0.01274637816327797,0,78,0,0.49056603773584906,-0.04357446703305951,0.9528955172947292,0.024724153247272417,0.012746378163277994,0,78,0,0.49056603773584906,-0.04357446703305951,0.9528955172947311,0.02472415324743917,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,s,0.0012598456940993,0,1.8075885239128338e-05,-0.09728715466641434,0.6620689655172414,0,0.6620689655172414,-0.06517592316922032,0.0009696846854147,0,0.00046262640172445,-0.227260605874896,0.0116765498510277,0,0.0004626264017244553,-0.2272606058748961,0.008160178329750816,0,78,0,0.49056603773584906,-0.04357446703305951,0.9534883720930232,0.02502058460621093,0.6483560226096649,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.640195844279914,0,73,0,0.4591194968553459,-0.1525106346157083,0.9993165154716044,-0.02502058460633009,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.0081601783297508,0,78,0,0.49056603773584906,-0.04357446703305951,0.9534883720930212,0.025020584606038097
Bdellovibrionota,,sludge phyla,0.0709078378734893,0.0007090783787348,0,0.001139575455151868,-0.11093743606399922,0,0.0011395754551520151,-0.11093743606399772,0.003578895563395511,0,28,0,0.1761006289308176,-1.1329361428595472,0.5138553390813084,-0.9460825795378517,41,0,22,0,0.13836477987421383,-1.2636595439587257,0.7192982456140351,-1.2312761372000691,23.55636363636364,0,22,0,0.13836477987421383,-1.2636595439587257,0.6774481658692186,-1.222478280323458,0.012368699111193976,0,22,0,0.13836477987421383,-1.2636595439587257,0.9246609340196313,-1.2311396104572383,0.012368699111193985,0,22,0,0.13836477987421383,-1.2636595439587257,0.9246609340196321,-1.2311396104570966,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.03686771862557,0,0.000528966883822005,-0.09085172148348668,0.9241379310344828,0,0.9241379310344828,1.3214188929872255,0.0091401695090195,0,0.004360679089513361,-0.19004118106490514,0.1100622156090529,0,0.004360679089513402,-0.19004118106490483,0.007921343842050793,0,22,0,0.13836477987421383,-1.2636595439587257,0.9255813953488372,-1.2312761372000594,0.6483560226096649,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6404346787676141,0,136,0,0.8553459119496856,1.2200850769256664,0.9996893252143657,1.2312761371999121,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.007921343842050788,0,22,0,0.13836477987421383,-1.2636595439587257,0.9255813953488364,-1.2312761372002043
Caldisericota,,sludge phyla,0.0014673622407762,1.4673622407762118e-05,0,2.358230124558091e-05,-0.12474250969984359,0,2.3582301245580675e-05,-0.12474250969984392,0.005928542576200767,0,147,0,0.9245283018867925,1.4597446456074936,0.8512160251084012,1.5221027206956779,53,0,144,0,0.9056603773584906,1.3943829450579044,0.9298245614035088,1.2813173064124797,31.840304182509506,0,144,0,0.9056603773584906,1.3943829450579044,0.9156827429791209,1.2931587019940656,0.013124339117994608,0,144,0,0.9056603773584906,1.3943829450579044,0.9811511750861734,1.2815253036013112,0.013124339117994651,0,144,0,0.9056603773584906,1.3943829450579044,0.9811511750861768,1.2815253036015144,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,s,0.0001305618178383,0,1.8732615009208222e-06,-0.09749125084885753,0.5448275862068965,0,0.5448275862068965,-0.6854946567128933,0.0002842074201398,0,0.0001355923818333116,-0.23038319530314502,0.0034223105296081,0,0.00013559238183331716,-0.23038319530314513,0.00839901281745084,0,144,0,0.9056603773584906,1.3943829450579044,0.9813953488372094,1.2813173064124903,0.6483560226096649,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.639957009792214,0,20,0,0.12578616352201258,-1.3072340109917853,0.9989437057288432,-1.2813173064125725,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.008399012817450813,0,144,0,0.9056603773584906,1.3943829450579044,0.9813953488372059,1.2813173064122805
