id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.020344835968811256,-1.6915458073160934,2.03448359688113,2.1803713255021226,0.3537029350157188,0.9525106920891773,1.0
1,Actinomycetota,0.18472603713185773,-0.7334718864453186,18.472603713185812,13.228713806989887,2.1459807535020397,13.02931617482248,1.0
2,Aquificota,5.431737138072666e-05,-4.265061255341472,0.005431737138072676,0.003280666224869764,0.000532194337254067,0.0059024371967465504,1.0
3,Armatimonadota,0.0006790315484480597,-3.1681100475183026,0.06790315484480612,0.03471641404037172,0.005631746022193059,0.07029133441900014,1.0
4,Atribacterota,3.872187857593833e-05,-4.412043581235206,0.0038721878575938415,0.0023788416225539876,0.0003858990686557169,0.0035530956210643814,1.0
5,Bacillota,0.05761439981233651,-1.2394689579403513,5.76143998123366,10.696963925369182,1.735276689757889,2.345227566372421,1.0
6,Bacteroidota,0.01840656344449363,-1.7350272878897532,1.8406563444493669,1.3715765764044074,0.2224991014139889,1.4090217151349538,1.0
7,Balneolota,2.1188511392582318e-05,-4.673899553751524,0.002118851139258237,0.0012567313696276495,0.00020386874876060694,0.0021979590140773332,0.9473684210526315
8,Bdellovibrionota,0.00035509660985725064,-3.449653473931325,0.035509660985725146,0.016483631721011367,0.0026739981631785812,0.03694157225970006,1.0
9,Caldisericota,1.1576820534426414e-05,-4.936410699153652,0.001157682053442644,0.0009967097533626543,0.00016168767264538163,0.0009176867236029473,0.8947368421052632
10,Calditrichota,4.999060035384746e-05,-4.3011116476283355,0.004999060035384756,0.0028934064473391586,0.0004693725057962692,0.005113412073188843,1.0
11,Campylobacterota,0.0007381781824995185,-3.1318387949031505,0.07381781824995201,0.05631477454132107,0.00913546275675159,0.053455362868670094,1.0
12,Candidatus.Abawacabacteria,5.49842763513832e-06,-5.259761486326204,0.0005498427635138334,0.00041192453703932174,6.682298379715021e-05,0.0004758946296642152,0.8157894736842105
13,Candidatus.Absconditabacteria,6.430247524397858e-06,-5.1917723091269306,0.0006430247524397874,0.0004901921060739876,7.951966007440377e-05,0.0005259813102894246,0.8947368421052632
14,Candidatus.Adlerbacteria,2.401765887767029e-05,-4.619469327743307,0.0024017658877670345,0.0012429349853600154,0.00020163067969824523,0.0025012351189803053,1.0
15,Candidatus.Aenigmarchaeota,1.0134933970761838e-06,-5.994179076396447,0.00010134933970761861,0.00014975631209670885,2.4293681771630117e-05,0.0,0.4473684210526316
16,Candidatus.Altiarchaeota,5.685141414845572e-06,-5.245258727999422,0.0005685141414845582,0.000960775016894747,0.00015585828862759826,0.00035281215373160994,0.7105263157894737
17,Candidatus.Amesbacteria,5.1709343123093946e-05,-4.286430979145887,0.005170934312309407,0.007446729398181745,0.0012080190257492708,0.002266281772361694,1.0
18,Candidatus.Aminicenantes,0.0009286531608890443,-3.032146458705674,0.09286531608890468,0.09155030903280274,0.014851421236261748,0.060277331951445134,1.0
19,Candidatus.Andersenbacteria,1.1943202850083665e-05,-4.92287919133152,0.0011943202850083691,0.0008945863197526025,0.00014512106411440593,0.0010588183285318417,0.868421052631579
20,Candidatus.Azambacteria,3.162786955570137e-05,-4.4999300610518445,0.0031627869555701446,0.002001550851345095,0.000324694423570689,0.0028822310404617167,1.0
21,Candidatus.Bathyarchaeota,4.157692306764118e-05,-4.3811476541144625,0.004157692306764128,0.004113844804330153,0.0006673537504698412,0.002117958940666814,1.0
22,Candidatus.Beckwithbacteria,2.9483721579057694e-05,-4.530417698586452,0.0029483721579057764,0.002011849479391731,0.0003263650816481114,0.0025355729437072988,0.9210526315789473
