Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,soil,forest soil,3.745595359250652,0.0374559535925064,0,0.06923089294294159,0.6291261183132028,0,0.0692308929429417,0.629126118313204,0.004610129751920803,0,113,0,0.710691823899371,0.7189787060454819,0.7402832318266194,0.42549045203990543,53,0,98,0,0.6163522012578616,0.3921702032975356,0.8548387096774194,0.3333229117871792,31.840304182509506,0,98,0,0.6163522012578616,0.3921702032975356,0.8255856739850362,0.31764639929701977,0.0128267477203647,0,98,0,0.6163522012578616,0.3921702032975356,0.9585661785023382,0.3330758814855762,0.012826747720364741,0,98,0,0.6163522012578616,0.3921702032975356,0.9585661785023487,0.3330758814857896,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,3.566362928865572,0,0.06419519129871273,0.5887318542787059,1.0,0,1.0,0.6087956979138335,0.1428703651000819,0,0.1958266796250462,1.7126944324496651,2.0703882865309216,0,0.19582667962504618,1.712694432449664,0.00839901281745084,0,98,0,0.6163522012578616,0.3921702032975356,0.9590909090909092,0.33332291178716966,0.6632035665950163,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6548045537775655,0,66,0,0.41509433962264153,-0.3050212692314166,0.9992710484752765,-0.3333229117870443,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008399012817450813,0,98,0,0.6163522012578616,0.3921702032975356,0.9590909090908987,0.3333229117869731
Actinomycetota,soil,forest soil,31.81380929896092,0.3181380929896087,1,0.5880235888919301,6.2949416874726625,1,0.5880235888919301,6.294941687472663,0.00478320906981091,0,125,0,0.7861635220125787,0.980425508243839,0.7680758805599118,0.6558215200145218,55,0,126,0,0.7924528301886793,1.0022127417603688,0.8870967741935484,0.8002686648634922,33.29501915708812,0,126,0,0.7924528301886793,1.0022127417603688,0.8633049066864417,0.7914590318784775,0.012949902723735475,0,126,0,0.7924528301886793,1.0022127417603688,0.9677697758224241,0.8001376086841422,0.01294990272373541,0,126,0,0.7924528301886793,1.0022127417603688,0.9677697758224266,0.800137608683924,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,30.41822704228193,1,0.5475337039150143,5.960757716864215,1.0,0,1.0,0.6087956979138335,0.729575588850503,1,1.0,9.452856622850513,10.572554722855646,1,1.0,9.452856622850511,0.008478624313350848,0,126,0,0.7924528301886793,1.0022127417603688,0.9681818181818183,0.8002686648634776,0.6632035665950163,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6547249422816654,0,25,0,0.15723270440251572,-1.1982978434091365,0.999149556554489,-0.8002686648637934,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008478624313350891,0,126,0,0.7924528301886793,1.0022127417603688,0.9681818181818157,0.8002686648637222
Aquificota,soil,forest soil,0.003699329126306,3.6993291263060135e-05,0,6.837574114125219e-05,-0.12620846874650024,0,6.837574114125183e-05,-0.12620846874650046,0.004764321253212401,0,124,0,0.779874213836478,0.9586382747273092,0.7650429216919175,0.6306859288770211,55,0,127,0,0.7987421383647799,1.0239999752768985,0.8870967741935484,0.8002686648634922,33.29501915708812,0,127,0,0.7987421383647799,1.0239999752768985,0.8633049066864417,0.7914590318784775,0.012949902723735475,0,127,0,0.7987421383647799,1.0239999752768985,0.9677697758224241,0.8001376086841422,0.01294990272373541,0,127,0,0.7987421383647799,1.0239999752768985,0.9677697758224266,0.800137608683924,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.0030304024997933,0,5.45478046027718e-05,-0.12415401493976644,0.9809523809523808,0,0.9809523809523808,0.49554794597665847,0.0004407736706656,0,0.0006041507931482048,-0.16632094656658045,0.0063874173214164,0,0.0006041507931482392,-0.16632094656658045,0.008478624313350848,0,127,0,0.7987421383647799,1.0239999752768985,0.9681818181818183,0.8002686648634776,0.6632035665950163,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6547249422816654,0,33,0,0.20754716981132076,-1.0239999752768985,0.999149556554489,-0.8002686648637934,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.008478624313350891,0,127,0,0.7987421383647799,1.0239999752768985,0.9681818181818157,0.8002686648637222
Armatimonadota,soil,forest soil,0.0559303519205853,0.0005593035192058,0,0.0010337764319660499,-0.11566517793446023,0,0.0010337764319661462,-0.11566517793445942,0.005828515820388237,1,154,0,0.9685534591194969,1.6122552802232017,0.9359286528696615,2.0468983000514136,60,0,156,0,0.9811320754716981,1.6558297472562613,0.967741935483871,1.967633047554275,37.03125,0,156,0,0.9811320754716981,1.6558297472562613,0.9601814516129032,2.008380148762498,0.01325792130389831,0,156,0,0.9811320754716981,1.6558297472562613,0.9907885643517746,1.968289012382954,0.013257921303898315,0,156,0,0.9811320754716981,1.6558297472562613,0.9907885643517828,1.9682890123829464,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.0601654246695551,0,0.0010829887544448408,-0.11272349319055197,1.0,0,1.0,0.6087956979138335,0.0023975466696879,0,0.0032862210665044337,-0.14050604025739008,0.0347437520570191,0,0.003286221066504427,-0.1405060402573905,0.008677653053100868,0,156,0,0.9811320754716981,1.6558297472562613,0.990909090909091,1.9676330475542627,0.6632035665950163,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6545259135419155,0,5,0,0.031446540880503145,-1.6340425137397316,0.998845826752521,-1.9676330475543637,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.008677653053100864,0,156,0,0.9811320754716981,1.6558297472562613,0.990909090909083,1.9676330475542927
Atribacterota,soil,forest soil,0.0014004336019136,1.4004336019136549e-05,0,2.5884608311555365e-05,-0.12667252100440132,0,2.588460831155431e-05,-0.12667252100440157,0.002609686630736525,0,1,0,0.006289308176100629,-1.7211914478058505,0.4190570237749665,-2.2366658710939875,41,0,1,0,0.006289308176100629,-1.7211914478058505,0.6612903225806451,-2.468351606670699,23.55636363636364,0,1,0,0.006289308176100629,-1.7211914478058505,0.610791788856305,-2.3805011738759405,0.012088446118333124,0,1,0,0.006289308176100629,-1.7211914478058505,0.9033915574159698,-2.4669112241959446,0.01208844611833313,0,1,0,0.006289308176100629,-1.7211914478058505,0.9033915574159773,-2.466911224195721,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.0011243737279807,0,2.023893473509367e-05,-0.12453533803203895,0.9428571428571428,0,0.9428571428571428,0.2690524421023113,8.12840166865902e-05,0,0.00011141274177588481,-0.17106354662352533,0.0011779173092489,0,0.00011141274177588221,-0.1710635466235257,0.007921343842050793,0,1,0,0.006289308176100629,-1.7211914478058505,0.9045454545454547,-2.4683516066707085,0.6632035665950163,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6552822227529655,1,159,0,1.0,1.7211914478058505,1.0,2.4683516066708457,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.007921343842050788,0,1,0,0.006289308176100629,-1.7211914478058505,0.9045454545454471,-2.468351606670917
Bacillota,soil,forest soil,1.1501601482976878,0.0115016014829768,0,0.02125873364761028,0.10521471951353403,0,0.02125873364761039,0.10521471951353505,0.004414510692029814,0,93,0,0.5849056603773585,0.2832340357148868,0.7088712070777172,0.16516387154407744,53,0,110,0,0.6918238993710691,0.6536170054958926,0.8548387096774194,0.3333229117871792,31.840304182509506,0,110,0,0.6918238993710691,0.6536170054958926,0.8255856739850362,0.31764639929701977,0.0128267477203647,0,110,0,0.6918238993710691,0.6536170054958926,0.9585661785023382,0.3330758814855762,0.012826747720364741,0,110,0,0.6918238993710691,0.6536170054958926,0.9585661785023487,0.3330758814857896,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,1.0711075234573926,0,0.019280133217319438,0.08952716163647251,1.0,0,1.0,0.6087956979138335,0.070384387697708,0,0.09647305745056997,0.7564165625550355,1.0199666791773476,0,0.09647305745056997,0.756416562555035,0.00839901281745084,0,110,0,0.6918238993710691,0.6536170054958926,0.9590909090909092,0.33332291178716966,0.6632035665950163,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6548045537775655,0,60,0,0.37735849056603776,-0.4357446703305951,0.9992710484752765,-0.3333229117870443,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.008399012817450813,0,110,0,0.6918238993710691,0.6536170054958926,0.9590909090908987,0.3333229117869731
Bacteroidota,soil,forest soil,2.2747309594014307,0.0227473095940142,0,0.042044492375658264,0.33221921733658405,0,0.042044492375658396,0.33221921733658527,0.004334134181315018,0,86,0,0.5408805031446541,0.13072340109917852,0.695964545808562,0.05820015237361754,52,0,83,0,0.5220125786163522,0.06536170054958926,0.8387096774193549,0.09985003524902268,31.12121212121212,0,83,0,0.5220125786163522,0.06536170054958926,0.8069403714565005,0.08343220023686682,0.01276518144793637,0,83,0,0.5220125786163522,0.06536170054958926,0.953965219025092,0.09958760451333677,0.012765181447936296,0,83,0,0.5220125786163522,0.06536170054958926,0.9539652190250939,0.09958760451312121,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,1.5570129843746123,0,0.02802652124311474,0.1867381668684936,1.0,0,1.0,0.6087956979138335,0.18226155137357,1,0.2498185988661377,2.2323662510847564,2.6412208072993644,1,0.24981859886613772,2.232366251084756,0.008359207069500836,0,83,0,0.5220125786163522,0.06536170054958926,0.9545454545454547,0.09985003524901057,0.6632035665950163,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6548443595255155,0,75,0,0.4716981132075472,-0.10893616758264878,0.99933179443567,-0.09985003524932093,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.008359207069500885,0,83,0,0.5220125786163522,0.06536170054958926,0.9545454545454528,0.09985003524924971
Balneolota,soil,forest soil,0.0025196512873826,2.5196512873826173e-05,0,4.6571423712258576e-05,-0.12644659708201605,0,4.6571423712258176e-05,-0.12644659708201628,0.0036187202904208325,0,33,0,0.20754716981132076,-1.0239999752768985,0.5810851528751759,-0.893860715107719,48,0,37,0,0.23270440251572327,-0.9368510412107794,0.7741935483870968,-0.8340414709036034,28.29850746268657,0,37,0,0.23270440251572327,-0.9368510412107794,0.733750601829562,-0.8359459244320908,0.012518991188088757,0,37,0,0.23270440251572327,-0.9368510412107794,0.9355669732880256,-0.8340817133113609,0.012518991188088727,0,37,0,0.23270440251572327,-0.9368510412107794,0.9355669732880307,-0.8340817133113582,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,D,0.0021517150374639,0,3.873126801882996e-05,-0.12432980652551352,0.9571428571428572,0,0.9571428571428572,0.35398825605519213,0.0001903028368821,0,0.0002608404664168319,-0.16962530589213148,0.0027577501051282,0,0.00026084046641693164,-0.1696253058921309,0.00819998407770082,0,37,0,0.23270440251572327,-0.9368510412107794,0.9363636363636365,-0.8340414709036156,0.6632035665950163,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6550035825173155,0,126,0,0.7924528301886793,1.0022127417603688,0.9995747782772445,0.8340414709035261,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.00819998407770084,0,37,0,0.23270440251572327,-0.9368510412107794,0.9363636363636314,-0.8340414709035973
Bdellovibrionota,soil,forest soil,0.0345200752398312,0.0003452007523983,0,0.0006380442637533288,-0.1199870303764563,0,0.0006380442637533499,-0.1199870303764563,0.003951737816848543,0,51,0,0.32075471698113206,-0.6318297719793629,0.6345602835081255,-0.45068654819159254,50,0,62,0,0.389937106918239,-0.3921702032975356,0.8064516129032258,-0.3670957178272904,29.69924812030075,0,62,0,0.389937106918239,-0.3921702032975356,0.7700703371331554,-0.3797131708369694,0.012642071354768095,0,62,0,0.389937106918239,-0.3921702032975356,0.9447649779260938,-0.36730380206345853,0.012642071354768126,0,62,0,0.389937106918239,-0.3921702032975356,0.9447649779261035,-0.36730380206324914,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.0326542084991,0,0.0005877817830432002,-0.11822743005521914,1.0,0,1.0,0.6087956979138335,0.0012064134558547,0,0.0016535825407145107,-0.15622017384990827,0.0174825919004632,0,0.0016535825407145448,-0.15622017384990827,0.008279595573600827,0,62,0,0.389937106918239,-0.3921702032975356,0.9454545454545454,-0.3670957178273076,0.6632035665950163,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6549239710214155,0,106,0,0.6666666666666666,0.5664680714297736,0.9994532863564574,0.36709571782742817,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008279595573600806,0,62,0,0.389937106918239,-0.3921702032975356,0.9454545454545358,-0.3670957178274994
Caldisericota,soil,forest soil,0.000436688917195,4.366889171950738e-06,0,8.071444129979287e-06,-0.12686706133572065,0,8.07144412997791e-06,-0.12686706133572093,0.0030487965265396967,0,6,0,0.03773584905660377,-1.6122552802232017,0.48956820464938416,-1.652305749437025,45,0,10,0,0.06289308176100629,-1.5251063461570828,0.7258064516129032,-1.534460100518073,26.236162361623617,0,10,0,0.06289308176100629,-1.5251063461570828,0.6802761576002857,-1.5076686871053524,0.012334427026370193,0,10,0,0.06289308176100629,-1.5251063461570828,0.9217741579115943,-1.5340358669538392,0.012334427026370156,0,10,0,0.06289308176100629,-1.5251063461570828,0.9217741579115988,-1.5340358669538274,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,D,0.0002880427300031,0,5.184822331201797e-06,-0.12470265571739,0.8142857142857143,0,0.8142857142857143,-0.4953698834736133,3.886445968150981e-05,0,5.326995622584284e-05,-0.17162317049932016,0.0005631995272818,0,5.3269956225838285e-05,-0.17162317049932055,0.008080566833850809,0,10,0,0.06289308176100629,-1.5251063461570828,0.9227272727272728,-1.5344601005180825,0.6632035665950163,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6551229997611655,0,150,0,0.9433962264150944,1.5251063461570828,0.9997570161584254,1.5344601005179985,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.008080566833850833,0,10,0,0.06289308176100629,-1.5251063461570828,0.9227272727272685,-1.5344601005180698
