id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.008004120823278883,-2.09668636425281,0.8004120823278893,0.46829352636751115,0.08151943936928412,0.679995940322741,1.0
1,Actinomycetota,0.35901164522246765,-0.4448914640293876,35.90116452224682,16.001391019662577,2.785484640733415,36.87196110210704,1.0
2,Aquificota,2.8661350580184084e-05,-4.542703348631577,0.002866135058018413,0.006551840551559357,0.0011405290454109393,0.0,0.42424242424242425
3,Armatimonadota,0.00044918784619276796,-3.3475720030847183,0.044918784619276855,0.05279952761559615,0.009191218002891114,0.032252862441540006,0.8484848484848485
4,Atribacterota,8.960380711919334e-06,-5.047673537483726,0.0008960380711919346,0.0023082431899482617,0.000401813563881896,0.0,0.21212121212121213
5,Bacillota,0.009172772136364665,-2.0374993948003275,0.9172772136364677,0.7024466695200826,0.12228026966394272,0.7816407195289101,1.0
6,Bacteroidota,0.08263454886612337,-1.0828383395456211,8.26345488661235,6.132273851386785,1.067491857727831,6.630091128882282,1.0
7,Balneolota,3.054088307162108e-05,-4.515118409729252,0.003054088307162115,0.0079398600613416,0.001382152228094609,0.0,0.3939393939393939
8,Bdellovibrionota,0.00041966105118441943,-3.377101335865024,0.04196610511844202,0.047231115704040365,0.008221881909931696,0.03536067892503006,0.8484848484848485
9,Caldisericota,8.119821810815394e-07,-6.090453501230343,8.119821810815417e-05,0.00033058891251088384,5.7548142974837934e-05,0.0,0.06060606060606061
10,Calditrichota,3.08504096644271e-05,-4.510739064570161,0.003085040966442715,0.007120861036250887,0.001239582797576816,0.0,0.3939393939393939
11,Campylobacterota,0.000530325042567902,-3.27545786450455,0.05303250425679028,0.06346368817775389,0.01104761007628673,0.03297908301659004,0.7272727272727273
12,Candidatus.Abawacabacteria,2.2421429750143477e-06,-5.64933669714694,0.00022421429750143517,0.0006737092917269505,0.00011727773429940096,0.0,0.15151515151515152
13,Candidatus.Absconditabacteria,1.7364638529593366e-06,-5.760334252735419,0.0001736463852959339,0.0006458404679056888,0.0001124263947743534,0.0,0.12121212121212122
14,Candidatus.Adlerbacteria,2.4354518369738404e-05,-4.613420454531266,0.0024354518369738443,0.007278987914203231,0.0012671091538343528,0.0,0.3333333333333333
15,Candidatus.Aenigmarchaeota,2.4085196082398333e-07,-6.618249813656919,2.408519608239837e-05,0.00013835891774948973,2.408519608239837e-05,0.0,0.030303030303030304
16,Candidatus.Altiarchaeota,3.82372856621013e-06,-5.417512944424462,0.0003823728566210135,0.0014618414823343079,0.000254473938623559,0.0,0.09090909090909091
17,Candidatus.Amesbacteria,1.423412360279539e-05,-4.846669267272693,0.0014234123602795408,0.00457426568250759,0.0007962774477295115,0.0,0.24242424242424243
18,Candidatus.Aminicenantes,0.00017537334184530027,-3.756036422197885,0.01753733418453005,0.017346228021697475,0.003019590713690138,0.01563854118474004,0.7272727272727273
19,Candidatus.Andersenbacteria,9.092069918834029e-06,-5.041337233170665,0.0009092069918834037,0.0025002244502506546,0.00043523321166275724,0.0,0.21212121212121213
20,Candidatus.Azambacteria,8.221476433250048e-06,-5.085050183769537,0.0008221476433250059,0.0016207180317118492,0.00028213079592553106,0.0,0.36363636363636365
21,Candidatus.Bathyarchaeota,1.0751059873615786e-05,-4.9685487195089975,0.0010751059873615797,0.0025012905118058696,0.0004354187891593935,0.0,0.30303030303030304
22,Candidatus.Beckwithbacteria,7.175104756358258e-06,-5.1441717538586085,0.0007175104756358269,0.0019377723039531866,0.00033732286044804277,0.0,0.2727272727272727
23,Candidatus.Berkelbacteria,2.4430740830811266e-05,-4.612063363404985,0.0024430740830811313,0.004905190460658454,0.0008538840574076734,0.0,0.42424242424242425
24,Candidatus.Bipolaricaulota,4.348121829005171e-05,-4.361698296020094,0.004348121829005178,0.011810238110159283,0.002055898566495179,0.0,0.3333333333333333
25,Candidatus.Blackallbacteria,3.955949087372477e-06,-5.402749306360874,0.0003955949087372483,0.0008656908732481045,0.00015069743799727117,0.0,0.21212121212121213
26,Candidatus.Blackburnbacteria,4.276201447496664e-06,-5.368941843810444,0.0004276201447496672,0.001702943592415543,0.00029644442879247303,0.0,0.15151515151515152
27,Candidatus.Brennerbacteria,1.1916697948657339e-05,-4.923844068534051,0.001191669794865736,0.006532131107524756,0.001137098071593206,0.0,0.06060606060606061
28,Candidatus.Buchananbacteria,3.355323679314659e-05,-4.474265578219361,0.003355323679314665,0.006774125952481919,0.0011792239669567114,0.0,0.42424242424242425
