Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,soil,pasture soil,2.407620364362364,0.0240762036436235,0,0.05288727767537381,0.37143759522186576,0,0.05288727767537401,0.37143759522186726,0.0060865742986367455,0,147,0,0.9245283018867925,1.4597446456074936,0.7855552711561256,1.4117546782818187,48,0,149,0,0.9371069182389937,1.5033191126405532,0.9056603773584906,1.5442471020794761,28.29850746268657,0,149,0,0.9371069182389937,1.5033191126405532,0.8887637285271754,1.5605940720779903,0.013159575827264628,0,149,0,0.9371069182389937,1.5033191126405532,0.9759914792458049,1.5457486469384212,0.013159575827264599,0,149,0,0.9371069182389937,1.5033191126405532,0.9759914792457994,1.5445576104840943,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.079555728417573,D,2.015298738887745,0,0.043335151188986475,0.29241906529803513,1.0,0,1.0,0.9143139585903521,0.1603486815943063,0,0.13595592118291133,1.1123334007183174,1.5296289326833268,0,0.13595592118291142,1.1123334007183179,0.00819998407770082,0,149,0,0.9371069182389937,1.5033191126405532,0.976303317535545,1.5442471020794784,0.6313191624870631,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6231191784093623,0,11,0,0.06918238993710692,-1.5033191126405532,0.9989789406509253,-1.5454549831006996,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.07955572841757301,0.00819998407770084,0,149,0,0.9371069182389937,1.5033191126405532,0.9763033175355504,1.5454549831007618
Actinomycetota,soil,pasture soil,40.1866806618955,0.4018668066189542,1,0.882765476848811,8.260708284578314,1,0.8827654768488111,8.260708284578314,0.00675723948067489,1,156,0,0.9811320754716981,1.6558297472562613,0.8721137428154542,2.0929148099338204,51,1,157,0,0.9874213836477987,1.6776169807727912,0.9622641509433962,2.256631887081323,30.40754716981132,1,157,0,0.9874213836477987,1.6776169807727912,0.9550017799928799,2.3136666240151373,0.013353779311226142,1,157,0,0.9874213836477987,1.6776169807727912,0.9903947509070075,2.259613115430865,0.013353779311226121,1,157,0,0.9874213836477987,1.6776169807727912,0.9903947509070026,2.257645155333042,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.079555728417573,D,38.49283141922671,1,0.8277148380318982,7.954734621463346,1.0,0,1.0,0.9143139585903521,1.179416682989317,1,1.0,9.086756352572085,11.250918087086516,1,1.0,9.086756352572083,0.008319401321550832,1,157,0,0.9874213836477987,1.6776169807727912,0.9905213270142179,2.2566318870813227,0.6313191624870631,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6229997611655123,0,3,0,0.018867924528301886,-1.6776169807727912,0.9987874920229738,-2.2586268892008796,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.07955572841757301,0.008319401321550846,1,157,0,0.9874213836477987,1.6776169807727912,0.9905213270142228,2.258626889200942
Aquificota,soil,pasture soil,0.0033252512847007,3.325251284700768e-05,0,7.304452588850729e-05,-0.13064304984396843,0,7.304452588850565e-05,-0.13064304984396874,0.004494006538980804,0,69,0,0.4339622641509434,-0.2396595686818273,0.5800127217862389,-0.20573448603605832,41,0,78,0,0.49056603773584906,-0.04357446703305951,0.7735849056603774,-0.11798406292483338,23.55636363636364,0,78,0,0.49056603773584906,-0.04357446703305951,0.7398284734133791,-0.13267815076250639,0.012706723708575436,0,78,0,0.49056603773584906,-0.04357446703305951,0.9424053048127851,-0.11887152577589778,0.012706723708575444,0,78,0,0.49056603773584906,-0.04357446703305951,0.9424053048127825,-0.11825089793419008,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.079555728417573,D,0.0032324922515259,0,6.950857346063415e-05,-0.13022702309668535,0.8791208791208791,0,0.8791208791208791,0.33596491208962,0.000259633620317,0,0.00022013731369217182,-0.1403973069053409,0.0024767468842625,0,0.00022013731369222567,-0.14039730690534077,0.007921343842050793,0,78,0,0.49056603773584906,-0.04357446703305951,0.943127962085308,-0.11798406292482906,0.6313191624870631,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6233978186450123,0,91,0,0.5723270440251572,0.2396595686818273,0.9994256541161455,0.11861279779994144,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.07955572841757301,0.007921343842050788,0,78,0,0.49056603773584906,-0.04357446703305951,0.9431279620853106,-0.11861279779987928
Armatimonadota,soil,pasture soil,0.0670944304661145,0.0006709443046611,0,0.0014738377474523532,-0.11732635238675132,0,0.0014738377474524493,-0.11732635238675067,0.005545824209037744,0,126,0,0.7924528301886793,1.0022127417603688,0.7157641107397013,0.8625426242093021,46,0,133,0,0.8364779874213837,1.154723376376077,0.8679245283018868,1.069323912078245,26.918518518518518,0,133,0,0.8364779874213837,1.154723376376077,0.8454227812718379,1.0678428961191146,0.013030148185998895,0,133,0,0.8364779874213837,1.154723376376077,0.9663923647521202,1.0699909908157161,0.013030148185998977,0,133,0,0.8364779874213837,1.154723376376077,0.9663923647521231,1.0693177380419565,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.079555728417573,D,0.06953325196808,0,0.0014951798105930733,-0.11630016716008448,0.989010989010989,0,0.989010989010989,0.8617367725448312,0.0019385005077887,0,0.001643609536601967,-0.1272598179230211,0.0184921162634636,0,0.0016436095366020242,-0.12725981792302093,0.008120372581800811,0,133,0,0.8364779874213837,1.154723376376077,0.9668246445497629,1.0693239120782416,0.6313191624870631,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6231987899052623,0,25,0,0.15723270440251572,-1.1982978434091365,0.9991065730695597,-1.0700070457001376,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.07955572841757301,0.008120372581800761,0,133,0,0.8364779874213837,1.154723376376077,0.9668246445497601,1.0700070457001998
Atribacterota,soil,pasture soil,0.0016839536391695,1.6839536391695772e-05,0,3.699076691054855e-05,-0.13098579636295066,0,3.699076691054678e-05,-0.13098579636295096,0.004933970017806971,0,98,0,0.6163522012578616,0.3921702032975356,0.6367959980514267,0.2411137911453571,42,0,90,0,0.5660377358490566,0.21787233516529755,0.7924528301886793,0.11947753207578228,24.21897810218978,0,90,0,0.5660377358490566,0.21787233516529755,0.760639030436579,0.1039208876740166,0.01277139208173678,0,90,0,0.5660377358490566,0.21787233516529755,0.9472014914080545,0.1188402438247066,0.012771392081736907,0,90,0,0.5660377358490566,0.21787233516529755,0.9472014914080608,0.1192021616423275,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.079555728417573,D,0.0014586757169391,0,3.136603596752419e-05,-0.13059962346266552,0.8681318681318682,0,0.8681318681318682,0.28338772604409906,0.0001551343984657,0,0.0001315348516798157,-0.14121503544950198,0.0014798878418471,0,0.000131534851679853,-0.14121503544950198,0.007961149590000795,0,90,0,0.5660377358490566,0.21787233516529755,0.947867298578199,0.11947753207577888,0.6313191624870631,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6233580128970624,0,75,0,0.4716981132075472,-0.10893616758264878,0.9993618379068285,-0.11911117089967654,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.07955572841757301,0.007961149590000716,0,90,0,0.5660377358490566,0.21787233516529755,0.9478672985781925,0.1191111708997387
Bacillota,soil,pasture soil,1.7342134074087845,0.0173421340740878,0,0.038094804057813104,0.23081234605839113,0,0.038094804057813125,0.23081234605839096,0.003968762747636029,0,39,0,0.24528301886792453,-0.89327657417772,0.5122228602502792,-0.739197590493827,38,0,33,0,0.20754716981132076,-1.0239999752768985,0.7169811320754716,-0.8303688479266803,21.597122302158276,0,33,0,0.20754716981132076,-1.0239999752768985,0.6782950997692413,-0.8322623579381278,0.012512768130745661,0,33,0,0.20754716981132076,-1.0239999752768985,0.9280204193272014,-0.8318247264817912,0.01251276813074566,0,33,0,0.20754716981132076,-1.0239999752768985,0.9280204193271981,-0.8304281667611655,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.079555728417573,D,1.684241464742823,0,0.0362163966587267,0.2228785806415837,1.0,0,1.0,0.9143139585903521,0.053307463118111,0,0.04519815929939144,0.2747131945667397,0.508520787964541,0,0.045198159299391465,0.2747131945667395,0.00780192659820078,0,33,0,0.20754716981132076,-1.0239999752768985,0.928909952606635,-0.8303688479266788,0.6313191624870631,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6235172358888623,0,127,0,0.7987421383647799,1.0239999752768985,0.999617102744097,0.8317847039001215,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.07955572841757301,0.007801926598200781,0,33,0,0.20754716981132076,-1.0239999752768985,0.9289099526066382,-0.8317847039000593
Bacteroidota,soil,pasture soil,0.9345520360247178,0.0093455203602471,0,0.020528947903468608,0.06382182355767979,0,0.020528947903468736,0.0638218235576807,0.0037128411472142357,0,28,0,0.1761006289308176,-1.1329361428595472,0.47919269379702817,-0.9991239974471928,36,0,19,0,0.11949685534591195,-1.329021244508315,0.6792452830188679,-1.3052920379279116,20.314285714285713,0,19,0,0.11949685534591195,-1.329021244508315,0.6380053908355795,-1.2903234459697859,0.0123835056810927,0,19,0,0.11949685534591195,-1.329021244508315,0.9184335564143142,-1.3069751616605376,0.012383505681092812,0,19,0,0.11949685534591195,-1.329021244508315,0.9184335564143195,-1.305061479119108,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,-0.079555728417573,D,0.8533847542136309,0,0.018350409610554362,0.048352349555139285,1.0,0,1.0,0.9143139585903521,0.0437708495444963,0,0.03711228624777116,0.20008717347659738,0.4175472925981814,0,0.03711228624777122,0.20008717347659757,0.0077223151023007724,0,19,0,0.11949685534591195,-1.329021244508315,0.919431279620853,-1.30529203792791,0.6313191624870631,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6235968473847624,0,145,0,0.9119496855345912,1.416170178574434,0.9997447351627314,1.3072326413006836,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,-0.07955572841757301,0.007722315102300703,0,19,0,0.11949685534591195,-1.329021244508315,0.9194312796208478,-1.3072326413006214
Balneolota,soil,pasture soil,0.0028739208038054,2.8739208038054256e-05,0,6.313032146500642e-05,-0.13073729962959302,0,6.313032146500574e-05,-0.1307372996295933,0.004525431501446494,0,74,0,0.46540880503144655,-0.13072340109917852,0.584068540987581,-0.17381776791266068,40,0,54,0,0.33962264150943394,-0.5664680714297736,0.7547169811320755,-0.355445657925449,22.89855072463768,0,54,0,0.33962264150943394,-0.5664680714297736,0.7191687175280284,-0.36756270341325975,0.01264206359341074,0,54,0,0.33962264150943394,-0.5664680714297736,0.9376097306790773,-0.3565529401518306,0.012642063593410803,0,54,0,0.33962264150943394,-0.5664680714297736,0.9376097306790788,-0.3556736353220507,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.079555728417573,D,0.0019611537051244,0,4.217086562725268e-05,-0.13049407507102284,0.8681318681318682,0,0.8681318681318682,0.28338772604409906,0.0006908019026349,0,0.0005857148814310584,-0.1370233237737732,0.0065898301533685,0,0.0005857148814310647,-0.13702332377377344,0.007881538094100788,0,54,0,0.33962264150943394,-0.5664680714297736,0.938388625592417,-0.35544565792544736,0.6313191624870631,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6234376243929624,0,105,0,0.660377358490566,0.5446808379132438,0.9994894703254628,0.35633676650022245,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.07955572841757301,0.007881538094100748,0,54,0,0.33962264150943394,-0.5664680714297736,0.9383886255924153,-0.35633676650016033
Bdellovibrionota,soil,pasture soil,0.0295057336448728,0.0002950573364487,0,0.0006481411901104045,-0.1251758701287868,0,0.0006481411901104647,-0.1251758701287865,0.0046543765129588655,0,86,0,0.5408805031446541,0.13072340109917852,0.6007106500809536,-0.04285495163716089,43,0,95,0,0.5974842767295597,0.3268085027479463,0.8113207547169812,0.3569391270763979,24.88644688644689,0,95,0,0.5974842767295597,0.3268085027479463,0.7816020457529893,0.34225325239945464,0.012836068714477225,0,95,0,0.5974842767295597,0.3268085027479463,0.9519982905822499,0.3565823744668551,0.012836068714477296,0,95,0,0.5974842767295597,0.3268085027479463,0.951998290582252,0.3566855492167699,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,-0.079555728417573,D,0.03268279017648,0,0.0007027809953165328,-0.12404081862113688,0.978021978021978,0,0.978021978021978,0.8091595864993097,0.0012994730749567,0,0.0011017930250597197,-0.13226034293240607,0.0123961830738705,0,0.0011017930250597492,-0.13226034293240613,0.0080009553379508,0,95,0,0.5974842767295597,0.3268085027479463,0.95260663507109,0.3569391270763972,0.6313191624870631,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6233182071491123,0,56,0,0.3522012578616352,-0.5228936043967141,0.9992980216975113,-0.35683513959995755,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,-0.07955572841757301,0.008000955337950755,0,95,0,0.5974842767295597,0.3268085027479463,0.9526066350710878,0.3568351396000197
Caldisericota,soil,pasture soil,0.0003121275688576,3.1212756885761827e-06,0,6.856387181574697e-06,-0.13127227006351844,0,6.856387181574282e-06,-0.13127227006351871,0.003646764440960842,0,23,0,0.14465408805031446,-1.241872310442196,0.4706645953378317,-1.0662347095224955,37,0,29,0,0.18238993710691823,-1.1111489093430176,0.6981132075471698,-1.067830442927296,20.95340501792115,0,29,0,0.18238993710691823,-1.1111489093430176,0.6580780415229595,-1.0621137999611816,0.012448132780082933,0,29,0,0.18238993710691823,-1.1111489093430176,0.923226681874495,-1.0694151100601585,0.012448132780082987,0,29,0,0.18238993710691823,-1.1111489093430176,0.923226681874496,-1.0677599724234583,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,-0.079555728417573,s,0.0001566662671676,0,3.3688089229237888e-06,-0.13087311803667315,0.5824175824175825,0,0.5824175824175825,-1.0836191111394493,5.3053094762436994e-05,0,4.4982486281243785e-05,-0.14201384327203403,0.0005060942685037,0,4.498248628123785e-05,-0.14201384327203445,0.007762120850250776,0,29,0,0.18238993710691823,-1.1111489093430176,0.924170616113744,-1.0678304429272971,0.6313191624870631,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6235570416368124,0,135,0,0.8490566037735849,1.1982978434091365,0.9996809189534143,1.0695086726004024,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,-0.07955572841757301,0.007762120850250742,0,29,0,0.18238993710691823,-1.1111489093430176,0.924170616113743,-1.0695086726003404
