Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,soil,rhizosphere,1.5274266956280065,0.01527426695628,0,0.026764783899677066,0.17886336244369683,0,0.026764783899677146,0.17886336244369738,0.006833773233942573,0,151,0,0.949685534591195,1.5468935796736125,0.8181776892851816,1.7024342540661315,45,0,147,0,0.9245283018867925,1.4597446456074936,0.8823529411764706,1.405510382469955,26.236162361623617,0,147,0,0.9245283018867925,1.4597446456074936,0.8628174517039289,1.4199941830424687,0.01316728286955962,0,147,0,0.9245283018867925,1.4597446456074936,0.9709138579080524,1.4046927292268092,0.01316728286955958,0,147,0,0.9245283018867925,1.4597446456074936,0.9709138579080511,1.4057693816323777,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.13867504582122608,D,1.665111304241078,0,0.028452330616664835,0.20751261371172444,1.0,0,1.0,1.1445408721624686,0.1180370862632955,0,0.08544342915346498,0.5030102193921154,0.9875691172505384,0,0.08544342915346503,0.5030102193921158,0.008080566833850809,0,147,0,0.9245283018867925,1.4597446456074936,0.9712918660287082,1.4055103824699637,0.6217657829790622,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6136852161452113,0,11,0,0.06918238993710692,-1.5033191126405532,0.9988338192419823,-1.4044207783713096,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,-0.13867504905630726,0.008080566833850833,0,147,0,0.9245283018867925,1.4597446456074936,0.9712918660287095,1.4044207783712535
Actinomycetota,soil,rhizosphere,28.067620603613573,0.2806762060361353,1,0.49182314423604784,5.4622135017475415,1,0.4918231442360479,5.462213501747541,0.004538920861275835,0,69,0,0.4339622641509434,-0.2396595686818273,0.5434250823076369,-0.2359579872458507,39,0,90,0,0.5660377358490566,0.21787233516529755,0.7647058823529411,0.11249504507715222,22.24548736462094,0,90,0,0.5660377358490566,0.21787233516529755,0.7315778296878318,0.0957848882762827,0.012773131038059916,0,90,0,0.5660377358490566,0.21787233516529755,0.9418503465432585,0.1108619864803353,0.01277313103806004,0,90,0,0.5660377358490566,0.21787233516529755,0.9418503465432692,0.11217959522122004,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.13867504582122608,D,27.456906443929533,1,0.46916562145950863,5.264740154905167,1.0,0,1.0,1.1445408721624686,1.2841109449324255,1,0.9295285576923,7.388228723688756,10.743642972598602,1,0.9295285576923003,7.388228723688758,0.007841732346150784,0,90,0,0.5660377358490566,0.21787233516529755,0.9425837320574163,0.11249504507715621,0.6217657829790622,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6139240506329114,0,71,0,0.44654088050314467,-0.1960851016487678,0.9992225461613217,-0.11116071797896536,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,-0.13867504905630726,0.00784173234615071,0,90,0,0.5660377358490566,0.21787233516529755,0.9425837320574058,0.11116071797890902
Aquificota,soil,rhizosphere,0.0028429360137171,2.842936013717129e-05,0,4.981618316973552e-05,-0.12463516686866452,0,4.9816183169734946e-05,-0.12463516686866478,0.005656852086558374,0,119,0,0.7484276729559748,0.8497021071446604,0.6772700835052733,0.7083246338143949,43,0,129,0,0.8113207547169812,1.067574442309958,0.8431372549019608,0.9745052700056875,24.88644688644689,0,129,0,0.8113207547169812,1.067574442309958,0.8184299360769951,0.9721236401239919,0.01303586484207788,0,129,0,0.8113207547169812,1.067574442309958,0.9612235075658463,0.9733039330362162,0.013035864842077955,0,129,0,0.8113207547169812,1.067574442309958,0.9612235075658534,0.9744609250567341,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.13867504582122608,D,0.0023086339989219,0,3.9448424644583886e-05,-0.11852795128092251,0.8571428571428571,0,0.8571428571428571,0.36584169084525564,0.0003292118484643,0,0.000238306367441125,-0.19200959345867755,0.002754383938715,0,0.0002383063674411481,-0.19200959345867755,0.0080009553379508,0,129,0,0.8113207547169812,1.067574442309958,0.9617224880382775,0.9745052700056915,0.6217657829790622,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6137648276411114,0,30,0,0.18867924528301888,-1.0893616758264877,0.9989633948817622,-0.9733340915736611,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,-0.13867504905630726,0.008000955337950755,0,129,0,0.8113207547169812,1.067574442309958,0.9617224880382705,0.9733340915736048
Armatimonadota,soil,rhizosphere,0.0406033856886579,0.0004060338568865,0,0.0007114847780666458,-0.11711820306116928,0,0.0007114847780667833,-0.11711820306116799,0.005239963335418744,0,103,0,0.6477987421383647,0.5011063708801844,0.6273578222376245,0.35619134178905554,42,0,124,0,0.779874213836478,0.9586382747273092,0.8235294117647058,0.7590027137735537,24.21897810218978,0,124,0,0.779874213836478,0.9586382747273092,0.7964791756118506,0.7506402147026261,0.01297016861219201,0,123,0,0.7735849056603774,0.9368510412107794,0.9563792750358407,0.7576514988322057,0.01297016861219196,0,123,0,0.7735849056603774,0.9368510412107794,0.9563792750358386,0.7588486528444628,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.13867504582122608,D,0.037666699199285,0,0.0006436238683425322,-0.11159497976164154,1.0,0,1.0,1.1445408721624686,0.0030522271726131,0,0.0022094137058053043,-0.1759312332776931,0.0255367646722651,0,0.0022094137058053112,-0.17593123327769325,0.007961149590000795,0,124,0,0.779874213836478,0.9586382747273092,0.9569377990430622,0.7590027137735553,0.6217657829790622,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6138046333890613,0,39,0,0.24528301886792453,-0.89327657417772,0.999028182701652,-0.757790748175438,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,-0.13867504905630726,0.007961149590000827,0,123,0,0.7735849056603774,0.9368510412107794,0.9569377990430643,0.7577907481753818
Atribacterota,soil,rhizosphere,0.0029342544569467,2.9342544569467683e-05,0,5.141633747245401e-05,-0.12461698812771668,0,5.141633747245274e-05,-0.12461698812771696,0.00565110631822433,0,118,0,0.7421383647798742,0.8279148736281307,0.6765821678695355,0.7034713574591303,41,0,111,0,0.6981132075471698,0.6754042390124224,0.803921568627451,0.5435001575414199,23.55636363636364,0,111,0,0.6981132075471698,0.6754042390124224,0.7746880570409983,0.530767577829782,0.01290448090266519,0,111,0,0.6981132075471698,0.6754042390124224,0.9515356707702053,0.5420270332981333,0.012904480902665199,0,111,0,0.6981132075471698,0.6754042390124224,0.9515356707702075,0.5432643440939928,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.13867504582122608,D,0.0015526948242326,0,2.653143148648884e-05,-0.11867617502389971,0.8428571428571429,0,0.8428571428571429,0.28797177271353464,0.0005924150733721,0,0.000428831115317473,-0.19045547945376018,0.0049565001100675,0,0.00042883111531752713,-0.19045547945375996,0.007921343842050793,0,111,0,0.6981132075471698,0.6754042390124224,0.952153110047847,0.5435001575414286,0.6217657829790622,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6138444391370114,0,47,0,0.29559748427672955,-0.7189787060454819,0.9990929705215419,-0.5422474047766138,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,-0.13867504905630726,0.007921343842050788,0,111,0,0.6981132075471698,0.6754042390124224,0.9521531100478448,0.5422474047765575
Bacillota,soil,rhizosphere,3.1292005769458293,0.0312920057694582,0,0.054832338246036075,0.4977281110711536,0,0.05483233824603615,0.49772811107115417,0.007170784239624823,1,155,0,0.9748427672955975,1.6340425137397316,0.8585265385158284,1.9870972356295595,46,0,150,0,0.9433962264150944,1.5251063461570828,0.9019607843137255,1.621012938702089,26.918518518518518,0,150,0,0.9433962264150944,1.5251063461570828,0.8852578068264343,1.6464176241845878,0.013233004670472153,0,150,0,0.9433962264150944,1.5251063461570828,0.9757599759648135,1.6204291021005794,0.013233004670472235,0,150,0,0.9433962264150944,1.5251063461570828,0.975759975964821,1.6214655768820945,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.13867504582122608,D,1.1790691048239164,0,0.020147160075665475,0.1122099803059445,1.0,0,1.0,1.1445408721624686,0.7845036066483584,1,0.5678781174399461,4.438239179834387,6.563628083544935,1,0.5678781174399461,4.438239179834387,0.008120372581800811,0,150,0,0.9433962264150944,1.5251063461570828,0.9760765550239234,1.6210129387020906,0.6217657829790622,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6136454103972614,0,8,0,0.050314465408805034,-1.5686808131901424,0.9987690314220926,-1.6199641217695326,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,-0.13867504905630726,0.008120372581800761,0,150,0,0.9433962264150944,1.5251063461570828,0.9760765550239158,1.6199641217694765
Bacteroidota,soil,rhizosphere,3.7850512288634377,0.0378505122886343,0,0.06632467435570447,0.6282881456053712,0,0.06632467435570451,0.6282881456053713,0.0035553447312100033,0,25,0,0.15723270440251572,-1.1982978434091365,0.4256658272395478,-1.0667549317324165,34,0,27,0,0.16981132075471697,-1.154723376376077,0.6666666666666666,-0.9650177360835169,19.04964539007092,0,27,0,0.16981132075471697,-1.154723376376077,0.6264775413711584,-0.9646782289862363,0.012444905366865393,0,27,0,0.16981132075471697,-1.154723376376077,0.917648022051494,-0.9665615595025785,0.01244490536686544,0,27,0,0.16981132075471697,-1.154723376376077,0.917648022051499,-0.9650432969823813,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,-0.13867504582122608,D,2.9532331818824096,0,0.050462912998672366,0.4600861705634263,1.0,0,1.0,1.1445408721624686,0.6939542789270515,1,0.5023322342520857,3.9035801596159554,5.806038054205422,1,0.5023322342520857,3.903580159615956,0.0076427036064007645,0,27,0,0.16981132075471697,-1.154723376376077,0.9186602870813397,-0.9650177360835106,0.6217657829790622,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6141230793726614,0,134,0,0.8427672955974843,1.1765106098926068,0.999546485260771,0.9665559990139534,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,-0.13867504905630726,0.007642703606400736,0,27,0,0.16981132075471697,-1.154723376376077,0.9186602870813348,-0.9665559990140099
Balneolota,soil,rhizosphere,0.0018273384908382,1.827338490838276e-05,0,3.202007661568327e-05,-0.12483734162792141,0,3.2020076615681886e-05,-0.1248373416279217,0.0048123207626838155,0,84,0,0.5283018867924528,0.08714893406611902,0.5761580530877817,-0.005025377385263371,37,0,65,0,0.4088050314465409,-0.3268085027479463,0.7254901960784313,-0.3185100673871154,20.95340501792115,0,65,0,0.4088050314465409,-0.3268085027479463,0.6890856701103382,-0.33296149031587474,0.012641815235008048,0,65,0,0.4088050314465409,-0.3268085027479463,0.9321675339076971,-0.3201912509243881,0.012641815235008104,0,65,0,0.4088050314465409,-0.3268085027479463,0.9321675339077028,-0.3187933650618818,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.13867504582122608,D,0.0015266560999433,0,2.6086498832180177e-05,-0.11868128066904385,0.8,0,0.8,0.054362018318371015,0.0003352748747391,0,0.00024269520634223873,-0.1919737936159927,0.0028051108559547,0,0.0002426952063422783,-0.19197379361599257,0.007762120850250776,0,65,0,0.4088050314465409,-0.3268085027479463,0.9330143540669856,-0.31851006738711146,0.6217657829790622,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6140036621288114,0,96,0,0.6037735849056604,0.3485957362644761,0.9993521218011013,0.31992596881808194,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,-0.13867504905630726,0.007762120850250742,0,65,0,0.4088050314465409,-0.3268085027479463,0.9330143540669801,-0.31992596881813834
Bdellovibrionota,soil,rhizosphere,0.0517516344271215,0.0005175163442712,0,0.0009068332482741265,-0.11489892381514738,0,0.0009068332482741516,-0.11489892381514737,0.007222806801216375,1,156,0,0.9811320754716981,1.6558297472562613,0.864754971590292,2.0310391165816046,48,0,156,0,0.9811320754716981,1.6558297472562613,0.9411764705882353,2.052018051166357,28.29850746268657,1,156,0,0.9811320754716981,1.6558297472562613,0.9306409130816506,2.1043336879869345,0.013364473854937102,0,156,0,0.9811320754716981,1.6558297472562613,0.9854540984614131,2.051985824639077,0.01336447385493707,0,156,0,0.9811320754716981,1.6558297472562613,0.9854540984614124,2.0529419285319155,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,-0.13867504582122608,D,0.03500084218508,0,0.0005980714509445333,-0.11211769814708555,1.0,0,1.0,1.1445408721624686,0.0092310437261894,0,0.006682069640992683,-0.1394476934460972,0.0772324528889085,0,0.006682069640992696,-0.13944769344609728,0.00819998407770082,0,156,0,0.9811320754716981,1.6558297472562613,0.9856459330143541,2.052018051166363,0.6217657829790622,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6135657989013613,0,4,0,0.025157232704402517,-1.6558297472562613,0.9986394557823128,-2.0510508085671812,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,-0.13867504905630726,0.00819998407770084,0,156,0,0.9811320754716981,1.6558297472562613,0.9856459330143548,2.051050808567125
Caldisericota,soil,rhizosphere,0.0004970196807085,4.97019680708537e-06,0,8.709173661902725e-06,-0.12510216787957523,0,8.709173661902064e-06,-0.1251021678795755,0.006100084837923282,0,141,0,0.8867924528301887,1.329021244508315,0.730336396347796,1.0827099043330008,45,0,149,0,0.9371069182389937,1.5033191126405532,0.8823529411764706,1.405510382469955,26.236162361623617,0,149,0,0.9371069182389937,1.5033191126405532,0.8628174517039289,1.4199941830424687,0.01316728286955962,0,149,0,0.9371069182389937,1.5033191126405532,0.9709138579080524,1.4046927292268092,0.01316728286955958,0,149,0,0.9371069182389937,1.5033191126405532,0.9709138579080511,1.4057693816323777,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,-0.13867504582122608,s,0.0003427416659017,0,5.856544946577196e-06,-0.1189134213420689,0.6142857142857143,0,0.6142857142857143,-0.9579469173940056,6.778265275319906e-05,0,4.9065784929942114e-05,-0.19355323250220077,0.0005671103605104,0,4.9065784929940766e-05,-0.19355323250220102,0.008080566833850809,0,149,0,0.9371069182389937,1.5033191126405532,0.9712918660287082,1.4055103824699637,0.6217657829790622,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6136852161452113,0,16,0,0.10062893081761007,-1.3943829450579044,0.9988338192419823,-1.4044207783713096,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,-0.13867504905630726,0.008080566833850833,0,149,0,0.9371069182389937,1.5033191126405532,0.9712918660287095,1.4044207783712535
