,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Calditrichota,Campylobacterota,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,Candidatus.Adlerbacteria,Candidatus.Altiarchaeota,Candidatus.Amesbacteria,Candidatus.Aminicenantes,Candidatus.Andersenbacteria,Candidatus.Azambacteria,Candidatus.Bathyarchaeota,Candidatus.Beckwithbacteria,Candidatus.Berkelbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,Candidatus.Blackburnbacteria,Candidatus.Buchananbacteria,Candidatus.Calescamantes,Candidatus.Campbellbacteria,Candidatus.Chisholmbacteria,Candidatus.Cloacimonetes,Candidatus.Coatesbacteria,Candidatus.Collierbacteria,Candidatus.Colwellbacteria,Candidatus.Curtissbacteria,Candidatus.Dadabacteria,Candidatus.Daviesbacteria,Candidatus.Delongbacteria,Candidatus.Desantisbacteria,Candidatus.Diapherotrites,Candidatus.Doudnabacteria,Candidatus.Edwardsbacteria,Candidatus.Eisenbacteria,Candidatus.Falkowbacteria,Candidatus.Firestonebacteria,Candidatus.Fischerbacteria,Candidatus.Fraserbacteria,Candidatus.Giovannonibacteria,Candidatus.Glassbacteria,Candidatus.Gottesmanbacteria,Candidatus.Gracilibacteria,Candidatus.Gribaldobacteria,Candidatus.Handelsmanbacteria,Candidatus.Harrisonbacteria,Candidatus.Heimdallarchaeota,Candidatus.Hydrogenedentes,Candidatus.Jacksonbacteria,Candidatus.Jorgensenbacteria,Candidatus.Kaiserbacteria,Candidatus.Kerfeldbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Levybacteria,Candidatus.Lindowbacteria,Candidatus.Liptonbacteria,Candidatus.Lloydbacteria,Candidatus.Lokiarchaeota,Candidatus.Magasanikbacteria,Candidatus.Margulisbacteria,Candidatus.Marinimicrobia,Candidatus.Melainabacteria,Candidatus.Micrarchaeota,Candidatus.Microgenomates,Candidatus.Moranbacteria,Candidatus.Nanohaloarchaeota,Candidatus.Nealsonbacteria,Candidatus.Niyogibacteria,Candidatus.Nomurabacteria,Candidatus.Omnitrophica,Candidatus.Pacebacteria,Candidatus.Parcubacteria,Candidatus.Peregrinibacteria,Candidatus.Portnoybacteria,Candidatus.Ratteibacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Roizmanbacteria,Candidatus.Rokubacteria,Candidatus.Ryanbacteria,Candidatus.Saccharibacteria,Candidatus.Schekmanbacteria,Candidatus.Shapirobacteria,Candidatus.Spechtbacteria,Candidatus.Staskawiczbacteria,Candidatus.Sumerlaeota,Candidatus.Sungbacteria,Candidatus.Tagabacteria,Candidatus.Taylorbacteria,Candidatus.Tectomicrobia,Candidatus.Terrybacteria,Candidatus.Thermoplasmatota,Candidatus.Thorarchaeota,Candidatus.Uhrbacteria,Candidatus.Veblenbacteria,Candidatus.Vogelbacteria,Candidatus.Wallbacteria,Candidatus.Wildermuthbacteria,Candidatus.Wirthbacteria,Candidatus.Woesearchaeota,Candidatus.Woesebacteria,Candidatus.Wolfebacteria,Candidatus.Woykebacteria,Candidatus.Yanofskybacteria,Candidatus.Yonathbacteria,Candidatus.Zambryskibacteria,Chlamydiota,Chlorobiota,Chloroflexota,Chrysiogenota,Coprothermobacterota,Cyanobacteriota,Deferribacterota,Deinococcota,Dictyoglomota,Elusimicrobiota,Euryarchaeota,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nanoarchaeota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota,candidate.division.CPR1,candidate.division.CPR2,candidate.division.CPR3,candidate.division.NC10,candidate.division.WOR.3,candidate.division.WWE3,candidate.division.Zixibacteria
Acidobacteriota,1.0,-0.9808,-0.9944,-0.988,-0.9956,-0.9918,-0.9935,-0.9943,-0.9987,-0.9951,-0.9957,-0.9948,-0.9953,-0.9926,-0.9919,-0.9998,-0.9931,-0.9923,-0.9921,-0.9912,-0.998,-0.9942,-0.9944,-0.9982,-0.9956,-0.9933,-0.9899,-0.9974,-0.9909,-0.9935,-0.996,-0.9893,-0.9939,-0.9946,-0.9962,-0.9949,-0.9946,-0.9945,-0.9962,-0.9954,-0.9948,-0.9936,-0.9946,-0.9912,-0.9928,-0.9963,-0.9965,-0.9906,-0.9932,-0.9955,-0.9923,-0.9931,-0.9934,-0.9923,-0.9959,-0.9975,-0.9944,-0.9915,-0.9901,-0.9922,-0.992,-0.9947,-0.9924,-0.9928,-0.9945,-0.9944,-1.0,-0.9917,-0.9861,-0.9931,-0.9871,-0.9947,-0.9911,-0.9936,-0.9955,-0.9904,-0.9917,-0.9914,-0.9943,-0.9918,-0.9934,-0.9934,-0.9909,-0.9938,-0.9931,-0.9949,-0.9936,-0.9962,-0.9918,-0.9958,-0.9929,-0.9963,-0.9938,-0.9927,-0.996,-0.9928,-0.9944,-0.9914,-0.9966,-0.992,-0.9954,-0.996,-0.9916,-0.989,-0.9941,-0.9943,-0.9937,-0.9952,-0.9939,-0.993,-0.9937,-0.9948,-0.9871,-0.994,-0.9921,-0.9969,-0.9958,-0.9884,-0.9939,-0.9971,-0.9887,-0.9957,-0.9893,-0.9978,-0.9941,-0.9964,-0.9951,-0.9934,-0.9936,-0.9937,-0.9953,-0.9984,-0.9893,-0.9985,-0.9947,-0.9924,-0.9978,-0.9967,-0.9929,-0.7092,-0.998,-0.998,-0.9923,-0.9884,-0.9939,-0.9949,-0.9936,-0.99,-0.9939,-0.9962,-0.9925,-0.9932,-0.9914,-0.9987
Actinomycetota,-0.9808,1.0,-0.9816,-0.982,-0.9795,-0.9862,-0.9783,-0.9798,-0.9766,-0.9786,-0.9803,-0.98,-0.9825,-0.9823,-0.9824,-0.9786,-0.9845,-0.9851,-0.9796,-0.9828,-0.9775,-0.98,-0.9801,-0.9807,-0.9805,-0.9802,-0.9812,-0.985,-0.9848,-0.9834,-0.9818,-0.9815,-0.9835,-0.9834,-0.9827,-0.9831,-0.9807,-0.982,-0.9812,-0.9785,-0.9826,-0.984,-0.9835,-0.984,-0.982,-0.9801,-0.9839,-0.9822,-0.9855,-0.9805,-0.9819,-0.9853,-0.9836,-0.9827,-0.9786,-0.98,-0.9837,-0.9854,-0.9843,-0.9827,-0.9815,-0.9836,-0.9817,-0.9841,-0.9821,-0.9821,-0.9795,-0.9852,-0.9825,-0.9799,-0.985,-0.9782,-0.9804,-0.982,-0.9783,-0.9805,-0.9797,-0.9844,-0.9796,-0.98,-0.9834,-0.9804,-0.9849,-0.9828,-0.9806,-0.9809,-0.9865,-0.9829,-0.9812,-0.9809,-0.9831,-0.9851,-0.9821,-0.9816,-0.9822,-0.9825,-0.9822,-0.9837,-0.9804,-0.984,-0.9817,-0.9785,-0.9816,-0.9826,-0.9826,-0.9826,-0.9803,-0.9794,-0.9813,-0.982,-0.9858,-0.9828,-0.9823,-0.9839,-0.9809,-0.9791,-0.9808,-0.9831,-0.9805,-0.9808,-0.9848,-0.9776,-0.9855,-0.9801,-0.9811,-0.9764,-0.9821,-0.9795,-0.9757,-0.9813,-0.98,-0.9786,-0.9838,-0.9797,-0.9789,-0.98,-0.9797,-0.9796,-0.9823,-0.7127,-0.9795,-0.9793,-0.9828,-0.9791,-0.9787,-0.9824,-0.9812,-0.9805,-0.9832,-0.9792,-0.9832,-0.98,-0.9835,-0.9786
Aquificota,-0.9944,-0.9816,1.0,-0.9903,-0.9962,-0.9911,-0.9961,-0.9979,-0.9961,-0.9983,-1.0,-0.9952,-0.9983,-0.9945,-0.9903,-0.9933,-0.9938,-0.9939,-0.9929,-0.99,-0.9973,-0.9925,-0.9907,-0.9929,-0.9902,-0.9942,-0.9931,-0.9945,-0.9907,-0.9942,-0.9975,-0.9926,-0.9926,-0.992,-0.9943,-0.9934,-0.9934,-0.9948,-0.9949,-0.9952,-0.9944,-0.9913,-0.9931,-0.9919,-0.9921,-0.9954,-0.9951,-0.9923,-0.992,-0.992,-0.9908,-0.9932,-0.9931,-0.9927,-0.9943,-0.9939,-0.9942,-0.9933,-0.9918,-0.9945,-0.9931,-0.989,-0.9925,-0.9932,-0.9887,-0.993,-0.9977,-0.9897,-0.9902,-0.9965,-0.991,-0.9982,-0.9916,-0.9918,-0.9964,-0.9911,-0.9939,-0.9916,-0.998,-0.9944,-0.9923,-0.9928,-0.9923,-0.9958,-0.992,-0.9928,-0.9946,-0.9928,-0.9943,-0.9931,-0.9942,-0.9931,-0.9913,-0.9936,-0.99,-0.9924,-0.9888,-0.9899,-0.9978,-0.9908,-0.9968,-0.9982,-0.9895,-0.9929,-0.9914,-0.9921,-0.99,-0.9932,-0.9965,-0.9898,-0.9905,-0.9926,-0.9902,-0.9913,-0.995,-0.9925,-0.9959,-0.9905,-0.9949,-0.9946,-0.9892,-0.9976,-0.9902,-0.9957,-0.9985,-0.9983,-0.9959,-0.9973,-0.9955,-0.9944,-0.9961,-0.9949,-0.992,-0.9959,-0.9992,-0.996,-0.9947,-0.9958,-0.9901,-0.716,-0.9967,-0.9937,-0.996,-0.99,-0.9976,-0.9964,-0.9949,-0.9928,-0.9939,-0.9954,-0.9952,-0.9945,-0.997,-0.9935
Armatimonadota,-0.988,-0.982,-0.9903,1.0,-0.9889,-0.9903,-0.9904,-0.9904,-0.9895,-0.9904,-0.99,-0.9929,-0.9904,-0.9904,-0.9909,-0.9887,-0.9917,-0.9928,-0.9956,-0.994,-0.9895,-0.9926,-0.9932,-0.9914,-0.9932,-0.9923,-0.9952,-0.991,-0.9929,-0.9929,-0.9885,-0.9926,-0.9913,-0.991,-0.989,-0.9924,-0.9936,-0.9916,-0.9932,-0.9892,-0.9923,-0.9898,-0.9913,-0.9941,-0.994,-0.9904,-0.9912,-0.9935,-0.9937,-0.9932,-0.991,-0.9916,-0.9943,-0.9927,-0.9887,-0.9912,-0.9924,-0.9946,-0.9927,-0.9953,-0.9929,-0.9933,-0.9916,-0.9896,-0.9933,-0.9915,-0.9884,-0.9941,-0.9964,-0.9894,-0.995,-0.9899,-0.992,-0.9946,-0.9915,-0.9939,-0.9931,-0.9981,-0.9917,-0.9921,-0.9945,-0.9911,-0.9908,-0.9918,-0.9913,-0.9939,-0.9924,-0.9937,-0.9912,-0.9913,-0.9907,-0.9914,-0.9953,-0.9922,-0.9919,-0.9926,-0.9919,-0.9934,-0.993,-0.9938,-0.9911,-0.9902,-0.9936,-0.9939,-0.9919,-0.9919,-0.9927,-0.9917,-0.9895,-0.9931,-0.9928,-0.9911,-0.9961,-0.9902,-0.9958,-0.9904,-0.9925,-0.9943,-0.9895,-0.9881,-0.9911,-0.9896,-0.9918,-0.9893,-0.9883,-0.99,-0.9923,-0.9914,-0.9926,-0.9895,-0.9907,-0.9885,-0.996,-0.9931,-0.9885,-0.9916,-0.9902,-0.9894,-0.9909,-0.6988,-0.9893,-0.9898,-0.9898,-0.9958,-0.9902,-0.9888,-0.9951,-0.9928,-0.9945,-0.9888,-0.9905,-0.9919,-0.9923,-0.9929
Atribacterota,-0.9956,-0.9795,-0.9962,-0.9889,1.0,-0.9869,-0.9962,-0.9942,-0.9977,-0.9938,-0.9919,-0.997,-0.9939,-0.9945,-0.9915,-0.9942,-0.9925,-0.9925,-0.9917,-0.9901,-0.9966,-0.9941,-0.9956,-0.9942,-0.9923,-0.9921,-0.9922,-0.9923,-0.9936,-0.9969,-0.9963,-0.9935,-0.9916,-0.9926,-0.9925,-0.9954,-0.9932,-0.9918,-0.9955,-0.9969,-0.9953,-0.9956,-0.9911,-0.9926,-0.9918,-0.9935,-0.995,-0.9927,-0.9925,-0.9938,-0.9928,-0.9927,-0.9948,-0.9886,-0.9954,-0.9971,-0.9898,-0.9894,-0.9926,-0.9943,-0.9923,-0.9955,-0.9941,-0.9941,-0.9938,-0.9934,-0.9976,-0.9912,-0.9886,-0.9974,-0.9884,-0.9967,-0.9934,-0.9912,-0.9926,-0.9914,-0.994,-0.9907,-0.9947,-0.9931,-0.9938,-0.9932,-0.9921,-0.996,-0.991,-0.9925,-0.9946,-0.9952,-0.994,-0.9934,-0.994,-0.9919,-0.9942,-0.9909,-0.9918,-0.9927,-0.9939,-0.9928,-0.9963,-0.9913,-0.9944,-1.0,-0.9922,-0.9938,-0.9934,-0.9966,-0.9919,-0.9915,-0.9931,-0.9912,-0.9915,-0.9939,-0.9891,-0.9923,-0.9906,-0.9962,-0.9917,-0.9889,-0.9985,-0.9961,-0.9902,-0.9957,-0.9893,-0.9969,-0.9938,-0.9957,-0.9954,-0.9951,-0.9961,-0.9938,-0.9967,-0.9985,-0.9901,-0.995,-0.9967,-0.9974,-0.9969,-0.9962,-0.9968,-0.7187,-0.9939,-1.0,-0.9969,-0.9892,-0.9983,-0.9954,-0.9923,-0.9921,-0.9934,-0.9961,-0.9923,-0.9947,-0.9921,-0.9965
Bacillota,-0.9918,-0.9862,-0.9911,-0.9903,-0.9869,1.0,-0.991,-0.9862,-0.9905,-0.9899,-0.9911,-0.9868,-0.9898,-0.9896,-0.9943,-0.988,-0.9921,-0.991,-0.9926,-0.9921,-0.9905,-0.9909,-0.9917,-0.99,-0.9907,-0.9886,-0.9917,-0.9918,-0.9913,-0.9913,-0.9853,-0.9904,-0.9936,-0.9897,-0.9911,-0.9895,-0.9903,-0.9886,-0.9871,-0.9917,-0.9917,-0.9899,-0.9902,-0.9928,-0.9893,-0.9919,-0.9875,-0.9922,-0.9899,-0.993,-0.9929,-0.9913,-0.9896,-0.9946,-0.9884,-0.9899,-0.9934,-0.9883,-0.9913,-0.9945,-0.9908,-0.992,-0.9907,-0.9881,-0.9939,-0.9891,-0.9879,-0.9942,-0.9939,-0.9901,-0.9907,-0.9894,-0.9936,-0.9914,-0.9853,-0.9919,-0.989,-0.989,-0.9904,-0.9897,-0.9911,-0.9942,-0.9936,-0.9888,-0.99,-0.9902,-0.9905,-0.9906,-0.9902,-0.9894,-0.9885,-0.9903,-0.9916,-0.9915,-0.9895,-0.9918,-0.9902,-0.9916,-0.9865,-0.9896,-0.9872,-0.9872,-0.9895,-0.9897,-0.9892,-0.9893,-0.9934,-0.9908,-0.9872,-0.9926,-0.992,-0.9911,-0.9893,-0.9914,-0.9924,-0.9898,-0.9902,-0.9934,-0.9867,-0.9866,-0.9969,-0.9872,-0.9944,-0.9917,-0.9903,-0.9887,-0.9881,-0.9893,-0.9876,-0.9908,-0.989,-0.988,-0.9941,-0.9871,-0.9869,-0.9868,-0.9893,-0.9907,-0.9886,-0.6844,-0.9874,-0.9885,-0.9928,-0.9898,-0.9882,-0.9839,-0.9876,-0.9923,-0.9911,-0.9881,-0.989,-0.99,-0.99,-0.9897
Bacteroidota,-0.9935,-0.9783,-0.9961,-0.9904,-0.9962,-0.991,1.0,-0.9933,-0.9961,-1.0,-0.9938,-0.9945,-0.9955,-0.9917,-0.9918,-0.9916,-0.992,-0.9964,-0.9919,-0.9903,-0.9933,-0.9919,-0.9955,-0.9966,-0.992,-0.9952,-0.9914,-0.9977,-0.9931,-0.9952,-0.9949,-0.9912,-0.9912,-0.9941,-0.9968,-0.9925,-0.9929,-0.9932,-0.9954,-0.9964,-0.9948,-0.9915,-0.9948,-0.9906,-0.9944,-0.9952,-0.9929,-0.9951,-0.9954,-0.9978,-0.9916,-0.9923,-0.993,-0.9933,-0.9912,-0.995,-0.9922,-0.9902,-0.9924,-0.9945,-0.9902,-0.9914,-0.9938,-0.9911,-0.9945,-0.995,-0.9951,-0.9905,-0.9906,-0.9934,-0.9893,-0.997,-0.9939,-0.9916,-0.9937,-0.9896,-0.9966,-0.9906,-0.9942,-0.9896,-0.9922,-0.9908,-0.9906,-0.9931,-0.995,-0.9899,-0.9915,-0.994,-0.9926,-0.9908,-0.9965,-0.9932,-0.9923,-0.991,-0.9925,-0.9935,-0.9919,-0.9931,-0.9928,-0.994,-0.9956,-0.9945,-0.9906,-0.991,-0.9959,-0.9912,-0.9932,-0.9931,-0.9958,-0.994,-0.9932,-0.9925,-0.9916,-0.9919,-0.9912,-0.9944,-0.9956,-0.9901,-0.9917,-0.9977,-0.9902,-0.994,-0.9903,-0.9947,-0.9938,-0.9982,-0.9958,-0.997,-0.9983,-0.9939,-0.9926,-0.9951,-0.9878,-0.9943,-0.995,-0.9993,-0.9923,-0.9918,-0.9954,-0.7073,-0.9946,-0.9957,-0.9966,-0.9906,-0.9964,-0.9964,-0.9964,-0.9933,-0.994,-0.9946,-0.9934,-0.9983,-0.9934,-0.9981
Balneolota,-0.9943,-0.9798,-0.9979,-0.9904,-0.9942,-0.9862,-0.9933,1.0,-0.9936,-0.9935,-0.9967,-0.997,-0.9932,-0.9944,-0.9925,-0.9968,-0.9912,-0.9951,-0.991,-0.9918,-0.9963,-0.9955,-0.9945,-0.9961,-0.9942,-0.9937,-0.996,-0.9951,-0.9928,-0.9956,-0.997,-0.9917,-0.9914,-0.9917,-0.9908,-0.9917,-0.9915,-0.9958,-0.9927,-0.9957,-0.9938,-0.9897,-0.9929,-0.9911,-0.9979,-0.9952,-0.9942,-0.9903,-0.9951,-0.9949,-0.9904,-0.9952,-0.9919,-0.994,-0.9966,-0.9955,-0.9924,-0.9904,-0.9927,-0.9907,-0.9905,-0.9932,-0.9962,-0.9934,-0.9926,-0.9913,-0.9963,-0.9928,-0.9877,-0.9949,-0.9881,-0.9979,-0.9954,-0.9924,-0.9977,-0.9912,-0.9897,-0.9936,-0.9929,-0.993,-0.9917,-0.9921,-0.9964,-0.9931,-0.9949,-0.9908,-0.9922,-0.994,-0.9924,-0.9936,-0.9964,-0.9906,-0.9941,-0.9881,-0.9919,-0.9921,-0.9925,-0.9888,-0.9932,-0.9912,-0.9955,-0.9962,-0.9943,-0.9924,-0.9949,-0.9961,-0.9947,-0.994,-0.9956,-0.9943,-0.9927,-0.9932,-0.9894,-0.9917,-0.9886,-0.9962,-0.9958,-0.9901,-0.9951,-0.9932,-0.9889,-0.9937,-0.9888,-0.9942,-0.9936,-0.9954,-0.9981,-0.9967,-0.9958,-0.9964,-0.9962,-0.9946,-0.9896,-0.9934,-0.9969,-0.9907,-0.992,-0.9965,-0.9979,-0.7004,-0.9963,-0.9953,-0.9977,-0.991,-0.9961,-0.9947,-0.9955,-0.991,-0.9934,-0.9961,-0.9903,-0.9925,-0.9901,-0.9949
Bdellovibrionota,-0.9987,-0.9766,-0.9961,-0.9895,-0.9977,-0.9905,-0.9961,-0.9936,1.0,-0.9968,-0.9949,-0.9927,-0.9962,-0.9964,-0.9922,-0.9947,-0.9933,-0.9943,-0.9936,-0.9905,-0.9966,-0.9925,-0.9939,-0.9929,-0.9957,-0.9912,-0.9902,-0.9929,-0.9918,-0.9942,-0.995,-0.9946,-0.9929,-0.993,-0.9923,-0.9951,-0.9943,-0.9917,-0.9962,-0.9978,-0.9916,-0.996,-0.9898,-0.9887,-0.9948,-0.993,-0.9965,-0.9927,-0.9917,-0.9921,-0.9935,-0.9933,-0.9972,-0.991,-0.9936,-0.9958,-0.9927,-0.9961,-0.9909,-0.9959,-0.9926,-0.989,-0.9954,-0.9952,-0.9965,-0.9927,-0.9974,-0.9897,-0.988,-0.9969,-0.9868,-0.9969,-0.9921,-0.9915,-0.9957,-0.9926,-0.9943,-0.9886,-0.9937,-0.992,-0.9925,-0.9923,-0.9925,-0.9968,-0.9902,-0.9914,-0.9924,-0.9932,-0.993,-0.9952,-0.9924,-0.9937,-0.9933,-0.9914,-0.9947,-0.9942,-0.993,-0.994,-0.9983,-0.9921,-0.9991,-0.9958,-0.9943,-0.994,-0.989,-0.992,-0.9911,-0.9951,-0.9967,-0.9892,-0.9937,-0.9924,-0.99,-0.9898,-0.99,-0.9931,-0.9968,-0.9905,-0.9968,-0.9941,-0.9924,-0.9993,-0.9891,-1.0,-0.9963,-0.9925,-0.9971,-0.9987,-0.9969,-0.9953,-0.9946,-0.9946,-0.989,-0.9952,-0.9955,-0.994,-0.9979,-0.9948,-0.9927,-0.7108,-0.9961,-0.9965,-0.9947,-0.9924,-1.0,-0.9974,-0.9943,-0.9951,-0.9924,-0.9953,-0.9919,-0.9932,-0.9927,-0.9948
Caldisericota,-0.9951,-0.9786,-0.9983,-0.9904,-0.9938,-0.9899,-1.0,-0.9935,-0.9968,1.0,-0.9938,-0.9945,-0.995,-0.9963,-0.9924,-0.9985,-0.9941,-0.9955,-0.9919,-0.9895,-0.9908,-0.9932,-0.9923,-0.9932,-0.9925,-0.9956,-0.9925,-0.9928,-0.9931,-0.9909,-0.9946,-0.9968,-0.9937,-0.9903,-0.9947,-0.9927,-0.9947,-0.9922,-0.9929,-0.9966,-0.9939,-0.9952,-0.9962,-0.9901,-0.9917,-0.995,-0.9919,-0.9905,-0.9932,-0.9917,-0.9949,-0.9949,-0.9938,-0.9924,-0.9956,-0.9957,-0.9938,-0.9893,-0.9918,-0.9954,-0.9951,-0.9918,-0.9917,-0.9955,-0.9918,-0.9944,-0.9953,-0.9921,-0.9863,-0.9949,-0.9904,-0.995,-0.9947,-0.9922,-0.998,-0.9893,-0.9897,-0.9908,-0.9942,-0.9928,-0.9934,-0.9908,-0.9932,-0.9913,-0.9951,-0.9934,-0.9932,-0.9951,-0.9921,-0.9939,-0.9961,-0.9917,-0.9919,-0.9928,-0.994,-0.9916,-0.9899,-0.9928,-0.9929,-0.9919,-0.9973,-0.992,-0.9911,-0.9937,-0.9946,-0.9933,-0.9958,-0.9976,-0.9992,-0.992,-0.9903,-0.9958,-0.9892,-0.9925,-0.9896,-0.9953,-0.9938,-0.9885,-0.9987,-0.9982,-0.9896,-0.999,-0.9887,-0.9946,-0.9966,-0.9969,-0.9993,-0.9961,-0.9943,-0.9947,-0.9969,-0.9949,-0.9907,-0.9977,-0.9954,-0.9976,-0.9947,-0.9939,-0.9925,-0.7078,-0.9963,-0.9956,-0.9985,-0.9886,-0.9913,-0.9972,-0.993,-0.9945,-0.994,-0.9958,-0.9946,-0.9919,-0.9939,-0.9974
