#OTU ID	Pseudomonadota	Actinomycetota	Chloroflexota	Bacillota	Cyanobacteriota	Candidatus.Melainabacteria	Candidatus.Margulisbacteria	Deinococcota	Armatimonadota	Mycoplasmatota	Thermomicrobiota	Candidatus.Kaiserbacteria	Candidatus.Nomurabacteria	Candidatus.Yanofskybacteria	Candidatus.Azambacteria	Candidatus.Falkowbacteria	Candidatus.Magasanikbacteria	Candidatus.Nealsonbacteria	Candidatus.Uhrbacteria	Candidatus.Giovannonibacteria	Candidatus.Moranbacteria	Candidatus.Zambryskibacteria	Candidatus.Staskawiczbacteria	Candidatus.Wolfebacteria	Candidatus.Harrisonbacteria	Candidatus.Taylorbacteria	Candidatus.Buchananbacteria	Candidatus.Portnoybacteria	Candidatus.Adlerbacteria	Candidatus.Sungbacteria	Candidatus.Jorgensenbacteria	Candidatus.Liptonbacteria	Candidatus.Tagabacteria	Candidatus.Ryanbacteria	Candidatus.Wildermuthbacteria	Candidatus.Komeilibacteria	Candidatus.Kuenenbacteria	Candidatus.Lloydbacteria	Candidatus.Kerfeldbacteria	Candidatus.Terrybacteria	Candidatus.Yonathbacteria	Candidatus.Niyogibacteria	Candidatus.Campbellbacteria	Candidatus.Colwellbacteria	Candidatus.Vogelbacteria	Candidatus.Spechtbacteria	Candidatus.Andersenbacteria	Candidatus.Jacksonbacteria	Candidatus.Parcubacteria	Candidatus.Veblenbacteria	Candidatus.Woesebacteria	Candidatus.Gottesmanbacteria	Candidatus.Roizmanbacteria	Candidatus.Levybacteria	Candidatus.Daviesbacteria	Candidatus.Curtissbacteria	Candidatus.Shapirobacteria	Candidatus.Beckwithbacteria	Candidatus.Amesbacteria	Candidatus.Chisholmbacteria	Candidatus.Collierbacteria	Candidatus.Woykebacteria	Candidatus.Pacebacteria	Candidatus.Blackburnbacteria	Candidatus.Microgenomates	Candidatus.Gracilibacteria	candidate.division.NC10	Candidatus.Rokubacteria	Candidatus.Handelsmanbacteria	Candidatus.Schekmanbacteria	Candidatus.Aminicenantes	Candidatus.Glassbacteria	candidate.division.WWE3	Candidatus.Peregrinibacteria	Candidatus.Doudnabacteria	Candidatus.Berkelbacteria	Candidatus.Gribaldobacteria	Candidatus.Saccharibacteria	Candidatus.Eisenbacteria	Candidatus.Desantisbacteria	Candidatus.Edwardsbacteria	Candidatus.Lindowbacteria	Candidatus.Ratteibacteria	Candidatus.Dadabacteria	Candidatus.Firestonebacteria	Candidatus.Raymondbacteria	Candidatus.Riflebacteria	Candidatus.Wallbacteria	candidate.division.CPR1	Candidatus.Coatesbacteria	Candidatus.Bipolaricaulota	Candidatus.Blackallbacteria	candidate.division.CPR2	Candidatus.Fraserbacteria	Candidatus.Fischerbacteria	Candidatus.Sumerlaeota	candidate.division.WOR.3	Candidatus.Wirthbacteria	Candidatus.Abawacabacteria	Candidatus.Absconditabacteria	candidate.division.CPR3	Candidatus.Delongbacteria	Candidatus.Calescamantes	Planctomycetota	Candidatus.Omnitrophica	Verrucomicrobiota	Lentisphaerota	Chlamydiota	Kiritimatiellota	Thermodesulfobacteriota	Nitrospirota	Campylobacterota	Bacteroidota	Ignavibacteriota	Chlorobiota	Balneolota	Gemmatimonadota	candidate.division.Zixibacteria	Candidatus.Marinimicrobia	Candidatus.Hydrogenedentes	Fibrobacterota	Candidatus.Cloacimonetes	Elusimicrobiota	Acidobacteriota	Myxococcota	Nitrospinota	Candidatus.Tectomicrobia	Spirochaetota	Bdellovibrionota	Synergistota	Caldisericota	Fusobacteriota	Thermotogota	Atribacterota	Chrysiogenota	Aquificota	Calditrichota	Deferribacterota	Dictyoglomota	Coprothermobacterota	Nitrososphaerota	Candidatus.Bathyarchaeota	Thermoproteota	Euryarchaeota	Candidatus.Woesearchaeota	Nanoarchaeota	Candidatus.Micrarchaeota	Candidatus.Diapherotrites	Candidatus.Altiarchaeota	Candidatus.Nanohaloarchaeota	Candidatus.Thermoplasmatota	Candidatus.Heimdallarchaeota	Candidatus.Lokiarchaeota	Candidatus.Thorarchaeota
Pseudomonadota	1.0000	-0.7127	-0.6711	-0.6844	-0.6743	-0.6670	-0.6895	-0.6812	-0.6988	-0.6737	-0.6890	-0.6782	-0.6941	-0.6974	-0.6858	-0.6789	-0.6899	-0.6771	-0.7023	-0.7004	-0.7034	-0.6942	-0.6899	-0.6955	-0.7046	-0.6852	-0.6961	-0.6977	-0.6825	-0.7013	-0.7001	-0.6869	-0.7039	-0.6946	-0.6974	-0.7029	-0.6964	-0.7164	-0.6915	-0.7140	-0.6828	-0.6905	-0.6963	-0.7067	-0.7070	-0.6966	-0.7070	-0.7157	-0.7125	-0.7102	-0.7042	-0.7005	-0.7057	-0.7146	-0.7220	-0.7097	-0.7029	-0.7077	-0.7048	-0.6931	-0.7188	-0.6986	-0.7013	-0.7131	-0.7051	-0.7038	-0.7084	-0.7091	-0.6837	-0.7134	-0.7107	-0.7177	-0.7079	-0.7062	-0.7021	-0.7114	-0.7171	-0.7187	-0.7134	-0.7118	-0.7111	-0.7009	-0.7129	-0.6987	-0.7106	-0.7148	-0.7079	-0.7132	-0.7029	-0.7169	-0.7032	-0.7155	-0.7044	-0.7115	-0.7038	-0.7161	-0.6864	-0.7090	-0.7126	-0.7109	-0.7030	-0.7012	-0.7074	-0.7115	-0.7134	-0.7089	-0.7018	-0.7223	-0.7139	-0.7112	-0.7104	-0.7108	-0.7073	-0.7108	-0.7121	-0.7004	-0.7003	-0.6941	-0.7058	-0.7162	-0.7212	-0.7037	-0.6999	-0.7092	-0.7092	-0.7140	-0.7189	-0.7033	-0.7108	-0.6837	-0.7078	-0.7126	-0.7198	-0.7187	-0.7096	-0.7160	-0.7005	-0.7006	-0.6956	-0.7006	-0.7131	-0.7071	-0.7246	-0.7118	-0.6957	-0.7166	-0.7204	-0.7140	-0.6924	-0.6877	-0.7068	-0.7054	-0.7156	-0.7032
Actinomycetota	-0.7127	1.0000	-0.9831	-0.9862	-0.9848	-0.9850	-0.9825	-0.9855	-0.9820	-0.9838	-0.9791	-0.9843	-0.9844	-0.9823	-0.9828	-0.9840	-0.9852	-0.9805	-0.9816	-0.9822	-0.9820	-0.9809	-0.9816	-0.9858	-0.9827	-0.9837	-0.9812	-0.9849	-0.9824	-0.9825	-0.9854	-0.9821	-0.9822	-0.9812	-0.9803	-0.9815	-0.9836	-0.9821	-0.9827	-0.9840	-0.9839	-0.9797	-0.9848	-0.9834	-0.9826	-0.9821	-0.9796	-0.9837	-0.9834	-0.9826	-0.9820	-0.9805	-0.9865	-0.9817	-0.9807	-0.9827	-0.9851	-0.9800	-0.9845	-0.9834	-0.9835	-0.9828	-0.9800	-0.9802	-0.9804	-0.9819	-0.9832	-0.9829	-0.9836	-0.9831	-0.9851	-0.9855	-0.9835	-0.9804	-0.9826	-0.9801	-0.9853	-0.9809	-0.9835	-0.9812	-0.9840	-0.9841	-0.9828	-0.9831	-0.9820	-0.9806	-0.9809	-0.9826	-0.9805	-0.9815	-0.9807	-0.9805	-0.9832	-0.9839	-0.9801	-0.9822	-0.9800	-0.9794	-0.9825	-0.9823	-0.9792	-0.9820	-0.9850	-0.9823	-0.9796	-0.9812	-0.9786	-0.9791	-0.9800	-0.9828	-0.9796	-0.9800	-0.9783	-0.9813	-0.9808	-0.9798	-0.9757	-0.9786	-0.9799	-0.9800	-0.9821	-0.9818	-0.9811	-0.9808	-0.9797	-0.9797	-0.9804	-0.9795	-0.9766	-0.9793	-0.9786	-0.9795	-0.9824	-0.9795	-0.9805	-0.9816	-0.9803	-0.9776	-0.9801	-0.9808	-0.9800	-0.9775	-0.9787	-0.9764	-0.9813	-0.9789	-0.9782	-0.9785	-0.9786	-0.9783	-0.9817	-0.9786	-0.9795	-0.9785
Chloroflexota	-0.6711	-0.9831	1.0000	-0.9934	-0.9912	-0.9926	-0.9920	-0.9957	-0.9943	-0.9918	-0.9888	-0.9949	-0.9932	-0.9917	-1.0000	-0.9896	-0.9916	-0.9929	-0.9921	-0.9902	-0.9899	-0.9875	-0.9896	-0.9939	-0.9889	-0.9913	-0.9891	-0.9945	-0.9907	-0.9970	-0.9925	-0.9925	-0.9889	-0.9913	-0.9898	-0.9904	-0.9947	-0.9923	-0.9924	-0.9917	-0.9907	-0.9928	-0.9922	-0.9896	-0.9949	-0.9939	-0.9938	-0.9914	-0.9921	-0.9912	-0.9893	-0.9882	-0.9895	-0.9889	-0.9889	-0.9898	-0.9902	-0.9911	-0.9919	-0.9904	-0.9961	-0.9926	-0.9909	-0.9903	-0.9928	-0.9910	-0.9935	-0.9912	-0.9923	-0.9910	-0.9888	-0.9908	-0.9878	-0.9880	-0.9900	-0.9922	-0.9891	-0.9911	-0.9932	-0.9895	-0.9897	-0.9865	-0.9880	-0.9881	-0.9918	-0.9904	-0.9883	-0.9887	-0.9896	-0.9914	-0.9923	-0.9878	-0.9886	-0.9897	-0.9896	-0.9909	-0.9893	-0.9887	-0.9914	-0.9877	-0.9900	-0.9905	-0.9910	-0.9899	-0.9896	-0.9905	-0.9926	-0.9927	-0.9900	-0.9894	-0.9890	-0.9877	-0.9901	-0.9906	-0.9905	-0.9901	-0.9901	-0.9885	-0.9878	-0.9866	-0.9898	-0.9901	-0.9910	-0.9884	-0.9850	-0.9867	-0.9883	-0.9905	-0.9905	-0.9900	-0.9885	-0.9893	-0.9890	-0.9889	-0.9878	-0.9905	-0.9904	-0.9909	-0.9888	-0.9874	-0.9903	-0.9859	-0.9839	-0.9863	-0.9906	-0.9881	-0.9887	-0.9888	-0.9872	-0.9894	-0.9903	-0.9906	-0.9865	-0.9890
Bacillota	-0.6844	-0.9862	-0.9934	1.0000	-0.9969	-0.9907	-0.9939	-0.9944	-0.9903	-0.9941	-0.9898	-0.9913	-0.9890	-0.9893	-0.9921	-0.9928	-0.9942	-0.9919	-0.9895	-0.9922	-0.9914	-0.9924	-0.9915	-0.9920	-0.9946	-0.9916	-0.9917	-0.9936	-0.9943	-0.9918	-0.9883	-0.9939	-0.9902	-0.9902	-0.9934	-0.9908	-0.9920	-0.9891	-0.9945	-0.9896	-0.9914	-0.9890	-0.9913	-0.9897	-0.9892	-0.9916	-0.9926	-0.9934	-0.9911	-0.9897	-0.9926	-0.9930	-0.9905	-0.9907	-0.9903	-0.9911	-0.9903	-0.9909	-0.9921	-0.9913	-0.9936	-0.9911	-0.9897	-0.9886	-0.9936	-0.9929	-0.9890	-0.9906	-0.9896	-0.9885	-0.9910	-0.9899	-0.9900	-0.9942	-0.9917	-0.9917	-0.9913	-0.9894	-0.9902	-0.9871	-0.9899	-0.9881	-0.9888	-0.9895	-0.9893	-0.9900	-0.9902	-0.9893	-0.9923	-0.9904	-0.9900	-0.9907	-0.9911	-0.9875	-0.9919	-0.9895	-0.9900	-0.9908	-0.9898	-0.9896	-0.9881	-0.9886	-0.9918	-0.9886	-0.9904	-0.9876	-0.9880	-0.9898	-0.9890	-0.9928	-0.9907	-0.9868	-0.9910	-0.9908	-0.9902	-0.9862	-0.9876	-0.9897	-0.9901	-0.9899	-0.9881	-0.9853	-0.9903	-0.9918	-0.9871	-0.9893	-0.9865	-0.9874	-0.9905	-0.9885	-0.9899	-0.9893	-0.9839	-0.9869	-0.9867	-0.9911	-0.9911	-0.9872	-0.9917	-0.9866	-0.9868	-0.9905	-0.9882	-0.9887	-0.9872	-0.9869	-0.9894	-0.9917	-0.9880	-0.9853	-0.9872	-0.9884	-0.9879	-0.9872
Cyanobacteriota	-0.6743	-0.9848	-0.9912	-0.9969	1.0000	-0.9920	-0.9937	-0.9958	-0.9911	-0.9915	-0.9920	-0.9906	-0.9910	-0.9957	-0.9902	-0.9926	-0.9924	-0.9953	-0.9897	-0.9927	-0.9905	-0.9936	-0.9897	-0.9923	-0.9917	-0.9973	-0.9935	-0.9949	-0.9960	-0.9911	-0.9942	-0.9903	-0.9930	-0.9906	-0.9929	-0.9888	-0.9929	-0.9901	-0.9932	-0.9921	-0.9906	-0.9902	-0.9932	-0.9894	-0.9906	-0.9910	-0.9924	-0.9891	-0.9920	-0.9945	-0.9931	-0.9912	-0.9937	-0.9954	-0.9917	-0.9950	-0.9893	-0.9911	-0.9941	-0.9933	-0.9895	-0.9951	-0.9915	-0.9925	-0.9904	-0.9916	-0.9908	-0.9908	-0.9925	-0.9907	-0.9939	-0.9912	-0.9919	-0.9900	-0.9925	-0.9924	-0.9919	-0.9881	-0.9924	-0.9894	-0.9921	-0.9915	-0.9921	-0.9896	-0.9912	-0.9925	-0.9924	-0.9893	-0.9915	-0.9888	-0.9915	-0.9921	-0.9928	-0.9926	-0.9909	-0.9933	-0.9933	-0.9917	-0.9935	-0.9917	-0.9900	-0.9894	-0.9879	-0.9888	-0.9921	-0.9912	-0.9892	-0.9862	-0.9883	-0.9877	-0.9894	-0.9917	-0.9902	-0.9886	-0.9917	-0.9889	-0.9873	-0.9904	-0.9914	-0.9888	-0.9897	-0.9897	-0.9903	-0.9887	-0.9914	-0.9898	-0.9886	-0.9900	-0.9924	-0.9875	-0.9896	-0.9927	-0.9903	-0.9902	-0.9890	-0.9892	-0.9884	-0.9899	-0.9912	-0.9895	-0.9907	-0.9873	-0.9910	-0.9872	-0.9919	-0.9865	-0.9869	-0.9909	-0.9885	-0.9924	-0.9879	-0.9872	-0.9886	-0.9911
Candidatus.Melainabacteria	-0.6670	-0.9850	-0.9926	-0.9907	-0.9920	1.0000	-0.9943	-0.9931	-0.9950	-0.9926	-0.9926	-0.9941	-0.9953	-0.9951	-0.9926	-0.9940	-0.9946	-0.9916	-0.9957	-0.9925	-0.9920	-0.9907	-0.9934	-0.9931	-0.9925	-0.9922	-0.9929	-0.9915	-0.9919	-0.9906	-0.9904	-0.9912	-0.9920	-0.9893	-0.9936	-0.9924	-0.9914	-0.9885	-0.9945	-0.9939	-0.9902	-0.9914	-0.9955	-0.9883	-0.9905	-0.9881	-0.9951	-0.9941	-0.9916	-0.9942	-0.9913	-0.9924	-0.9928	-0.9921	-0.9908	-0.9916	-0.9930	-0.9929	-0.9936	-0.9940	-0.9913	-0.9936	-0.9907	-0.9918	-0.9936	-0.9940	-0.9944	-0.9902	-0.9908	-0.9950	-0.9904	-0.9905	-0.9925	-0.9917	-0.9927	-0.9934	-0.9904	-0.9910	-0.9939	-0.9901	-0.9930	-0.9936	-0.9904	-0.9907	-0.9918	-0.9889	-0.9922	-0.9882	-0.9897	-0.9890	-0.9906	-0.9944	-0.9914	-0.9924	-0.9928	-0.9906	-0.9890	-0.9918	-0.9905	-0.9898	-0.9888	-0.9909	-0.9910	-0.9906	-0.9888	-0.9914	-0.9900	-0.9921	-0.9922	-0.9905	-0.9885	-0.9906	-0.9893	-0.9896	-0.9903	-0.9881	-0.9894	-0.9896	-0.9892	-0.9883	-0.9897	-0.9907	-0.9888	-0.9871	-0.9925	-0.9934	-0.9923	-0.9878	-0.9868	-0.9898	-0.9904	-0.9915	-0.9900	-0.9884	-0.9888	-0.9910	-0.9877	-0.9914	-0.9892	-0.9897	-0.9856	-0.9892	-0.9898	-0.9899	-0.9891	-0.9904	-0.9901	-0.9898	-0.9887	-0.9878	-0.9867	-0.9890	-0.9855	-0.9892
Candidatus.Margulisbacteria	-0.6895	-0.9825	-0.9920	-0.9939	-0.9937	-0.9943	1.0000	-0.9960	-0.9964	-0.9938	-0.9930	-0.9937	-0.9932	-0.9940	-0.9950	-0.9942	-0.9903	-0.9906	-0.9942	-0.9910	-0.9918	-0.9930	-0.9914	-0.9930	-0.9900	-0.9902	-0.9926	-0.9942	-0.9922	-0.9907	-0.9910	-0.9888	-0.9923	-0.9936	-0.9910	-0.9891	-0.9915	-0.9932	-0.9943	-0.9911	-0.9920	-0.9934	-0.9895	-0.9906	-0.9937	-0.9914	-0.9921	-0.9925	-0.9904	-0.9932	-0.9924	-0.9933	-0.9912	-0.9898	-0.9907	-0.9900	-0.9910	-0.9866	-0.9895	-0.9892	-0.9902	-0.9942	-0.9891	-0.9909	-0.9885	-0.9947	-0.9891	-0.9919	-0.9932	-0.9901	-0.9928	-0.9914	-0.9908	-0.9928	-0.9924	-0.9910	-0.9909	-0.9922	-0.9912	-0.9922	-0.9895	-0.9911	-0.9905	-0.9935	-0.9927	-0.9885	-0.9914	-0.9875	-0.9900	-0.9891	-0.9921	-0.9890	-0.9896	-0.9912	-0.9890	-0.9898	-0.9908	-0.9910	-0.9901	-0.9907	-0.9873	-0.9877	-0.9889	-0.9904	-0.9887	-0.9911	-0.9871	-0.9904	-0.9882	-0.9917	-0.9884	-0.9894	-0.9906	-0.9910	-0.9930	-0.9877	-0.9895	-0.9886	-0.9912	-0.9899	-0.9895	-0.9904	-0.9918	-0.9861	-0.9903	-0.9896	-0.9910	-0.9908	-0.9880	-0.9924	-0.9863	-0.9877	-0.9883	-0.9886	-0.9875	-0.9902	-0.9899	-0.9906	-0.9927	-0.9889	-0.9908	-0.9869	-0.9906	-0.9874	-0.9911	-0.9888	-0.9899	-0.9897	-0.9910	-0.9889	-0.9888	-0.9889	-0.9889	-0.9882
Deinococcota	-0.6812	-0.9855	-0.9957	-0.9944	-0.9958	-0.9931	-0.9960	1.0000	-0.9918	-0.9908	-0.9943	-0.9930	-0.9973	-0.9902	-0.9962	-0.9923	-0.9920	-0.9938	-0.9905	-0.9952	-0.9963	-0.9936	-0.9930	-0.9952	-0.9917	-0.9946	-0.9935	-0.9917	-0.9915	-0.9918	-0.9900	-0.9957	-0.9912	-0.9912	-0.9919	-0.9933	-0.9923	-0.9921	-0.9928	-0.9914	-0.9932	-0.9943	-0.9942	-0.9961	-0.9896	-0.9967	-0.9945	-0.9925	-0.9917	-0.9961	-0.9918	-0.9894	-0.9913	-0.9923	-0.9922	-0.9969	-0.9926	-0.9940	-0.9923	-0.9916	-0.9909	-0.9907	-0.9928	-0.9932	-0.9932	-0.9943	-0.9908	-0.9927	-0.9920	-0.9918	-0.9931	-0.9958	-0.9941	-0.9925	-0.9902	-0.9926	-0.9921	-0.9916	-0.9887	-0.9932	-0.9938	-0.9903	-0.9896	-0.9900	-0.9914	-0.9940	-0.9935	-0.9917	-0.9911	-0.9905	-0.9932	-0.9912	-0.9914	-0.9888	-0.9918	-0.9903	-0.9900	-0.9938	-0.9929	-0.9903	-0.9911	-0.9920	-0.9924	-0.9907	-0.9890	-0.9910	-0.9910	-0.9897	-0.9901	-0.9910	-0.9909	-0.9898	-0.9903	-0.9915	-0.9917	-0.9888	-0.9916	-0.9894	-0.9905	-0.9924	-0.9904	-0.9918	-0.9940	-0.9893	-0.9902	-0.9904	-0.9897	-0.9910	-0.9891	-0.9913	-0.9887	-0.9943	-0.9899	-0.9893	-0.9884	-0.9902	-0.9922	-0.9922	-0.9906	-0.9901	-0.9905	-0.9871	-0.9879	-0.9898	-0.9905	-0.9893	-0.9868	-0.9877	-0.9923	-0.9906	-0.9898	-0.9915	-0.9906	-0.9902
Armatimonadota	-0.6988	-0.9820	-0.9943	-0.9903	-0.9911	-0.9950	-0.9964	-0.9918	1.0000	-0.9960	-0.9958	-0.9927	-0.9981	-0.9961	-0.9940	-0.9941	-0.9941	-0.9939	-0.9936	-0.9935	-0.9946	-0.9958	-0.9922	-0.9928	-0.9927	-0.9934	-0.9952	-0.9908	-0.9909	-0.9926	-0.9946	-0.9933	-0.9919	-0.9912	-0.9927	-0.9929	-0.9933	-0.9915	-0.9953	-0.9938	-0.9902	-0.9931	-0.9929	-0.9910	-0.9919	-0.9953	-0.9956	-0.9924	-0.9945	-0.9939	-0.9931	-0.9932	-0.9924	-0.9916	-0.9936	-0.9890	-0.9914	-0.9926	-0.9917	-0.9929	-0.9913	-0.9911	-0.9921	-0.9923	-0.9920	-0.9910	-0.9905	-0.9937	-0.9943	-0.9907	-0.9928	-0.9937	-0.9923	-0.9911	-0.9923	-0.9932	-0.9916	-0.9913	-0.9913	-0.9932	-0.9898	-0.9896	-0.9918	-0.9924	-0.9940	-0.9913	-0.9939	-0.9919	-0.9928	-0.9926	-0.9914	-0.9932	-0.9945	-0.9912	-0.9904	-0.9919	-0.9919	-0.9917	-0.9904	-0.9904	-0.9888	-0.9916	-0.9910	-0.9909	-0.9917	-0.9951	-0.9885	-0.9904	-0.9907	-0.9898	-0.9894	-0.9929	-0.9904	-0.9895	-0.9925	-0.9904	-0.9926	-0.9929	-0.9894	-0.9912	-0.9923	-0.9885	-0.9883	-0.9880	-0.9931	-0.9902	-0.9930	-0.9893	-0.9895	-0.9898	-0.9904	-0.9914	-0.9888	-0.9889	-0.9895	-0.9903	-0.9900	-0.9896	-0.9893	-0.9881	-0.9916	-0.9895	-0.9902	-0.9900	-0.9895	-0.9885	-0.9899	-0.9892	-0.9887	-0.9915	-0.9911	-0.9887	-0.9884	-0.9902
Mycoplasmatota	-0.6737	-0.9838	-0.9918	-0.9941	-0.9915	-0.9926	-0.9938	-0.9908	-0.9960	1.0000	-0.9933	-0.9951	-0.9914	-0.9980	-0.9959	-0.9934	-0.9937	-0.9951	-0.9940	-0.9934	-0.9939	-0.9932	-0.9970	-0.9943	-0.9920	-0.9935	-0.9966	-0.9938	-0.9920	-0.9924	-0.9946	-0.9953	-0.9965	-0.9909	-0.9916	-0.9917	-0.9948	-0.9912	-0.9921	-0.9915	-0.9918	-0.9930	-0.9932	-0.9947	-0.9905	-0.9911	-0.9954	-0.9910	-0.9953	-0.9909	-0.9921	-0.9927	-0.9947	-0.9928	-0.9936	-0.9943	-0.9928	-0.9921	-0.9949	-0.9922	-0.9922	-0.9942	-0.9925	-0.9938	-0.9922	-0.9938	-0.9913	-0.9907	-0.9916	-0.9919	-0.9906	-0.9911	-0.9927	-0.9887	-0.9911	-0.9933	-0.9928	-0.9926	-0.9917	-0.9929	-0.9939	-0.9920	-0.9887	-0.9905	-0.9907	-0.9919	-0.9904	-0.9905	-0.9943	-0.9932	-0.9919	-0.9955	-0.9899	-0.9940	-0.9906	-0.9930	-0.9959	-0.9893	-0.9891	-0.9907	-0.9901	-0.9880	-0.9890	-0.9918	-0.9929	-0.9885	-0.9878	-0.9891	-0.9904	-0.9895	-0.9908	-0.9889	-0.9878	-0.9902	-0.9903	-0.9896	-0.9903	-0.9908	-0.9895	-0.9891	-0.9934	-0.9897	-0.9905	-0.9893	-0.9907	-0.9888	-0.9899	-0.9928	-0.9890	-0.9890	-0.9907	-0.9889	-0.9886	-0.9901	-0.9881	-0.9920	-0.9911	-0.9917	-0.9884	-0.9909	-0.9897	-0.9910	-0.9910	-0.9888	-0.9919	-0.9909	-0.9872	-0.9928	-0.9894	-0.9916	-0.9906	-0.9923	-0.9885	-0.9899
