source,target,type,weight,a,b,c,signal
0,1,Undirected,-0.00230000,148,2,0,neg
0,2,Undirected,0.00010000,132,18,0,pos
0,3,Undirected,-0.00180000,144,4,2,neg
0,4,Undirected,0.00380000,124,24,2,pos
0,5,Undirected,-0.00010000,148,2,0,neg
0,6,Undirected,-0.00110000,148,2,0,neg
0,7,Undirected,0.00150000,126,22,2,pos
0,8,Undirected,-0.00300000,144,4,2,neg
0,9,Undirected,-0.00170000,99,49,2,neg
0,10,Undirected,0.00100000,130,18,2,pos
0,11,Undirected,-0.00170000,145,4,1,neg
0,12,Undirected,-0.00100000,100,48,2,neg
0,13,Undirected,-0.00100000,104,44,2,neg
0,14,Undirected,-0.00100000,119,29,2,neg
0,15,Undirected,-0.00270000,35,113,2,neg
0,16,Undirected,-0.00200000,52,96,2,neg
0,17,Undirected,-0.00290000,122,26,2,neg
0,18,Undirected,-0.00210000,146,2,2,neg
0,19,Undirected,-0.00100000,117,31,2,neg
0,20,Undirected,-0.00290000,125,23,2,neg
0,21,Undirected,-0.00270000,123,25,2,neg
0,22,Undirected,-0.00090000,125,23,2,neg
0,23,Undirected,-0.00220000,131,17,2,neg
0,24,Undirected,-0.00270000,126,22,2,neg
0,25,Undirected,-0.00210000,125,23,2,neg
0,26,Undirected,-0.00230000,106,42,2,neg
0,27,Undirected,0.00270000,40,108,2,pos
0,28,Undirected,0.00060000,131,17,2,pos
0,29,Undirected,0.00060000,45,103,2,pos
0,30,Undirected,-0.00110000,119,29,2,neg
0,31,Undirected,-0.00180000,109,39,2,neg
0,32,Undirected,0.00200000,106,42,2,pos
0,33,Undirected,-0.00150000,123,25,2,neg
0,34,Undirected,-0.00180000,125,23,2,neg
0,35,Undirected,-0.00250000,116,32,2,neg
0,36,Undirected,-0.00050000,124,24,2,neg
0,37,Undirected,-0.00050000,122,26,2,neg
0,38,Undirected,0.00220000,130,18,2,pos
0,39,Undirected,-0.00130000,106,42,2,neg
0,40,Undirected,0.00150000,124,24,2,pos
0,41,Undirected,-0.00040000,65,83,2,neg
0,42,Undirected,-0.00060000,131,17,2,neg
0,43,Undirected,-0.00220000,133,15,2,neg
0,44,Undirected,0.00000000,144,4,2,pos
0,45,Undirected,0.00140000,137,11,2,pos
0,46,Undirected,-0.00290000,123,25,2,neg
0,47,Undirected,0.00090000,113,35,2,pos
0,48,Undirected,-0.00050000,114,34,2,neg
0,49,Undirected,-0.00070000,128,20,2,neg
0,50,Undirected,-0.00000000,134,14,2,pos
0,51,Undirected,-0.00360000,131,17,2,neg
0,52,Undirected,0.00070000,100,48,2,pos
