Taxon,Ecosystem,Habitat,Abundance,AbundanceAbsolute,AbundanceAbsolute_isKeystone,AbundanceAbsolute_scaled,AbundanceAbsolute_zScore,Abundance_isKeystone,Abundance_scaled,Abundance_zScore,BC,BC_isKeystone,BC_rank,BC_rank_isKeystone,BC_rank_scaled,BC_rank_zScore,BC_scaled,BC_zScore,D,D_isKeystone,D_rank,D_rank_isKeystone,D_rank_scaled,D_rank_zScore,D_scaled,D_zScore,DxCC,DxCC_isKeystone,DxCC_rank,DxCC_rank_isKeystone,DxCC_rank_scaled,DxCC_rank_zScore,DxCC_scaled,DxCC_zScore,LIASP,LIASP_isKeystone,LIASP_rank,LIASP_rank_isKeystone,LIASP_rank_scaled,LIASP_rank_zScore,LIASP_scaled,LIASP_zScore,LIASPdir,LIASPdir_isKeystone,LIASPdir_rank,LIASPdir_rank_isKeystone,LIASPdir_rank_scaled,LIASPdir_rank_zScore,LIASPdir_scaled,LIASPdir_zScore,LIASPindir,LIASPindir_isKeystone,LIASPindir_rank,LIASPindir_rank_isKeystone,LIASPindir_rank_scaled,LIASPindir_rank_zScore,LIASPindir_scaled,LIASPindir_zScore,Marker,Median,Median_isKeystone,Median_scaled,Median_zScore,Prevalence,Prevalence_isKeystone,Prevalence_scaled,Prevalence_zScore,Sem,Sem_isKeystone,Sem_scaled,Sem_zScore,Std,Std_isKeystone,Std_scaled,Std_zScore,dirEffChange,dirEffChange_isKeystone,dirEffChange_rank,dirEffChange_rank_isKeystone,dirEffChange_rank_scaled,dirEffChange_rank_zScore,dirEffChange_scaled,dirEffChange_zScore,effOriginal,effOriginal_isKeystone,effOriginal_rank,effOriginal_rank_isKeystone,effOriginal_rank_scaled,effOriginal_rank_zScore,effOriginal_scaled,effOriginal_zScore,effRemoved,effRemoved_isKeystone,effRemoved_rank,effRemoved_rank_isKeystone,effRemoved_rank_scaled,effRemoved_rank_zScore,effRemoved_scaled,effRemoved_zScore,indirEffChange,indirEffChange_isKeystone,indirEffChange_rank,indirEffChange_rank_isKeystone,indirEffChange_rank_scaled,indirEffChange_rank_zScore,indirEffChange_scaled,indirEffChange_zScore,totalEffChange,totalEffChange_isKeystone,totalEffChange_rank,totalEffChange_rank_isKeystone,totalEffChange_rank_scaled,totalEffChange_rank_zScore,totalEffChange_scaled,totalEffChange_zScore
Acidobacteriota,,wastewater_treatment_plant phyla,0.2020065145480195,0.0020200651454801,0,0.0032467535699826446,-0.08364610731826495,0,0.003246753569982792,-0.08364610731826343,0.006447909733579911,0,155,0,0.9748427672955975,1.6340425137397316,0.7342462787582938,1.8441513031760552,49,0,154,0,0.9685534591194969,1.6122552802232017,0.875,1.6902812200130608,28.99625468164794,0,154,0,0.9685534591194969,1.6122552802232017,0.8520599250936329,1.7134101206738592,0.013184713375796088,0,154,0,0.9685534591194969,1.6122552802232017,0.9668584439549944,1.690702157951916,0.01318471337579618,0,154,0,0.9685534591194969,1.6122552802232017,0.9668584439549974,1.69070215795198,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,D,0.1768077719024156,0,0.002655880823092428,-0.07709371802328657,1.0,0,1.0,0.23059969922784654,0.0159614010422021,0,0.012594752934534867,-0.0790886357029271,0.1563891525332915,0,0.012594752934534903,-0.079088635702927,0.008239789825650825,0,154,0,0.9685534591194969,1.6122552802232017,0.9672897196261683,1.6902812200130737,0.6331900326407133,0,1,0,0.006289308176100629,-1.7211914478058505,1.0,,0.6249502428150625,0,6,0,0.03773584905660377,-1.6122552802232017,0.9986642071115069,-1.690281220013117,0.0,0,1,0,0.006289308176100629,-1.7211914478058505,0.0,,0.008239789825650767,0,154,0,0.9685534591194969,1.6122552802232017,0.9672897196261653,1.690281220013021
Actinomycetota,,wastewater_treatment_plant phyla,12.46229824689547,0.1246229824689544,1,0.20030052700938908,2.3184792124204825,1,0.20030052700938922,2.3184792124204834,0.0062069460139723785,0,150,0,0.9433962264150944,1.5251063461570828,0.7068068880490574,1.5938241609091481,49,0,149,0,0.9371069182389937,1.5033191126405532,0.875,1.6902812200130608,28.99625468164794,0,149,0,0.9371069182389937,1.5033191126405532,0.8520599250936329,1.7134101206738592,0.013184713375796088,0,149,0,0.9371069182389937,1.5033191126405532,0.9668584439549944,1.690702157951916,0.01318471337579618,0,149,0,0.9371069182389937,1.5033191126405532,0.9668584439549974,1.69070215795198,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,D,13.460065144906512,1,0.20218754250046406,2.38738688710864,1.0,0,1.0,0.23059969922784654,0.6701366612283602,1,0.5287885229015488,4.471150434566089,6.565971511767335,1,0.5287885229015489,4.47115043456609,0.008239789825650825,0,149,0,0.9371069182389937,1.5033191126405532,0.9672897196261683,1.6902812200130737,0.6331900326407133,0,102,0,0.6415094339622641,0.4793191373636546,1.0,,0.6249502428150625,0,8,0,0.050314465408805034,-1.5686808131901424,0.9986642071115069,-1.690281220013117,0.0,0,102,0,0.6415094339622641,0.4793191373636546,0.0,,0.008239789825650767,0,149,0,0.9371069182389937,1.5033191126405532,0.9672897196261653,1.690281220013021
Aquificota,,wastewater_treatment_plant phyla,0.0026089692605998,2.608969260599799e-05,0,4.193270835735443e-05,-0.12271352126608409,0,4.193270835735438e-05,-0.12271352126608434,0.003754054312954849,0,26,0,0.16352201257861634,-1.1765106098926068,0.4274874375471839,-0.9543825600280059,37,0,16,0,0.10062893081761007,-1.3943829450579044,0.6607142857142857,-1.2442561483080663,20.95340501792115,0,16,0,0.10062893081761007,-1.3943829450579044,0.6157194060419867,-1.2324709827818776,0.012410896130346178,0,16,0,0.10062893081761007,-1.3943829450579044,0.9101130512781463,-1.2440673229380708,0.012410896130346231,0,16,0,0.10062893081761007,-1.3943829450579044,0.9101130512781468,-1.2440673229380572,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,D,0.0023192632079396,0,3.483832532582497e-05,-0.10946706843128795,1.0,0,1.0,0.23059969922784654,0.0001773084920287,0,0.00013990981395630206,-0.18887786036743512,0.0017372613301314,0,0.00013990981395636538,-0.18887786036743479,0.007762120850250776,0,16,0,0.10062893081761007,-1.3943829450579044,0.911214953271028,-1.2442561483080583,0.6331900326407133,0,103,0,0.6477987421383647,0.5011063708801844,1.0,,0.6254279117904625,0,141,0,0.8867924528301887,1.329021244508315,0.999427517333503,1.2442561483079648,0.0,0,103,0,0.6477987421383647,0.5011063708801844,0.0,,0.007762120850250742,0,16,0,0.10062893081761007,-1.3943829450579044,0.9112149532710275,-1.2442561483080607
Armatimonadota,,wastewater_treatment_plant phyla,0.0182984257550056,0.00018298425755,0,0.00029410179804369033,-0.11963952910334438,0,0.00029410179804377983,-0.11963952910334356,0.0040330152604572105,0,39,0,0.24528301886792453,-0.89327657417772,0.45925370694078105,-0.6645816849997143,39,0,38,0,0.2389937106918239,-0.9150638076942497,0.6964285714285714,-0.7551665869212116,22.24548736462094,0,38,0,0.2389937106918239,-0.9150638076942497,0.6536874677668901,-0.7592157152592057,0.012539783577339154,0,38,0,0.2389937106918239,-0.9150638076942497,0.9195645966317014,-0.755250424466274,0.012539783577339274,0,38,0,0.2389937106918239,-0.9150638076942497,0.9195645966317066,-0.7552504244660261,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,D,0.02126943054803,0,0.00031949428525001043,-0.1059511898660972,1.0,0,1.0,0.23059969922784654,0.0011455923031058,0,0.0009039589935227718,-0.18214278018874078,0.0112244663834764,0,0.0009039589935227997,-0.18214278018874078,0.007841732346150784,0,38,0,0.2389937106918239,-0.9150638076942497,0.9205607476635513,-0.7551665869212039,0.6331900326407133,0,104,0,0.6540880503144654,0.5228936043967141,1.0,,0.6253483002945626,0,122,0,0.7672955974842768,0.9150638076942497,0.9993002989631704,0.7551665869213453,0.0,0,104,0,0.6540880503144654,0.5228936043967141,0.0,,0.00784173234615071,0,38,0,0.2389937106918239,-0.9150638076942497,0.9205607476635461,-0.7551665869214412
Atribacterota,,wastewater_treatment_plant phyla,0.0028288216467569,2.8288216467569443e-05,0,4.5466290040212816e-05,-0.12267044619128797,0,4.546629004021203e-05,-0.12267044619128825,0.0053901140651006945,0,130,0,0.8176100628930818,1.0893616758264877,0.6137913460189844,0.7452515716148181,45,0,123,0,0.7735849056603774,0.9368510412107794,0.8035714285714286,0.7121020972393518,26.236162361623617,0,123,0,0.7735849056603774,0.9368510412107794,0.7709541381128097,0.7024619929196764,0.012926642893530172,0,123,0,0.7735849056603774,0.9368510412107794,0.9479336772344382,0.7119473166428185,0.01292664289353031,0,123,0,0.7735849056603774,0.9368510412107794,0.9479336772344448,0.7119473166430917,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,D,0.0022981441721038,0,3.452109016316787e-05,-0.10947098670620764,1.0,0,1.0,0.23059969922784654,0.000200474157291,0,0.00015818927637763797,-0.18871672722532382,0.0019642375679102,0,0.00015818927637768442,-0.18871672722532362,0.008080566833850809,0,123,0,0.7735849056603774,0.9368510412107794,0.9485981308411215,0.7121020972393648,0.6331900326407133,0,105,0,0.660377358490566,0.5446808379132438,1.0,,0.6251094658068626,0,29,0,0.18238993710691823,-1.1111489093430176,0.9989186438521723,-0.7121020972391957,0.0,0,105,0,0.660377358490566,0.5446808379132438,0.0,,0.008080566833850722,0,123,0,0.7735849056603774,0.9368510412107794,0.948598130841115,0.7121020972390998
Bacillota,,wastewater_treatment_plant phyla,5.995016824424833,0.0599501682442482,0,0.09635502261082426,1.051362508027166,0,0.0963550226108243,1.0513625080271662,0.006733336857247008,1,156,0,0.9811320754716981,1.6558297472562613,0.7667488744937483,2.1406696185034466,49,0,150,0,0.9433962264150944,1.5251063461570828,0.875,1.6902812200130608,28.99625468164794,0,150,0,0.9433962264150944,1.5251063461570828,0.8520599250936329,1.7134101206738592,0.013184713375796088,0,150,0,0.9433962264150944,1.5251063461570828,0.9668584439549944,1.690702157951916,0.01318471337579618,0,150,0,0.9433962264150944,1.5251063461570828,0.9668584439549974,1.69070215795198,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,D,2.150538459668164,0,0.03230386194509458,0.28909816271509814,1.0,0,1.0,0.23059969922784654,0.6861874793063898,1,0.5414538326419308,4.582794918809725,6.723236768748984,1,0.5414538326419309,4.582794918809727,0.008239789825650825,0,150,0,0.9433962264150944,1.5251063461570828,0.9672897196261683,1.6902812200130737,0.6331900326407133,0,106,0,0.6666666666666666,0.5664680714297736,1.0,,0.6249502428150625,0,11,0,0.06918238993710692,-1.5033191126405532,0.9986642071115069,-1.690281220013117,0.0,0,106,0,0.6666666666666666,0.5664680714297736,0.0,,0.008239789825650767,0,150,0,0.9433962264150944,1.5251063461570828,0.9672897196261653,1.690281220013021
Bacteroidota,,wastewater_treatment_plant phyla,11.627673423067046,0.1162767342306702,1,0.18688600355986426,2.1549534607035716,1,0.18688600355986437,2.1549534607035725,0.00349473675518892,0,19,0,0.11949685534591195,-1.329021244508315,0.39795803039454847,-1.2237767380432978,37,0,17,0,0.1069182389937107,-1.3725957115413745,0.6607142857142857,-1.2442561483080663,20.95340501792115,0,17,0,0.1069182389937107,-1.3725957115413745,0.6157194060419867,-1.2324709827818776,0.012410896130346178,0,17,0,0.1069182389937107,-1.3725957115413745,0.9101130512781463,-1.2440673229380708,0.012410896130346231,0,17,0,0.1069182389937107,-1.3725957115413745,0.9101130512781468,-1.2440673229380572,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,D,7.4511956036569345,0,0.11192657030814997,1.2725441924791026,1.0,0,1.0,0.23059969922784654,0.8694466667821942,1,0.6860591954881317,5.857488667700297,8.518802768720033,1,0.6860591954881318,5.8574886677002995,0.007762120850250776,0,17,0,0.1069182389937107,-1.3725957115413745,0.911214953271028,-1.2442561483080583,0.6331900326407133,0,107,0,0.6729559748427673,0.5882553049463034,1.0,,0.6254279117904625,0,140,0,0.8805031446540881,1.3072340109917853,0.999427517333503,1.2442561483079648,0.0,0,107,0,0.6729559748427673,0.5882553049463034,0.0,,0.007762120850250742,0,17,0,0.1069182389937107,-1.3725957115413745,0.9112149532710275,-1.2442561483080607
Balneolota,,wastewater_treatment_plant phyla,0.0016986154823079,1.6986154823079012e-05,0,2.7301029838323596e-05,-0.12289188438406644,0,2.7301029838323532e-05,-0.12289188438406672,0.004551055557366076,0,76,0,0.4779874213836478,-0.08714893406611902,0.5182447871463958,-0.12641126118856696,42,0,75,0,0.4716981132075472,-0.10893616758264878,0.75,-0.021532244840929936,24.21897810218978,0,75,0,0.4716981132075472,-0.10893616758264878,0.7116788321167883,-0.036378746433518044,0.012733176290825618,0,75,0,0.4716981132075472,-0.10893616758264878,0.933746427719286,-0.021791669567908938,0.012733176290825744,0,75,0,0.4716981132075472,-0.10893616758264878,0.9337464277192916,-0.021791669567658233,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,D,0.0014962374045094,0,2.2475416022002435e-05,-0.10961976675468256,1.0,0,1.0,0.23059969922784654,0.000103323592904,0,8.153013143981517e-05,-0.18939247624959388,0.0010123603240236,0,8.15301314398304e-05,-0.189392476249594,0.007961149590000795,0,75,0,0.4716981132075472,-0.10893616758264878,0.9345794392523363,-0.0215322448409249,0.6331900326407133,0,108,0,0.6792452830188679,0.6100425384628332,1.0,,0.6252288830507126,0,78,0,0.49056603773584906,-0.04357446703305951,0.9991094714076714,0.02153224484107479,0.0,0,108,0,0.6792452830188679,0.6100425384628332,0.0,,0.007961149590000716,0,75,0,0.4716981132075472,-0.10893616758264878,0.9345794392523306,-0.021532244841170705
Bdellovibrionota,,wastewater_treatment_plant phyla,0.0574508097276199,0.0005745080972761,0,0.0009233792385303494,-0.11196850993659796,0,0.000923379238530507,-0.1119685099365963,0.005320203577509997,0,128,0,0.8050314465408805,1.0457872087934281,0.6058303916197131,0.6726244865018847,45,0,122,0,0.7672955974842768,0.9150638076942497,0.8035714285714286,0.7121020972393518,26.236162361623617,0,122,0,0.7672955974842768,0.9150638076942497,0.7709541381128097,0.7024619929196764,0.012926642893530172,0,122,0,0.7672955974842768,0.9150638076942497,0.9479336772344382,0.7119473166428185,0.01292664289353031,0,122,0,0.7672955974842768,0.9150638076942497,0.9479336772344448,0.7119473166430917,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,D,0.043122703104335,0,0.0006477586306439221,-0.10189668991466734,1.0,0,1.0,0.23059969922784654,0.0048587083007009,0,0.003833888420352539,-0.15631550344353004,0.0476054245829696,0,0.0038338884203525593,-0.15631550344353012,0.008080566833850809,0,122,0,0.7672955974842768,0.9150638076942497,0.9485981308411215,0.7121020972393648,0.6331900326407133,0,110,0,0.6918238993710691,0.6536170054958926,1.0,,0.6251094658068626,0,32,0,0.20125786163522014,-1.0457872087934281,0.9989186438521723,-0.7121020972391957,0.0,0,110,0,0.6918238993710691,0.6536170054958926,0.0,,0.008080566833850722,0,122,0,0.7672955974842768,0.9150638076942497,0.948598130841115,0.7121020972390998
Caldisericota,,wastewater_treatment_plant phyla,0.0003445647548007,3.4456475480074685e-06,0,5.538023613954484e-06,-0.12315717982790762,0,5.538023613953722e-06,-0.12315717982790791,0.005227665654622182,0,122,0,0.7672955974842768,0.9150638076942497,0.5952927711610166,0.5764907040986602,44,0,111,0,0.6981132075471698,0.6754042390124224,0.7857142857142857,0.4675573165459246,25.558823529411768,0,111,0,0.6981132075471698,0.6754042390124224,0.7510504201680673,0.45437086230353146,0.012862145813435196,0,111,0,0.6981132075471698,0.6754042390124224,0.9432039918235482,0.46733650784752,0.012862145813435213,0,111,0,0.6981132075471698,0.6754042390124224,0.9432039918235459,0.46733650784734054,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,D,0.0002835540273142,0,4.259347286328885e-06,-0.10984475935848,1.0,0,1.0,0.23059969922784654,2.5717860591464862e-05,0,2.0293337614780134e-05,-0.18993227751805647,0.0002519825429004,0,2.029333761477341e-05,-0.18993227751805677,0.008040761085900804,0,111,0,0.6981132075471698,0.6754042390124224,0.9439252336448598,0.46755731654593485,0.6331900326407133,0,118,0,0.7421383647798742,0.8279148736281307,1.0,,0.6251492715548125,0,51,0,0.32075471698113206,-0.6318297719793629,0.9989822530373386,-0.4675573165462269,0.0,0,118,0,0.7421383647798742,0.8279148736281307,0.0,,0.008040761085900794,0,111,0,0.6981132075471698,0.6754042390124224,0.9439252336448622,0.467557316546131
Calditrichota,,wastewater_treatment_plant phyla,0.0025010710636144,2.5010710636144185e-05,0,4.019851252193391e-05,-0.12273466146377195,0,4.019851252193354e-05,-0.12273466146377222,0.005831563112518436,0,145,0,0.9119496855345912,1.416170178574434,0.6640607098470526,1.2038545458572405,47,0,147,0,0.9245283018867925,1.4597446456074936,0.8392857142857143,1.2011916586262064,27.605947955390334,0,147,0,0.9245283018867925,1.4597446456074936,0.8112055231014339,1.2041778853181275,0.01305566169914658,0,147,0,0.9245283018867925,1.4597446456074936,0.9573948553491032,1.201262404165539,0.013055661699146607,0,147,0,0.9245283018867925,1.4597446456074936,0.9573948553491014,1.201262404165369,0.0,0,111,0,0.6981132075471698,0.6754042390124224,0.0,,D,0.0022588402210723,0,3.3930694115001284e-05,-0.10947827888028079,1.0,0,1.0,0.23059969922784654,0.0001694920755975,0,0.00013374207006438987,-0.18893222892216252,0.0016606764026371,0,0.00013374207006444395,-0.18893222892216227,0.008160178329750816,0,147,0,0.9245283018867925,1.4597446456074936,0.9579439252336448,1.201191658626214,0.6331900326407133,0,111,0,0.6981132075471698,0.6754042390124224,1.0,,0.6250298543109625,0,16,0,0.10062893081761007,-1.3943829450579044,0.9987914254818395,-1.2011916586264975,0.0,0,111,0,0.6981132075471698,0.6754042390124224,0.0,,0.0081601783297508,0,147,0,0.9245283018867925,1.4597446456074936,0.9579439252336467,1.2011916586264015
Campylobacterota,,wastewater_treatment_plant phyla,2.074358021540576,0.0207435802154057,0,0.033340158989072215,0.2831985861510875,0,0.03334015898907225,0.2831985861510877,0.004749756163678668,0,87,0,0.5471698113207547,0.1525106346157083,0.5408715277181865,0.0800104981781403,43,0,87,0,0.5471698113207547,0.1525106346157083,0.7678571428571429,0.2230125358524973,24.88644688644689,0,87,0,0.5471698113207547,0.1525106346157083,0.7312925170068029,0.208097249127797,0.012797656946389842,0,87,0,0.5471698113207547,0.1525106346157083,0.9384749086901709,0.2227568477601605,0.012797656946389914,0,87,0,0.5471698113207547,0.1525106346157083,0.9384749086901725,0.22275684776019283,0.0,0,112,0,0.7044025157232704,0.6971914725289522,0.0,,D,0.551580583299296,0,0.008285451922233752,-0.007561050012541354,1.0,0,1.0,0.23059969922784654,0.2933270763376712,1,0.23145725401638836,1.8501804903136148,2.874006659078815,1,0.2314572540163884,1.8501804903136148,0.0080009553379508,0,87,0,0.5471698113207547,0.1525106346157083,0.9392523364485981,0.223012535852505,0.6331900326407133,0,112,0,0.7044025157232704,0.6971914725289522,1.0,,0.6251890773027625,0,68,0,0.4276729559748428,-0.26144680219835703,0.999045862222505,-0.22301253585257605,0.0,0,112,0,0.7044025157232704,0.6971914725289522,0.0,,0.008000955337950755,0,87,0,0.5471698113207547,0.1525106346157083,0.9392523364485964,0.22301253585248013
Candidatus Abawacabacteria,,wastewater_treatment_plant phyla,0.0008758579745996,8.758579745996506e-06,0,1.4077244054192795e-05,-0.12305308500509708,0,1.4077244054191958e-05,-0.12305308500509736,0.007611853124236649,1,158,0,0.9937106918238994,1.6994042142893209,0.8667886279205751,3.0533234690859934,54,1,158,0,0.9937106918238994,1.6994042142893209,0.9642857142857143,2.9130051234801972,32.56488549618321,1,158,0,0.9937106918238994,1.6994042142893209,0.9569247546346784,3.0205043125697744,0.013507486460656274,1,158,0,0.9937106918238994,1.6994042142893209,0.9905279674162604,2.914847270083185,0.01350748646065626,1,158,0,0.9937106918238994,1.6994042142893209,0.9905279674162556,2.914847270082809,0.0,0,113,0,0.710691823899371,0.7189787060454819,0.0,,^,0.0004384138152904,0,6.585541077069878e-06,-0.1098160277805797,1.0,0,1.0,0.23059969922784654,0.0001187963976396,0,9.373934492514322e-05,-0.18928485224587577,0.0011639622299916,0,9.373934492517805e-05,-0.18928485224587568,0.008438818565400843,1,158,0,0.9937106918238994,1.6994042142893209,0.9906542056074765,2.9130051234802017,0.6331900326407133,0,113,0,0.710691823899371,0.7189787060454819,1.0,,0.6247512140753124,0,2,0,0.012578616352201259,-1.6994042142893209,0.9983461611856752,-2.9130051234806893,0.0,0,113,0,0.710691823899371,0.7189787060454819,0.0,,0.008438818565400852,1,158,0,0.9937106918238994,1.6994042142893209,0.9906542056074814,2.9130051234805934
